Player,Player_ID,Player_Link,class,pos,summary,School,Year
Gerry Bohanon,gerry-bohanon-1,/cfb/players/gerry-bohanon-1.html,JR,QB,"173 Cmp, 275 Att, 2200 Yds, 18 TD",Baylor,2021
Blake Shapen,blake-shapen-1,/cfb/players/blake-shapen-1.html,FR,QB,"62 Cmp, 86 Att, 596 Yds, 5 TD",Baylor,2021
Jacob Zeno,jacob-zeno-1,/cfb/players/jacob-zeno-1.html,SO,QB,"1 Cmp, 3 Att, 41 Yds, 0 TD",Baylor,2021
Brandon Bass,brandon-bass-1,/cfb/players/brandon-bass-1.html,JR,QB,,Baylor,2021
Kyron Drones,kyron-drones-1,/cfb/players/kyron-drones-1.html,FR,QB,,Baylor,2021
CJ Rogers,cj-rogers-1,/cfb/players/cj-rogers-1.html,FR,QB,,Baylor,2021
Abram Smith,abram-smith-1,/cfb/players/abram-smith-1.html,SR,RB,"257 Att, 1601 Yds, 6.2 Avg",Baylor,2021
Trestan Ebner,trestan-ebner-1,/cfb/players/trestan-ebner-1.html,SR,RB,"148 Att, 799 Yds, 5.4 Avg",Baylor,2021
Taye McWilliams,taye-mcwilliams-1,/cfb/players/taye-mcwilliams-1.html,SO,RB,"17 Att, 181 Yds, 10.6 Avg",Baylor,2021
Craig Williams,craig-williams-2,/cfb/players/craig-williams-2.html,SO,RB,"4 Att, 15 Yds, 3.8 Avg",Baylor,2021
Jacoby Clarke,jacoby-clarke-1,/cfb/players/jacoby-clarke-1.html,SO,RB,"2 Att, 9 Yds, 4.5 Avg",Baylor,2021
Qualan Jones,qualan-jones-1,/cfb/players/qualan-jones-1.html,SO,RB,,Baylor,2021
Jordan Jenkins,jordan-jenkins-3,/cfb/players/jordan-jenkins-3.html,FR,RB,,Baylor,2021
Jonah White,jonah-white-1,/cfb/players/jonah-white-1.html,SO,RB,,Baylor,2021
Tyquan Thornton,tyquan-thornton-1,/cfb/players/tyquan-thornton-1.html,SR,WR,"62 Rec, 948 Yds, 15.3 Avg",Baylor,2021
Drew Estrada,drew-estrada-1,/cfb/players/drew-estrada-1.html,SR,WR,"30 Rec, 367 Yds, 12.2 Avg",Baylor,2021
Monaray Baldwin,monaray-baldwin-1,/cfb/players/monaray-baldwin-1.html,FR,WR,"1 Rec, 7 Yds, 7.0 Avg",Baylor,2021
Josh Fleeks,josh-fleeks-1,/cfb/players/josh-fleeks-1.html,SR,WR,"7 Rec, 89 Yds, 12.7 Avg",Baylor,2021
R.J. Sneed,rj-sneed-1,/cfb/players/rj-sneed-1.html,SR,WR,"46 Rec, 573 Yds, 12.5 Avg",Baylor,2021
Hal Presley,hal-presley-1,/cfb/players/hal-presley-1.html,FR,WR,"1 Rec, 15 Yds, 15.0 Avg",Baylor,2021
Jaylen Ellis,jaylen-ellis-1,/cfb/players/jaylen-ellis-1.html,SO,WR,"1 Rec, 3 Yds, 3.0 Avg",Baylor,2021
Elijah Bean,elijah-bean-1,/cfb/players/elijah-bean-1.html,FR,WR,,Baylor,2021
Cameron Bonner,cameron-bonner-1,/cfb/players/cameron-bonner-1.html,FR,WR,,Baylor,2021
Jonah Burton,jonah-burton-1,/cfb/players/jonah-burton-1.html,FR,WR,,Baylor,2021
Josh Cameron,josh-cameron-1,/cfb/players/josh-cameron-1.html,FR,WR,,Baylor,2021
Jonathan Davidson,jonathan-davidson-1,/cfb/players/jonathan-davidson-1.html,FR,WR,,Baylor,2021
Javon Gipson,javon-gipson-1,/cfb/players/javon-gipson-1.html,FR,WR,,Baylor,2021
Jackson Gleeson,jackson-gleeson-1,/cfb/players/jackson-gleeson-1.html,JR,WR,,Baylor,2021
Gavin Holmes,gavin-holmes-1,/cfb/players/gavin-holmes-1.html,JR,WR,,Baylor,2021
Seth Jones,seth-jones-1,/cfb/players/seth-jones-1.html,FR,WR,,Baylor,2021
Tripp Mitchell,tripp-mitchell-1,/cfb/players/tripp-mitchell-1.html,SO,WR,,Baylor,2021
Ty Moore,ty-moore-1,/cfb/players/ty-moore-1.html,FR,WR,,Baylor,2021
Kolby White,kolby-white-1,/cfb/players/kolby-white-1.html,SO,WR,,Baylor,2021
Ben Sims,ben-sims-1,/cfb/players/ben-sims-1.html,JR,TE,"31 Rec, 361 Yds, 11.6 Avg",Baylor,2021
Gavin Yates,gavin-yates-1,/cfb/players/gavin-yates-1.html,FR,TE,"4 Rec, 35 Yds, 8.8 Avg",Baylor,2021
Drake Dabney,drake-dabney-1,/cfb/players/drake-dabney-1.html,SO,TE,"10 Rec, 91 Yds, 9.1 Avg",Baylor,2021
Tyler Henderson,tyler-henderson-3,/cfb/players/tyler-henderson-3.html,JR,TE,,Baylor,2021
Christoph Henle,christoph-henle-1,/cfb/players/christoph-henle-1.html,SR,TE,,Baylor,2021
Jackson Shupp,jackson-shupp-1,/cfb/players/jackson-shupp-1.html,JR,TE,,Baylor,2021
Grant Miller,grant-miller-1,/cfb/players/grant-miller-1.html,SR,OL,,Baylor,2021
Jacob Gall,jacob-gall-1,/cfb/players/jacob-gall-1.html,SR,OL,,Baylor,2021
Gavin Byers,gavin-byers-1,/cfb/players/gavin-byers-1.html,SO,OL,,Baylor,2021
Clayton Collier,clayton-collier-1,/cfb/players/clayton-collier-1.html,FR,OL,,Baylor,2021
