Player,Player_ID,Player_Link,class,pos,summary,School,Year
James Morgan,james-morgan-1,/cfb/players/james-morgan-1.html,FR,QB,"183 Cmp, 326 Att, 2082 Yds, 16 TD",Bowling Green,2016
James Knapke,james-knapke-1,/cfb/players/james-knapke-1.html,SR,QB,"59 Cmp, 119 Att, 636 Yds, 3 TD",Bowling Green,2016
Josh Cleveland,josh-cleveland-1,/cfb/players/josh-cleveland-1.html,JR,RB,"101 Att, 649 Yds, 6.4 Avg",Bowling Green,2016
Fred Coppet,fred-coppet-1,/cfb/players/fred-coppet-1.html,SR,RB,"204 Att, 1030 Yds, 5.0 Avg",Bowling Green,2016
Donovan Wilson,donovan-wilson-1,/cfb/players/donovan-wilson-1.html,JR,RB,"110 Att, 503 Yds, 4.6 Avg",Bowling Green,2016
Terence Stephens Jr.,terence-stephens-jr-1,/cfb/players/terence-stephens-jr-1.html,FR,RB,"13 Att, 41 Yds, 3.2 Avg",Bowling Green,2016
Ronnie Moore,ronnie-moore-3,/cfb/players/ronnie-moore-3.html,SR,WR,"42 Rec, 513 Yds, 12.2 Avg",Bowling Green,2016
Marquis Zimmerman,marquis-zimmerman-1,/cfb/players/marquis-zimmerman-1.html,FR,WR,"22 Rec, 184 Yds, 8.4 Avg",Bowling Green,2016
Deric Phouthavong,deric-phouthavong-1,/cfb/players/deric-phouthavong-1.html,SO,WR,"15 Rec, 170 Yds, 11.3 Avg",Bowling Green,2016
Scott Miller,scott-miller-3,/cfb/players/scott-miller-3.html,SO,WR,"74 Rec, 968 Yds, 13.1 Avg",Bowling Green,2016
Teo Redding,teo-redding-1,/cfb/players/teo-redding-1.html,JR,WR,"31 Rec, 423 Yds, 13.6 Avg",Bowling Green,2016
Janarvis Pough,janarvis-pough-1,/cfb/players/janarvis-pough-1.html,FR,WR,"12 Rec, 125 Yds, 10.4 Avg",Bowling Green,2016
Vanel Dossous,vanel-dossous-1,/cfb/players/vanel-dossous-1.html,JR,WR,"9 Rec, 79 Yds, 8.8 Avg",Bowling Green,2016
Trevor Roop,trevor-roop-1,/cfb/players/trevor-roop-1.html,JR,WR,,Bowling Green,2016
Hunter Folkertsma,hunter-folkertsma-1,/cfb/players/hunter-folkertsma-1.html,JR,TE,"7 Rec, 93 Yds, 13.3 Avg",Bowling Green,2016
Logan Dietz,logan-dietz-1,/cfb/players/logan-dietz-1.html,SR,OL,,Bowling Green,2016
Ben Steward,ben-steward-1,/cfb/players/ben-steward-1.html,SR,OL,,Bowling Green,2016
Nick Fields,nick-fields-1,/cfb/players/nick-fields-1.html,JR,K,,Bowling Green,2016
Jake Suder,jake-suder-1,/cfb/players/jake-suder-1.html,SO,K,,Bowling Green,2016
Malik Brown,malik-brown-1,/cfb/players/malik-brown-1.html,JR,DL,,Bowling Green,2016
Terrance Bush,terrance-bush-1,/cfb/players/terrance-bush-1.html,SR,DL,,Bowling Green,2016
Grant Coffey,grant-coffey-1,/cfb/players/grant-coffey-1.html,FR,DL,,Bowling Green,2016
Jonah Harper,jonah-harper-1,/cfb/players/jonah-harper-1.html,JR,DL,,Bowling Green,2016
Tyrik Jones,tyrik-jones-1,/cfb/players/tyrik-jones-1.html,FR,DL,,Bowling Green,2016
Kyle Junior,kyle-junior-1,/cfb/players/kyle-junior-1.html,FR,DL,,Bowling Green,2016
David Konowalski,david-konowalski-1,/cfb/players/david-konowalski-1.html,SO,DL,,Bowling Green,2016
Nico Lautanen,nico-lautanen-1,/cfb/players/nico-lautanen-1.html,SO,DL,,Bowling Green,2016
Izaah Lunsford,izaah-lunsford-1,/cfb/players/izaah-lunsford-1.html,SR,DL,,Bowling Green,2016
Brian Sanders,brian-sanders-1,/cfb/players/brian-sanders-1.html,SO,DL,,Bowling Green,2016
Gus Schwieterman,gus-schwieterman-1,/cfb/players/gus-schwieterman-1.html,JR,DL,,Bowling Green,2016
Shannon Smith,shannon-smith-2,/cfb/players/shannon-smith-2.html,JR,DL,,Bowling Green,2016
Aaron Banks,aaron-banks-2,/cfb/players/aaron-banks-2.html,JR,LB,,Bowling Green,2016
Zach Bartman,zach-bartman-1,/cfb/players/zach-bartman-1.html,SR,LB,,Bowling Green,2016
Trenton Greene,trenton-greene-1,/cfb/players/trenton-greene-1.html,SR,LB,,Bowling Green,2016
Dorian Hendrix,dorian-hendrix-1,/cfb/players/dorian-hendrix-1.html,SO,LB,,Bowling Green,2016
Nate Locke,nate-locke-1,/cfb/players/nate-locke-1.html,JR,LB,,Bowling Green,2016
James Sanford,james-sanford-1,/cfb/players/james-sanford-1.html,SR,LB,,Bowling Green,2016
Austin Valdez,austin-valdez-1,/cfb/players/austin-valdez-1.html,JR,LB,,Bowling Green,2016
Nilijah Ballew,nilijah-ballew-1,/cfb/players/nilijah-ballew-1.html,JR,DB,,Bowling Green,2016
Jamari Bozeman,jamari-bozeman-1,/cfb/players/jamari-bozeman-1.html,SO,DB,,Bowling Green,2016
Montre Gregory,montre-gregory-1,/cfb/players/montre-gregory-1.html,SO,DB,,Bowling Green,2016
Ben Hale,ben-hale-2,/cfb/players/ben-hale-2.html,JR,DB,,Bowling Green,2016
Brandon Harris,brandon-harris-10,/cfb/players/brandon-harris-10.html,SO,DB,,Bowling Green,2016
Robert Jackson Jr.,robert-jackson-jr-1,/cfb/players/robert-jackson-jr-1.html,SO,DB,,Bowling Green,2016
Cameron Jefferies,cameron-jefferies-1,/cfb/players/cameron-jefferies-1.html,FR,DB,,Bowling Green,2016
Alfonso Mack,alfonso-mack-1,/cfb/players/alfonso-mack-1.html,SR,DB,,Bowling Green,2016
Jerry McBride III,jerry-mcbride-iii-1,/cfb/players/jerry-mcbride-iii-1.html,FR,DB,,Bowling Green,2016
Marcus Milton,marcus-milton-1,/cfb/players/marcus-milton-1.html,SO,DB,,Bowling Green,2016
Matt Robinson,matt-robinson-4,/cfb/players/matt-robinson-4.html,JR,DB,,Bowling Green,2016
Antonyo Sotolongo,antonyo-sotolongo-1,/cfb/players/antonyo-sotolongo-1.html,FR,DB,,Bowling Green,2016
Tavarus Wade,tavarus-wade-1,/cfb/players/tavarus-wade-1.html,SO,DB,,Bowling Green,2016
Jack Walz III,jack-walz-iii-1,/cfb/players/jack-walz-iii-1.html,SO,DB,,Bowling Green,2016
Will Watson,will-watson-1,/cfb/players/will-watson-1.html,SR,DB,,Bowling Green,2016
Joseph Davidson,joseph-davidson-1,/cfb/players/joseph-davidson-1.html,JR,P,,Bowling Green,2016
Leonard Skattebo,leonard-skattebo-1,/cfb/players/leonard-skattebo-1.html,JR,FB,,Bowling Green,2016
Greg Hohenstein,greg-hohenstein-1,/cfb/players/greg-hohenstein-1.html,SR,LS,,Bowling Green,2016
