Player,Player_ID,Player_Link,class,pos,summary,School,Year
Tyree Jackson,tyree-jackson-1,/cfb/players/tyree-jackson-1.html,SO,QB,"143 Cmp, 237 Att, 2096 Yds, 12 TD",Buffalo,2017
Drew Anderson,drew-anderson-1,/cfb/players/drew-anderson-1.html,JR,QB,"66 Cmp, 106 Att, 1039 Yds, 10 TD",Buffalo,2017
Kyle Vantrease,kyle-vantrease-1,/cfb/players/kyle-vantrease-1.html,FR,QB,"25 Cmp, 57 Att, 355 Yds, 2 TD",Buffalo,2017
Jack Hanauer,jack-hanauer-1,/cfb/players/jack-hanauer-1.html,FR,QB,,Buffalo,2017
Dominic Johnson,dominic-johnson-1,/cfb/players/dominic-johnson-1.html,FR,QB,,Buffalo,2017
Emmanuel Reed,emmanuel-reed-1,/cfb/players/emmanuel-reed-1.html,SO,RB,"199 Att, 840 Yds, 4.2 Avg",Buffalo,2017
Theo Anderson,theo-anderson-1,/cfb/players/theo-anderson-1.html,FR,RB,"97 Att, 419 Yds, 4.3 Avg",Buffalo,2017
Johnathan Hawkins,johnathan-hawkins-1,/cfb/players/johnathan-hawkins-1.html,JR,RB,"35 Att, 127 Yds, 3.6 Avg",Buffalo,2017
Kameron Pickett,kameron-pickett-1,/cfb/players/kameron-pickett-1.html,FR,RB,"7 Att, 13 Yds, 1.9 Avg",Buffalo,2017
Chris Doubek,chris-doubek-1,/cfb/players/chris-doubek-1.html,JR,RB,,Buffalo,2017
Michael Forman,michael-forman-1,/cfb/players/michael-forman-1.html,SR,RB,,Buffalo,2017
Kevin Marks,kevin-marks-1,/cfb/players/kevin-marks-1.html,FR,RB,,Buffalo,2017
Anthony Johnson,anthony-johnson-13,/cfb/players/anthony-johnson-13.html,JR,WR,"76 Rec, 1356 Yds, 17.8 Avg",Buffalo,2017
K.J. Osborn,kj-osborn-1,/cfb/players/kj-osborn-1.html,SO,WR,"35 Rec, 493 Yds, 14.1 Avg",Buffalo,2017
Jamarl Eiland,jamarl-eiland-1,/cfb/players/jamarl-eiland-1.html,SR,WR,"12 Rec, 93 Yds, 7.8 Avg",Buffalo,2017
Jacob Martinez,jacob-martinez-1,/cfb/players/jacob-martinez-1.html,SR,WR,"17 Rec, 241 Yds, 14.2 Avg",Buffalo,2017
