Player,Player_ID,Player_Link,class,pos,summary,School,Year
Chase Garbers,chase-garbers-1,/cfb/players/chase-garbers-1.html,SR,QB,"223 Cmp, 347 Att, 2531 Yds, 16 TD",California,2021
Ryan Glover,ryan-glover-1,/cfb/players/ryan-glover-1.html,SR,QB,"11 Cmp, 29 Att, 94 Yds, 0 TD",California,2021
Robby Rowell,robby-rowell-1,/cfb/players/robby-rowell-1.html,JR,QB,,California,2021
Blake DeBisschop,blake-debisschop-1,/cfb/players/blake-debisschop-1.html,FR,QB,,California,2021
Zach Johnson,zach-johnson-7,/cfb/players/zach-johnson-7.html,SO,QB,,California,2021
Kai Millner,kai-millner-1,/cfb/players/kai-millner-1.html,FR,QB,,California,2021
Marcel Dancy,marcel-dancy-1,/cfb/players/marcel-dancy-1.html,SR,RB,"26 Att, 161 Yds, 6.2 Avg",California,2021
Christopher Brooks,christopher-brooks-1,/cfb/players/christopher-brooks-1.html,SR,RB,"116 Att, 607 Yds, 5.2 Avg",California,2021
Damien Moore,damien-moore-1,/cfb/players/damien-moore-1.html,SO,RB,"100 Att, 517 Yds, 5.2 Avg",California,2021
Chris Street,chris-street-1,/cfb/players/chris-street-1.html,SO,RB,"21 Att, 107 Yds, 5.1 Avg",California,2021
DeCarlos Brooks,decarlos-brooks-1,/cfb/players/decarlos-brooks-1.html,SO,RB,"10 Att, 96 Yds, 9.6 Avg",California,2021
Ashton Stredick,ashton-stredick-1,/cfb/players/ashton-stredick-1.html,SO,RB,"2 Att, 8 Yds, 4.0 Avg",California,2021
Christopher Brown Jr.,christopher-brown-jr-1,/cfb/players/christopher-brown-jr-1.html,SR,RB,,California,2021
Nikko Remigio,nikko-remigio-1,/cfb/players/nikko-remigio-1.html,SR,WR,"38 Rec, 238 Yds, 6.3 Avg",California,2021
Kekoa Crawford,kekoa-crawford-1,/cfb/players/kekoa-crawford-1.html,SR,WR,"40 Rec, 513 Yds, 12.8 Avg",California,2021
Trevon Clark,trevon-clark-1,/cfb/players/trevon-clark-1.html,SR,WR,"33 Rec, 658 Yds, 19.9 Avg",California,2021
Jeremiah Hunter,jeremiah-hunter-1,/cfb/players/jeremiah-hunter-1.html,SO,WR,"21 Rec, 388 Yds, 18.5 Avg",California,2021
Justin Baker,justin-baker-1,/cfb/players/justin-baker-1.html,SO,WR,"7 Rec, 44 Yds, 6.3 Avg",California,2021
Monroe Young,monroe-young-1,/cfb/players/monroe-young-1.html,JR,WR,"4 Rec, 57 Yds, 14.3 Avg",California,2021
Mason Magnum,mason-magnum-1,/cfb/players/mason-magnum-1.html,SO,WR,"1 Rec, 0 Yds, 0.0 Avg",California,2021
J. Michael Sturdivant,j-michael-sturdivant-1,/cfb/players/j-michael-sturdivant-1.html,FR,WR,,California,2021
