Player,Player_ID,Player_Link,class,pos,summary,School,Year
Tyler Keane,tyler-keane-1,/cfb/players/tyler-keane-1.html,SR,QB,"100 Cmp, 170 Att, 1440 Yds, 11 TD",Coastal Carolina,2017
Kilton Anderson,kilton-anderson-1,/cfb/players/kilton-anderson-1.html,JR,QB,"49 Cmp, 109 Att, 743 Yds, 7 TD",Coastal Carolina,2017
Dalton Demos,dalton-demos-1,/cfb/players/dalton-demos-1.html,SR,QB,"3 Cmp, 11 Att, 27 Yds, 0 TD",Coastal Carolina,2017
Chance Thrasher,chance-thrasher-1,/cfb/players/chance-thrasher-1.html,SO,QB,"5 Cmp, 10 Att, 52 Yds, 0 TD",Coastal Carolina,2017
Austin Wilson,austin-wilson-2,/cfb/players/austin-wilson-2.html,SR,QB,"1 Cmp, 4 Att, 7 Yds, 0 TD",Coastal Carolina,2017
Austin Bradley,austin-bradley-1,/cfb/players/austin-bradley-1.html,SO,QB,,Coastal Carolina,2017
Blake Bowen,blake-bowen-1,/cfb/players/blake-bowen-1.html,FR,QB,,Coastal Carolina,2017
Darius Harper,darius-harper-1,/cfb/players/darius-harper-1.html,FR,QB,,Coastal Carolina,2017
Josh Stilley,josh-stilley-1,/cfb/players/josh-stilley-1.html,JR,QB,,Coastal Carolina,2017
Osharmar Abercrombie,osharmar-abercrombie-1,/cfb/players/osharmar-abercrombie-1.html,SR,RB,"140 Att, 724 Yds, 5.2 Avg",Coastal Carolina,2017
Marcus Outlow,marcus-outlow-1,/cfb/players/marcus-outlow-1.html,JR,RB,"61 Att, 279 Yds, 4.6 Avg",Coastal Carolina,2017
Alex James,alex-james-2,/cfb/players/alex-james-2.html,SO,RB,"55 Att, 274 Yds, 5.0 Avg",Coastal Carolina,2017
Jacqez Hairston,jacqez-hairston-1,/cfb/players/jacqez-hairston-1.html,FR,RB,"24 Att, 140 Yds, 5.8 Avg",Coastal Carolina,2017
Ra'Quan Bennett,raquan-bennett-1,/cfb/players/raquan-bennett-1.html,SO,RB,"1 Att, 11 Yds, 11.0 Avg",Coastal Carolina,2017
Marquiese Jones,marquiese-jones-1,/cfb/players/marquiese-jones-1.html,JR,RB,,Coastal Carolina,2017
Anthony McAfee,anthony-mcafee-1,/cfb/players/anthony-mcafee-1.html,FR,RB,,Coastal Carolina,2017
Baden Pinson,baden-pinson-1,/cfb/players/baden-pinson-1.html,FR,RB,,Coastal Carolina,2017
Malcolm Williams,malcolm-williams-4,/cfb/players/malcolm-williams-4.html,JR,WR,"43 Rec, 793 Yds, 18.4 Avg",Coastal Carolina,2017
Ky'Jon Tyler,kyjon-tyler-1,/cfb/players/kyjon-tyler-1.html,SO,WR,"23 Rec, 313 Yds, 13.6 Avg",Coastal Carolina,2017
Chris Jones,chris-jones-17,/cfb/players/chris-jones-17.html,SR,WR,"26 Rec, 536 Yds, 20.6 Avg",Coastal Carolina,2017
T'Qele Holmes,tqele-holmes-1,/cfb/players/tqele-holmes-1.html,FR,WR,,Coastal Carolina,2017
Omar Black,omar-black-1,/cfb/players/omar-black-1.html,JR,WR,"20 Rec, 271 Yds, 13.6 Avg",Coastal Carolina,2017
Larry Collins Jr.,larry-collins-jr-1,/cfb/players/larry-collins-jr-1.html,FR,WR,"9 Rec, 92 Yds, 10.2 Avg",Coastal Carolina,2017
Josh Anderson,josh-anderson-7,/cfb/players/josh-anderson-7.html,SO,WR,"1 Rec, 7 Yds, 7.0 Avg",Coastal Carolina,2017
Gary Bradshaw,gary-bradshaw-1,/cfb/players/gary-bradshaw-1.html,SR,WR,"1 Rec, 6 Yds, 6.0 Avg",Coastal Carolina,2017
Antawn Chandler,antawn-chandler-1,/cfb/players/antawn-chandler-1.html,SO,WR,,Coastal Carolina,2017
Charles Frederick,charles-frederick-2,/cfb/players/charles-frederick-2.html,SO,WR,,Coastal Carolina,2017
Tre' High,tre-high-1,/cfb/players/tre-high-1.html,FR,WR,,Coastal Carolina,2017
Zavier Jones,zavier-jones-1,/cfb/players/zavier-jones-1.html,SO,WR,,Coastal Carolina,2017
Jay King II,jay-king-ii-1,/cfb/players/jay-king-ii-1.html,FR,WR,,Coastal Carolina,2017
Kendrick Lowery,kendrick-lowery-1,/cfb/players/kendrick-lowery-1.html,SO,WR,,Coastal Carolina,2017
Jeremiah Miller,jeremiah-miller-1,/cfb/players/jeremiah-miller-1.html,FR,WR,,Coastal Carolina,2017
Maxwell Kjosa,maxwell-kjosa-1,/cfb/players/maxwell-kjosa-1.html,SO,TE,"4 Rec, 41 Yds, 10.3 Avg",Coastal Carolina,2017
Laquay Brown,laquay-brown-1,/cfb/players/laquay-brown-1.html,JR,TE,"1 Rec, 8 Yds, 8.0 Avg",Coastal Carolina,2017
Lorenzo D'Angelo,lorenzo-dangelo-1,/cfb/players/lorenzo-dangelo-1.html,SR,TE,,Coastal Carolina,2017
