Player,Player_ID,Player_Link,class,pos,summary,School,Year
Riley Leonard,riley-leonard-1,/cfb/players/riley-leonard-1.html,JR,QB,"250 Cmp, 392 Att, 2967 Yds, 20 TD",Duke,2022
Henry Belvin IV,henry-belvin-iv-1,/cfb/players/henry-belvin-iv-1.html,SO,QB,"5 Cmp, 6 Att, 43 Yds, 0 TD",Duke,2022
Jordan Moore,jordan-moore-5,/cfb/players/jordan-moore-5.html,JR,QB,,Duke,2022
Ty Lenhart,ty-lenhart-1,/cfb/players/ty-lenhart-1.html,SR,QB,,Duke,2022
Gavin Spurrier,gavin-spurrier-1,/cfb/players/gavin-spurrier-1.html,SR,QB,,Duke,2022
Jordan Waters,jordan-waters-1,/cfb/players/jordan-waters-1.html,SR,RB,"123 Att, 566 Yds, 4.6 Avg",Duke,2022
Jaylen Coleman,jaylen-coleman-2,/cfb/players/jaylen-coleman-2.html,SR,RB,"102 Att, 480 Yds, 4.7 Avg",Duke,2022
Jaquez Moore,jaquez-moore-1,/cfb/players/jaquez-moore-1.html,JR,RB,"79 Att, 508 Yds, 6.4 Avg",Duke,2022
Terry Moore,terry-moore-3,/cfb/players/terry-moore-3.html,SO,RB,"29 Att, 128 Yds, 4.4 Avg",Duke,2022
Rashawn Allen,rashawn-allen-1,/cfb/players/rashawn-allen-1.html,SR,RB,"3 Att, 9 Yds, 3.0 Avg",Duke,2022
Eric Weatherly,eric-weatherly-1,/cfb/players/eric-weatherly-1.html,FR,RB,"2 Att, 16 Yds, 8.0 Avg",Duke,2022
Travis Bates,travis-bates-1,/cfb/players/travis-bates-1.html,SO,RB,,Duke,2022
Grissim Anderson,grissim-anderson-1,/cfb/players/grissim-anderson-1.html,SR,RB,,Duke,2022
Jalon Calhoun,jalon-calhoun-1,/cfb/players/jalon-calhoun-1.html,SR,WR,"62 Rec, 873 Yds, 14.1 Avg",Duke,2022
Shamir Hagans,shamir-hagans-1,/cfb/players/shamir-hagans-1.html,JR,WR,"31 Rec, 400 Yds, 12.9 Avg",Duke,2022
Eli Pancol,eli-pancol-1,/cfb/players/eli-pancol-1.html,SR,WR,"23 Rec, 347 Yds, 15.1 Avg",Duke,2022
Jontavis Robertson,jontavis-robertson-1,/cfb/players/jontavis-robertson-1.html,SR,WR,"14 Rec, 191 Yds, 13.6 Avg",Duke,2022
Darrell Harding Jr.,darrell-harding-jr-1,/cfb/players/darrell-harding-jr-1.html,SR,WR,"3 Rec, 21 Yds, 7.0 Avg",Duke,2022
Malik Bowen-Sims,malik-bowen-sims-1,/cfb/players/malik-bowen-sims-1.html,SR,WR,"2 Rec, 18 Yds, 9.0 Avg",Duke,2022
Luca Diamont,luca-diamont-1,/cfb/players/luca-diamont-1.html,SO,WR,"1 Rec, 18 Yds, 18.0 Avg",Duke,2022
Nick Lampert,nick-lampert-1,/cfb/players/nick-lampert-1.html,JR,WR,"1 Rec, 7 Yds, 7.0 Avg",Duke,2022
Joe Hardison,joe-hardison-1,/cfb/players/joe-hardison-1.html,SR,WR,,Duke,2022
Trevor Horton,trevor-horton-1,/cfb/players/trevor-horton-1.html,SR,WR,,Duke,2022
Mehki Wall,mehki-wall-1,/cfb/players/mehki-wall-1.html,SO,WR,,Duke,2022
Harrison Wellmann,harrison-wellmann-1,/cfb/players/harrison-wellmann-1.html,SR,WR,,Duke,2022
Edwin Barnes III,edwin-barnes-iii-1,/cfb/players/edwin-barnes-iii-1.html,SR,WR,,Duke,2022
Eric Gallman II,eric-gallman-ii-1,/cfb/players/eric-gallman-ii-1.html,SR,WR,,Duke,2022
William Robertson,william-robertson-2,/cfb/players/william-robertson-2.html,SR,WR,,Duke,2022
Jaden Watkins,jaden-watkins-1,/cfb/players/jaden-watkins-1.html,SO,WR,,Duke,2022
Nicky Dalmolin,nicky-dalmolin-1,/cfb/players/nicky-dalmolin-1.html,SR,TE,"21 Rec, 170 Yds, 8.1 Avg",Duke,2022
Cole Finney,cole-finney-1,/cfb/players/cole-finney-1.html,JR,TE,"4 Rec, 47 Yds, 11.8 Avg",Duke,2022
Andrew Jones,andrew-jones-6,/cfb/players/andrew-jones-6.html,SO,TE,,Duke,2022
Matt Smith,matt-smith-8,/cfb/players/matt-smith-8.html,JR,TE,,Duke,2022
Cade Anders,cade-anders-1,/cfb/players/cade-anders-1.html,SO,TE,,Duke,2022
Mason Russell,mason-russell-2,/cfb/players/mason-russell-2.html,JR,TE,,Duke,2022
Jake Taylor,jake-taylor-2,/cfb/players/jake-taylor-2.html,SO,TE,,Duke,2022
Jack Burns,jack-burns-1,/cfb/players/jack-burns-1.html,SR,OL,,Duke,2022
Ron Carr,ron-carr-1,/cfb/players/ron-carr-1.html,JR,OL,,Duke,2022
Brian Foley,brian-foley-1,/cfb/players/brian-foley-1.html,SR,OL,,Duke,2022
Andre Harris Jr.,andre-harris-jr-1,/cfb/players/andre-harris-jr-1.html,SR,OL,,Duke,2022
Anthony Hinton,anthony-hinton-1,/cfb/players/anthony-hinton-1.html,SR,OL,,Duke,2022
Chance Lytle,chance-lytle-1,/cfb/players/chance-lytle-1.html,SR,OL,,Duke,2022
Maurice McIntyre,maurice-mcintyre-1,/cfb/players/maurice-mcintyre-1.html,SR,OL,,Duke,2022
Jacob Monk,jacob-monk-1,/cfb/players/jacob-monk-1.html,SR,OL,,Duke,2022
Steven Nahmias,steven-nahmias-1,/cfb/players/steven-nahmias-1.html,FR,OL,,Duke,2022
Brian Parker II,brian-parker-ii-1,/cfb/players/brian-parker-ii-1.html,SO,OL,,Duke,2022
Matt Craycraft,matt-craycraft-1,/cfb/players/matt-craycraft-1.html,SO,OL,,Duke,2022
Charlie Ham,charlie-ham-1,/cfb/players/charlie-ham-1.html,SR,K,,Duke,2022
Todd Pelino,todd-pelino-1,/cfb/players/todd-pelino-1.html,SO,K,,Duke,2022
Connor Wood,connor-wood-3,/cfb/players/connor-wood-3.html,SO,K,,Duke,2022
DeWayne Carter,dewayne-carter-2,/cfb/players/dewayne-carter-2.html,SR,DL,,Duke,2022
Ahmad Craig,ahmad-craig-1,/cfb/players/ahmad-craig-1.html,JR,DL,,Duke,2022
Michael Larbie Jr.,michael-larbie-jr-1,/cfb/players/michael-larbie-jr-1.html,SR,DL,,Duke,2022
Anthony Nelson Jr.,anthony-nelson-jr-1,/cfb/players/anthony-nelson-jr-1.html,SR,DL,,Duke,2022
R.J. Oben,rj-oben-1,/cfb/players/rj-oben-1.html,SR,DL,,Duke,2022
Cam Dillon,cam-dillon-1,/cfb/players/cam-dillon-1.html,SR,LB,,Duke,2022
Tre Freeman,tre-freeman-1,/cfb/players/tre-freeman-1.html,JR,LB,,Duke,2022
Jeremiah Hasley,jeremiah-hasley-1,/cfb/players/jeremiah-hasley-1.html,SO,LB,,Duke,2022
Shaka Heyward,shaka-heyward-1,/cfb/players/shaka-heyward-1.html,SR,LB,,Duke,2022
Jason Hoffman,jason-hoffman-1,/cfb/players/jason-hoffman-1.html,SO,LB,,Duke,2022
Dorian Mausi,dorian-mausi-1,/cfb/players/dorian-mausi-1.html,SR,LB,,Duke,2022
Nick Morris Jr.,nick-morris-jr-1,/cfb/players/nick-morris-jr-1.html,JR,LB,,Duke,2022
Rocky Shelton II,rocky-shelton-ii-2,/cfb/players/rocky-shelton-ii-2.html,SO,LB,,Duke,2022
Ryan Smith,ryan-smith-14,/cfb/players/ryan-smith-14.html,SR,LB,,Duke,2022
Sayyid Stevens,sayyid-stevens-1,/cfb/players/sayyid-stevens-1.html,JR,LB,,Duke,2022
Memorable Factor,memorable-factor-1,/cfb/players/memorable-factor-1.html,SO,LB,,Duke,2022
Carter Wyatt,carter-wyatt-1,/cfb/players/carter-wyatt-1.html,SO,LB,,Duke,2022
Tony Davis,tony-davis-9,/cfb/players/tony-davis-9.html,JR,DB,,Duke,2022
Darius Joiner,darius-joiner-2,/cfb/players/darius-joiner-2.html,SR,DB,,Duke,2022
Kenzy Paul,kenzy-paul-1,/cfb/players/kenzy-paul-1.html,SO,DB,,Duke,2022
