Player,Player_ID,Player_Link,class,pos,summary,School,Year
Noah Kim,noah-kim-1,/cfb/players/noah-kim-1.html,SR,QB,"247 Cmp, 402 Att, 2817 Yds, 18 TD",Eastern Michigan,2025
Bryce Button,bryce-button-1,/cfb/players/bryce-button-1.html,FR,QB,,Eastern Michigan,2025
Cameron Edge,cameron-edge-1,/cfb/players/cameron-edge-1.html,JR,QB,,Eastern Michigan,2025
Jackson Holt,jackson-holt-1,/cfb/players/jackson-holt-1.html,SR,QB,,Eastern Michigan,2025
Jermiah Salem,jermiah-salem-1,/cfb/players/jermiah-salem-1.html,SR,QB,,Eastern Michigan,2025
Jace Stuckey,jace-stuckey-1,/cfb/players/jace-stuckey-1.html,FR,QB,,Eastern Michigan,2025
Dontae McMillan,dontae-mcmillan-1,/cfb/players/dontae-mcmillan-1.html,SR,RB,"177 Att, 1014 Yds, 5.7 Avg",Eastern Michigan,2025
Tavierre Dunlap,tavierre-dunlap-1,/cfb/players/tavierre-dunlap-1.html,SR,RB,"106 Att, 428 Yds, 4.0 Avg",Eastern Michigan,2025
Joey Mattord,joey-mattord-1,/cfb/players/joey-mattord-1.html,JR,RB,"6 Att, 48 Yds, 8.0 Avg",Eastern Michigan,2025
James Jointer,james-jointer-1,/cfb/players/james-jointer-1.html,SR,RB,"5 Att, 8 Yds, 1.6 Avg",Eastern Michigan,2025
Amareon Blue,amareon-blue-1,/cfb/players/amareon-blue-1.html,FR,RB,,Eastern Michigan,2025
Jayvin Norman,jayvin-norman-1,/cfb/players/jayvin-norman-1.html,FR,RB,,Eastern Michigan,2025
JT Bronaugh,jt-bronaugh-1,/cfb/players/jt-bronaugh-1.html,FR,RB,,Eastern Michigan,2025
Terry Lockett Jr.,terry-lockett-jr-1,/cfb/players/terry-lockett-jr-1.html,SR,WR,"19 Rec, 263 Yds, 13.8 Avg",Eastern Michigan,2025
Benson Prosper,benson-prosper-1,/cfb/players/benson-prosper-1.html,SR,WR,"21 Rec, 177 Yds, 8.4 Avg",Eastern Michigan,2025
Harold Mack,harold-mack-1,/cfb/players/harold-mack-1.html,FR,WR,"20 Rec, 333 Yds, 16.7 Avg",Eastern Michigan,2025
Nick Devereaux,nick-devereaux-1,/cfb/players/nick-devereaux-1.html,SR,WR,"34 Rec, 510 Yds, 15.0 Avg",Eastern Michigan,2025
Porter Rooks,porter-rooks-1,/cfb/players/porter-rooks-1.html,SR,WR,"27 Rec, 221 Yds, 8.2 Avg",Eastern Michigan,2025
Jamarien Wheeler,jamarien-wheeler-1,/cfb/players/jamarien-wheeler-1.html,SR,WR,"23 Rec, 301 Yds, 13.1 Avg",Eastern Michigan,2025
Antonio Floyd,antonio-floyd-1,/cfb/players/antonio-floyd-1.html,FR,WR,"1 Rec, 6 Yds, 6.0 Avg",Eastern Michigan,2025
Mekhi Fox,mekhi-fox-1,/cfb/players/mekhi-fox-1.html,JR,WR,"1 Rec, 51 Yds, 51.0 Avg",Eastern Michigan,2025
Zyell Griffin,zyell-griffin-1,/cfb/players/zyell-griffin-1.html,SR,WR,,Eastern Michigan,2025
Tyree Lockett,tyree-lockett-1,/cfb/players/tyree-lockett-1.html,JR,WR,,Eastern Michigan,2025
Elijah Holmes-Holt,elijah-holmes-holt-1,/cfb/players/elijah-holmes-holt-1.html,SO,WR,,Eastern Michigan,2025
Santonyo Isaac,santonyo-isaac-1,/cfb/players/santonyo-isaac-1.html,FR,WR,,Eastern Michigan,2025
Nathan Lyman,nathan-lyman-1,/cfb/players/nathan-lyman-1.html,FR,WR,,Eastern Michigan,2025
Dalin Wilkins,dalin-wilkins-1,/cfb/players/dalin-wilkins-1.html,FR,WR,,Eastern Michigan,2025
CJ Wilson,cj-wilson-6,/cfb/players/cj-wilson-6.html,SO,WR,,Eastern Michigan,2025
Joshua Long,joshua-long-1,/cfb/players/joshua-long-1.html,SO,TE,"37 Rec, 357 Yds, 9.6 Avg",Eastern Michigan,2025
Tanner Lemaster,tanner-lemaster-1,/cfb/players/tanner-lemaster-1.html,JR,TE,"5 Rec, 69 Yds, 13.8 Avg",Eastern Michigan,2025
Nick Harris,nick-harris-4,/cfb/players/nick-harris-4.html,SR,TE,"1 Rec, 12 Yds, 12.0 Avg",Eastern Michigan,2025
Caden Vanderbush,caden-vanderbush-1,/cfb/players/caden-vanderbush-1.html,FR,TE,,Eastern Michigan,2025
Braden Laux,braden-laux-1,/cfb/players/braden-laux-1.html,FR,TE,,Eastern Michigan,2025
Joshua Anderson,joshua-anderson-1,/cfb/players/joshua-anderson-1.html,SR,OL,,Eastern Michigan,2025
Dodji Dahoue,dodji-dahoue-1,/cfb/players/dodji-dahoue-1.html,SR,OL,,Eastern Michigan,2025
Nicholas Gallegos,nicholas-gallegos-1,/cfb/players/nicholas-gallegos-1.html,JR,OL,,Eastern Michigan,2025
Mack Indestad,mack-indestad-1,/cfb/players/mack-indestad-1.html,JR,OL,,Eastern Michigan,2025
Mickey Rewolinski,mickey-rewolinski-1,/cfb/players/mickey-rewolinski-1.html,SR,OL,,Eastern Michigan,2025
Terrance Saunders,terrance-saunders-1,/cfb/players/terrance-saunders-1.html,JR,OL,,Eastern Michigan,2025
Everett Small,everett-small-1,/cfb/players/everett-small-1.html,FR,OL,,Eastern Michigan,2025
Owen Snively,owen-snively-1,/cfb/players/owen-snively-1.html,SR,OL,,Eastern Michigan,2025
Dennis Strey,dennis-strey-1,/cfb/players/dennis-strey-1.html,SR,OL,,Eastern Michigan,2025
Spencer Webb,spencer-webb-2,/cfb/players/spencer-webb-2.html,JR,OL,,Eastern Michigan,2025
Adham Abouraya,adham-abouraya-1,/cfb/players/adham-abouraya-1.html,FR,OL,,Eastern Michigan,2025
Gabriel Arnold,gabriel-arnold-1,/cfb/players/gabriel-arnold-1.html,FR,OL,,Eastern Michigan,2025
Chris Mayo,chris-mayo-1,/cfb/players/chris-mayo-1.html,SR,OL,,Eastern Michigan,2025
Cole Powell,cole-powell-1,/cfb/players/cole-powell-1.html,FR,OL,,Eastern Michigan,2025
