Player,Player_ID,Player_Link,class,pos,summary,School,Year
Max Bortenschlager,max-bortenschlager-1,/cfb/players/max-bortenschlager-1.html,SR,QB,"178 Cmp, 342 Att, 2935 Yds, 19 TD",Florida International,2021
Grayson James,grayson-james-1,/cfb/players/grayson-james-1.html,FR,QB,"18 Cmp, 27 Att, 162 Yds, 1 TD",Florida International,2021
Kaylan Wiggins,kaylan-wiggins-1,/cfb/players/kaylan-wiggins-1.html,JR,QB,"4 Cmp, 7 Att, 52 Yds, 0 TD",Florida International,2021
Haden Carlson,haden-carlson-1,/cfb/players/haden-carlson-1.html,FR,QB,,Florida International,2021
Isaiah Velez,isaiah-velez-1,/cfb/players/isaiah-velez-1.html,FR,QB,,Florida International,2021
D'Vonte Price,dvonte-price-1,/cfb/players/dvonte-price-1.html,SR,RB,"129 Att, 682 Yds, 5.3 Avg",Florida International,2021
Shaun Peterson Jr.,shaun-peterson-jr-1,/cfb/players/shaun-peterson-jr-1.html,SO,RB,"58 Att, 217 Yds, 3.7 Avg",Florida International,2021
Lexington Joseph,lexington-joseph-1,/cfb/players/lexington-joseph-1.html,SO,RB,"57 Att, 273 Yds, 4.8 Avg",Florida International,2021
Eric Wilson Jr.,eric-wilson-jr-1,/cfb/players/eric-wilson-jr-1.html,FR,RB,"42 Att, 239 Yds, 5.7 Avg",Florida International,2021
Maleek Williams,maleek-williams-1,/cfb/players/maleek-williams-1.html,JR,RB,"13 Att, 64 Yds, 4.9 Avg",Florida International,2021
Kejon Owens,kejon-owens-1,/cfb/players/kejon-owens-1.html,FR,RB,"1 Rec, 4 Yds, 4.0 Avg",Florida International,2021
Katravis Geter,katravis-geter-1,/cfb/players/katravis-geter-1.html,FR,RB,,Florida International,2021
Nate Jefferson,nate-jefferson-1,/cfb/players/nate-jefferson-1.html,FR,WR,"5 Rec, 33 Yds, 6.6 Avg",Florida International,2021
Bryce Singleton,bryce-singleton-1,/cfb/players/bryce-singleton-1.html,JR,WR,"46 Rec, 847 Yds, 18.4 Avg",Florida International,2021
Tyrese Chambers,tyrese-chambers-1,/cfb/players/tyrese-chambers-1.html,SO,WR,"45 Rec, 1074 Yds, 23.9 Avg",Florida International,2021
Randall St. Felix,randall-st-felix-1,/cfb/players/randall-st-felix-1.html,JR,WR,"20 Rec, 273 Yds, 13.7 Avg",Florida International,2021
Kris Mitchell,kris-mitchell-1,/cfb/players/kris-mitchell-1.html,FR,WR,"9 Rec, 158 Yds, 17.6 Avg",Florida International,2021
Shermar Thornton,shermar-thornton-1,/cfb/players/shermar-thornton-1.html,SR,WR,"5 Rec, 27 Yds, 5.4 Avg",Florida International,2021
Carson Kaleo,carson-kaleo-1,/cfb/players/carson-kaleo-1.html,JR,WR,"4 Rec, 25 Yds, 6.3 Avg",Florida International,2021
Caleb Lynum,caleb-lynum-1,/cfb/players/caleb-lynum-1.html,SO,WR,"4 Rec, 38 Yds, 9.5 Avg",Florida International,2021
Dean Patterson,dean-patterson-1,/cfb/players/dean-patterson-1.html,FR,WR,"3 Rec, 34 Yds, 11.3 Avg",Florida International,2021
Artez Hooker,artez-hooker-1,/cfb/players/artez-hooker-1.html,FR,WR,"1 Rec, 4 Yds, 4.0 Avg",Florida International,2021
Jay Barry Jr.,jay-barry-jr-1,/cfb/players/jay-barry-jr-1.html,FR,WR,,Florida International,2021
Ross Fournet,ross-fournet-1,/cfb/players/ross-fournet-1.html,FR,WR,,Florida International,2021
Josh Guilford,josh-guilford-1,/cfb/players/josh-guilford-1.html,FR,WR,,Florida International,2021
Guy McCarthy,guy-mccarthy-1,/cfb/players/guy-mccarthy-1.html,FR,WR,,Florida International,2021
Cameron Overton,cameron-overton-1,/cfb/players/cameron-overton-1.html,FR,WR,,Florida International,2021
Kahlil Overton,kahlil-overton-1,/cfb/players/kahlil-overton-1.html,FR,WR,,Florida International,2021
Teddy Richardson,teddy-richardson-1,/cfb/players/teddy-richardson-1.html,FR,WR,,Florida International,2021
Jordan Underwood,jordan-underwood-1,/cfb/players/jordan-underwood-1.html,SO,WR,,Florida International,2021
Rivaldo Fairweather,rivaldo-fairweather-1,/cfb/players/rivaldo-fairweather-1.html,FR,TE,"16 Rec, 247 Yds, 15.4 Avg",Florida International,2021
Sterling Palmer,sterling-palmer-1,/cfb/players/sterling-palmer-1.html,JR,TE,"7 Rec, 99 Yds, 14.1 Avg",Florida International,2021
Jackson McDonald,jackson-mcdonald-1,/cfb/players/jackson-mcdonald-1.html,FR,TE,"3 Rec, 23 Yds, 7.7 Avg",Florida International,2021
Kamareon Williams,kamareon-williams-1,/cfb/players/kamareon-williams-1.html,SO,TE,"2 Rec, 9 Yds, 4.5 Avg",Florida International,2021
Joe Hocker,joe-hocker-1,/cfb/players/joe-hocker-1.html,FR,TE,,Florida International,2021
David O'Meara,david-omeara-1,/cfb/players/david-omeara-1.html,JR,TE,,Florida International,2021
Daniel Pilgrim,daniel-pilgrim-1,/cfb/players/daniel-pilgrim-1.html,FR,TE,,Florida International,2021
Api Mane,api-mane-1,/cfb/players/api-mane-1.html,,OL,,Florida International,2021
Trevor Arnett,trevor-arnett-1,/cfb/players/trevor-arnett-1.html,FR,OL,,Florida International,2021
Rey Burnett,rey-burnett-1,/cfb/players/rey-burnett-1.html,SO,OL,,Florida International,2021
Sione Finau,sione-finau-2,/cfb/players/sione-finau-2.html,SO,OL,,Florida International,2021
Miles Frazier,miles-frazier-1,/cfb/players/miles-frazier-1.html,FR,OL,,Florida International,2021
J.D. Gomez,jd-gomez-1,/cfb/players/jd-gomez-1.html,JR,OL,,Florida International,2021
Logan Gunderson,logan-gunderson-1,/cfb/players/logan-gunderson-1.html,JR,OL,,Florida International,2021
Shamar Hobdy-Lee,shamar-hobdy-lee-1,/cfb/players/shamar-hobdy-lee-1.html,FR,OL,,Florida International,2021
Lyndell Hudson Jr.,lyndell-hudson-jr-1,/cfb/players/lyndell-hudson-jr-1.html,SO,OL,,Florida International,2021
Dontae Keys,dontae-keys-1,/cfb/players/dontae-keys-1.html,SR,OL,,Florida International,2021
Wyatt Lawson,wyatt-lawson-1,/cfb/players/wyatt-lawson-1.html,FR,OL,,Florida International,2021
Julius Pierce,julius-pierce-1,/cfb/players/julius-pierce-1.html,FR,OL,,Florida International,2021
Kristoff Pollas,kristoff-pollas-1,/cfb/players/kristoff-pollas-1.html,FR,OL,,Florida International,2021
Noah Quier,noah-quier-1,/cfb/players/noah-quier-1.html,FR,OL,,Florida International,2021
Jahmari Sylvester,jahmari-sylvester-1,/cfb/players/jahmari-sylvester-1.html,FR,OL,,Florida International,2021
Chase Gabriel,chase-gabriel-1,/cfb/players/chase-gabriel-1.html,FR,K,,Florida International,2021
Matthew Enriquez,matthew-enriquez-1,/cfb/players/matthew-enriquez-1.html,FR,K,,Florida International,2021
Lucas Matias,lucas-matias-1,/cfb/players/lucas-matias-1.html,SO,K,,Florida International,2021
Daton Montiel,daton-montiel-1,/cfb/players/daton-montiel-1.html,FR,K,,Florida International,2021
Savion Collins,savion-collins-1,/cfb/players/savion-collins-1.html,FR,DL,,Florida International,2021
