Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jake Fromm,jake-fromm-1,/cfb/players/jake-fromm-1.html,JR,QB,"234 Cmp, 385 Att, 2860 Yds, 24 TD",Georgia,2019
Stetson Bennett,stetson-bennett-1,/cfb/players/stetson-bennett-1.html,SO,QB,"20 Cmp, 27 Att, 260 Yds, 2 TD",Georgia,2019
Nathan Priestley,nathan-priestley-1,/cfb/players/nathan-priestley-1.html,FR,QB,"1 Cmp, 2 Att, 2 Yds, 0 TD",Georgia,2019
D'Wan Mathis,dwan-mathis-1,/cfb/players/dwan-mathis-1.html,FR,QB,,Georgia,2019
John Setter,john-setter-1,/cfb/players/john-setter-1.html,SO,QB,,Georgia,2019
Jes Sutherland,jes-sutherland-1,/cfb/players/jes-sutherland-1.html,SO,QB,,Georgia,2019
D'Andre Swift,dandre-swift-1,/cfb/players/dandre-swift-1.html,JR,RB,"196 Att, 1218 Yds, 6.2 Avg",Georgia,2019
Brian Herrien,brian-herrien-1,/cfb/players/brian-herrien-1.html,SR,RB,"103 Att, 490 Yds, 4.8 Avg",Georgia,2019
Zamir White,zamir-white-1,/cfb/players/zamir-white-1.html,FR,RB,"78 Att, 408 Yds, 5.2 Avg",Georgia,2019
James Cook,james-cook-2,/cfb/players/james-cook-2.html,SO,RB,"31 Att, 188 Yds, 6.1 Avg",Georgia,2019
Kenny McIntosh,kenny-mcintosh-1,/cfb/players/kenny-mcintosh-1.html,FR,RB,"25 Att, 174 Yds, 7.0 Avg",Georgia,2019
Sevaughn Clark,sevaughn-clark-1,/cfb/players/sevaughn-clark-1.html,FR,RB,"6 Att, 19 Yds, 3.2 Avg",Georgia,2019
Prather Hudson,prather-hudson-1,/cfb/players/prather-hudson-1.html,JR,RB,,Georgia,2019
Ian Donald-McIntyre,ian-donald-mcintyre-1,/cfb/players/ian-donald-mcintyre-1.html,JR,RB,,Georgia,2019
Darius Jackson,darius-jackson-2,/cfb/players/darius-jackson-2.html,SO,RB,,Georgia,2019
Garrett Jones,garrett-jones-1,/cfb/players/garrett-jones-1.html,FR,RB,,Georgia,2019
KJ McCoy,kj-mccoy-1,/cfb/players/kj-mccoy-1.html,FR,RB,,Georgia,2019
Anthony Summey,anthony-summey-1,/cfb/players/anthony-summey-1.html,FR,RB,,Georgia,2019
Tyler Simmons,tyler-simmons-2,/cfb/players/tyler-simmons-2.html,SR,WR,"21 Rec, 255 Yds, 12.1 Avg",Georgia,2019
Demetris Robertson,demetris-robertson-1,/cfb/players/demetris-robertson-1.html,JR,WR,"30 Rec, 333 Yds, 11.1 Avg",Georgia,2019
Kearis Jackson,kearis-jackson-1,/cfb/players/kearis-jackson-1.html,FR,WR,"5 Rec, 79 Yds, 15.8 Avg",Georgia,2019
Matt Landers,matt-landers-1,/cfb/players/matt-landers-1.html,SO,WR,"10 Rec, 105 Yds, 10.5 Avg",Georgia,2019
