Player,Player_ID,Player_Link,class,pos,summary,School,Year
Justin Thomas,justin-thomas-3,/cfb/players/justin-thomas-3.html,JR,QB,"75 Cmp, 180 Att, 1339 Yds, 13 TD",Georgia Tech,2015
Matthew Jordan,matthew-jordan-1,/cfb/players/matthew-jordan-1.html,FR,QB,"5 Cmp, 9 Att, 94 Yds, 1 TD",Georgia Tech,2015
Tim Byerly,tim-byerly-1,/cfb/players/tim-byerly-1.html,SR,QB,"1 Cmp, 1 Att, 23 Yds, 0 TD",Georgia Tech,2015
Christian Campbell,christian-campbell-2,/cfb/players/christian-campbell-2.html,FR,QB,,Georgia Tech,2015
Chase Martenson,chase-martenson-1,/cfb/players/chase-martenson-1.html,SO,QB,,Georgia Tech,2015
Marcus Marshall,marcus-marshall-1,/cfb/players/marcus-marshall-1.html,FR,RB,"85 Att, 649 Yds, 7.6 Avg",Georgia Tech,2015
Clinton Lynch,clinton-lynch-2,/cfb/players/clinton-lynch-2.html,FR,RB,"48 Att, 457 Yds, 9.5 Avg",Georgia Tech,2015
Isiah Willis,isiah-willis-1,/cfb/players/isiah-willis-1.html,JR,RB,"32 Att, 169 Yds, 5.3 Avg",Georgia Tech,2015
Mikell Lands-Davis,mikell-lands-davis-1,/cfb/players/mikell-lands-davis-1.html,FR,RB,"19 Att, 51 Yds, 2.7 Avg",Georgia Tech,2015
Qua Searcy,qua-searcy-1,/cfb/players/qua-searcy-1.html,FR,RB,"13 Att, 76 Yds, 5.8 Avg",Georgia Tech,2015
TaQuon Marshall,taquon-marshall-1,/cfb/players/taquon-marshall-1.html,FR,RB,"8 Att, 58 Yds, 7.3 Avg",Georgia Tech,2015
Ryan Braswell,ryan-braswell-1,/cfb/players/ryan-braswell-1.html,SO,RB,"4 Att, 6 Yds, 1.5 Avg",Georgia Tech,2015
Austin McClellan,austin-mcclellan-1,/cfb/players/austin-mcclellan-1.html,JR,RB,"3 Att, 26 Yds, 8.7 Avg",Georgia Tech,2015
Roberto Hinojosa,roberto-hinojosa-1,/cfb/players/roberto-hinojosa-1.html,SR,RB,"1 Att, -3 Yds, -3.0 Avg",Georgia Tech,2015
Nate Cottrell,nate-cottrell-1,/cfb/players/nate-cottrell-1.html,FR,RB,,Georgia Tech,2015
J.J. Green,jj-green-1,/cfb/players/jj-green-1.html,JR,RB,,Georgia Tech,2015
Omahri Jarrett,omahri-jarrett-1,/cfb/players/omahri-jarrett-1.html,FR,RB,,Georgia Tech,2015
C.J. Leggett,cj-leggett-1,/cfb/players/cj-leggett-1.html,FR,RB,,Georgia Tech,2015
Denis Onwualu,denis-onwualu-1,/cfb/players/denis-onwualu-1.html,SR,RB,,Georgia Tech,2015
Chris Turner,chris-turner-3,/cfb/players/chris-turner-3.html,FR,RB,,Georgia Tech,2015
Brad Stewart,brad-stewart-2,/cfb/players/brad-stewart-2.html,FR,WR,"7 Rec, 93 Yds, 13.3 Avg",Georgia Tech,2015
Ricky Jeune,ricky-jeune-1,/cfb/players/ricky-jeune-1.html,SO,WR,"24 Rec, 520 Yds, 21.7 Avg",Georgia Tech,2015
Micheal Summers,micheal-summers-1,/cfb/players/micheal-summers-1.html,JR,WR,"12 Rec, 178 Yds, 14.8 Avg",Georgia Tech,2015
Antonio Messick,antonio-messick-1,/cfb/players/antonio-messick-1.html,SO,WR,,Georgia Tech,2015
Bennett Barton,bennett-barton-1,/cfb/players/bennett-barton-1.html,SO,WR,,Georgia Tech,2015
Harland Howell,harland-howell-1,/cfb/players/harland-howell-1.html,FR,WR,,Georgia Tech,2015
Brandon Oliver,brandon-oliver-1,/cfb/players/brandon-oliver-1.html,SR,WR,,Georgia Tech,2015
Christian Philpott,christian-philpott-1,/cfb/players/christian-philpott-1.html,FR,WR,,Georgia Tech,2015
Jalen Saunders,jalen-saunders-2,/cfb/players/jalen-saunders-2.html,SO,WR,,Georgia Tech,2015
Dorian Walker,dorian-walker-1,/cfb/players/dorian-walker-1.html,FR,WR,,Georgia Tech,2015
Trey Braun,trey-braun-1,/cfb/players/trey-braun-1.html,SR,OL,,Georgia Tech,2015
Shamire Devine,shamire-devine-1,/cfb/players/shamire-devine-1.html,SO,OL,,Georgia Tech,2015
Chris Griffin,chris-griffin-2,/cfb/players/chris-griffin-2.html,SO,OL,,Georgia Tech,2015
Cheyenne Hunt,cheyenne-hunt-1,/cfb/players/cheyenne-hunt-1.html,FR,OL,,Georgia Tech,2015
Errin Joe,errin-joe-1,/cfb/players/errin-joe-1.html,SR,OL,,Georgia Tech,2015
Mitchell Williams,mitchell-williams-1,/cfb/players/mitchell-williams-1.html,SO,OL,,Georgia Tech,2015
Niko Anderson,niko-anderson-1,/cfb/players/niko-anderson-1.html,SO,OL,,Georgia Tech,2015
Davis Beard,davis-beard-1,/cfb/players/davis-beard-1.html,FR,OL,,Georgia Tech,2015
Gary Brown,gary-brown-7,/cfb/players/gary-brown-7.html,FR,OL,,Georgia Tech,2015
Will Bryan,will-bryan-1,/cfb/players/will-bryan-1.html,FR,OL,,Georgia Tech,2015
Freddie Burden,freddie-burden-1,/cfb/players/freddie-burden-1.html,JR,OL,,Georgia Tech,2015
Bryan Chamberlain,bryan-chamberlain-2,/cfb/players/bryan-chamberlain-2.html,SR,OL,,Georgia Tech,2015
Eason Fromayan,eason-fromayan-1,/cfb/players/eason-fromayan-1.html,SO,OL,,Georgia Tech,2015
Bailey Ivemeyer,bailey-ivemeyer-1,/cfb/players/bailey-ivemeyer-1.html,FR,OL,,Georgia Tech,2015
Trey Klock,trey-klock-1,/cfb/players/trey-klock-1.html,FR,OL,,Georgia Tech,2015
Andrew Marshall,andrew-marshall-2,/cfb/players/andrew-marshall-2.html,SO,OL,,Georgia Tech,2015
Caleb Martinez,caleb-martinez-1,/cfb/players/caleb-martinez-1.html,FR,OL,,Georgia Tech,2015
Brad Morgan,brad-morgan-1,/cfb/players/brad-morgan-1.html,FR,OL,,Georgia Tech,2015
Michael Muns,michael-muns-1,/cfb/players/michael-muns-1.html,JR,OL,,Georgia Tech,2015
Matt Pruitt,matt-pruitt-1,/cfb/players/matt-pruitt-1.html,FR,OL,,Georgia Tech,2015
Tim Seager,tim-seager-1,/cfb/players/tim-seager-1.html,SR,OL,,Georgia Tech,2015
Trey Smith,trey-smith-3,/cfb/players/trey-smith-3.html,SO,OL,,Georgia Tech,2015
Jake Stickler,jake-stickler-2,/cfb/players/jake-stickler-2.html,FR,OL,,Georgia Tech,2015
Jake Whitley,jake-whitley-1,/cfb/players/jake-whitley-1.html,FR,OL,,Georgia Tech,2015
Harrison Butker,harrison-butker-1,/cfb/players/harrison-butker-1.html,JR,K,,Georgia Tech,2015
Shawn Davis,shawn-davis-2,/cfb/players/shawn-davis-2.html,FR,K,,Georgia Tech,2015
Kyle Cerge-Henderson,kyle-cerge-henderson-1,/cfb/players/kyle-cerge-henderson-1.html,FR,DL,,Georgia Tech,2015
Patrick Gamble,patrick-gamble-1,/cfb/players/patrick-gamble-1.html,JR,DL,,Georgia Tech,2015
Adam Gotsis,adam-gotsis-1,/cfb/players/adam-gotsis-1.html,SR,DL,,Georgia Tech,2015
Jabari Hunt-Days,jabari-hunt-days-1,/cfb/players/jabari-hunt-days-1.html,SR,DL,,Georgia Tech,2015
Francis Kallon,francis-kallon-1,/cfb/players/francis-kallon-1.html,JR,DL,,Georgia Tech,2015
Anree Saint-Amour,anree-saint-amour-1,/cfb/players/anree-saint-amour-1.html,FR,DL,,Georgia Tech,2015
Antonio Simmons,antonio-simmons-1,/cfb/players/antonio-simmons-1.html,SO,DL,,Georgia Tech,2015
Brentavious Glanton,brentavious-glanton-1,/cfb/players/brentavious-glanton-1.html,FR,DL,,Georgia Tech,2015
Scott Morgan,scott-morgan-2,/cfb/players/scott-morgan-2.html,FR,DL,,Georgia Tech,2015
Trent Sellers,trent-sellers-1,/cfb/players/trent-sellers-1.html,FR,DL,,Georgia Tech,2015
Nick Williams,nick-williams-6,/cfb/players/nick-williams-6.html,FR,DL,,Georgia Tech,2015
Chase Alford,chase-alford-1,/cfb/players/chase-alford-1.html,JR,LB,,Georgia Tech,2015
Victor Alexander,victor-alexander-1,/cfb/players/victor-alexander-1.html,FR,LB,,Georgia Tech,2015
P.J. Davis,pj-davis-1,/cfb/players/pj-davis-1.html,JR,LB,,Georgia Tech,2015
Beau Hankins,beau-hankins-1,/cfb/players/beau-hankins-1.html,JR,LB,,Georgia Tech,2015
Tre' Jackson,tre-jackson-2,/cfb/players/tre-jackson-2.html,FR,LB,,Georgia Tech,2015
Terrell Lewis,terrell-lewis-1,/cfb/players/terrell-lewis-1.html,SO,LB,,Georgia Tech,2015
Tyler Marcordes,tyler-marcordes-1,/cfb/players/tyler-marcordes-1.html,SR,LB,,Georgia Tech,2015
Brant Mitchell,brant-mitchell-1,/cfb/players/brant-mitchell-1.html,FR,LB,,Georgia Tech,2015
Domonique Noble,domonique-noble-1,/cfb/players/domonique-noble-1.html,SR,LB,,Georgia Tech,2015
Austin Cain,austin-cain-1,/cfb/players/austin-cain-1.html,FR,LB,,Georgia Tech,2015
Tyler Cooksey,tyler-cooksey-1,/cfb/players/tyler-cooksey-1.html,FR,LB,,Georgia Tech,2015
David Curry,david-curry-1,/cfb/players/david-curry-1.html,FR,LB,,Georgia Tech,2015
Chris Dandaneau,chris-dandaneau-1,/cfb/players/chris-dandaneau-1.html,FR,LB,,Georgia Tech,2015
Zach Matthews,zach-matthews-1,/cfb/players/zach-matthews-1.html,SO,LB,,Georgia Tech,2015
Rusty Scott,rusty-scott-1,/cfb/players/rusty-scott-1.html,SR,LB,,Georgia Tech,2015
Lynn Griffin,lynn-griffin-1,/cfb/players/lynn-griffin-1.html,JR,DB,,Georgia Tech,2015
Lance Austin,lance-austin-1,/cfb/players/lance-austin-1.html,SO,DB,,Georgia Tech,2015
Lawrence Austin,lawrence-austin-1,/cfb/players/lawrence-austin-1.html,SO,DB,,Georgia Tech,2015
Step Durham,step-durham-1,/cfb/players/step-durham-1.html,SO,DB,,Georgia Tech,2015
Jamal Golden,jamal-golden-1,/cfb/players/jamal-golden-1.html,SR,DB,,Georgia Tech,2015
A.J. Gray,aj-gray-1,/cfb/players/aj-gray-1.html,FR,DB,,Georgia Tech,2015
Corey Griffin,corey-griffin-1,/cfb/players/corey-griffin-1.html,SO,DB,,Georgia Tech,2015
Shaun Kagawa,shaun-kagawa-1,/cfb/players/shaun-kagawa-1.html,SO,DB,,Georgia Tech,2015
Chris Milton,chris-milton-1,/cfb/players/chris-milton-1.html,SR,DB,,Georgia Tech,2015
Demond Smith,demond-smith-1,/cfb/players/demond-smith-1.html,SR,DB,,Georgia Tech,2015
D.J. White,dj-white-1,/cfb/players/dj-white-1.html,SR,DB,,Georgia Tech,2015
Zach Allen,zach-allen-3,/cfb/players/zach-allen-3.html,JR,DB,,Georgia Tech,2015
Melvin Davis,melvin-davis-1,/cfb/players/melvin-davis-1.html,SO,DB,,Georgia Tech,2015
Meiko Dotson,meiko-dotson-1,/cfb/players/meiko-dotson-1.html,FR,DB,,Georgia Tech,2015
Jalen Johnson,jalen-johnson-2,/cfb/players/jalen-johnson-2.html,FR,DB,,Georgia Tech,2015
John Marvin,john-marvin-1,/cfb/players/john-marvin-1.html,SO,DB,,Georgia Tech,2015
Josh Selembo,josh-selembo-1,/cfb/players/josh-selembo-1.html,SO,DB,,Georgia Tech,2015
Lamont Simmons,lamont-simmons-1,/cfb/players/lamont-simmons-1.html,FR,DB,,Georgia Tech,2015
Tyler Teknipp,tyler-teknipp-1,/cfb/players/tyler-teknipp-1.html,JR,DB,,Georgia Tech,2015
Dante Wigley,dante-wigley-1,/cfb/players/dante-wigley-1.html,FR,DB,,Georgia Tech,2015
Ryan Rodwell,ryan-rodwell-1,/cfb/players/ryan-rodwell-1.html,JR,P,,Georgia Tech,2015
Grant Aasen,grant-aasen-1,/cfb/players/grant-aasen-1.html,JR,P,,Georgia Tech,2015
Patrick Skov,patrick-skov-1,/cfb/players/patrick-skov-1.html,SR,FB,,Georgia Tech,2015
Marcus Allen,marcus-allen-4,/cfb/players/marcus-allen-4.html,JR,FB,,Georgia Tech,2015
Broderick Snoddy,broderick-snoddy-1,/cfb/players/broderick-snoddy-1.html,SR,FB,,Georgia Tech,2015
Brady Swilling,brady-swilling-1,/cfb/players/brady-swilling-1.html,SO,FB,,Georgia Tech,2015
Keshun Freeman,keshun-freeman-1,/cfb/players/keshun-freeman-1.html,SO,DE,,Georgia Tech,2015
Roderick Rook-Chungong,roderick-rook-chungong-1,/cfb/players/roderick-rook-chungong-1.html,JR,DE,,Georgia Tech,2015
Tyler Stargel,tyler-stargel-1,/cfb/players/tyler-stargel-1.html,JR,DE,,Georgia Tech,2015
Sean Tobin,sean-tobin-1,/cfb/players/sean-tobin-1.html,SR,LS,,Georgia Tech,2015
Kenderius Whitehead,kenderius-whitehead-1,/cfb/players/kenderius-whitehead-1.html,JR,DE,,Georgia Tech,2015
Tyler Merriweather,tyler-merriweather-1,/cfb/players/tyler-merriweather-1.html,SO,DE,,Georgia Tech,2015
Trevor Stroebel,trevor-stroebel-1,/cfb/players/trevor-stroebel-1.html,JR,LS,,Georgia Tech,2015
Quaide Weimerskirch,quaide-weimerskirch-1,/cfb/players/quaide-weimerskirch-1.html,FR,FB,,Georgia Tech,2015
Casey Wilson,casey-wilson-2,/cfb/players/casey-wilson-2.html,SO,LS,,Georgia Tech,2015
