Player,Player_ID,Player_Link,class,pos,summary,School,Year
Conner Weigman,conner-weigman-1,/cfb/players/conner-weigman-1.html,JR,QB,"232 Cmp, 356 Att, 2705 Yds, 25 TD",Houston,2025
Zeon Chriss,zeon-chriss-1,/cfb/players/zeon-chriss-1.html,JR,QB,"10 Cmp, 21 Att, 108 Yds, 1 TD",Houston,2025
Austin Carlisle,austin-carlisle-1,/cfb/players/austin-carlisle-1.html,FR,QB,,Houston,2025
Jake Sock,jake-sock-1,/cfb/players/jake-sock-1.html,JR,QB,,Houston,2025
Indiana Wiljay,indiana-wiljay-1,/cfb/players/indiana-wiljay-1.html,SO,QB,,Houston,2025
Dean Connors,dean-connors-1,/cfb/players/dean-connors-1.html,SR,RB,"200 Att, 977 Yds, 4.9 Avg",Houston,2025
DJ Butler,dj-butler-2,/cfb/players/dj-butler-2.html,SO,RB,"68 Att, 301 Yds, 4.4 Avg",Houston,2025
Stacy Sneed,stacy-sneed-1,/cfb/players/stacy-sneed-1.html,SR,RB,"37 Att, 130 Yds, 3.5 Avg",Houston,2025
J'Marion Burnette,jmarion-burnette-1,/cfb/players/jmarion-burnette-1.html,SO,RB,"28 Att, 82 Yds, 2.9 Avg",Houston,2025
Zane Smith,zane-smith-3,/cfb/players/zane-smith-3.html,FR,RB,"2 Att, 12 Yds, 6.0 Avg",Houston,2025
Aaron Davis,aaron-davis-12,/cfb/players/aaron-davis-12.html,FR,RB,,Houston,2025
JayShon Ridgle,jayshon-ridgle-1,/cfb/players/jayshon-ridgle-1.html,SO,RB,,Houston,2025
Steve Polk,steve-polk-1,/cfb/players/steve-polk-1.html,FR,RB,,Houston,2025
Re'Shaun Sanford II,reshaun-sanford-ii-1,/cfb/players/reshaun-sanford-ii-1.html,SO,RB,,Houston,2025
Nehemiah Warmate,nehemiah-warmate-1,/cfb/players/nehemiah-warmate-1.html,FR,RB,,Houston,2025
Amare Thomas,amare-thomas-1,/cfb/players/amare-thomas-1.html,JR,WR,"67 Rec, 966 Yds, 14.4 Avg",Houston,2025
Mekhi Mews,mekhi-mews-1,/cfb/players/mekhi-mews-1.html,SR,WR,"6 Rec, 24 Yds, 4.0 Avg",Houston,2025
Stephon Johnson Jr.,stephon-johnson-jr-1,/cfb/players/stephon-johnson-jr-1.html,SR,WR,"13 Rec, 275 Yds, 21.2 Avg",Houston,2025
Koby Young,koby-young-1,/cfb/players/koby-young-1.html,FR,WR,"12 Rec, 191 Yds, 15.9 Avg",Houston,2025
Harvey Broussard,harvey-broussard-1,/cfb/players/harvey-broussard-1.html,JR,WR,"9 Rec, 126 Yds, 14.0 Avg",Houston,2025
Jaquise Martin,jaquise-martin-1,/cfb/players/jaquise-martin-1.html,FR,WR,"5 Rec, 69 Yds, 13.8 Avg",Houston,2025
Marquis Shoulders,marquis-shoulders-1,/cfb/players/marquis-shoulders-1.html,JR,WR,,Houston,2025
Devan Williams,devan-williams-1,/cfb/players/devan-williams-1.html,JR,WR,,Houston,2025
Dylan Caddle,dylan-caddle-1,/cfb/players/dylan-caddle-1.html,JR,WR,,Houston,2025
Zaylen Cormier,zaylen-cormier-1,/cfb/players/zaylen-cormier-1.html,FR,WR,,Houston,2025
Anthony Gangi,anthony-gangi-1,/cfb/players/anthony-gangi-1.html,SR,WR,,Houston,2025
Dylan Gayton,dylan-gayton-1,/cfb/players/dylan-gayton-1.html,FR,WR,,Houston,2025
Samuel Padgitt,samuel-padgitt-1,/cfb/players/samuel-padgitt-1.html,SO,WR,,Houston,2025
Sahfi Reed,sahfi-reed-1,/cfb/players/sahfi-reed-1.html,SO,WR,,Houston,2025
Jeffrey Strozier Jr.,jeffrey-strozier-jr-1,/cfb/players/jeffrey-strozier-jr-1.html,SO,WR,,Houston,2025
Hunter Teichman,hunter-teichman-1,/cfb/players/hunter-teichman-1.html,SO,WR,,Houston,2025
Tanner Koziol,tanner-koziol-1,/cfb/players/tanner-koziol-1.html,SR,TE,"74 Rec, 727 Yds, 9.8 Avg",Houston,2025
Luke McGary,luke-mcgary-1,/cfb/players/luke-mcgary-1.html,JR,TE,"3 Rec, 13 Yds, 4.3 Avg",Houston,2025
Traville Frederick Jr.,traville-frederick-jr-1,/cfb/players/traville-frederick-jr-1.html,SO,TE,"2 Rec, 3 Yds, 1.5 Avg",Houston,2025
Wyatt Herbel,wyatt-herbel-1,/cfb/players/wyatt-herbel-1.html,FR,TE,,Houston,2025
Kaleb Thomas,kaleb-thomas-1,/cfb/players/kaleb-thomas-1.html,FR,TE,,Houston,2025
Jayden York,jayden-york-1,/cfb/players/jayden-york-1.html,SR,TE,,Houston,2025
Brock Foster,brock-foster-2,/cfb/players/brock-foster-2.html,FR,TE,,Houston,2025
Jacory Thurman,jacory-thurman-1,/cfb/players/jacory-thurman-1.html,FR,TE,,Houston,2025
McKenzie Agnello,mckenzie-agnello-1,/cfb/players/mckenzie-agnello-1.html,JR,OL,,Houston,2025
Cayden Bowie,cayden-bowie-1,/cfb/players/cayden-bowie-1.html,FR,OL,,Houston,2025
Jason Brooks Jr.,jason-brooks-jr-1,/cfb/players/jason-brooks-jr-1.html,SR,OL,,Houston,2025
Larry Crawford,larry-crawford-2,/cfb/players/larry-crawford-2.html,SO,OL,,Houston,2025
Demetris Dean II,demetris-dean-ii-1,/cfb/players/demetris-dean-ii-1.html,FR,OL,,Houston,2025
Alvin Ebosele,alvin-ebosele-1,/cfb/players/alvin-ebosele-1.html,JR,OL,,Houston,2025
Hingano Hautau,hingano-hautau-1,/cfb/players/hingano-hautau-1.html,SR,OL,,Houston,2025
Demetrius Hunter,demetrius-hunter-1,/cfb/players/demetrius-hunter-1.html,JR,OL,,Houston,2025
Derek Joiner,derek-joiner-1,/cfb/players/derek-joiner-1.html,FR,OL,,Houston,2025
Dalton Marryman,dalton-marryman-1,/cfb/players/dalton-marryman-1.html,SR,OL,,Houston,2025
Ronnell McLain,ronnell-mclain-1,/cfb/players/ronnell-mclain-1.html,FR,OL,,Houston,2025
Cedric Melton,cedric-melton-1,/cfb/players/cedric-melton-1.html,SR,OL,,Houston,2025
David Ndukwe,david-ndukwe-1,/cfb/players/david-ndukwe-1.html,SR,OL,,Houston,2025
Matthew Wykoff,matthew-wykoff-1,/cfb/players/matthew-wykoff-1.html,SR,OL,,Houston,2025
Ricardo Cordova,ricardo-cordova-1,/cfb/players/ricardo-cordova-1.html,FR,OL,,Houston,2025
RJ Lee,rj-lee-1,/cfb/players/rj-lee-1.html,FR,OL,,Houston,2025
Sean Terrell,sean-terrell-1,/cfb/players/sean-terrell-1.html,FR,OL,,Houston,2025
Ethan Sanchez,ethan-sanchez-1,/cfb/players/ethan-sanchez-1.html,SR,K,,Houston,2025
Zac Yoakam,zac-yoakam-1,/cfb/players/zac-yoakam-1.html,SR,K,,Houston,2025
Jonathan Dimas,jonathan-dimas-1,/cfb/players/jonathan-dimas-1.html,FR,K,,Houston,2025
