Player,Player_ID,Player_Link,class,pos,summary,School,Year
Peyton Ramsey,peyton-ramsey-1,/cfb/players/peyton-ramsey-1.html,JR,QB,"204 Cmp, 300 Att, 2454 Yds, 13 TD",Indiana,2019
Michael Penix Jr.,michael-penix-jr-1,/cfb/players/michael-penix-jr-1.html,FR,QB,"110 Cmp, 160 Att, 1394 Yds, 10 TD",Indiana,2019
Jack Tuttle,jack-tuttle-1,/cfb/players/jack-tuttle-1.html,FR,QB,"6 Cmp, 11 Att, 34 Yds, 0 TD",Indiana,2019
Grant Gremel,grant-gremel-1,/cfb/players/grant-gremel-1.html,FR,QB,,Indiana,2019
Will Jontz,will-jontz-1,/cfb/players/will-jontz-1.html,FR,QB,,Indiana,2019
Zach Merrill,zach-merrill-1,/cfb/players/zach-merrill-1.html,FR,QB,,Indiana,2019
Stevie Scott,stevie-scott-1,/cfb/players/stevie-scott-1.html,SO,RB,"178 Att, 845 Yds, 4.7 Avg",Indiana,2019
Sampson James,sampson-james-1,/cfb/players/sampson-james-1.html,FR,RB,"81 Att, 275 Yds, 3.4 Avg",Indiana,2019
Ronnie Walker Jr.,ronnie-walker-jr-1,/cfb/players/ronnie-walker-jr-1.html,SO,RB,"27 Att, 80 Yds, 3.0 Avg",Indiana,2019
Ahrod Lloyd,ahrod-lloyd-1,/cfb/players/ahrod-lloyd-1.html,SO,RB,"10 Att, 19 Yds, 1.9 Avg",Indiana,2019
Connor Thomas,connor-thomas-1,/cfb/players/connor-thomas-1.html,JR,RB,"6 Att, 11 Yds, 1.8 Avg",Indiana,2019
Cole Gest,cole-gest-1,/cfb/players/cole-gest-1.html,JR,RB,"5 Rec, -1 Yds, -0.2 Avg",Indiana,2019
Davion Ervin-Poindexter,davion-ervin-poindexter-1,/cfb/players/davion-ervin-poindexter-1.html,FR,RB,,Indiana,2019
Kristian Pechac,kristian-pechac-1,/cfb/players/kristian-pechac-1.html,SO,RB,,Indiana,2019
Ivory Winters,ivory-winters-1,/cfb/players/ivory-winters-1.html,FR,RB,,Indiana,2019
Donavan Hale,donavan-hale-1,/cfb/players/donavan-hale-1.html,SR,WR,"22 Rec, 373 Yds, 17.0 Avg",Indiana,2019
Whop Philyor,whop-philyor-1,/cfb/players/whop-philyor-1.html,JR,WR,"70 Rec, 1002 Yds, 14.3 Avg",Indiana,2019
David Ellis,david-ellis-2,/cfb/players/david-ellis-2.html,FR,WR,"16 Rec, 173 Yds, 10.8 Avg",Indiana,2019
Ty Fryfogle,ty-fryfogle-1,/cfb/players/ty-fryfogle-1.html,JR,WR,"45 Rec, 604 Yds, 13.4 Avg",Indiana,2019
Nick Westbrook,nick-westbrook-1,/cfb/players/nick-westbrook-1.html,SR,WR,"42 Rec, 572 Yds, 13.6 Avg",Indiana,2019
Miles Marshall,miles-marshall-1,/cfb/players/miles-marshall-1.html,FR,WR,"16 Rec, 196 Yds, 12.3 Avg",Indiana,2019
Justin Berry,justin-berry-1,/cfb/players/justin-berry-1.html,JR,WR,,Indiana,2019
Da'Shaun Brown,dashaun-brown-1,/cfb/players/dashaun-brown-1.html,FR,WR,,Indiana,2019
Christian Harris,christian-harris-4,/cfb/players/christian-harris-4.html,JR,WR,,Indiana,2019
Jacolby Hewitt,jacolby-hewitt-1,/cfb/players/jacolby-hewitt-1.html,FR,WR,,Indiana,2019
Jordan Jakes,jordan-jakes-1,/cfb/players/jordan-jakes-1.html,FR,WR,,Indiana,2019
Bryan Parker,bryan-parker-1,/cfb/players/bryan-parker-1.html,JR,WR,,Indiana,2019
McCall Ray,mccall-ray-1,/cfb/players/mccall-ray-1.html,FR,WR,,Indiana,2019
Luke Shayotovich,luke-shayotovich-1,/cfb/players/luke-shayotovich-1.html,FR,WR,,Indiana,2019
Cam Wilson,cam-wilson-1,/cfb/players/cam-wilson-1.html,SO,WR,,Indiana,2019
Peyton Hendershot,peyton-hendershot-1,/cfb/players/peyton-hendershot-1.html,SO,TE,"52 Rec, 622 Yds, 12.0 Avg",Indiana,2019
Matt Bjorson,matt-bjorson-1,/cfb/players/matt-bjorson-1.html,SO,TE,"7 Rec, 36 Yds, 5.1 Avg",Indiana,2019
TJ Ivy,tj-ivy-1,/cfb/players/tj-ivy-1.html,FR,TE,"3 Rec, 24 Yds, 8.0 Avg",Indiana,2019
Gary Cooper,gary-cooper-2,/cfb/players/gary-cooper-2.html,FR,TE,"2 Rec, 15 Yds, 7.5 Avg",Indiana,2019
Ryan Barnes,ryan-barnes-1,/cfb/players/ryan-barnes-1.html,FR,TE,,Indiana,2019
Dominick Sidari,dominick-sidari-1,/cfb/players/dominick-sidari-1.html,JR,TE,,Indiana,2019
Harry Crider,harry-crider-1,/cfb/players/harry-crider-1.html,JR,OL,,Indiana,2019
Caleb Jones,caleb-jones-2,/cfb/players/caleb-jones-2.html,SO,OL,,Indiana,2019
Dominic Altimari,dominic-altimari-1,/cfb/players/dominic-altimari-1.html,SO,OL,,Indiana,2019
Matthew Bedford,matthew-bedford-1,/cfb/players/matthew-bedford-1.html,FR,OL,,Indiana,2019
Britt Beery,britt-beery-1,/cfb/players/britt-beery-1.html,SO,OL,,Indiana,2019
Coy Cronk,coy-cronk-1,/cfb/players/coy-cronk-1.html,SR,OL,,Indiana,2019
Mike Katic,mike-katic-1,/cfb/players/mike-katic-1.html,FR,OL,,Indiana,2019
Luke Lane,luke-lane-2,/cfb/players/luke-lane-2.html,FR,OL,,Indiana,2019
Hunter Littlejohn,hunter-littlejohn-1,/cfb/players/hunter-littlejohn-1.html,SR,OL,,Indiana,2019
DaVondre Love,davondre-love-1,/cfb/players/davondre-love-1.html,SR,OL,,Indiana,2019
Nick Marozas,nick-marozas-1,/cfb/players/nick-marozas-1.html,FR,OL,,Indiana,2019
Mackenzie Nworah,mackenzie-nworah-1,/cfb/players/mackenzie-nworah-1.html,JR,OL,,Indiana,2019
Charlie O'Connor,charlie-oconnor-1,/cfb/players/charlie-oconnor-1.html,FR,OL,,Indiana,2019
Aidan Rafferty,aidan-rafferty-1,/cfb/players/aidan-rafferty-1.html,FR,OL,,Indiana,2019
Peter Schulz,peter-schulz-1,/cfb/players/peter-schulz-1.html,FR,OL,,Indiana,2019
Ryan Smith,ryan-smith-11,/cfb/players/ryan-smith-11.html,SO,OL,,Indiana,2019
Simon Stepaniak,simon-stepaniak-1,/cfb/players/simon-stepaniak-1.html,SR,OL,,Indiana,2019
Ricky Tamis,ricky-tamis-1,/cfb/players/ricky-tamis-1.html,FR,OL,,Indiana,2019
Tim Weaver,tim-weaver-1,/cfb/players/tim-weaver-1.html,FR,OL,,Indiana,2019
Charles Campbell,charles-campbell-3,/cfb/players/charles-campbell-3.html,FR,K,,Indiana,2019
Logan Justus,logan-justus-1,/cfb/players/logan-justus-1.html,SR,K,,Indiana,2019
Jack Cardillo,jack-cardillo-1,/cfb/players/jack-cardillo-1.html,SO,K,,Indiana,2019
Jared Smolar,jared-smolar-1,/cfb/players/jared-smolar-1.html,JR,K,,Indiana,2019
Nathanael Snyder,nathanael-snyder-1,/cfb/players/nathanael-snyder-1.html,JR,K,,Indiana,2019
Alfred Bryant,alfred-bryant-1,/cfb/players/alfred-bryant-1.html,SO,DL,,Indiana,2019
Demarcus Elliott,demarcus-elliott-1,/cfb/players/demarcus-elliott-1.html,SO,DL,,Indiana,2019
Gavin Everett,gavin-everett-1,/cfb/players/gavin-everett-1.html,SR,DL,,Indiana,2019
