Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jason Bean,jason-bean-1,/cfb/players/jason-bean-1.html,SR,QB,"124 Cmp, 199 Att, 2130 Yds, 18 TD",Kansas,2023
Jalon Daniels,jalon-daniels-1,/cfb/players/jalon-daniels-1.html,JR,QB,"56 Cmp, 75 Att, 705 Yds, 5 TD",Kansas,2023
Cole Ballard,cole-ballard-1,/cfb/players/cole-ballard-1.html,FR,QB,"20 Cmp, 36 Att, 286 Yds, 1 TD",Kansas,2023
Ben Easters,ben-easters-1,/cfb/players/ben-easters-1.html,SO,QB,,Kansas,2023
TJ Crews IV,tj-crews-iv-1,/cfb/players/tj-crews-iv-1.html,FR,QB,,Kansas,2023
Jack Jackson,jack-jackson-5,/cfb/players/jack-jackson-5.html,SO,QB,,Kansas,2023
Mikey Pauley,mikey-pauley-1,/cfb/players/mikey-pauley-1.html,FR,QB,,Kansas,2023
Devin Neal,devin-neal-3,/cfb/players/devin-neal-3.html,JR,RB,"203 Att, 1280 Yds, 6.3 Avg",Kansas,2023
Daniel Hishaw Jr.,daniel-hishaw-jr-1,/cfb/players/daniel-hishaw-jr-1.html,JR,RB,"121 Att, 626 Yds, 5.2 Avg",Kansas,2023
Dylan McDuffie,dylan-mcduffie-1,/cfb/players/dylan-mcduffie-1.html,SR,RB,"45 Att, 253 Yds, 5.6 Avg",Kansas,2023
Sevion Morrison,sevion-morrison-1,/cfb/players/sevion-morrison-1.html,JR,RB,"10 Att, 62 Yds, 6.2 Avg",Kansas,2023
Billy Conaway,billy-conaway-1,/cfb/players/billy-conaway-1.html,JR,RB,,Kansas,2023
Carson Morgan,carson-morgan-1,/cfb/players/carson-morgan-1.html,FR,RB,,Kansas,2023
Jack Schneider,jack-schneider-1,/cfb/players/jack-schneider-1.html,FR,RB,,Kansas,2023
Johnny Thompson Jr.,johnny-thompson-jr-1,/cfb/players/johnny-thompson-jr-1.html,FR,RB,,Kansas,2023
Torry Locklin,torry-locklin-1,/cfb/players/torry-locklin-1.html,JR,WR,"4 Rec, 40 Yds, 10.0 Avg",Kansas,2023
Quentin Skinner,quentin-skinner-2,/cfb/players/quentin-skinner-2.html,JR,WR,"29 Rec, 587 Yds, 20.2 Avg",Kansas,2023
Lawrence Arnold,lawrence-arnold-2,/cfb/players/lawrence-arnold-2.html,JR,WR,"44 Rec, 782 Yds, 17.8 Avg",Kansas,2023
Luke Grimm,luke-grimm-1,/cfb/players/luke-grimm-1.html,JR,WR,"33 Rec, 555 Yds, 16.8 Avg",Kansas,2023
Trevor Wilson,trevor-wilson-1,/cfb/players/trevor-wilson-1.html,JR,WR,"11 Rec, 195 Yds, 17.7 Avg",Kansas,2023
Douglas Emilien,douglas-emilien-1,/cfb/players/douglas-emilien-1.html,SO,WR,"6 Rec, 61 Yds, 10.2 Avg",Kansas,2023
Tanaka Scott,tanaka-scott-1,/cfb/players/tanaka-scott-1.html,SO,WR,"3 Rec, 31 Yds, 10.3 Avg",Kansas,2023
Keaton Kubecka,keaton-kubecka-1,/cfb/players/keaton-kubecka-1.html,FR,WR,,Kansas,2023
Mack Moeller,mack-moeller-1,/cfb/players/mack-moeller-1.html,SO,WR,,Kansas,2023
Surahz Buncom,surahz-buncom-1,/cfb/players/surahz-buncom-1.html,FR,WR,,Kansas,2023
Quinton Conley,quinton-conley-1,/cfb/players/quinton-conley-1.html,FR,WR,,Kansas,2023
