Player,Player_ID,Player_Link,class,pos,summary,School,Year
Terry Wilson,terry-wilson-3,/cfb/players/terry-wilson-3.html,SO,QB,"180 Cmp, 268 Att, 1889 Yds, 11 TD",Kentucky,2018
Gunnar Hoak,gunnar-hoak-1,/cfb/players/gunnar-hoak-1.html,SO,QB,"13 Cmp, 26 Att, 167 Yds, 2 TD",Kentucky,2018
Danny Clark,danny-clark-3,/cfb/players/danny-clark-3.html,FR,QB,,Kentucky,2018
Kolbe Langhi,kolbe-langhi-1,/cfb/players/kolbe-langhi-1.html,FR,QB,,Kentucky,2018
Walker Wood,walker-wood-2,/cfb/players/walker-wood-2.html,FR,QB,,Kentucky,2018
Benjamin Snell Jr.,benjamin-snell-jr-1,/cfb/players/benjamin-snell-jr-1.html,JR,RB,"289 Att, 1449 Yds, 5.0 Avg",Kentucky,2018
Asim Rose,asim-rose-1,/cfb/players/asim-rose-1.html,SO,RB,"71 Att, 442 Yds, 6.2 Avg",Kentucky,2018
Sihiem King,sihiem-king-1,/cfb/players/sihiem-king-1.html,SR,RB,"12 Att, 58 Yds, 4.8 Avg",Kentucky,2018
Kavosiey Smoke,kavosiey-smoke-1,/cfb/players/kavosiey-smoke-1.html,FR,RB,"4 Att, 45 Yds, 11.3 Avg",Kentucky,2018
Christopher Rodriguez Jr.,christopher-rodriguez-jr-1,/cfb/players/christopher-rodriguez-jr-1.html,FR,RB,"2 Att, 43 Yds, 21.5 Avg",Kentucky,2018
Zach Johnson,zach-johnson-6,/cfb/players/zach-johnson-6.html,JR,RB,,Kentucky,2018
Tyler Markray,tyler-markray-1,/cfb/players/tyler-markray-1.html,FR,RB,,Kentucky,2018
Donald Smith,donald-smith-1,/cfb/players/donald-smith-1.html,SO,RB,,Kentucky,2018
Lynn Bowden Jr.,lynn-bowden-jr-1,/cfb/players/lynn-bowden-jr-1.html,SO,WR,"67 Rec, 745 Yds, 11.1 Avg",Kentucky,2018
Tavin Richardson,tavin-richardson-1,/cfb/players/tavin-richardson-1.html,JR,WR,"13 Rec, 114 Yds, 8.8 Avg",Kentucky,2018
David Bouvier,david-bouvier-1,/cfb/players/david-bouvier-1.html,SR,WR,"16 Rec, 209 Yds, 13.1 Avg",Kentucky,2018
Dorian Baker,dorian-baker-1,/cfb/players/dorian-baker-1.html,SR,WR,"13 Rec, 133 Yds, 10.2 Avg",Kentucky,2018
Josh Ali,josh-ali-1,/cfb/players/josh-ali-1.html,SO,WR,"10 Rec, 115 Yds, 11.5 Avg",Kentucky,2018
Isaiah Epps,isaiah-epps-1,/cfb/players/isaiah-epps-1.html,SO,WR,"8 Rec, 76 Yds, 9.5 Avg",Kentucky,2018
Clevan Thomas,clevan-thomas-2,/cfb/players/clevan-thomas-2.html,SO,WR,"3 Rec, 63 Yds, 21.0 Avg",Kentucky,2018
Allen Dailey Jr.,allen-dailey-jr-1,/cfb/players/allen-dailey-jr-1.html,FR,WR,"2 Rec, 38 Yds, 19.0 Avg",Kentucky,2018
Akeem Hayes,akeem-hayes-1,/cfb/players/akeem-hayes-1.html,FR,WR,"1 Rec, -1 Yds, -1.0 Avg",Kentucky,2018
