Player,Player_ID,Player_Link,class,pos,summary,School,Year
Ben Wooldridge,ben-wooldridge-1,/cfb/players/ben-wooldridge-1.html,SR,QB,"192 Cmp, 291 Att, 2453 Yds, 17 TD",Louisiana,2024
Chandler Fields,chandler-fields-1,/cfb/players/chandler-fields-1.html,SR,QB,"63 Cmp, 87 Att, 897 Yds, 5 TD",Louisiana,2024
Daniel Beale,daniel-beale-1,/cfb/players/daniel-beale-1.html,FR,QB,"13 Cmp, 30 Att, 126 Yds, 0 TD",Louisiana,2024
D'Wanyé Winfield,dwanye-winfield-1,/cfb/players/dwanye-winfield-1.html,FR,QB,"1 Cmp, 2 Att, 6 Yds, 0 TD",Louisiana,2024
Sam Altmann,sam-altmann-1,/cfb/players/sam-altmann-1.html,FR,QB,,Louisiana,2024
Adryan Lara,adryan-lara-1,/cfb/players/adryan-lara-1.html,SO,QB,,Louisiana,2024
Elijah Davis,elijah-davis-5,/cfb/players/elijah-davis-5.html,FR,RB,"163 Att, 796 Yds, 4.9 Avg",Louisiana,2024
Zylan Perry,zylan-perry-1,/cfb/players/zylan-perry-1.html,SO,RB,"112 Att, 695 Yds, 6.2 Avg",Louisiana,2024
Dre'lyn Washington,drelyn-washington-1,/cfb/players/drelyn-washington-1.html,JR,RB,"73 Att, 478 Yds, 6.5 Avg",Louisiana,2024
Tylon Citizen,tylon-citizen-1,/cfb/players/tylon-citizen-1.html,FR,RB,"10 Att, 73 Yds, 7.3 Avg",Louisiana,2024
Kendrell Williams,kendrell-williams-1,/cfb/players/kendrell-williams-1.html,JR,RB,"5 Att, 13 Yds, 2.6 Avg",Louisiana,2024
Chaz Ward,chaz-ward-1,/cfb/players/chaz-ward-1.html,SR,RB,"2 Rec, 11 Yds, 5.5 Avg",Louisiana,2024
Steven Blanco,steven-blanco-1,/cfb/players/steven-blanco-1.html,FR,RB,,Louisiana,2024
Hutch Swilley,hutch-swilley-1,/cfb/players/hutch-swilley-1.html,FR,RB,,Louisiana,2024
Keilan Sherman,keilan-sherman-1,/cfb/players/keilan-sherman-1.html,FR,RB,,Louisiana,2024
Lance Legendre,lance-legendre-1,/cfb/players/lance-legendre-1.html,SR,WR,"49 Rec, 826 Yds, 16.9 Avg",Louisiana,2024
Harvey Broussard,harvey-broussard-1,/cfb/players/harvey-broussard-1.html,SO,WR,"31 Rec, 486 Yds, 15.7 Avg",Louisiana,2024
Jacob Bernard,jacob-bernard-1,/cfb/players/jacob-bernard-1.html,SR,WR,"28 Rec, 375 Yds, 13.4 Avg",Louisiana,2024
Robert Williams,robert-williams-15,/cfb/players/robert-williams-15.html,JR,WR,"26 Rec, 290 Yds, 11.2 Avg",Louisiana,2024
Tavion Smith,tavion-smith-1,/cfb/players/tavion-smith-1.html,SR,WR,"12 Rec, 168 Yds, 14.0 Avg",Louisiana,2024
Dalen Cambre,dalen-cambre-1,/cfb/players/dalen-cambre-1.html,SR,WR,"5 Rec, 46 Yds, 9.2 Avg",Louisiana,2024
Jaydon Johnson,jaydon-johnson-1,/cfb/players/jaydon-johnson-1.html,SO,WR,"5 Rec, 73 Yds, 14.6 Avg",Louisiana,2024
Dale Martin,dale-martin-2,/cfb/players/dale-martin-2.html,JR,WR,"4 Rec, 33 Yds, 8.3 Avg",Louisiana,2024
Treyv'on Culbert,treyvon-culbert-1,/cfb/players/treyvon-culbert-1.html,JR,WR,"2 Rec, 14 Yds, 7.0 Avg",Louisiana,2024
Landon Baptiste,landon-baptiste-1,/cfb/players/landon-baptiste-1.html,FR,WR,"1 Rec, 8 Yds, 8.0 Avg",Louisiana,2024
Rahji Dennis,rahji-dennis-1,/cfb/players/rahji-dennis-1.html,FR,WR,"1 Rec, 9 Yds, 9.0 Avg",Louisiana,2024
Landon Strother,landon-strother-1,/cfb/players/landon-strother-1.html,FR,WR,,Louisiana,2024
KeDarius Wade,kedarius-wade-1,/cfb/players/kedarius-wade-1.html,FR,WR,,Louisiana,2024
Cullen Charles,cullen-charles-1,/cfb/players/cullen-charles-1.html,FR,WR,,Louisiana,2024
Christian Pillette,christian-pillette-1,/cfb/players/christian-pillette-1.html,FR,WR,,Louisiana,2024
Charles Robertson,charles-robertson-1,/cfb/players/charles-robertson-1.html,SO,WR,,Louisiana,2024
Terrance Carter,terrance-carter-2,/cfb/players/terrance-carter-2.html,SO,TE,"48 Rec, 689 Yds, 14.4 Avg",Louisiana,2024
Caden Jensen,caden-jensen-1,/cfb/players/caden-jensen-1.html,FR,TE,"19 Rec, 138 Yds, 7.3 Avg",Louisiana,2024
Ty Stamey,ty-stamey-1,/cfb/players/ty-stamey-1.html,FR,TE,"7 Rec, 61 Yds, 8.7 Avg",Louisiana,2024
Rhett Guidry,rhett-guidry-1,/cfb/players/rhett-guidry-1.html,JR,TE,"1 Rec, 16 Yds, 16.0 Avg",Louisiana,2024
Caleb Bonine,caleb-bonine-2,/cfb/players/caleb-bonine-2.html,JR,TE,,Louisiana,2024
Jathan Caldwell,jathan-caldwell-1,/cfb/players/jathan-caldwell-1.html,SO,TE,,Louisiana,2024
Teddy Gawlik,teddy-gawlik-1,/cfb/players/teddy-gawlik-1.html,FR,TE,,Louisiana,2024
Grant Miller,grant-miller-2,/cfb/players/grant-miller-2.html,SO,TE,,Louisiana,2024
Zay Alexander,zay-alexander-1,/cfb/players/zay-alexander-1.html,FR,OL,,Louisiana,2024
John Bragg,john-bragg-1,/cfb/players/john-bragg-1.html,FR,OL,,Louisiana,2024
Matthew Broussard,matthew-broussard-1,/cfb/players/matthew-broussard-1.html,FR,OL,,Louisiana,2024
Xzavier Brown,xzavier-brown-1,/cfb/players/xzavier-brown-1.html,FR,OL,,Louisiana,2024
Landon Burton,landon-burton-1,/cfb/players/landon-burton-1.html,SR,OL,,Louisiana,2024
Cooper Fordham,cooper-fordham-1,/cfb/players/cooper-fordham-1.html,SO,OL,,Louisiana,2024
AJ Gillie,aj-gillie-1,/cfb/players/aj-gillie-1.html,SR,OL,,Louisiana,2024
Jax Harrington,jax-harrington-1,/cfb/players/jax-harrington-1.html,JR,OL,,Louisiana,2024
George Jackson,george-jackson-2,/cfb/players/george-jackson-2.html,JR,OL,,Louisiana,2024
Mackey Maillho,mackey-maillho-1,/cfb/players/mackey-maillho-1.html,JR,OL,,Louisiana,2024
King McGowen,king-mcgowen-1,/cfb/players/king-mcgowen-1.html,SR,OL,,Louisiana,2024
Kaden Moreau,kaden-moreau-1,/cfb/players/kaden-moreau-1.html,SO,OL,,Louisiana,2024
Djay Williams Jr.,djay-williams-jr-1,/cfb/players/djay-williams-jr-1.html,FR,OL,,Louisiana,2024
Bryant Williams,bryant-williams-3,/cfb/players/bryant-williams-3.html,SO,OL,,Louisiana,2024
Quinton Williams,quinton-williams-2,/cfb/players/quinton-williams-2.html,JR,OL,,Louisiana,2024
Ryder Bentley,ryder-bentley-1,/cfb/players/ryder-bentley-1.html,FR,OL,,Louisiana,2024
Ethan Clark,ethan-clark-1,/cfb/players/ethan-clark-1.html,SO,OL,,Louisiana,2024
Ryan Ebrahim,ryan-ebrahim-1,/cfb/players/ryan-ebrahim-1.html,JR,OL,,Louisiana,2024
J'Marion Gooch,jmarion-gooch-2,/cfb/players/jmarion-gooch-2.html,SO,OL,,Louisiana,2024
Jackson Hammond,jackson-hammond-1,/cfb/players/jackson-hammond-1.html,FR,OL,,Louisiana,2024
Andrew Martinez,andrew-martinez-1,/cfb/players/andrew-martinez-1.html,FR,OL,,Louisiana,2024
Jerrick Nedie,jerrick-nedie-1,/cfb/players/jerrick-nedie-1.html,FR,OL,,Louisiana,2024
Peyton Polk,peyton-polk-1,/cfb/players/peyton-polk-1.html,FR,OL,,Louisiana,2024
Kenneth Almendares,kenneth-almendares-1,/cfb/players/kenneth-almendares-1.html,SR,K,,Louisiana,2024
Tony Sterner,tony-sterner-1,/cfb/players/tony-sterner-1.html,JR,K,,Louisiana,2024
Logan Klotz,logan-klotz-1,/cfb/players/logan-klotz-1.html,JR,K,,Louisiana,2024
Maxie Baudoin IV,maxie-baudoin-iv-1,/cfb/players/maxie-baudoin-iv-1.html,JR,DL,,Louisiana,2024
Antoine Baylis,antoine-baylis-1,/cfb/players/antoine-baylis-1.html,SR,DL,,Louisiana,2024
Chase Edwards,chase-edwards-1,/cfb/players/chase-edwards-1.html,FR,DL,,Louisiana,2024
Kadarius Miller,kadarius-miller-1,/cfb/players/kadarius-miller-1.html,SR,DL,,Louisiana,2024
Kyron Mims,kyron-mims-1,/cfb/players/kyron-mims-1.html,SR,DL,,Louisiana,2024
Fitzgerald West Jr.,fitzgerald-west-jr-1,/cfb/players/fitzgerald-west-jr-1.html,SO,DL,,Louisiana,2024
Ashley Williams,ashley-williams-1,/cfb/players/ashley-williams-1.html,FR,DL,,Louisiana,2024
Lance Williams,lance-williams-4,/cfb/players/lance-williams-4.html,SO,DL,,Louisiana,2024
Ashton Wright,ashton-wright-1,/cfb/players/ashton-wright-1.html,FR,DL,,Louisiana,2024
Priest Ashe,priest-ashe-1,/cfb/players/priest-ashe-1.html,FR,DL,,Louisiana,2024
Jereamiah Holts,jereamiah-holts-1,/cfb/players/jereamiah-holts-1.html,FR,DL,,Louisiana,2024
Timahj Jones,timahj-jones-1,/cfb/players/timahj-jones-1.html,FR,DL,,Louisiana,2024
James Klingberg,james-klingberg-1,/cfb/players/james-klingberg-1.html,FR,DL,,Louisiana,2024
Jase Robertson,jase-robertson-1,/cfb/players/jase-robertson-1.html,FR,DL,,Louisiana,2024
Na'Tori Brown,natori-brown-1,/cfb/players/natori-brown-1.html,FR,LB,,Louisiana,2024
Hayden Darbonne,hayden-darbonne-1,/cfb/players/hayden-darbonne-1.html,FR,LB,,Louisiana,2024
Jaden Dugger,jaden-dugger-1,/cfb/players/jaden-dugger-1.html,JR,LB,,Louisiana,2024
Kailep Edwards,kailep-edwards-1,/cfb/players/kailep-edwards-1.html,JR,LB,,Louisiana,2024
Trey Fite,trey-fite-1,/cfb/players/trey-fite-1.html,SO,LB,,Louisiana,2024
Carmycah Glass,carmycah-glass-2,/cfb/players/carmycah-glass-2.html,SO,LB,,Louisiana,2024
Micah Johnson,micah-johnson-2,/cfb/players/micah-johnson-2.html,FR,LB,,Louisiana,2024
Lester Jones,lester-jones-1,/cfb/players/lester-jones-1.html,FR,LB,,Louisiana,2024
Caleb Kibodi,caleb-kibodi-1,/cfb/players/caleb-kibodi-1.html,JR,LB,,Louisiana,2024
Conor McPherson,conor-mcpherson-1,/cfb/players/conor-mcpherson-1.html,FR,LB,,Louisiana,2024
K.C Ossai,kc-ossai-1,/cfb/players/kc-ossai-1.html,SR,LB,,Louisiana,2024
Jake St. Andre,jake-st-andre-1,/cfb/players/jake-st-andre-1.html,SO,LB,,Louisiana,2024
