Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jawon Pass,jawon-pass-1,/cfb/players/jawon-pass-1.html,SO,QB,"162 Cmp, 300 Att, 1960 Yds, 8 TD",Louisville,2018
Malik Cunningham,malik-cunningham-1,/cfb/players/malik-cunningham-1.html,FR,QB,"40 Cmp, 67 Att, 473 Yds, 1 TD",Louisville,2018
Jordan Travis,jordan-travis-1,/cfb/players/jordan-travis-1.html,FR,QB,"4 Cmp, 14 Att, 71 Yds, 1 TD",Louisville,2018
Sean McCormack,sean-mccormack-1,/cfb/players/sean-mccormack-1.html,SO,QB,"4 Cmp, 13 Att, 29 Yds, 0 TD",Louisville,2018
Clay Bolin,clay-bolin-1,/cfb/players/clay-bolin-1.html,SO,QB,,Louisville,2018
Drew Zaubi,drew-zaubi-1,/cfb/players/drew-zaubi-1.html,FR,QB,,Louisville,2018
Hassan Hall,hassan-hall-1,/cfb/players/hassan-hall-1.html,FR,RB,"70 Att, 303 Yds, 4.3 Avg",Louisville,2018
Trey Smith,trey-smith-4,/cfb/players/trey-smith-4.html,JR,RB,"50 Att, 263 Yds, 5.3 Avg",Louisville,2018
Colin Wilson,colin-wilson-2,/cfb/players/colin-wilson-2.html,FR,RB,"39 Att, 208 Yds, 5.3 Avg",Louisville,2018
Dae Williams,dae-williams-1,/cfb/players/dae-williams-1.html,SO,RB,"22 Att, 71 Yds, 3.2 Avg",Louisville,2018
Javian Hawkins,javian-hawkins-1,/cfb/players/javian-hawkins-1.html,FR,RB,"2 Att, 8 Yds, 4.0 Avg",Louisville,2018
Maurice Burkley,maurice-burkley-1,/cfb/players/maurice-burkley-1.html,FR,RB,,Louisville,2018
Taveon Graves,taveon-graves-1,/cfb/players/taveon-graves-1.html,FR,RB,,Louisville,2018
Jeremy Smith,jeremy-smith-4,/cfb/players/jeremy-smith-4.html,SR,WR,"4 Rec, 15 Yds, 3.8 Avg",Louisville,2018
Marcus Riley,marcus-riley-2,/cfb/players/marcus-riley-2.html,FR,WR,"3 Rec, 9 Yds, 3.0 Avg",Louisville,2018
Chatarius Atwell,chatarius-atwell-1,/cfb/players/chatarius-atwell-1.html,FR,WR,"24 Rec, 406 Yds, 16.9 Avg",Louisville,2018
Jaylen Smith,jaylen-smith-1,/cfb/players/jaylen-smith-1.html,SR,WR,"36 Rec, 550 Yds, 15.3 Avg",Louisville,2018
Dez Fitzpatrick,dez-fitzpatrick-1,/cfb/players/dez-fitzpatrick-1.html,SO,WR,"31 Rec, 422 Yds, 13.6 Avg",Louisville,2018
Seth Dawkins,seth-dawkins-1,/cfb/players/seth-dawkins-1.html,JR,WR,"25 Rec, 329 Yds, 13.2 Avg",Louisville,2018
Devonte Peete,devonte-peete-1,/cfb/players/devonte-peete-1.html,JR,WR,"21 Rec, 250 Yds, 11.9 Avg",Louisville,2018
Tyler Harrell,tyler-harrell-1,/cfb/players/tyler-harrell-1.html,FR,WR,"2 Rec, 36 Yds, 18.0 Avg",Louisville,2018
Emonee Spence,emonee-spence-1,/cfb/players/emonee-spence-1.html,JR,WR,"1 Rec, 6 Yds, 6.0 Avg",Louisville,2018
Keon Wakefield,keon-wakefield-1,/cfb/players/keon-wakefield-1.html,SO,WR,"1 Rec, 7 Yds, 7.0 Avg",Louisville,2018
Corey Reed,corey-reed-1,/cfb/players/corey-reed-1.html,SO,WR,,Louisville,2018
Cornelius Sturghill,cornelius-sturghill-1,/cfb/players/cornelius-sturghill-1.html,SO,WR,,Louisville,2018
Jacob Ables,jacob-ables-1,/cfb/players/jacob-ables-1.html,FR,WR,,Louisville,2018
Jack Duane,jack-duane-1,/cfb/players/jack-duane-1.html,SR,WR,,Louisville,2018
Jatavious Harris,jatavious-harris-1,/cfb/players/jatavious-harris-1.html,FR,WR,,Louisville,2018
Justin Marshall,justin-marshall-1,/cfb/players/justin-marshall-1.html,FR,WR,,Louisville,2018
Chris Taylor-Yamanoha,chris-taylor-yamanoha-1,/cfb/players/chris-taylor-yamanoha-1.html,SO,WR,,Louisville,2018
Jordan Thomas,jordan-thomas-5,/cfb/players/jordan-thomas-5.html,FR,WR,,Louisville,2018
Micky Crum,micky-crum-1,/cfb/players/micky-crum-1.html,SR,TE,"22 Rec, 224 Yds, 10.2 Avg",Louisville,2018
Kemari Averett,kemari-averett-1,/cfb/players/kemari-averett-1.html,SO,TE,"8 Rec, 65 Yds, 8.1 Avg",Louisville,2018
Jordan Davis,jordan-davis-6,/cfb/players/jordan-davis-6.html,JR,TE,"2 Rec, 23 Yds, 11.5 Avg",Louisville,2018
Marshon Ford,marshon-ford-1,/cfb/players/marshon-ford-1.html,FR,TE,,Louisville,2018
Jeffrey Banks,jeffrey-banks-1,/cfb/players/jeffrey-banks-1.html,JR,TE,,Louisville,2018
Hunter Crowe,hunter-crowe-1,/cfb/players/hunter-crowe-1.html,FR,TE,,Louisville,2018
Mekhi Becton,mekhi-becton-1,/cfb/players/mekhi-becton-1.html,SO,OL,,Louisville,2018
Cole Bentley,cole-bentley-1,/cfb/players/cole-bentley-1.html,SO,OL,,Louisville,2018
Linwood Foy,linwood-foy-1,/cfb/players/linwood-foy-1.html,SR,OL,,Louisville,2018
Toryque Bateman,toryque-bateman-1,/cfb/players/toryque-bateman-1.html,FR,OL,,Louisville,2018
Robbie Bell,robbie-bell-1,/cfb/players/robbie-bell-1.html,SO,OL,,Louisville,2018
Micah Bland,micah-bland-1,/cfb/players/micah-bland-1.html,FR,OL,,Louisville,2018
Adonis Boone,adonis-boone-1,/cfb/players/adonis-boone-1.html,FR,OL,,Louisville,2018
Caleb Chandler,caleb-chandler-1,/cfb/players/caleb-chandler-1.html,FR,OL,,Louisville,2018
Tyler Haycraft,tyler-haycraft-1,/cfb/players/tyler-haycraft-1.html,JR,OL,,Louisville,2018
Dalen Horton,dalen-horton-1,/cfb/players/dalen-horton-1.html,FR,OL,,Louisville,2018
Jean Luc-Childs,jean-luc-childs-1,/cfb/players/jean-luc-childs-1.html,FR,OL,,Louisville,2018
Max Martin,max-martin-2,/cfb/players/max-martin-2.html,FR,OL,,Louisville,2018
Lukayus McNeil,lukayus-mcneil-1,/cfb/players/lukayus-mcneil-1.html,SR,OL,,Louisville,2018
Ronald Rudd,ronald-rudd-1,/cfb/players/ronald-rudd-1.html,JR,OL,,Louisville,2018
Nathan Scheler,nathan-scheler-1,/cfb/players/nathan-scheler-1.html,JR,OL,,Louisville,2018
Clayton Six,clayton-six-1,/cfb/players/clayton-six-1.html,FR,OL,,Louisville,2018
Wyatt Smock,wyatt-smock-1,/cfb/players/wyatt-smock-1.html,FR,OL,,Louisville,2018
Emmanual Sowders,emmanual-sowders-1,/cfb/players/emmanual-sowders-1.html,FR,OL,,Louisville,2018
Kenny Thomas,kenny-thomas-1,/cfb/players/kenny-thomas-1.html,SR,OL,,Louisville,2018
Blanton Creque,blaton-creque-1,/cfb/players/blaton-creque-1.html,JR,K,,Louisville,2018
Evan O'Hara,evan-ohara-1,/cfb/players/evan-ohara-1.html,JR,K,,Louisville,2018
Ryan Chalifoux,ryan-chalifoux-1,/cfb/players/ryan-chalifoux-1.html,FR,K,,Louisville,2018
