Player,Player_ID,Player_Link,class,pos,summary,School,Year
Taisun Phommachanh,taisun-phommachanh-1,/cfb/players/taisun-phommachanh-1.html,SR,QB,"132 Cmp, 234 Att, 1590 Yds, 8 TD",Massachusetts,2024
AJ Hairston,aj-hairston-1,/cfb/players/aj-hairston-1.html,FR,QB,"40 Cmp, 73 Att, 480 Yds, 5 TD",Massachusetts,2024
Will Perry,will-perry-1,/cfb/players/will-perry-1.html,FR,QB,"7 Cmp, 11 Att, 72 Yds, 1 TD",Massachusetts,2024
Ahmad Haston,ahmad-haston-1,/cfb/players/ahmad-haston-1.html,SO,QB,"8 Cmp, 9 Att, 39 Yds, 0 TD",Massachusetts,2024
Ryan Jankowski,ryan-jankowski-1,/cfb/players/ryan-jankowski-1.html,JR,QB,,Massachusetts,2024
Luke Lopresti,luke-lopresti-1,/cfb/players/luke-lopresti-1.html,FR,QB,,Massachusetts,2024
CJ Hester,cj-hester-1,/cfb/players/cj-hester-1.html,SO,RB,"119 Att, 529 Yds, 4.4 Avg",Massachusetts,2024
Jalen John,jalen-john-6,/cfb/players/jalen-john-6.html,JR,RB,"111 Att, 583 Yds, 5.3 Avg",Massachusetts,2024
Brandon Campbell,brandon-campbell-4,/cfb/players/brandon-campbell-4.html,JR,RB,"64 Att, 239 Yds, 3.7 Avg",Massachusetts,2024
Jackson Paradis,jackson-paradis-1,/cfb/players/jackson-paradis-1.html,SO,RB,"21 Att, 70 Yds, 3.3 Avg",Massachusetts,2024
Cookie Desiderio,cookie-desiderio-1,/cfb/players/cookie-desiderio-1.html,FR,RB,"8 Att, 20 Yds, 2.5 Avg",Massachusetts,2024
Da'Marion Alberic,damarion-alberic-1,/cfb/players/damarion-alberic-1.html,FR,RB,"1 Att, 0 Yds, 0.0 Avg",Massachusetts,2024
Donta Whack,donta-whack-1,/cfb/players/donta-whack-1.html,SO,RB,,Massachusetts,2024
Godson Ofonagoro,godson-ofonagoro-1,/cfb/players/godson-ofonagoro-1.html,FR,RB,,Massachusetts,2024
T.Y. Harding,ty-harding-1,/cfb/players/ty-harding-1.html,SO,WR,"19 Rec, 334 Yds, 17.6 Avg",Massachusetts,2024
Sterling Galban,sterling-galban-1,/cfb/players/sterling-galban-1.html,SR,WR,"25 Rec, 210 Yds, 8.4 Avg",Massachusetts,2024
Jakobie Keeney-James,jakobie-keeney-james-1,/cfb/players/jakobie-keeney-james-1.html,SR,WR,"50 Rec, 839 Yds, 16.8 Avg",Massachusetts,2024
Jacquon Gibson,jacquon-gibson-1,/cfb/players/jacquon-gibson-1.html,SO,WR,"23 Rec, 270 Yds, 11.7 Avg",Massachusetts,2024
Anthony Simpson,anthony-simpson-2,/cfb/players/anthony-simpson-2.html,SR,WR,"3 Rec, 16 Yds, 5.3 Avg",Massachusetts,2024
Keshawn Brown,keshawn-brown-1,/cfb/players/keshawn-brown-1.html,JR,WR,"2 Rec, 15 Yds, 7.5 Avg",Massachusetts,2024
Kezion Dia-Johnson,kezion-dia-johnson-1,/cfb/players/kezion-dia-johnson-1.html,FR,WR,,Massachusetts,2024
Dallas Elliott,dallas-elliott-1,/cfb/players/dallas-elliott-1.html,SO,WR,,Massachusetts,2024
Frank Ladson Jr.,frank-ladson-jr-1,/cfb/players/frank-ladson-jr-1.html,SR,WR,,Massachusetts,2024
Ott Eric Ottender,ott-eric-ottender-1,/cfb/players/ott-eric-ottender-1.html,FR,WR,,Massachusetts,2024
Savion Robinson,savion-robinson-1,/cfb/players/savion-robinson-1.html,JR,WR,,Massachusetts,2024
