Player,Player_ID,Player_Link,class,pos,summary,School,Year
Riley Ferguson,riley-ferguson-1,/cfb/players/riley-ferguson-1.html,SR,QB,"299 Cmp, 474 Att, 4257 Yds, 38 TD",Memphis,2017
David Moore,david-moore-5,/cfb/players/david-moore-5.html,FR,QB,"7 Cmp, 10 Att, 63 Yds, 1 TD",Memphis,2017
Brady Davis,brady-davis-2,/cfb/players/brady-davis-2.html,SO,QB,,Memphis,2017
Connor Adair,connor-adair-1,/cfb/players/connor-adair-1.html,FR,QB,,Memphis,2017
Darrell Henderson,darrell-henderson-1,/cfb/players/darrell-henderson-1.html,SO,RB,"130 Att, 1154 Yds, 8.9 Avg",Memphis,2017
Doroland Dorceus,doroland-dorceus-1,/cfb/players/doroland-dorceus-1.html,SR,RB,"39 Att, 201 Yds, 5.2 Avg",Memphis,2017
Tony Pollard,tony-pollard-1,/cfb/players/tony-pollard-1.html,SO,RB,"36 Rec, 536 Yds, 14.9 Avg",Memphis,2017
Anthony Young,anthony-young-3,/cfb/players/anthony-young-3.html,SR,RB,"2 Att, 5 Yds, 2.5 Avg",Memphis,2017
Timothy Taylor,timothy-taylor-1,/cfb/players/timothy-taylor-1.html,FR,RB,,Memphis,2017
Marquavius Weaver,marquavius-weaver-1,/cfb/players/marquavius-weaver-1.html,FR,RB,,Memphis,2017
Anthony Miller,anthony-miller-6,/cfb/players/anthony-miller-6.html,SR,WR,"96 Rec, 1462 Yds, 15.2 Avg",Memphis,2017
John Williams,john-williams-16,/cfb/players/john-williams-16.html,SO,WR,"12 Rec, 145 Yds, 12.1 Avg",Memphis,2017
Mechane Slade,mechane-slade-1,/cfb/players/mechane-slade-1.html,SO,WR,"9 Rec, 89 Yds, 9.9 Avg",Memphis,2017
Phil Mayhue,phil-mayhue-1,/cfb/players/phil-mayhue-1.html,SR,WR,"35 Rec, 521 Yds, 14.9 Avg",Memphis,2017
Damonte Coxie,damonte-coxie-1,/cfb/players/damonte-coxie-1.html,FR,WR,"21 Rec, 323 Yds, 15.4 Avg",Memphis,2017
Kedarian Jones,kedarian-jones-1,/cfb/players/kedarian-jones-1.html,SO,WR,"8 Rec, 152 Yds, 19.0 Avg",Memphis,2017
Roderick Proctor,roderick-proctor-1,/cfb/players/roderick-proctor-1.html,SR,WR,"5 Rec, 67 Yds, 13.4 Avg",Memphis,2017
Calvin Austin III,calvin-austin-iii-1,/cfb/players/calvin-austin-iii-1.html,FR,WR,,Memphis,2017
Jahod Booker,jahod-booker-1,/cfb/players/jahod-booker-1.html,FR,WR,,Memphis,2017
Sam Craft,sam-craft-1,/cfb/players/sam-craft-1.html,SR,WR,,Memphis,2017
Coye Fairman,coye-fairman-1,/cfb/players/coye-fairman-1.html,FR,WR,,Memphis,2017
Tre'Veon Hamilton,treveon-hamilton-1,/cfb/players/treveon-hamilton-1.html,JR,WR,,Memphis,2017
Hunter Hill,hunter-hill-3,/cfb/players/hunter-hill-3.html,FR,WR,,Memphis,2017
Brennon Lewis,brennon-lewis-1,/cfb/players/brennon-lewis-1.html,FR,WR,,Memphis,2017
Jaylen McClanahan,jaylen-mcclanahan-1,/cfb/players/jaylen-mcclanahan-1.html,SO,WR,,Memphis,2017
Sean Dykes,sean-dykes-2,/cfb/players/sean-dykes-2.html,SO,TE,"15 Rec, 346 Yds, 23.1 Avg",Memphis,2017
Joey Magnifico,joey-magnifico-1,/cfb/players/joey-magnifico-1.html,SO,TE,"21 Rec, 280 Yds, 13.3 Avg",Memphis,2017
Ross Burcham,ross-burcham-1,/cfb/players/ross-burcham-1.html,SO,TE,"2 Rec, 24 Yds, 12.0 Avg",Memphis,2017
Tyce Daniel,tyce-daniel-1,/cfb/players/tyce-daniel-1.html,FR,TE,,Memphis,2017
Scottie Dill,scottie-dill-1,/cfb/players/scottie-dill-1.html,SO,TE,,Memphis,2017
Steven Enis,steven-enis-1,/cfb/players/steven-enis-1.html,SO,TE,,Memphis,2017
John Hassell,john-hassell-1,/cfb/players/john-hassell-1.html,FR,TE,,Memphis,2017
Kyle Oliver,kyle-oliver-1,/cfb/players/kyle-oliver-1.html,SO,TE,,Memphis,2017
Dylan Parham,dylan-parham-2,/cfb/players/dylan-parham-2.html,FR,TE,,Memphis,2017
Nick Robinson,nick-robinson-3,/cfb/players/nick-robinson-3.html,FR,TE,,Memphis,2017
Carson Short,carson-short-1,/cfb/players/carson-short-1.html,FR,TE,,Memphis,2017
Drew Kyser,drew-kyser-1,/cfb/players/drew-kyser-1.html,JR,OL,,Memphis,2017
Brytain Peddy,brytain-peddy-1,/cfb/players/brytain-peddy-1.html,SO,OL,,Memphis,2017
Daly Cull,daly-cull-1,/cfb/players/daly-cull-1.html,FR,OL,,Memphis,2017
Obinna Eze,obinna-eze-1,/cfb/players/obinna-eze-1.html,FR,OL,,Memphis,2017
Hameet Gill,hameet-gill-1,/cfb/players/hameet-gill-1.html,JR,OL,,Memphis,2017
Mikhail Hill,mikhail-hill-1,/cfb/players/mikhail-hill-1.html,FR,OL,,Memphis,2017
Tauvaga Ho Ching II,tauvaga-ho-ching-ii-1,/cfb/players/tauvaga-ho-ching-ii-1.html,SO,OL,,Memphis,2017
Peyton Jones,peyton-jones-1,/cfb/players/peyton-jones-1.html,SO,OL,,Memphis,2017
Michael Joseph,michael-joseph-1,/cfb/players/michael-joseph-1.html,FR,OL,,Memphis,2017
Roger Joseph,roger-joseph-1,/cfb/players/roger-joseph-1.html,JR,OL,,Memphis,2017
Gabe Kuhn,gabe-kuhn-1,/cfb/players/gabe-kuhn-1.html,SR,OL,,Memphis,2017
Lio Lafaele,lio-lafaele-1,/cfb/players/lio-lafaele-1.html,SR,OL,,Memphis,2017
Jace Neville,jace-neville-1,/cfb/players/jace-neville-1.html,JR,OL,,Memphis,2017
Jordan Pagan,jordan-pagan-1,/cfb/players/jordan-pagan-1.html,SR,OL,,Memphis,2017
Josiah Perry,josiah-perry-1,/cfb/players/josiah-perry-1.html,FR,OL,,Memphis,2017
Trevon Tate,trevon-tate-1,/cfb/players/trevon-tate-1.html,JR,OL,,Memphis,2017
Dustin Woodard,dustin-woodard-1,/cfb/players/dustin-woodard-1.html,SO,OL,,Memphis,2017
Robby Young,robby-young-1,/cfb/players/robby-young-1.html,SO,OL,,Memphis,2017
Jonathan Wilson,jonathan-wilson-1,/cfb/players/jonathan-wilson-1.html,SO,DL,,Memphis,2017
Emmanuel Cooper,emmanuel-cooper-1,/cfb/players/emmanuel-cooper-1.html,JR,DL,,Memphis,2017
Joseph Dorceus,joseph-dorceus-1,/cfb/players/joseph-dorceus-1.html,FR,DL,,Memphis,2017
Jared Gentry,jared-gentry-1,/cfb/players/jared-gentry-1.html,JR,DL,,Memphis,2017
O'Bryan Goodson,obryan-goodson-1,/cfb/players/obryan-goodson-1.html,FR,DL,,Memphis,2017
Jacoby Hill,jacoby-hill-1,/cfb/players/jacoby-hill-1.html,FR,DL,,Memphis,2017
Christian Johnson,christian-johnson-2,/cfb/players/christian-johnson-2.html,SR,DL,,Memphis,2017
Khalil Johnson,khalil-johnson-1,/cfb/players/khalil-johnson-1.html,SO,DL,,Memphis,2017
Ernest Suttles,ernest-suttles-2,/cfb/players/ernest-suttles-2.html,SR,DL,,Memphis,2017
John Tate,john-tate-1,/cfb/players/john-tate-1.html,FR,DL,,Memphis,2017
Barrett Brown,barrett-brown-1,/cfb/players/barrett-brown-1.html,FR,DL,,Memphis,2017
Braylon Brown,braylon-brown-1,/cfb/players/braylon-brown-1.html,FR,DL,,Memphis,2017
Freddie Dillard,freddie-dillard-1,/cfb/players/freddie-dillard-1.html,SO,DL,,Memphis,2017
Desmond Hawkins,desmond-hawkins-1,/cfb/players/desmond-hawkins-1.html,JR,DL,,Memphis,2017
Curtis Akins,curtis-atkins-1,/cfb/players/curtis-atkins-1.html,JR,LB,,Memphis,2017
Nehemiah Augustus,nehemiah-augustus-1,/cfb/players/nehemiah-augustus-1.html,FR,LB,,Memphis,2017
Genard Avery,genard-avery-1,/cfb/players/genard-avery-1.html,SR,LB,,Memphis,2017
Jackson Dillon,jackson-dillon-1,/cfb/players/jackson-dillon-1.html,SR,LB,,Memphis,2017
Hayden Ferrari,hayden-ferrari-1,/cfb/players/hayden-ferrari-1.html,SO,LB,,Memphis,2017
Tim Hart,tim-hart-1,/cfb/players/tim-hart-1.html,FR,LB,,Memphis,2017
Bryce Huff,bryce-huff-1,/cfb/players/bryce-huff-1.html,SO,LB,,Memphis,2017
Darian Porter,darian-porter-1,/cfb/players/darian-porter-1.html,SR,LB,,Memphis,2017
JJ Russell,jj-russell-1,/cfb/players/jj-russell-1.html,FR,LB,,Memphis,2017
Shareef White,shareef-white-1,/cfb/players/shareef-white-1.html,SR,LB,,Memphis,2017
Tyler Garvey,tyler-garvey-1,/cfb/players/tyler-garvey-1.html,FR,LB,,Memphis,2017
Mannie Lowery,mannie-lowery-3,/cfb/players/mannie-lowery-3.html,SR,LB,,Memphis,2017
Cade Mashburn,cade-mashburn-1,/cfb/players/cade-mashburn-1.html,FR,LB,,Memphis,2017
Chandler Stump,chandler-stump-1,/cfb/players/chandler-stump-1.html,FR,LB,,Memphis,2017
Zane Sutherland,zane-sutherland-1,/cfb/players/zane-sutherland-1.html,SO,LB,,Memphis,2017
Fred Walls,fred-walls-1,/cfb/players/fred-walls-1.html,SO,LB,,Memphis,2017
Terrell Carter,terrell-carter-1,/cfb/players/terrell-carter-1.html,FR,DB,,Memphis,2017
Colton Cochran,colton-cochran-1,/cfb/players/colton-cochran-1.html,FR,DB,,Memphis,2017
Jamil Collins,jamil-collins-1,/cfb/players/jamil-collins-1.html,SR,DB,,Memphis,2017
Jonathan Cook,jonathan-cook-1,/cfb/players/jonathan-cook-1.html,SR,DB,,Memphis,2017
Jacobi Francis,jacobi-francis-1,/cfb/players/jacobi-francis-1.html,FR,DB,,Memphis,2017
