Player,Player_ID,Player_Link,class,pos,summary,School,Year
D'Eriq King,deriq-king-1,/cfb/players/deriq-king-1.html,SR,QB,"211 Cmp, 329 Att, 2686 Yds, 23 TD",Miami (FL),2020
N'Kosi Perry,nkosi-perry-1,/cfb/players/nkosi-perry-1.html,JR,QB,"26 Cmp, 47 Att, 348 Yds, 3 TD",Miami (FL),2020
Tyler Van Dyke,tyler-van-dyke-1,/cfb/players/tyler-van-dyke-1.html,FR,QB,"0 Cmp, 2 Att, 0 Yds, 0 TD",Miami (FL),2020
Peyton Matocha,peyton-matocha-1,/cfb/players/peyton-matocha-1.html,FR,QB,,Miami (FL),2020
Tate Martell,tate-martell-1,/cfb/players/tate-martell-1.html,JR,QB,,Miami (FL),2020
Ryan Rizk,ryan-rizk-1,/cfb/players/ryan-rizk-1.html,SO,QB,,Miami (FL),2020
Cam'ron Harris,camron-harris-1,/cfb/players/camron-harris-1.html,JR,RB,"126 Att, 643 Yds, 5.1 Avg",Miami (FL),2020
Donald Chaney Jr.,donald-chaney-jr-1,/cfb/players/donald-chaney-jr-1.html,FR,RB,"68 Att, 322 Yds, 4.7 Avg",Miami (FL),2020
Jaylan Knighton,jaylan-knighton-1,/cfb/players/jaylan-knighton-1.html,FR,RB,"52 Att, 209 Yds, 4.0 Avg",Miami (FL),2020
Robert Burns,robert-burns-1,/cfb/players/robert-burns-1.html,JR,RB,"16 Att, 63 Yds, 3.9 Avg",Miami (FL),2020
Isaiah Cashwell,isaiah-cashwell-1,/cfb/players/isaiah-cashwell-1.html,SO,RB,,Miami (FL),2020
Mike Harley,mike-harley-1,/cfb/players/mike-harley-1.html,SR,WR,"57 Rec, 799 Yds, 14.0 Avg",Miami (FL),2020
Mark Pope,mark-pope-1,/cfb/players/mark-pope-1.html,JR,WR,"33 Rec, 403 Yds, 12.2 Avg",Miami (FL),2020
Dee Wiggins,dee-wiggins-1,/cfb/players/dee-wiggins-1.html,JR,WR,"31 Rec, 358 Yds, 11.5 Avg",Miami (FL),2020
Jeremiah Payton,jeremiah-payton-1,/cfb/players/jeremiah-payton-1.html,FR,WR,"5 Rec, 35 Yds, 7.0 Avg",Miami (FL),2020
Michael Redding III,michael-redding-iii-1,/cfb/players/michael-redding-iii-1.html,FR,WR,"3 Rec, 19 Yds, 6.3 Avg",Miami (FL),2020
Marshall Few,marshall-few-1,/cfb/players/marshall-few-1.html,JR,WR,"2 Rec, 12 Yds, 6.0 Avg",Miami (FL),2020
Keyshawn Smith,keyshawn-smith-1,/cfb/players/keyshawn-smith-1.html,FR,WR,"2 Rec, 58 Yds, 29.0 Avg",Miami (FL),2020
Xavier Restrepo,xavier-restrepo-1,/cfb/players/xavier-restrepo-1.html,FR,WR,"1 Rec, 12 Yds, 12.0 Avg",Miami (FL),2020
Connor Byrne,connor-byrne-1,/cfb/players/connor-byrne-1.html,JR,WR,,Miami (FL),2020
Mark Byrne,mark-byrne-1,/cfb/players/mark-byrne-1.html,SR,WR,,Miami (FL),2020
Jarius Howard,jarius-howard-1,/cfb/players/jarius-howard-1.html,FR,WR,,Miami (FL),2020
Will Huggins,will-huggins-1,/cfb/players/will-huggins-1.html,SO,WR,,Miami (FL),2020
Dante Johnson,dante-johnson-3,/cfb/players/dante-johnson-3.html,JR,WR,,Miami (FL),2020
Elias Lugo-Fagundo,elias-lugo-fagundo-1,/cfb/players/elias-lugo-fagundo-1.html,JR,WR,,Miami (FL),2020
Mykel Tubbs,mykel-tubbs-1,/cfb/players/mykel-tubbs-1.html,FR,WR,,Miami (FL),2020
Dazalin Worsham,dazalin-worsham-1,/cfb/players/dazalin-worsham-1.html,FR,WR,,Miami (FL),2020
Brevin Jordan,brevin-jordan-1,/cfb/players/brevin-jordan-1.html,JR,TE,"38 Rec, 576 Yds, 15.2 Avg",Miami (FL),2020
