Player,Player_ID,Player_Link,class,pos,summary,School,Year
Gus Ragland,gus-ragland-1,/cfb/players/gus-ragland-1.html,JR,QB,"152 Cmp, 270 Att, 2032 Yds, 19 TD",Miami (OH),2017
Billy Bahl,billy-bahl-1,/cfb/players/billy-bahl-1.html,JR,QB,"61 Cmp, 117 Att, 820 Yds, 5 TD",Miami (OH),2017
Zack Hazlett,zack-hazlett-1,/cfb/players/zack-hazlett-1.html,FR,QB,,Miami (OH),2017
Pete Lampert,pete-lampert-1,/cfb/players/pete-lampert-1.html,FR,QB,,Miami (OH),2017
Jackson Williamson,jackson-williamson-1,/cfb/players/jackson-williamson-1.html,FR,QB,,Miami (OH),2017
Alonzo Smith,alonzo-smith-2,/cfb/players/alonzo-smith-2.html,JR,RB,"144 Att, 660 Yds, 4.6 Avg",Miami (OH),2017
Kenny Young,kenny-young-2,/cfb/players/kenny-young-2.html,JR,RB,"143 Att, 781 Yds, 5.5 Avg",Miami (OH),2017
Leonard Ross,leonard-ross-1,/cfb/players/leonard-ross-1.html,SO,RB,"20 Att, 57 Yds, 2.9 Avg",Miami (OH),2017
Maurice Thomas,maurice-thomas-2,/cfb/players/maurice-thomas-2.html,JR,RB,"11 Att, 38 Yds, 3.5 Avg",Miami (OH),2017
Grant Niemiec,grant-niemiec-1,/cfb/players/grant-niemiec-1.html,SR,RB,"8 Att, 17 Yds, 2.1 Avg",Miami (OH),2017
Mitchell Burton,mitchell-burton-1,/cfb/players/mitchell-burton-1.html,FR,RB,,Miami (OH),2017
Davion Johnson,davion-johnson-2,/cfb/players/davion-johnson-2.html,FR,RB,,Miami (OH),2017
Zach Kahn,zach-kahn-1,/cfb/players/zach-kahn-1.html,FR,RB,,Miami (OH),2017
Mason Kurh,mason-kurh-1,/cfb/players/mason-kurh-1.html,FR,RB,,Miami (OH),2017
Jaylon Bester,jaylon-bester-1,/cfb/players/jaylon-bester-1.html,FR,WR,"7 Rec, 46 Yds, 6.6 Avg",Miami (OH),2017
Jared Murphy,jared-murphy-1,/cfb/players/jared-murphy-1.html,SR,WR,"38 Rec, 430 Yds, 11.3 Avg",Miami (OH),2017
Isaiah Hill,isaiah-hill-1,/cfb/players/isaiah-hill-1.html,SO,WR,,Miami (OH),2017
James Gardner,james-gardner-1,/cfb/players/james-gardner-1.html,JR,WR,"47 Rec, 927 Yds, 19.7 Avg",Miami (OH),2017
