Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jake Rudock,jake-rudock-1,/cfb/players/jake-rudock-1.html,SR,QB,"249 Cmp, 389 Att, 3017 Yds, 20 TD",Michigan,2015
Wilton Speight,wilton-speight-1,/cfb/players/wilton-speight-1.html,SO,QB,"9 Cmp, 25 Att, 73 Yds, 1 TD",Michigan,2015
Brian Cleary,brian-cleary-1,/cfb/players/brian-cleary-1.html,SR,QB,,Michigan,2015
Zach Gentry,zach-gentry-2,/cfb/players/zach-gentry-2.html,FR,QB,,Michigan,2015
Alex Malzone,alex-malzone-1,/cfb/players/alex-malzone-1.html,FR,QB,,Michigan,2015
Garrett Moores,garrett-moores-1,/cfb/players/garrett-moores-1.html,JR,QB,,Michigan,2015
Shane Morris,shane-morris-1,/cfb/players/shane-morris-1.html,JR,QB,,Michigan,2015
John O'Korn,john-okorn-1,/cfb/players/john-okorn-1.html,JR,QB,,Michigan,2015
Matt Thompson,matt-thompson-2,/cfb/players/matt-thompson-2.html,SO,QB,,Michigan,2015
De'Veon Smith,deveon-smith-1,/cfb/players/deveon-smith-1.html,JR,RB,"180 Att, 753 Yds, 4.2 Avg",Michigan,2015
Drake Johnson,drake-johnson-1,/cfb/players/drake-johnson-1.html,JR,RB,"54 Att, 271 Yds, 5.0 Avg",Michigan,2015
Derrick Green,derrick-green-1,/cfb/players/derrick-green-1.html,JR,RB,"47 Att, 157 Yds, 3.3 Avg",Michigan,2015
Ty Isaac,ty-isaac-1,/cfb/players/ty-isaac-1.html,JR,RB,"30 Att, 205 Yds, 6.8 Avg",Michigan,2015
Karan Higdon,karan-higdon-1,/cfb/players/karan-higdon-1.html,FR,RB,"11 Att, 19 Yds, 1.7 Avg",Michigan,2015
Ross Taylor-Douglas,ross-taylor-douglas-1,/cfb/players/ross-taylor-douglas-1.html,JR,RB,"10 Att, 18 Yds, 1.8 Avg",Michigan,2015
