Player,Player_ID,Player_Link,class,pos,summary,School,Year
Brady Cook,brady-cook-1,/cfb/players/brady-cook-1.html,JR,QB,"244 Cmp, 369 Att, 3317 Yds, 21 TD",Missouri,2023
Sam Horn,sam-horn-1,/cfb/players/sam-horn-1.html,SO,QB,"3 Cmp, 6 Att, 54 Yds, 1 TD",Missouri,2023
Brett Brown,brett-brown-1,/cfb/players/brett-brown-1.html,SO,QB,,Missouri,2023
Jake Garcia,jake-garcia-1,/cfb/players/jake-garcia-1.html,JR,QB,,Missouri,2023
Gabarri Johnson,gabarri-johnson-1,/cfb/players/gabarri-johnson-1.html,FR,QB,,Missouri,2023
Dylan Laible,dylan-laible-1,/cfb/players/dylan-laible-1.html,JR,QB,,Missouri,2023
Tommy Lock,tommy-lock-2,/cfb/players/tommy-lock-2.html,JR,QB,,Missouri,2023
Cody Schrader,cody-schrader-1,/cfb/players/cody-schrader-1.html,SR,RB,"276 Att, 1627 Yds, 5.9 Avg",Missouri,2023
Nathaniel Peat,nathaniel-peat-1,/cfb/players/nathaniel-peat-1.html,SR,RB,"76 Att, 317 Yds, 4.2 Avg",Missouri,2023
Jamal Roberts,jamal-roberts-2,/cfb/players/jamal-roberts-2.html,FR,RB,"1 Att, -1 Yds, -1.0 Avg",Missouri,2023
Chris Kreh,chris-kreh-1,/cfb/players/chris-kreh-1.html,JR,RB,,Missouri,2023
Michael Cox,michael-cox-3,/cfb/players/michael-cox-3.html,JR,RB,,Missouri,2023
Anthony Favrow,anthony-favrow-1,/cfb/players/anthony-favrow-1.html,SO,RB,,Missouri,2023
Bryce Jackson,bryce-jackson-3,/cfb/players/bryce-jackson-3.html,JR,RB,,Missouri,2023
Tavorus Jones,tavorus-jones-1,/cfb/players/tavorus-jones-1.html,SO,RB,,Missouri,2023
Luther Burden,luther-burden-1,/cfb/players/luther-burden-1.html,SO,WR,"86 Rec, 1212 Yds, 14.1 Avg",Missouri,2023
Mookie Cooper,mookie-cooper-1,/cfb/players/mookie-cooper-1.html,JR,WR,"36 Rec, 447 Yds, 12.4 Avg",Missouri,2023
Marquis Johnson,marquis-johnson-3,/cfb/players/marquis-johnson-3.html,FR,WR,"13 Rec, 383 Yds, 29.5 Avg",Missouri,2023
