Player,Player_ID,Player_Link,class,pos,summary,School,Year
Sheriron Jones,sheriron-jones-1,/cfb/players/sheriron-jones-1.html,JR,QB,"102 Cmp, 187 Att, 1417 Yds, 13 TD",New Mexico,2018
Coltin Gerhart,coltin-gerhart-1,/cfb/players/coltin-gerhart-1.html,SR,QB,"27 Cmp, 56 Att, 266 Yds, 3 TD",New Mexico,2018
Tevaka Tuioti,tevaka-tuioti-1,/cfb/players/tevaka-tuioti-1.html,SO,QB,"24 Cmp, 43 Att, 439 Yds, 5 TD",New Mexico,2018
Trae Hall,trae-hall-1,/cfb/players/trae-hall-1.html,FR,QB,,New Mexico,2018
Jonah Leyva,jonah-leyva-1,/cfb/players/jonah-leyva-1.html,FR,QB,,New Mexico,2018
Bryson Carroll,bryson-carroll-1,/cfb/players/bryson-carroll-1.html,SO,RB,"12 Att, 39 Yds, 3.3 Avg",New Mexico,2018
Tyrone Owens,tyrone-owens-1,/cfb/players/tyrone-owens-1.html,SR,RB,"186 Att, 687 Yds, 3.7 Avg",New Mexico,2018
Zahneer Shuler,zahneer-shuler-1,/cfb/players/zahneer-shuler-1.html,SR,RB,"51 Att, 228 Yds, 4.5 Avg",New Mexico,2018
Ahmari Davis,ahmari-davis-1,/cfb/players/ahmari-davis-1.html,JR,RB,"51 Att, 185 Yds, 3.6 Avg",New Mexico,2018
Daevon Vigilant,daevon-vigilant-1,/cfb/players/daevon-vigilant-1.html,FR,RB,"43 Att, 185 Yds, 4.3 Avg",New Mexico,2018
Micah Gray,micah-gray-1,/cfb/players/micah-gray-1.html,FR,RB,"7 Att, 23 Yds, 3.3 Avg",New Mexico,2018
Bobby Cole,bobby-cole-3,/cfb/players/bobby-cole-3.html,FR,RB,,New Mexico,2018
Kentrail Moran,kentrail-moran-1,/cfb/players/kentrail-moran-1.html,SO,RB,,New Mexico,2018
Reece Wilkinson,reece-wilkinson-1,/cfb/players/reece-wilkinson-1.html,FR,RB,,New Mexico,2018
Elijah Lilly,elijah-lilly-1,/cfb/players/elijah-lilly-1.html,JR,WR,"21 Rec, 375 Yds, 17.9 Avg",New Mexico,2018
Patrick Reed,patrick-reed-1,/cfb/players/patrick-reed-1.html,SR,WR,"5 Rec, 176 Yds, 35.2 Avg",New Mexico,2018
Emmanuel Harris,emmanuel-harris-1,/cfb/players/emmanuel-harris-1.html,SR,WR,"10 Rec, 102 Yds, 10.2 Avg",New Mexico,2018
Jay Griffin IV,jay-griffin-iv-1,/cfb/players/jay-griffin-iv-1.html,SO,WR,"21 Rec, 168 Yds, 8.0 Avg",New Mexico,2018
Delane Hart-Johnson,delane-hart-johnson-1,/cfb/players/delane-hart-johnson-1.html,SR,WR,"33 Rec, 507 Yds, 15.4 Avg",New Mexico,2018
Anselem Umeh,anselem-umeh-1,/cfb/players/anselem-umeh-1.html,SO,WR,"16 Rec, 316 Yds, 19.8 Avg",New Mexico,2018
Anu Somoye,anu-somoye-1,/cfb/players/anu-somoye-1.html,JR,WR,"7 Rec, 104 Yds, 14.9 Avg",New Mexico,2018
Aaron Molina,aaron-molina-1,/cfb/players/aaron-molina-1.html,SR,WR,"4 Rec, 64 Yds, 16.0 Avg",New Mexico,2018
Q' Drennan,q-drennan-1,/cfb/players/q-drennan-1.html,JR,WR,"1 Rec, 40 Yds, 40.0 Avg",New Mexico,2018
Andrew Erickson,andrew-erickson-1,/cfb/players/andrew-erickson-1.html,FR,WR,,New Mexico,2018
Cade Hackey,cade-hackey-1,/cfb/players/cade-hackey-1.html,FR,WR,,New Mexico,2018
Rafael Hidalgo,rafael-hidalgo-1,/cfb/players/rafael-hidalgo-1.html,SR,WR,,New Mexico,2018
Cedric Patterson III,cedric-patterson-iii-1,/cfb/players/cedric-patterson-iii-1.html,FR,WR,,New Mexico,2018
Thomas Vieira,thomas-vieira-1,/cfb/players/thomas-vieira-1.html,JR,WR,,New Mexico,2018
Javohn Jones,javohn-jones-1,/cfb/players/javohn-jones-1.html,JR,TE,"1 Rec, 3 Yds, 3.0 Avg",New Mexico,2018
Marcus Williams,marcus-williams-11,/cfb/players/marcus-williams-11.html,SO,TE,"13 Rec, 138 Yds, 10.6 Avg",New Mexico,2018
Brayden Dickey,brayden-dickey-1,/cfb/players/brayden-dickey-1.html,SR,TE,"6 Rec, 39 Yds, 6.5 Avg",New Mexico,2018
Aaron Overacker,aaron-overacker-1,/cfb/players/aaron-overacker-1.html,JR,TE,,New Mexico,2018
Daniel Peabody,daniel-peabody-1,/cfb/players/daniel-peabody-1.html,FR,TE,,New Mexico,2018
Kyle Stapley,kyle-stapley-1,/cfb/players/kyle-stapley-1.html,SO,OL,,New Mexico,2018
Erik Beilman,erik-beilman-1,/cfb/players/erik-beilman-1.html,JR,OL,,New Mexico,2018
Colston Chacon,colston-chacon-1,/cfb/players/colston-chacon-1.html,FR,OL,,New Mexico,2018
Austin Cook,austin-cook-3,/cfb/players/austin-cook-3.html,JR,OL,,New Mexico,2018
Chris Estrella,chris-estrella-1,/cfb/players/chris-estrella-1.html,JR,OL,,New Mexico,2018
Charlie Grammel,charlie-grammel-1,/cfb/players/charlie-grammel-1.html,JR,OL,,New Mexico,2018
Beau Hott,beau-hott-1,/cfb/players/beau-hott-1.html,JR,OL,,New Mexico,2018
Nick Iacovangelo,nick-iacovangelo-1,/cfb/players/nick-iacovangelo-1.html,JR,OL,,New Mexico,2018
Radson Jang,radson-jang-1,/cfb/players/radson-jang-1.html,FR,OL,,New Mexico,2018
Aaron Jenkins,aaron-jenkins-2,/cfb/players/aaron-jenkins-2.html,SR,OL,,New Mexico,2018
Brad Murphy,brad-murphy-1,/cfb/players/brad-murphy-1.html,SO,OL,,New Mexico,2018
Teton Saltes,teton-saltes-1,/cfb/players/teton-saltes-1.html,SO,OL,,New Mexico,2018
Jarred Sylvester,jarred-sylvester-1,/cfb/players/jarred-sylvester-1.html,JR,OL,,New Mexico,2018
Hayden Wilson,hayden-wilson-1,/cfb/players/hayden-wilson-1.html,FR,OL,,New Mexico,2018
David Zavala,david-zavala-1,/cfb/players/david-zavala-1.html,JR,OL,,New Mexico,2018
Andrew Shelley,andrew-shelley-1,/cfb/players/andrew-shelley-1.html,FR,K,,New Mexico,2018
Dylan Kelly-Romero,dylan-kelly-romero-1,/cfb/players/dylan-kelly-romero-1.html,FR,K,,New Mexico,2018
Stephen Ruiz,stephen-ruiz-1,/cfb/players/stephen-ruiz-1.html,FR,K,,New Mexico,2018
Daniel Sutton,daniel-sutton-1,/cfb/players/daniel-sutton-1.html,SR,K,,New Mexico,2018
Erin Austin,erin-austin-1,/cfb/players/erin-austin-1.html,JR,DL,,New Mexico,2018
Cody Baker,cody-baker-1,/cfb/players/cody-baker-1.html,SR,DL,,New Mexico,2018
Aaron Blackwell,aaron-blackwell-1,/cfb/players/aaron-blackwell-1.html,JR,DL,,New Mexico,2018
Jermane Conyers,jermane-conyers-1,/cfb/players/jermane-conyers-1.html,SR,DL,,New Mexico,2018
Nahje Flowers,nahje-flowers-1,/cfb/players/nahje-flowers-1.html,SO,DL,,New Mexico,2018
Langston Murray,langston-murray-1,/cfb/players/langston-murray-1.html,FR,DL,,New Mexico,2018
Adebayo Soremekun,adebayo-soremekun-1,/cfb/players/adebayo-soremekun-1.html,JR,DL,,New Mexico,2018
Ben Bertram,ben-bertram-1,/cfb/players/ben-bertram-1.html,FR,DL,,New Mexico,2018
Louis Harden,louis-harden-1,/cfb/players/louis-harden-1.html,FR,DL,,New Mexico,2018
Emmanuel Joseph,emmanuel-joseph-1,/cfb/players/emmanuel-joseph-1.html,SO,DL,,New Mexico,2018
Trent Sellers,trent-sellers-1,/cfb/players/trent-sellers-1.html,JR,DL,,New Mexico,2018
Daquan Baker,daquan-baker-1,/cfb/players/daquan-baker-1.html,SR,LB,,New Mexico,2018
Rhashaun Epting,rhashaun-epting-1,/cfb/players/rhashaun-epting-1.html,SO,LB,,New Mexico,2018
Jordan Flack,jordan-flack-1,/cfb/players/jordan-flack-1.html,SR,LB,,New Mexico,2018
Alex Hart,alex-hart-2,/cfb/players/alex-hart-2.html,SR,LB,,New Mexico,2018
Dylan Horton,dylan-horton-1,/cfb/players/dylan-horton-1.html,FR,LB,,New Mexico,2018
James Portilla,james-portilla-1,/cfb/players/james-portilla-1.html,SR,LB,,New Mexico,2018
Everett Powell,everett-powell-1,/cfb/players/everett-powell-1.html,SR,LB,,New Mexico,2018
Brandon Shook,brandon-shook-1,/cfb/players/brandon-shook-1.html,SO,LB,,New Mexico,2018
Sitiveni Tamaivena,sitiveni-tamaivena-1,/cfb/players/sitiveni-tamaivena-1.html,SR,LB,,New Mexico,2018
Evahelotu Tohi,evahelotu-tohi-1,/cfb/players/evahelotu-tohi-1.html,SR,LB,,New Mexico,2018
Alexander Vainikolo,alexander-vainikolo-1,/cfb/players/alexander-vainikolo-1.html,JR,LB,,New Mexico,2018
David Brown,david-brown-16,/cfb/players/david-brown-16.html,SO,LB,,New Mexico,2018
Brandon Burton,brandon-burton-2,/cfb/players/brandon-burton-2.html,JR,LB,,New Mexico,2018
Blake Fehrmann,blake-fehrmann-1,/cfb/players/blake-fehrmann-1.html,FR,LB,,New Mexico,2018
Matt French,matt-french-1,/cfb/players/matt-french-1.html,SO,LB,,New Mexico,2018
Dequez Irving,dequez-irving-1,/cfb/players/dequez-irving-1.html,JR,LB,,New Mexico,2018
Xavier Vigil,xavier-vigil-1,/cfb/players/xavier-vigil-1.html,FR,LB,,New Mexico,2018
Joshua Woisin,joshua-woisin-1,/cfb/players/joshua-woisin-1.html,FR,LB,,New Mexico,2018
De'John Rogers,dejohn-rogers-1,/cfb/players/dejohn-rogers-1.html,JR,DB,,New Mexico,2018
Tyson Dyer,tyson-dyer-1,/cfb/players/tyson-dyer-1.html,SO,P,,New Mexico,2018
John Mitchell,john-mitchell-2,/cfb/players/john-mitchell-2.html,FR,P,,New Mexico,2018
Stanley Barnwell Jr.,stanley-barnwell-jr-1,/cfb/players/stanley-barnwell-jr-1.html,SR,S,,New Mexico,2018
Nico Bolden,nico-bolden-1,/cfb/players/nico-bolden-1.html,FR,S,,New Mexico,2018
Jalin Burrell,jalin-burrell-1,/cfb/players/jalin-burrell-1.html,SR,CB,,New Mexico,2018
Jared EnRico,jared-enrico-1,/cfb/players/jared-enrico-1.html,SO,LS,,New Mexico,2018
Marcus Hayes,marcus-hayes-1,/cfb/players/marcus-hayes-1.html,FR,S,,New Mexico,2018
Johnny Hernandez,johnny-hernandez-1,/cfb/players/johnny-hernandez-1.html,JR,S,,New Mexico,2018
Willie Hobdy,willie-hobdy-1,/cfb/players/willie-hobdy-1.html,JR,CB,,New Mexico,2018
Blair Manly,blair-manly-1,/cfb/players/blair-manly-1.html,JR,CB,,New Mexico,2018
Kameron Miller,kameron-miller-1,/cfb/players/kameron-miller-1.html,SO,S,,New Mexico,2018
Gabe Ortega,gabe-ortega-1,/cfb/players/gabe-ortega-1.html,SO,S,,New Mexico,2018
Bijon Parker,bijon-parker-1,/cfb/players/bijon-parker-1.html,SR,S,,New Mexico,2018
Patrick Peek,patrick-peek-1,/cfb/players/patrick-peek-1.html,JR,S,,New Mexico,2018
D'Angelo Ross,dangelo-ross-2,/cfb/players/dangelo-ross-2.html,SR,CB,,New Mexico,2018
Michael Sewell Jr.,michael-sewell-jr-1,/cfb/players/michael-sewell-jr-1.html,SR,S,,New Mexico,2018
A.J. Greeley,aj-greeley-1,/cfb/players/aj-greeley-1.html,JR,S,,New Mexico,2018
Lon Hampton,lon-hampton-1,/cfb/players/lon-hampton-1.html,SR,LS,,New Mexico,2018
Corey Hightower,corey-hightower-1,/cfb/players/corey-hightower-1.html,SO,CB,,New Mexico,2018
Donte Martin,donte-martin-1,/cfb/players/donte-martin-1.html,FR,CB,,New Mexico,2018
Donovan Murphree,donovan-murphree-1,/cfb/players/donovan-murphree-1.html,FR,PK,,New Mexico,2018
Nic Wilson,nic-wilson-1,/cfb/players/nic-wilson-1.html,FR,CB,,New Mexico,2018
