Player,Player_ID,Player_Link,class,pos,summary,School,Year
Tyler Rogers,tyler-rogers-1,/cfb/players/tyler-rogers-1.html,JR,QB,"71 Cmp, 134 Att, 966 Yds, 7 TD",New Mexico State,2015
Nick Jeanty,nick-jeanty-1,/cfb/players/nick-jeanty-1.html,FR,QB,"54 Cmp, 101 Att, 531 Yds, 3 TD",New Mexico State,2015
Jason Fitzpatrick,jason-fitzpatrick-1,/cfb/players/jason-fitzpatrick-1.html,JR,QB,,New Mexico State,2015
Larry Rose III,larry-rose-iii-1,/cfb/players/larry-rose-iii-1.html,SO,RB,"239 Att, 1657 Yds, 6.9 Avg",New Mexico State,2015
Xavier Hall,xavier-hall-1,/cfb/players/xavier-hall-1.html,JR,RB,"48 Att, 165 Yds, 3.4 Avg",New Mexico State,2015
Jermichael Selders,jermichael-selders-2,/cfb/players/jermichael-selders-2.html,SR,RB,"14 Att, 70 Yds, 5.0 Avg",New Mexico State,2015
King Burke,king-burke-1,/cfb/players/king-burke-1.html,FR,RB,,New Mexico State,2015
Brandyn Leonard,brandyn-leonard-1,/cfb/players/brandyn-leonard-1.html,FR,RB,,New Mexico State,2015
Marquette Washington,marquette-washington-1,/cfb/players/marquette-washington-1.html,SO,RB,,New Mexico State,2015
Andrew Allen,andrew-allen-1,/cfb/players/andrew-allen-1.html,SO,WR,,New Mexico State,2015
Rayvean Moore,rayvean-moore-1,/cfb/players/rayvean-moore-1.html,JR,WR,"9 Rec, 80 Yds, 8.9 Avg",New Mexico State,2015
Teldrick Morgan,teldrick-morgan-1,/cfb/players/teldrick-morgan-1.html,JR,WR,"44 Rec, 543 Yds, 12.3 Avg",New Mexico State,2015
Royce Caldwell,royce-caldwell-1,/cfb/players/royce-caldwell-1.html,FR,WR,"21 Rec, 274 Yds, 13.0 Avg",New Mexico State,2015
OJ Clark,oj-clark-1,/cfb/players/oj-clark-1.html,FR,WR,"1 Rec, 7 Yds, 7.0 Avg",New Mexico State,2015
Tyrain Taylor,tyrain-taylor-1,/cfb/players/tyrain-taylor-1.html,JR,WR,"39 Rec, 691 Yds, 17.7 Avg",New Mexico State,2015
Joshua Bowen,joshua-bowen-1,/cfb/players/joshua-bowen-1.html,SR,WR,"29 Rec, 239 Yds, 8.2 Avg",New Mexico State,2015
Jordan Bergstrom,jordan-bergstrom-1,/cfb/players/jordan-bergstrom-1.html,SR,WR,"27 Rec, 437 Yds, 16.2 Avg",New Mexico State,2015
Gregory Hogan,gregory-hogan-1,/cfb/players/gregory-hogan-1.html,SO,WR,"24 Rec, 370 Yds, 15.4 Avg",New Mexico State,2015
Justin Allen,justin-allen-6,/cfb/players/justin-allen-6.html,SR,WR,,New Mexico State,2015
Cassius Corley,cassius-corley-1,/cfb/players/cassius-corley-1.html,SO,WR,,New Mexico State,2015
Tymon Locklin,tymon-locklin-1,/cfb/players/tymon-locklin-1.html,FR,WR,,New Mexico State,2015
Iniabasi Absaumoh,iniabasi-absaumoh-1,/cfb/players/iniabasi-absaumoh-1.html,SR,WR,,New Mexico State,2015
Albert Delgado,albert-delgado-1,/cfb/players/albert-delgado-1.html,SO,WR,,New Mexico State,2015
