Player,Player_ID,Player_Link,class,pos,summary,School,Year
Drake Maye,drake-maye-1,/cfb/players/drake-maye-1.html,SO,QB,"342 Cmp, 517 Att, 4321 Yds, 38 TD",North Carolina,2022
Jacolby Criswell,jacolby-criswell-1,/cfb/players/jacolby-criswell-1.html,JR,QB,"2 Cmp, 6 Att, 9 Yds, 0 TD",North Carolina,2022
Jefferson Boaz,jefferson-boaz-1,/cfb/players/jefferson-boaz-1.html,JR,QB,,North Carolina,2022
Conner Harrell,conner-harrell-1,/cfb/players/conner-harrell-1.html,SO,QB,,North Carolina,2022
Russell Tabor,russell-tabor-1,/cfb/players/russell-tabor-1.html,SO,QB,,North Carolina,2022
Elijah Green,elijah-green-1,/cfb/players/elijah-green-1.html,JR,RB,"131 Att, 558 Yds, 4.3 Avg",North Carolina,2022
Omarion Hampton,omarion-hampton-1,/cfb/players/omarion-hampton-1.html,SO,RB,"88 Att, 401 Yds, 4.6 Avg",North Carolina,2022
Caleb Hood,caleb-hood-1,/cfb/players/caleb-hood-1.html,JR,RB,"43 Att, 250 Yds, 5.8 Avg",North Carolina,2022
D.J. Jones,dj-jones-6,/cfb/players/dj-jones-6.html,SR,RB,"26 Att, 124 Yds, 4.8 Avg",North Carolina,2022
George Pettaway,george-pettaway-1,/cfb/players/george-pettaway-1.html,SO,RB,"20 Att, 93 Yds, 4.7 Avg",North Carolina,2022
British Brooks,british-brooks-1,/cfb/players/british-brooks-1.html,SR,RB,,North Carolina,2022
Kobe Paysour,kobe-paysour-1,/cfb/players/kobe-paysour-1.html,SO,WR,"29 Rec, 324 Yds, 11.2 Avg",North Carolina,2022
Josh Downs,josh-downs-2,/cfb/players/josh-downs-2.html,SR,WR,"94 Rec, 1029 Yds, 10.9 Avg",North Carolina,2022
Antoine Green,antoine-green-1,/cfb/players/antoine-green-1.html,SR,WR,"43 Rec, 798 Yds, 18.6 Avg",North Carolina,2022
J.J. Jones,jj-jones-5,/cfb/players/jj-jones-5.html,JR,WR,"24 Rec, 434 Yds, 18.1 Avg",North Carolina,2022
Gavin Blackwell,gavin-blackwell-1,/cfb/players/gavin-blackwell-1.html,SO,WR,"18 Rec, 239 Yds, 13.3 Avg",North Carolina,2022
Andre Greene Jr.,andre-greene-jr-1,/cfb/players/andre-greene-jr-1.html,SO,WR,"3 Rec, 26 Yds, 8.7 Avg",North Carolina,2022
Justin Olson,justin-olson-1,/cfb/players/justin-olson-1.html,SR,WR,"1 Rec, 4 Yds, 4.0 Avg",North Carolina,2022
Tychaun Chapman,tychaun-chapman-1,/cfb/players/tychaun-chapman-1.html,SO,WR,,North Carolina,2022
Aiden Cloninger,aiden-cloninger-1,/cfb/players/aiden-cloninger-1.html,SO,WR,,North Carolina,2022
Jeffrey Saturday,jeffrey-saturday-1,/cfb/players/jeffrey-saturday-1.html,SR,WR,,North Carolina,2022
