Player,Player_ID,Player_Link,class,pos,summary,School,Year
Ryan Finley,ryan-finley-1,/cfb/players/ryan-finley-1.html,JR,QB,"243 Cmp, 402 Att, 3059 Yds, 18 TD",North Carolina State,2016
Jalan McClendon,jalan-mcclendon-1,/cfb/players/jalan-mcclendon-1.html,SO,QB,"16 Cmp, 30 Att, 176 Yds, 1 TD",North Carolina State,2016
Jakobi Meyers,jakobi-meyers-1,/cfb/players/jakobi-meyers-1.html,FR,QB,"1 Cmp, 2 Att, 27 Yds, 0 TD",North Carolina State,2016
Matt Dayes,matt-dayes-1,/cfb/players/matt-dayes-1.html,SR,RB,"249 Att, 1166 Yds, 4.7 Avg",North Carolina State,2016
Reggie Gallaspy II,reggie-gallaspy-ii-1,/cfb/players/reggie-gallaspy-ii-1.html,SO,RB,"49 Att, 234 Yds, 4.8 Avg",North Carolina State,2016
Dakwa Nichols,dakwa-nichols-1,/cfb/players/dakwa-nichols-1.html,JR,RB,"19 Att, 98 Yds, 5.2 Avg",North Carolina State,2016
Johnny Frasier,johnny-frasier-1,/cfb/players/johnny-frasier-1.html,FR,RB,"18 Att, 64 Yds, 3.6 Avg",North Carolina State,2016
Nyheim Hines,nyheim-hines-1,/cfb/players/nyheim-hines-1.html,SO,RB,"43 Rec, 525 Yds, 12.2 Avg",North Carolina State,2016
Brady Bodine,brady-bodine-1,/cfb/players/brady-bodine-1.html,SO,RB,"3 Att, 14 Yds, 4.7 Avg",North Carolina State,2016
Gavin Locklear,gavin-locklear-1,/cfb/players/gavin-locklear-1.html,JR,WR,"2 Rec, 15 Yds, 7.5 Avg",North Carolina State,2016
Stephen Louis,stephen-louis-1,/cfb/players/stephen-louis-1.html,SO,WR,"35 Rec, 678 Yds, 19.4 Avg",North Carolina State,2016
Maurice Trowell,maurice-trowell-1,/cfb/players/maurice-trowell-1.html,SO,WR,"9 Rec, 149 Yds, 16.6 Avg",North Carolina State,2016
Bra'Lon Cherry,bralon-cherry-1,/cfb/players/bralon-cherry-1.html,SR,WR,"30 Rec, 434 Yds, 14.5 Avg",North Carolina State,2016
Kelvin Harmon,kelvin-harmon-1,/cfb/players/kelvin-harmon-1.html,FR,WR,"27 Rec, 462 Yds, 17.1 Avg",North Carolina State,2016
Brian Sessoms,brian-sessoms-1,/cfb/players/brian-sessoms-1.html,FR,WR,,North Carolina State,2016
Jaylen Samuels,jaylen-samuels-1,/cfb/players/jaylen-samuels-1.html,JR,TE,"55 Rec, 565 Yds, 10.3 Avg",North Carolina State,2016
Thaddeus Moss,thaddeus-moss-1,/cfb/players/thaddeus-moss-1.html,FR,TE,"6 Rec, 49 Yds, 8.2 Avg",North Carolina State,2016
Cole Cook,cole-cook-1,/cfb/players/cole-cook-1.html,JR,TE,"4 Rec, 49 Yds, 12.3 Avg",North Carolina State,2016
Pharoah McKever,pharoah-mckever-1,/cfb/players/pharoah-mckever-1.html,JR,TE,,North Carolina State,2016
Jerod Fernandez,jerod-fernandez-1,/cfb/players/jerod-fernandez-1.html,JR,LB,,North Carolina State,2016
Ford Howell,ford-howell-1,/cfb/players/ford-howell-1.html,JR,LB,,North Carolina State,2016
Trae Meadows,trae-meadows-1,/cfb/players/trae-meadows-1.html,FR,LB,,North Carolina State,2016
Airius Moore,airius-moore-1,/cfb/players/airius-moore-1.html,JR,LB,,North Carolina State,2016
Riley Nicholson,riley-nicholson-1,/cfb/players/riley-nicholson-1.html,SO,LB,,North Carolina State,2016
Dravious Wright,dravious-wright-1,/cfb/players/dravious-wright-1.html,SR,DB,,North Carolina State,2016
A.J. Cole III,aj-cole-iii-1,/cfb/players/aj-cole-iii-1.html,SO,P,,North Carolina State,2016
Tony Adams,tony-adams-4,/cfb/players/tony-adams-4.html,JR,G,,North Carolina State,2016
Kyle Bambard,kyle-bambard-1,/cfb/players/kyle-bambard-1.html,SO,PK,,North Carolina State,2016
Shawn Boone,shawn-boone-1,/cfb/players/shawn-boone-1.html,JR,S,,North Carolina State,2016
Garrett Bradbury,garrett-bradbury-1,/cfb/players/garrett-bradbury-1.html,SO,G,,North Carolina State,2016
Eurndraus Bryant,eurndraus-bryant-1,/cfb/players/eurndraus-bryant-1.html,SO,DT,,North Carolina State,2016
Bradley Chubb,bradley-chubb-1,/cfb/players/bradley-chubb-1.html,JR,DE,,North Carolina State,2016
Niles Clark,niles-clark-1,/cfb/players/niles-clark-1.html,SR,CB,,North Carolina State,2016
Tyler Griffiths,tyler-griffiths-1,/cfb/players/tyler-griffiths-1.html,SO,LS,,North Carolina State,2016
Connor Haskins,connor-haskins-1,/cfb/players/connor-haskins-1.html,SR,PK,,North Carolina State,2016
B.J. Hill,bj-hill-3,/cfb/players/bj-hill-3.html,JR,DT,,North Carolina State,2016
Deonte Holden,deonte-holden-1,/cfb/players/deonte-holden-1.html,SO,DE,,North Carolina State,2016
Josh Jones,josh-jones-3,/cfb/players/josh-jones-3.html,JR,S,,North Carolina State,2016
Justin Jones,justin-jones-4,/cfb/players/justin-jones-4.html,JR,DT,,North Carolina State,2016
Tim Kidd-Glass,tim-kidd-glass-1,/cfb/players/tim-kidd-glass-1.html,FR,S,,North Carolina State,2016
Jackson Maples,jackson-maples-1,/cfb/players/jackson-maples-1.html,SO,PK,,North Carolina State,2016
Nick McCloud,nick-mccloud-1,/cfb/players/nick-mccloud-1.html,FR,CB,,North Carolina State,2016
Jarius Morehead,jarius-morehead-1,/cfb/players/jarius-morehead-1.html,FR,S,,North Carolina State,2016
Monty Nelson,monty-nelson-1,/cfb/players/monty-nelson-1.html,SR,DT,,North Carolina State,2016
Sean Paul,sean-paul-1,/cfb/players/sean-paul-1.html,JR,CB,,North Carolina State,2016
Freddie Phillips Jr.,freddie-phillips-jr-1,/cfb/players/freddie-phillips-jr-1.html,SO,CB,,North Carolina State,2016
Tyrone Riley,tyrone-riley-1,/cfb/players/tyrone-riley-1.html,FR,DE,,North Carolina State,2016
Darian Roseboro,darian-roseboro-1,/cfb/players/darian-roseboro-1.html,SO,DE,,North Carolina State,2016
Josh Sessoms,josh-sessoms-1,/cfb/players/josh-sessoms-1.html,SR,S,,North Carolina State,2016
James Smith-Williams,james-smith-williams-1,/cfb/players/james-smith-williams-1.html,FR,DE,,North Carolina State,2016
Mike Stevens,mike-stevens-1,/cfb/players/mike-stevens-1.html,JR,CB,,North Carolina State,2016
Kentavius Street,kentavius-street-1,/cfb/players/kentavius-street-1.html,JR,DE,,North Carolina State,2016
Jack Tocho,jack-tocho-1,/cfb/players/jack-tocho-1.html,SR,CB,,North Carolina State,2016
Dexter Wright,dexter-wright-1,/cfb/players/dexter-wright-1.html,SO,S,,North Carolina State,2016
