Player,Player_ID,Player_Link,class,pos,summary,School,Year
Chandler Rogers,chandler-rogers-3,/cfb/players/chandler-rogers-3.html,JR,QB,"262 Cmp, 421 Att, 3382 Yds, 29 TD",North Texas,2023
Stone Earle,stone-earle-1,/cfb/players/stone-earle-1.html,JR,QB,"22 Cmp, 40 Att, 274 Yds, 4 TD",North Texas,2023
Dylan Gebbia,dylan-gebbia-1,/cfb/players/dylan-gebbia-1.html,FR,QB,,North Texas,2023
JD Head,jd-head-1,/cfb/players/jd-head-1.html,SO,QB,,North Texas,2023
Ayo Adeyi,ayo-adeyi-1,/cfb/players/ayo-adeyi-1.html,JR,RB,"143 Att, 1017 Yds, 7.1 Avg",North Texas,2023
Oscar Adaway III,oscar-adaway-iii-1,/cfb/players/oscar-adaway-iii-1.html,JR,RB,"123 Att, 738 Yds, 6.0 Avg",North Texas,2023
Isaiah Johnson,isaiah-johnson-10,/cfb/players/isaiah-johnson-10.html,JR,RB,"37 Att, 229 Yds, 6.2 Avg",North Texas,2023
Ikaika Ragsdale,ikaika-ragsdale-1,/cfb/players/ikaika-ragsdale-1.html,JR,RB,"9 Att, 34 Yds, 3.8 Avg",North Texas,2023
Keith Jackson,keith-jackson-6,/cfb/players/keith-jackson-6.html,SO,RB,,North Texas,2023
Qualon Farrar,qualon-farrar-1,/cfb/players/qualon-farrar-1.html,FR,RB,,North Texas,2023
Makenzie McGill,makenzie-mcgill-1,/cfb/players/makenzie-mcgill-1.html,FR,RB,,North Texas,2023
Landon Sides,landon-sides-1,/cfb/players/landon-sides-1.html,FR,WR,"30 Rec, 363 Yds, 12.1 Avg",North Texas,2023
Kaylon Horton,kaylon-horton-1,/cfb/players/kaylon-horton-1.html,SR,WR,"6 Rec, 44 Yds, 7.3 Avg",North Texas,2023
Jay Maclin,jay-maclin-1,/cfb/players/jay-maclin-1.html,SO,WR,"57 Rec, 1004 Yds, 17.6 Avg",North Texas,2023
Roderic Burns,roderic-burns-1,/cfb/players/roderic-burns-1.html,SR,WR,"41 Rec, 466 Yds, 11.4 Avg",North Texas,2023
Damon Ward,damon-ward-2,/cfb/players/damon-ward-2.html,JR,WR,"39 Rec, 487 Yds, 12.5 Avg",North Texas,2023
Trey Cleveland,trey-cleveland-1,/cfb/players/trey-cleveland-1.html,JR,WR,"27 Rec, 415 Yds, 15.4 Avg",North Texas,2023
Blair Conwright,blair-conwright-1,/cfb/players/blair-conwright-1.html,JR,WR,"24 Rec, 385 Yds, 16.0 Avg",North Texas,2023
Jordan Smart,jordan-smart-1,/cfb/players/jordan-smart-1.html,JR,WR,"19 Rec, 230 Yds, 12.1 Avg",North Texas,2023
Zhighlil McMillan,zhighlil-mcmillan-1,/cfb/players/zhighlil-mcmillan-1.html,SO,WR,,North Texas,2023
