Player,Player_ID,Player_Link,class,pos,summary,School,Year
Ryan Hilinski,ryan-hilinski-1,/cfb/players/ryan-hilinski-1.html,SR,QB,"144 Cmp, 258 Att, 1644 Yds, 6 TD",Northwestern,2022
Brendan Sullivan,brendan-sullivan-1,/cfb/players/brendan-sullivan-1.html,JR,QB,"71 Cmp, 96 Att, 589 Yds, 4 TD",Northwestern,2022
Cole Freeman,cole-freeman-1,/cfb/players/cole-freeman-1.html,JR,QB,"22 Cmp, 45 Att, 178 Yds, 0 TD",Northwestern,2022
Carl Richardson,carl-richardson-2,/cfb/players/carl-richardson-2.html,SR,QB,"3 Cmp, 9 Att, 39 Yds, 0 TD",Northwestern,2022
Jack Lausch,jack-lausch-1,/cfb/players/jack-lausch-1.html,SO,QB,"4 Cmp, 8 Att, 68 Yds, 0 TD",Northwestern,2022
Evan Hull,evan-hull-2,/cfb/players/evan-hull-2.html,SR,RB,"221 Att, 913 Yds, 4.1 Avg",Northwestern,2022
Cam Porter,cam-porter-1,/cfb/players/cam-porter-1.html,SR,RB,"87 Att, 286 Yds, 3.3 Avg",Northwestern,2022
Anthony Tyus III,anthony-tyus-iii-1,/cfb/players/anthony-tyus-iii-1.html,JR,RB,"19 Att, 56 Yds, 2.9 Avg",Northwestern,2022
Andrew Clair,andrew-clair-1,/cfb/players/andrew-clair-1.html,SR,RB,"18 Att, 94 Yds, 5.2 Avg",Northwestern,2022
Joseph Himon II,joseph-himon-ii-1,/cfb/players/joseph-himon-ii-1.html,SO,RB,"4 Att, 31 Yds, 7.8 Avg",Northwestern,2022
Jake Arthurs,jake-arthurs-1,/cfb/players/jake-arthurs-1.html,SR,RB,,Northwestern,2022
Marcus Cisco,marcus-cisco-1,/cfb/players/marcus-cisco-1.html,SR,RB,,Northwestern,2022
Albert Kunickis III,albert-kunickis-iii-1,/cfb/players/albert-kunickis-iii-1.html,SO,RB,,Northwestern,2022
Connor Newhouse,connor-newhouse-1,/cfb/players/connor-newhouse-1.html,SR,RB,,Northwestern,2022
Malik Washington,malik-washington-1,/cfb/players/malik-washington-1.html,SR,WR,"65 Rec, 694 Yds, 10.7 Avg",Northwestern,2022
Bryce Kirtz,bryce-kirtz-1,/cfb/players/bryce-kirtz-1.html,SR,WR,"19 Rec, 212 Yds, 11.2 Avg",Northwestern,2022
Donny Navarro III,donny-navarro-iii-1,/cfb/players/donny-navarro-iii-1.html,SR,WR,"31 Rec, 237 Yds, 7.6 Avg",Northwestern,2022
Genson Hooper Price,genson-hooper-price-1,/cfb/players/genson-hooper-price-1.html,SR,WR,"12 Rec, 121 Yds, 10.1 Avg",Northwestern,2022
Jacob Gill,jacob-gill-3,/cfb/players/jacob-gill-3.html,JR,WR,"7 Rec, 99 Yds, 14.1 Avg",Northwestern,2022
Raymond Niro III,raymond-niro-iii-1,/cfb/players/raymond-niro-iii-1.html,SR,WR,"5 Rec, 66 Yds, 13.2 Avg",Northwestern,2022
CJ Johnson II,cj-johnson-ii-1,/cfb/players/cj-johnson-ii-1.html,JR,WR,"2 Rec, 23 Yds, 11.5 Avg",Northwestern,2022
Donnie Gray,donnie-gray-1,/cfb/players/donnie-gray-1.html,JR,WR,"1 Rec, 18 Yds, 18.0 Avg",Northwestern,2022
Preston Bacon,preston-bacon-1,/cfb/players/preston-bacon-1.html,SR,WR,,Northwestern,2022
Wayne Dennis Jr.,wayne-dennis-jr-1,/cfb/players/wayne-dennis-jr-1.html,SR,WR,,Northwestern,2022
Reggie Fleurima,reggie-fleurima-1,/cfb/players/reggie-fleurima-1.html,SO,WR,,Northwestern,2022
Jack Kennedy,jack-kennedy-2,/cfb/players/jack-kennedy-2.html,SR,WR,,Northwestern,2022
Jasper Stratton,jasper-stratton-1,/cfb/players/jasper-stratton-1.html,SO,WR,,Northwestern,2022
Marshall Lang,marshall-lang-2,/cfb/players/marshall-lang-2.html,SR,TE,"15 Rec, 192 Yds, 12.8 Avg",Northwestern,2022
Thomas Gordon,thomas-gordon-3,/cfb/players/thomas-gordon-3.html,SR,TE,"12 Rec, 162 Yds, 13.5 Avg",Northwestern,2022
Lawson Albright,lawson-albright-1,/cfb/players/lawson-albright-1.html,JR,TE,,Northwestern,2022
Charlie Mangieri,charlie-mangieri-1,/cfb/players/charlie-mangieri-1.html,SR,TE,,Northwestern,2022
Chris Petrucci,chris-petrucci-1,/cfb/players/chris-petrucci-1.html,SO,TE,,Northwestern,2022
Blake Van Buren,blake-van-buren-1,/cfb/players/blake-van-buren-1.html,SO,TE,,Northwestern,2022
Hunter Welcing,hunter-welcing-1,/cfb/players/hunter-welcing-1.html,FR,TE,,Northwestern,2022
Jackson Carsello,jackson-carsello-1,/cfb/players/jackson-carsello-1.html,JR,OL,,Northwestern,2022
Dom D'Antonio,dom-dantonio-1,/cfb/players/dom-dantonio-1.html,SR,OL,,Northwestern,2022
Zachary Franks,zachary-franks-1,/cfb/players/zachary-franks-1.html,SR,OL,,Northwestern,2022
Nick Herzog,nick-herzog-1,/cfb/players/nick-herzog-1.html,SO,OL,,Northwestern,2022
Vincent Picozzi,vincent-picozzi-1,/cfb/players/vincent-picozzi-1.html,SR,OL,,Northwestern,2022
Josh Priebe,josh-priebe-1,/cfb/players/josh-priebe-1.html,SR,OL,,Northwestern,2022
Conrad Rowley,conrad-rowley-1,/cfb/players/conrad-rowley-1.html,SR,OL,,Northwestern,2022
Charlie Schmidt,charlie-schmidt-1,/cfb/players/charlie-schmidt-1.html,SR,OL,,Northwestern,2022
Peter Skoronski,peter-skoronski-1,/cfb/players/peter-skoronski-1.html,SR,OL,,Northwestern,2022
Josh Thompson,josh-thompson-6,/cfb/players/josh-thompson-6.html,JR,OL,,Northwestern,2022
Caleb Tiernan,caleb-tiernan-1,/cfb/players/caleb-tiernan-1.html,JR,OL,,Northwestern,2022
Ethan Wiederkehr,ethan-wiederkehr-1,/cfb/players/ethan-wiederkehr-1.html,SR,OL,,Northwestern,2022
Ben Wrather,ben-wrather-1,/cfb/players/ben-wrather-1.html,SR,OL,,Northwestern,2022
Braeden Edwards,braeden-edwards-1,/cfb/players/braeden-edwards-1.html,JR,OL,,Northwestern,2022
Deuce McGuire,deuce-mcguire-1,/cfb/players/deuce-mcguire-1.html,SO,OL,,Northwestern,2022
Maxwell Skidmore,maxwell-skidmore-1,/cfb/players/maxwell-skidmore-1.html,SR,OL,,Northwestern,2022
