Player,Player_ID,Player_Link,class,pos,summary,School,Year
Nathan Rourke,nathan-rourke-1,/cfb/players/nathan-rourke-1.html,JR,QB,"164 Cmp, 274 Att, 2434 Yds, 23 TD",Ohio,2018
Quinton Maxwell,quinton-maxwell-1,/cfb/players/quinton-maxwell-1.html,JR,QB,"20 Cmp, 36 Att, 276 Yds, 2 TD",Ohio,2018
Drew Keszei,drew-keszei-1,/cfb/players/drew-keszei-1.html,FR,QB,,Ohio,2018
Joe Mischler,joe-mischler-1,/cfb/players/joe-mischler-1.html,FR,QB,,Ohio,2018
Naylan Yates,naylan-yates-1,/cfb/players/naylan-yates-1.html,FR,QB,,Ohio,2018
A.J. Ouellette,aj-ouellette-1,/cfb/players/aj-ouellette-1.html,SR,RB,"213 Att, 1306 Yds, 6.1 Avg",Ohio,2018
Maleek Irons,maleek-irons-1,/cfb/players/maleek-irons-1.html,SR,RB,"126 Att, 831 Yds, 6.6 Avg",Ohio,2018
Jake Neatherton,jake-neatherton-1,/cfb/players/jake-neatherton-1.html,FR,RB,"19 Att, 81 Yds, 4.3 Avg",Ohio,2018
David Burroughs,david-burroughs-1,/cfb/players/david-burroughs-1.html,SR,RB,"18 Att, 130 Yds, 7.2 Avg",Ohio,2018
Julian Ross,julian-ross-1,/cfb/players/julian-ross-1.html,SO,RB,"7 Att, 14 Yds, 2.0 Avg",Ohio,2018
O'Shaan Allison,oshaan-allison-1,/cfb/players/oshaan-allison-1.html,FR,RB,"7 Att, 24 Yds, 3.4 Avg",Ohio,2018
Ja'Vhari Portis,javhari-portis-1,/cfb/players/javhari-portis-1.html,SO,RB,,Ohio,2018
Papi White,papi-white-1,/cfb/players/papi-white-1.html,SR,WR,"62 Rec, 987 Yds, 15.9 Avg",Ohio,2018
Andrew Meyer,andrew-meyer-1,/cfb/players/andrew-meyer-1.html,SR,WR,"36 Rec, 505 Yds, 14.0 Avg",Ohio,2018
Cameron Odom,cameron-odom-1,/cfb/players/cameron-odom-1.html,SO,WR,"30 Rec, 418 Yds, 13.9 Avg",Ohio,2018
Isiah Cox,isiah-cox-1,/cfb/players/isiah-cox-1.html,FR,WR,"11 Rec, 309 Yds, 28.1 Avg",Ohio,2018
Jerome Buckner,jerome-buckner-1,/cfb/players/jerome-buckner-1.html,FR,WR,"3 Rec, 104 Yds, 34.7 Avg",Ohio,2018
D.L. Knock,dl-knock-1,/cfb/players/dl-knock-1.html,JR,WR,"2 Rec, 13 Yds, 6.5 Avg",Ohio,2018
K.J. Minter,kj-minter-1,/cfb/players/kj-minter-1.html,FR,WR,"1 Rec, 15 Yds, 15.0 Avg",Ohio,2018
Steven David,steven-david-1,/cfb/players/steven-david-1.html,JR,WR,,Ohio,2018
Shane Hooks,shane-hooks-1,/cfb/players/shane-hooks-1.html,FR,WR,,Ohio,2018
Bryan Long Jr.,bryan-long-jr-1,/cfb/players/bryan-long-jr-1.html,SO,WR,,Ohio,2018
Elijah Ball,elijah-ball-1,/cfb/players/elijah-ball-1.html,JR,WR,,Ohio,2018
Willie Cherry,willie-cherry-2,/cfb/players/willie-cherry-2.html,FR,WR,,Ohio,2018
Austin Croy,austin-croy-1,/cfb/players/austin-croy-1.html,FR,WR,,Ohio,2018
Markel Davis,markel-davis-1,/cfb/players/markel-davis-1.html,SO,WR,,Ohio,2018
Hunter Edwards,hunter-edwards-1,/cfb/players/hunter-edwards-1.html,FR,WR,,Ohio,2018
Darfnell Gouin,darfnell-gouin-1,/cfb/players/darfnell-gouin-1.html,FR,WR,,Ohio,2018
Keevon Harris,keevon-harris-1,/cfb/players/keevon-harris-1.html,SO,WR,,Ohio,2018
Camryn Snow,camryn-snow-1,/cfb/players/camryn-snow-1.html,JR,WR,,Ohio,2018
Tyler Tupa,tyler-tupa-1,/cfb/players/tyler-tupa-1.html,SO,WR,,Ohio,2018
Andrew Vu,andrew-vu-1,/cfb/players/andrew-vu-1.html,JR,WR,,Ohio,2018
Tyler Walton,tyler-walton-1,/cfb/players/tyler-walton-1.html,FR,WR,,Ohio,2018
Connor Brown,connor-brown-1,/cfb/players/connor-brown-1.html,SR,TE,"8 Rec, 84 Yds, 10.5 Avg",Ohio,2018
Ryan Luehrman,ryan-luehrman-1,/cfb/players/ryan-luehrman-1.html,SO,TE,"2 Rec, 8 Yds, 4.0 Avg",Ohio,2018
Adam Luehrman,adam-luehrman-1,/cfb/players/adam-luehrman-1.html,SO,TE,"1 Rec, 8 Yds, 8.0 Avg",Ohio,2018
Mason Bernhardt,mason-bernhardt-1,/cfb/players/mason-bernhardt-1.html,FR,TE,,Ohio,2018
Alec Burton,alec-burton-1,/cfb/players/alec-burton-1.html,FR,TE,,Ohio,2018
Chandler Dietz,chandler-dietz-1,/cfb/players/chandler-dietz-1.html,FR,TE,,Ohio,2018
Noah Hoffman,noah-hoffman-1,/cfb/players/noah-hoffman-1.html,SO,TE,,Ohio,2018
Dante Ruozzo,dante-ruozzo-1,/cfb/players/dante-ruozzo-1.html,FR,TE,,Ohio,2018
Bailey Wright,bailey-wright-1,/cfb/players/bailey-wright-1.html,SO,TE,,Ohio,2018
Joe Lowery,joe-lowery-1,/cfb/players/joe-lowery-1.html,SR,OL,,Ohio,2018
Joe Anderson,joe-anderson-3,/cfb/players/joe-anderson-3.html,SR,OL,,Ohio,2018
Kurt Danneker,kurt-danneker-1,/cfb/players/kurt-danneker-1.html,FR,OL,,Ohio,2018
Felipe Fernandez,felipe-fernandez-1,/cfb/players/felipe-fernandez-1.html,SO,OL,,Ohio,2018
Patrick Gilliland,patrick-gilliland-1,/cfb/players/patrick-gilliland-1.html,FR,OL,,Ohio,2018
Marques Grimes,marques-grimes-1,/cfb/players/marques-grimes-1.html,JR,OL,,Ohio,2018
Steven Hayes,steven-hayes-1,/cfb/players/steven-hayes-1.html,JR,OL,,Ohio,2018
Cole Irland,cole-irland-1,/cfb/players/cole-irland-1.html,FR,OL,,Ohio,2018
Samson Jackson,samson-jackson-1,/cfb/players/samson-jackson-1.html,FR,OL,,Ohio,2018
Tristan Kieffer,tristan-kieffer-1,/cfb/players/tristan-kieffer-1.html,FR,OL,,Ohio,2018
Brett Kittrell,brett-kittrell-1,/cfb/players/brett-kittrell-1.html,SO,OL,,Ohio,2018
Kyle Kuhar,kyle-kuhar-1,/cfb/players/kyle-kuhar-1.html,JR,OL,,Ohio,2018
Hagan Meservy,hagan-meservy-1,/cfb/players/hagan-meservy-1.html,SO,OL,,Ohio,2018
Adam Notestine,adam-notestine-1,/cfb/players/adam-notestine-1.html,SO,OL,,Ohio,2018
Austen Pleasants,austen-pleasants-1,/cfb/players/austen-pleasants-1.html,JR,OL,,Ohio,2018
Bryce Ramer,bryce-ramer-1,/cfb/players/bryce-ramer-1.html,FR,OL,,Ohio,2018
Brody Rodgers,brody-rodgers-1,/cfb/players/brody-rodgers-1.html,FR,OL,,Ohio,2018
Nick Sink,nick-sink-2,/cfb/players/nick-sink-2.html,SO,OL,,Ohio,2018
Durrell Wood,durrell-wood-1,/cfb/players/durrell-wood-1.html,SR,OL,,Ohio,2018
Brian Arp,brian-arp-1,/cfb/players/brian-arp-1.html,JR,DL,,Ohio,2018
Antrez Baker,antrez-baker-1,/cfb/players/antrez-baker-1.html,FR,DL,,Ohio,2018
Cole Baker,cole-baker-1,/cfb/players/cole-baker-1.html,JR,DL,,Ohio,2018
Kent Berger,kent-berger-1,/cfb/players/kent-berger-1.html,SR,DL,,Ohio,2018
Kaieem Caesar,kaieem-caesar-1,/cfb/players/kaieem-caesar-1.html,FR,DL,,Ohio,2018
Chukwudi Chukwu,chukwudi-chukwu-1,/cfb/players/chukwudi-chukwu-1.html,JR,DL,,Ohio,2018
Marcus Coleman,marcus-coleman-5,/cfb/players/marcus-coleman-5.html,FR,DL,,Ohio,2018
Austin Conrad,austin-conrad-1,/cfb/players/austin-conrad-1.html,SO,DL,,Ohio,2018
Will Evans,will-evans-2,/cfb/players/will-evans-2.html,SO,DL,,Ohio,2018
Sam McKnight,sam-mcknight-1,/cfb/players/sam-mcknight-1.html,JR,DL,,Ohio,2018
Amos Ogun-Semore,amos-ogun-semore-1,/cfb/players/amos-ogun-semore-1.html,FR,DL,,Ohio,2018
Andrew Payne,andrew-payne-1,/cfb/players/andrew-payne-1.html,SR,DL,,Ohio,2018
Bryce Stai,bryce-stai-1,/cfb/players/bryce-stai-1.html,FR,DL,,Ohio,2018
Zach Burks,zach-burks-1,/cfb/players/zach-burks-1.html,JR,DL,,Ohio,2018
Bryce Dugan,bryce-dugan-1,/cfb/players/bryce-dugan-1.html,FR,DL,,Ohio,2018
Michael Massinople,michael-massinople-1,/cfb/players/michael-massinople-1.html,FR,DL,,Ohio,2018
Kaylen McCracken,kaylen-mccracken-1,/cfb/players/kaylen-mccracken-1.html,FR,DL,,Ohio,2018
Amir Miller,amir-miller-1,/cfb/players/amir-miller-1.html,SO,DL,,Ohio,2018
Darius Walker,darius-walker-2,/cfb/players/darius-walker-2.html,SR,DL,,Ohio,2018
Juan Watkins,juan-watkins-1,/cfb/players/juan-watkins-1.html,FR,DL,,Ohio,2018
Marcus Brunson,marcus-brunson-2,/cfb/players/marcus-brunson-2.html,JR,LB,,Ohio,2018
Austin Clack,austin-clack-1,/cfb/players/austin-clack-1.html,JR,LB,,Ohio,2018
Dylan Connor,dylan-connor-1,/cfb/players/dylan-connor-1.html,SO,LB,,Ohio,2018
Evan Croutch,evan-croutch-1,/cfb/players/evan-croutch-1.html,SR,LB,,Ohio,2018
Jared Dorsa,jared-dorsa-1,/cfb/players/jared-dorsa-1.html,SO,LB,,Ohio,2018
Tyler Gullett,tyler-gullett-1,/cfb/players/tyler-gullett-1.html,SR,LB,,Ohio,2018
Griffin Hites,griffin-hites-1,/cfb/players/griffin-hites-1.html,SO,LB,,Ohio,2018
Bryce Houston,bryce-houston-1,/cfb/players/bryce-houston-1.html,FR,LB,,Ohio,2018
Eric Popp,eric-popp-1,/cfb/players/eric-popp-1.html,JR,LB,,Ohio,2018
T.J. Robinson,tj-robinson-1,/cfb/players/tj-robinson-1.html,FR,LB,,Ohio,2018
Keye Thompson,keye-thompson-1,/cfb/players/keye-thompson-1.html,FR,LB,,Ohio,2018
Ryan Grooms,ryan-grooms-1,/cfb/players/ryan-grooms-1.html,FR,LB,,Ohio,2018
James Leyden,james-leyden-1,/cfb/players/james-leyden-1.html,FR,LB,,Ohio,2018
Jack McCrory,jack-mccrory-1,/cfb/players/jack-mccrory-1.html,FR,LB,,Ohio,2018
Luke Sheridan,luke-sheridan-1,/cfb/players/luke-sheridan-1.html,FR,LB,,Ohio,2018
Marlin Brooks,marlin-brooks-1,/cfb/players/marlin-brooks-1.html,SO,CB,,Ohio,2018
Jamison Collier,jamison-collier-1,/cfb/players/jamison-collier-1.html,FR,S,,Ohio,2018
