Player,Player_ID,Player_Link,class,pos,summary,School,Year
Baker Mayfield,baker-mayfield-1,/cfb/players/baker-mayfield-1.html,SR,QB,"285 Cmp, 404 Att, 4627 Yds, 43 TD",Oklahoma,2017
Kyler Murray,kyler-murray-1,/cfb/players/kyler-murray-1.html,SO,QB,"18 Cmp, 21 Att, 359 Yds, 3 TD",Oklahoma,2017
Tanner Schafer,tanner-schafer-1,/cfb/players/tanner-schafer-1.html,FR,QB,"3 Cmp, 5 Att, 18 Yds, 0 TD",Oklahoma,2017
Reece Clark,reece-clark-1,/cfb/players/reece-clark-1.html,SO,QB,,Oklahoma,2017
Austin Kendall,austin-kendall-1,/cfb/players/austin-kendall-1.html,SO,QB,,Oklahoma,2017
Connor McGinnis,connor-mcginnis-1,/cfb/players/connor-mcginnis-1.html,SO,QB,,Oklahoma,2017
Trey Sermon,trey-sermon-1,/cfb/players/trey-sermon-1.html,FR,RB,"121 Att, 744 Yds, 6.1 Avg",Oklahoma,2017
Rodney Anderson,rodney-anderson-1,/cfb/players/rodney-anderson-1.html,SO,RB,"188 Att, 1161 Yds, 6.2 Avg",Oklahoma,2017
Abdul Adams,abdul-adams-1,/cfb/players/abdul-adams-1.html,SO,RB,"59 Att, 542 Yds, 9.2 Avg",Oklahoma,2017
Marcelias Sutton,marcelias-sutton-1,/cfb/players/marcelias-sutton-1.html,JR,RB,"22 Att, 130 Yds, 5.9 Avg",Oklahoma,2017
Najee Bissoon,najee-bissoon-1,/cfb/players/najee-bissoon-1.html,SR,RB,"3 Att, 4 Yds, 1.3 Avg",Oklahoma,2017
Kennedy Brooks,kennedy-brooks-1,/cfb/players/kennedy-brooks-1.html,FR,RB,,Oklahoma,2017
Grant Ward,grant-ward-1,/cfb/players/grant-ward-1.html,FR,RB,,Oklahoma,2017
CeeDee Lamb,ceedee-lamb-1,/cfb/players/ceedee-lamb-1.html,FR,WR,"46 Rec, 807 Yds, 17.5 Avg",Oklahoma,2017
Jeffery Mead,jeffery-mead-1,/cfb/players/jeffery-mead-1.html,SR,WR,"6 Rec, 98 Yds, 16.3 Avg",Oklahoma,2017
Jeff Badet,jeff-badet-1,/cfb/players/jeff-badet-1.html,SR,WR,"26 Rec, 400 Yds, 15.4 Avg",Oklahoma,2017
Jordan Smallwood,jordan-smallwood-1,/cfb/players/jordan-smallwood-1.html,SR,WR,"10 Rec, 97 Yds, 9.7 Avg",Oklahoma,2017
Marquise Brown,marquise-brown-1,/cfb/players/marquise-brown-1.html,SO,WR,"57 Rec, 1095 Yds, 19.2 Avg",Oklahoma,2017
Mykel Jones,mykel-jones-1,/cfb/players/mykel-jones-1.html,SO,WR,"16 Rec, 310 Yds, 19.4 Avg",Oklahoma,2017
Lee Morris,lee-morris-2,/cfb/players/lee-morris-2.html,SO,WR,"2 Rec, 61 Yds, 30.5 Avg",Oklahoma,2017
Chase Nevel,chase-nevel-1,/cfb/players/chase-nevel-1.html,JR,WR,"2 Rec, 13 Yds, 6.5 Avg",Oklahoma,2017
Myles Tease,myles-tease-2,/cfb/players/myles-tease-2.html,JR,WR,"2 Rec, 51 Yds, 25.5 Avg",Oklahoma,2017
Sam Iheke,sam-iheke-1,/cfb/players/sam-iheke-1.html,SO,WR,"1 Rec, 10 Yds, 10.0 Avg",Oklahoma,2017
Nick Basquine,nick-basquine-1,/cfb/players/nick-basquine-1.html,JR,WR,,Oklahoma,2017
Malik Bradshaw,malik-bradshaw-2,/cfb/players/malik-bradshaw-2.html,SO,WR,,Oklahoma,2017
Carlos Hinshaw,carlos-hinshaw-1,/cfb/players/carlos-hinshaw-1.html,SO,WR,,Oklahoma,2017
