Player,Player_ID,Player_Link,class,pos,summary,School,Year
Taylor Cornelius,taylor-cornelius-1,/cfb/players/taylor-cornelius-1.html,SR,QB,"288 Cmp, 485 Att, 3978 Yds, 32 TD",Oklahoma State,2018
Keondre Wudtee,keondre-wudtee-1,/cfb/players/keondre-wudtee-1.html,SO,QB,"2 Cmp, 5 Att, 26 Yds, 1 TD",Oklahoma State,2018
Dru Brown,dru-brown-1,/cfb/players/dru-brown-1.html,SR,QB,,Oklahoma State,2018
John Kolar,john-kolar-1,/cfb/players/john-kolar-1.html,JR,QB,,Oklahoma State,2018
Spencer Sanders,spencer-sanders-1,/cfb/players/spencer-sanders-1.html,FR,QB,,Oklahoma State,2018
Shaun Taylor,shaun-taylor-2,/cfb/players/shaun-taylor-2.html,FR,QB,,Oklahoma State,2018
Justice Hill,justice-hill-1,/cfb/players/justice-hill-1.html,JR,RB,"158 Att, 930 Yds, 5.9 Avg",Oklahoma State,2018
Chuba Hubbard,chuba-hubbard-1,/cfb/players/chuba-hubbard-1.html,FR,RB,"124 Att, 740 Yds, 6.0 Avg",Oklahoma State,2018
J.D. King,jd-king-1,/cfb/players/jd-king-1.html,SO,RB,"43 Att, 153 Yds, 3.6 Avg",Oklahoma State,2018
LD Brown,ld-brown-2,/cfb/players/ld-brown-2.html,SO,RB,"27 Att, 163 Yds, 6.0 Avg",Oklahoma State,2018
Ryan Haymaker,ryan-haymaker-1,/cfb/players/ryan-haymaker-1.html,JR,RB,"15 Att, 37 Yds, 2.5 Avg",Oklahoma State,2018
La'Darren Brown,louis-brown-3,/cfb/players/louis-brown-3.html,SO,RB,,Oklahoma State,2018
Miguel Fulgencio,miguel-fulgencio-1,/cfb/players/miguel-fulgencio-1.html,FR,RB,,Oklahoma State,2018
Jahmyl Jeter,jahmyl-jeter-1,/cfb/players/jahmyl-jeter-1.html,FR,RB,,Oklahoma State,2018
Mbari Snoddy,mbari-snoddy-1,/cfb/players/mbari-snoddy-1.html,FR,RB,,Oklahoma State,2018
Tylan Wallace,tylan-wallace-1,/cfb/players/tylan-wallace-1.html,SO,WR,"86 Rec, 1491 Yds, 17.3 Avg",Oklahoma State,2018
Dillon Stoner,dillon-stoner-1,/cfb/players/dillon-stoner-1.html,SO,WR,"48 Rec, 603 Yds, 12.6 Avg",Oklahoma State,2018
Tyron Johnson,tyron-johnson-1,/cfb/players/tyron-johnson-1.html,JR,WR,"53 Rec, 845 Yds, 15.9 Avg",Oklahoma State,2018
Landon Wolf,landon-wolf-1,/cfb/players/landon-wolf-1.html,SO,WR,"33 Rec, 362 Yds, 11.0 Avg",Oklahoma State,2018
Jalen McCleskey,jalen-mccleskey-1,/cfb/players/jalen-mccleskey-1.html,SR,WR,"15 Rec, 155 Yds, 10.3 Avg",Oklahoma State,2018
Jelani Woods,jelani-woods-1,/cfb/players/jelani-woods-1.html,FR,WR,"7 Rec, 120 Yds, 17.1 Avg",Oklahoma State,2018
Braydon Johnson,braydon-johnson-1,/cfb/players/braydon-johnson-1.html,FR,WR,"2 Rec, 7 Yds, 3.5 Avg",Oklahoma State,2018
Britton Abbott,britton-abbott-1,/cfb/players/britton-abbott-1.html,SR,WR,"1 Rec, 6 Yds, 6.0 Avg",Oklahoma State,2018
Logan Carter,logan-carter-2,/cfb/players/logan-carter-2.html,SO,WR,"1 Rec, 20 Yds, 20.0 Avg",Oklahoma State,2018
Sione Finefeuiaki,sione-finefeuiaki-1,/cfb/players/sione-finefeuiaki-1.html,SR,WR,"1 Rec, 3 Yds, 3.0 Avg",Oklahoma State,2018
Tracin Wallace,tracin-wallace-1,/cfb/players/tracin-wallace-1.html,FR,WR,"1 Rec, 1 Yds, 1.0 Avg",Oklahoma State,2018
Malik Givens,malik-givens-1,/cfb/players/malik-givens-1.html,JR,WR,,Oklahoma State,2018
Rhett Boles,rhett-boles-1,/cfb/players/rhett-boles-1.html,FR,WR,,Oklahoma State,2018
Elden Coleman,elden-coleman-1,/cfb/players/elden-coleman-1.html,JR,WR,,Oklahoma State,2018
R.J. Fisher,rj-fisher-1,/cfb/players/rj-fisher-1.html,FR,WR,,Oklahoma State,2018
Korie Frausto,korie-frausto-1,/cfb/players/korie-frausto-1.html,SO,WR,,Oklahoma State,2018
LC Greenwood,lc-greenwood-1,/cfb/players/lc-greenwood-1.html,FR,WR,,Oklahoma State,2018
Patrick McKaufman,patrick-mckaufman-1,/cfb/players/patrick-mckaufman-1.html,SO,WR,,Oklahoma State,2018
Dayton Metcalf,dayton-metcalf-1,/cfb/players/dayton-metcalf-1.html,SO,WR,,Oklahoma State,2018
C.J. Moore,cj-moore-3,/cfb/players/cj-moore-3.html,FR,WR,,Oklahoma State,2018
Jacob Morris,jacob-morris-1,/cfb/players/jacob-morris-1.html,FR,WR,,Oklahoma State,2018
Baron Odom,baron-odom-1,/cfb/players/baron-odom-1.html,FR,WR,,Oklahoma State,2018
Jake Ross,jake-ross-1,/cfb/players/jake-ross-1.html,JR,WR,,Oklahoma State,2018
Brenden Ryan,brenden-ryan-1,/cfb/players/brenden-ryan-1.html,FR,WR,,Oklahoma State,2018
Jonathan Shepherd,jonathan-shepherd-1,/cfb/players/jonathan-shepherd-1.html,FR,WR,,Oklahoma State,2018
Taje Williams,taje-williams-1,/cfb/players/taje-williams-1.html,JR,WR,,Oklahoma State,2018
Tyler Ferguson,tyler-ferguson-2,/cfb/players/tyler-ferguson-2.html,SR,TE,,Oklahoma State,2018
Teven Jenkins,teven-jenkins-1,/cfb/players/teven-jenkins-1.html,SO,OL,,Oklahoma State,2018
Larry Williams,larry-williams-5,/cfb/players/larry-williams-5.html,SR,OL,,Oklahoma State,2018
Hunter Anthony,hunter-anthony-1,/cfb/players/hunter-anthony-1.html,FR,OL,,Oklahoma State,2018
Jason Bartel,jason-bartel-1,/cfb/players/jason-bartel-1.html,FR,OL,,Oklahoma State,2018
Bryce Bray,bryce-bray-1,/cfb/players/bryce-bray-1.html,FR,OL,,Oklahoma State,2018
Jacob Farrell,jacob-farrell-1,/cfb/players/jacob-farrell-1.html,FR,OL,,Oklahoma State,2018
Dylan Galloway,dylan-galloway-1,/cfb/players/dylan-galloway-1.html,SO,OL,,Oklahoma State,2018
Arlington Hambright,arlington-hambright-1,/cfb/players/arlington-hambright-1.html,JR,OL,,Oklahoma State,2018
Grant Hill,grant-hill-3,/cfb/players/grant-hill-3.html,FR,OL,,Oklahoma State,2018
Larry Joubert,larry-joubert-1,/cfb/players/larry-joubert-1.html,JR,OL,,Oklahoma State,2018
Matt Kegel,matt-kegel-2,/cfb/players/matt-kegel-2.html,SO,OL,,Oklahoma State,2018
Marcus Keyes,marcus-keyes-1,/cfb/players/marcus-keyes-1.html,JR,OL,,Oklahoma State,2018
Truett Knox,truett-knox-1,/cfb/players/truett-knox-1.html,FR,OL,,Oklahoma State,2018
Matt McClurg,matt-mcclurg-1,/cfb/players/matt-mcclurg-1.html,FR,OL,,Oklahoma State,2018
Delonte Noel,delonte-noel-1,/cfb/players/delonte-noel-1.html,SR,OL,,Oklahoma State,2018
Walker Reed,walker-reed-1,/cfb/players/walker-reed-1.html,SO,OL,,Oklahoma State,2018
Shane Richards,shane-richards-1,/cfb/players/shane-richards-1.html,SR,OL,,Oklahoma State,2018
Ry Schneider,ry-schneider-1,/cfb/players/ry-schneider-1.html,SO,OL,,Oklahoma State,2018
Bailey Wilhite,bailey-wilhite-1,/cfb/players/bailey-wilhite-1.html,FR,OL,,Oklahoma State,2018
Tyrese Williams,tyrese-williams-1,/cfb/players/tyrese-williams-1.html,FR,OL,,Oklahoma State,2018
Brett Wilson,brett-wilson-1,/cfb/players/brett-wilson-1.html,JR,OL,,Oklahoma State,2018
Johnny Wilson,johnny-wilson-2,/cfb/players/johnny-wilson-2.html,JR,OL,,Oklahoma State,2018
Hunter Woodard,hunter-woodard-1,/cfb/players/hunter-woodard-1.html,FR,OL,,Oklahoma State,2018
A.J. Wright,aj-wright-1,/cfb/players/aj-wright-1.html,FR,OL,,Oklahoma State,2018
Calvin Bundage,calvin-bundage-1,/cfb/players/calvin-bundage-1.html,JR,LB,,Oklahoma State,2018
Kenneth Edison-McGruder,kenneth-edison-mcgruder-1,/cfb/players/kenneth-edison-mcgruder-1.html,SR,LB,,Oklahoma State,2018
Devin Harper,devin-harper-1,/cfb/players/devin-harper-1.html,SO,LB,,Oklahoma State,2018
Kevin Henry,kevin-henry-3,/cfb/players/kevin-henry-3.html,JR,LB,,Oklahoma State,2018
Adam Martin,adam-martin-2,/cfb/players/adam-martin-2.html,FR,LB,,Oklahoma State,2018
Amen Ogbongbemiga,amen-ogbongbemiga-1,/cfb/players/amen-ogbongbemiga-1.html,SO,LB,,Oklahoma State,2018
Justin Phillips,justin-phillips-2,/cfb/players/justin-phillips-2.html,SR,LB,,Oklahoma State,2018
Philip Redwine-Bryant,philip-redwine-bryant-1,/cfb/players/philip-redwine-bryant-1.html,JR,LB,,Oklahoma State,2018
Hunter Apple,hunter-apple-1,/cfb/players/hunter-apple-1.html,FR,LB,,Oklahoma State,2018
Blake Barron,blake-barron-1,/cfb/players/blake-barron-1.html,FR,LB,,Oklahoma State,2018
Ben Kopenski,ben-kopenski-1,/cfb/players/ben-kopenski-1.html,FR,LB,,Oklahoma State,2018
Carson Kropp,carson-kropp-1,/cfb/players/carson-kropp-1.html,FR,LB,,Oklahoma State,2018
Patrick Macon,patrick-macon-1,/cfb/players/patrick-macon-1.html,JR,LB,,Oklahoma State,2018
Relijah Sherman,relijah-sherman-1,/cfb/players/relijah-sherman-1.html,FR,LB,,Oklahoma State,2018
Braden Spicer,braden-spicer-1,/cfb/players/braden-spicer-1.html,FR,LB,,Oklahoma State,2018
Matthew Werner,matthew-werner-1,/cfb/players/matthew-werner-1.html,FR,LB,,Oklahoma State,2018
Chase Campbell,chase-campbell-1,/cfb/players/chase-campbell-1.html,JR,DB,,Oklahoma State,2018
Matt Hockett,matt-hockett-1,/cfb/players/matt-hockett-1.html,SR,P,,Oklahoma State,2018
Zach Sinor,zach-sinor-1,/cfb/players/zach-sinor-1.html,SR,P,,Oklahoma State,2018
Matt Ammendola,matt-ammendola-1,/cfb/players/matt-ammendola-1.html,JR,PK,,Oklahoma State,2018
Bryce Balous,bryce-balous-1,/cfb/players/bryce-balous-1.html,JR,CB,,Oklahoma State,2018
Jarrick Bernard,jarrick-bernard-1,/cfb/players/jarrick-bernard-1.html,FR,S,,Oklahoma State,2018
Jordan Brailford,jordan-brailford-1,/cfb/players/jordan-brailford-1.html,JR,DE,,Oklahoma State,2018
Trey Carter,trey-carter-1,/cfb/players/trey-carter-1.html,SR,DT,,Oklahoma State,2018
Darrion Daniels,darrion-daniels-1,/cfb/players/darrion-daniels-1.html,SR,DT,,Oklahoma State,2018
Brendon Evers,brendon-evers-1,/cfb/players/brendon-evers-1.html,FR,DT,,Oklahoma State,2018
Triston Grant,triston-grant-1,/cfb/players/triston-grant-1.html,SO,DE,,Oklahoma State,2018
A.J. Green,aj-green-4,/cfb/players/aj-green-4.html,JR,CB,,Oklahoma State,2018
Za'Carrius Green,zacarrius-green-1,/cfb/players/zacarrius-green-1.html,JR,S,,Oklahoma State,2018
Brock Martin,brock-martin-1,/cfb/players/brock-martin-1.html,FR,DE,,Oklahoma State,2018
Tanner McCalister,tanner-mccalister-1,/cfb/players/tanner-mccalister-1.html,FR,CB,,Oklahoma State,2018
Jake McClure,jake-mcclure-1,/cfb/players/jake-mcclure-1.html,FR,PK,,Oklahoma State,2018
Cameron Murray,cameron-murray-1,/cfb/players/cameron-murray-1.html,SO,DT,,Oklahoma State,2018
Thabo Mwaniki,thabo-mwaniki-1,/cfb/players/thabo-mwaniki-1.html,SO,S,,Oklahoma State,2018
Jarrell Owens,jarrell-owens-1,/cfb/players/jarrell-owens-1.html,SR,DE,,Oklahoma State,2018
Kolby Peel,kolby-peel-1,/cfb/players/kolby-peel-1.html,FR,S,,Oklahoma State,2018
Malcolm Rodriguez,malcolm-rodriguez-1,/cfb/players/malcolm-rodriguez-1.html,SO,S,,Oklahoma State,2018
Mike Scott,mike-scott-9,/cfb/players/mike-scott-9.html,JR,DE,,Oklahoma State,2018
Kemah Siverand,kemah-siverand-1,/cfb/players/kemah-siverand-1.html,JR,CB,,Oklahoma State,2018
Enoch Smith Jr.,enoch-smith-jr-1,/cfb/players/enoch-smith-jr-1.html,SR,DT,,Oklahoma State,2018
Trey Sterling,trey-sterling-1,/cfb/players/trey-sterling-1.html,FR,S,,Oklahoma State,2018
Sam Walkingstick,sam-walkingstick-1,/cfb/players/sam-walkingstick-1.html,JR,LS,,Oklahoma State,2018
Cole Walterscheid,cole-walterscheid-1,/cfb/players/cole-walterscheid-1.html,SR,DE,,Oklahoma State,2018
Kanion Williams,kanion-williams-1,/cfb/players/kanion-williams-1.html,FR,S,,Oklahoma State,2018
Rodarius Williams,rodarius-williams-1,/cfb/players/rodarius-williams-1.html,SO,CB,,Oklahoma State,2018
Tyrell Alexander,tyrell-alexander-1,/cfb/players/tyrell-alexander-1.html,SO,CB,,Oklahoma State,2018
Bryce Brown,bryce-brown-4,/cfb/players/bryce-brown-4.html,JR,CB,,Oklahoma State,2018
JayVeon Cardwell,jayveon-cardwell-1,/cfb/players/jayveon-cardwell-1.html,FR,CB,,Oklahoma State,2018
Dylan Carnagey,dylan-carnagey-1,/cfb/players/dylan-carnagey-1.html,FR,DT,,Oklahoma State,2018
Braden Cassity,braden-cassity-1,/cfb/players/braden-cassity-1.html,FR,DE,,Oklahoma State,2018
Sean Michael Flanagan,sean-michael-flanagan-1,/cfb/players/sean-michael-flanagan-1.html,FR,S,,Oklahoma State,2018
Amadou Fofana,amadou-fofana-1,/cfb/players/amadou-fofana-1.html,JR,DT,,Oklahoma State,2018
Alex Hale,alex-hale-1,/cfb/players/alex-hale-1.html,FR,PK,,Oklahoma State,2018
Matt Hembrough,matt-hembrough-1,/cfb/players/matt-hembrough-1.html,FR,LS,,Oklahoma State,2018
Taoheed Karim,taoheed-karim-1,/cfb/players/taoheed-karim-1.html,FR,CB,,Oklahoma State,2018
Tyler Lacy,tyler-lacy-1,/cfb/players/tyler-lacy-1.html,FR,DE,,Oklahoma State,2018
Gabe Lemons,gabe-lemons-1,/cfb/players/gabe-lemons-1.html,FR,CB,,Oklahoma State,2018
Latu Maile,latu-maile-1,/cfb/players/latu-maile-1.html,SO,DT,,Oklahoma State,2018
Kevin Mair,kevin-mair-1,/cfb/players/kevin-mair-1.html,FR,DT,,Oklahoma State,2018
Kris McCune,kris-mccune-1,/cfb/players/kris-mccune-1.html,FR,CB,,Oklahoma State,2018
Seth Meacham,seth-meacham-1,/cfb/players/seth-meacham-1.html,FR,DT,,Oklahoma State,2018
Lamarcus Morton,lamarcus-morton-1,/cfb/players/lamarcus-morton-1.html,FR,CB,,Oklahoma State,2018
Gabe Simpson,gabe-simpson-1,/cfb/players/gabe-simpson-1.html,FR,S,,Oklahoma State,2018
Jason Taylor II,jason-taylor-ii-1,/cfb/players/jason-taylor-ii-1.html,FR,S,,Oklahoma State,2018
David Thibodeaux-Benoit,david-thibodeaux-benoit-1,/cfb/players/david-thibodeaux-benoit-1.html,FR,S,,Oklahoma State,2018
Samuela Tuihalamaka,samuela-tuihalamaka-1,/cfb/players/samuela-tuihalamaka-1.html,FR,DT,,Oklahoma State,2018
