Player,Player_ID,Player_Link,class,pos,summary,School,Year
Stone Smartt,stone-smartt-1,/cfb/players/stone-smartt-1.html,JR,QB,"101 Cmp, 177 Att, 1006 Yds, 1 TD",Old Dominion,2019
Hayden Wolff,hayden-wolff-1,/cfb/players/hayden-wolff-1.html,FR,QB,"75 Cmp, 129 Att, 737 Yds, 2 TD",Old Dominion,2019
Messiah deWeaver,messiah-deweaver-1,/cfb/players/messiah-deweaver-1.html,JR,QB,"29 Cmp, 67 Att, 316 Yds, 1 TD",Old Dominion,2019
Steven Williams,steven-williams-2,/cfb/players/steven-williams-2.html,SO,QB,"2 Cmp, 3 Att, 58 Yds, 1 TD",Old Dominion,2019
Jonah Fitzgerald,jonah-fitzgerald-1,/cfb/players/jonah-fitzgerald-1.html,FR,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",Old Dominion,2019
Noah Spencer,noah-spencer-1,/cfb/players/noah-spencer-1.html,FR,QB,,Old Dominion,2019
Kesean Strong,kesean-strong-1,/cfb/players/kesean-strong-1.html,SR,RB,"84 Att, 353 Yds, 4.2 Avg",Old Dominion,2019
Lala Davis,lala-davis-1,/cfb/players/lala-davis-1.html,FR,RB,"79 Att, 337 Yds, 4.3 Avg",Old Dominion,2019
Robert Washington,robert-washington-2,/cfb/players/robert-washington-2.html,JR,RB,"49 Att, 135 Yds, 2.8 Avg",Old Dominion,2019
Matt Geiger,matt-geiger-1,/cfb/players/matt-geiger-1.html,SO,RB,"12 Att, 39 Yds, 3.3 Avg",Old Dominion,2019
Quijon Gordon,quijon-gordon-1,/cfb/players/quijon-gordon-1.html,FR,RB,,Old Dominion,2019
Keshawn Wicks,keshawn-wicks-1,/cfb/players/keshawn-wicks-1.html,FR,RB,,Old Dominion,2019
Blake Watson,blake-watson-2,/cfb/players/blake-watson-2.html,FR,WR,"13 Rec, 79 Yds, 6.1 Avg",Old Dominion,2019
Cornell Hendrick Jr.,cornell-hendrick-jr-1,/cfb/players/cornell-hendrick-jr-1.html,FR,WR,"5 Rec, 34 Yds, 6.8 Avg",Old Dominion,2019
Isaiah Spencer,isaiah-spencer-2,/cfb/players/isaiah-spencer-2.html,FR,WR,"5 Rec, 63 Yds, 12.6 Avg",Old Dominion,2019
Aaron Moore,aaron-moore-4,/cfb/players/aaron-moore-4.html,FR,WR,"26 Rec, 389 Yds, 15.0 Avg",Old Dominion,2019
Eric Kumah,eric-kumah-1,/cfb/players/eric-kumah-1.html,SR,WR,"18 Rec, 192 Yds, 10.7 Avg",Old Dominion,2019
Nigel Fitzgerald,nigel-fitzgerald-1,/cfb/players/nigel-fitzgerald-1.html,FR,WR,"14 Rec, 219 Yds, 15.6 Avg",Old Dominion,2019
Darrell Brown,darrell-brown-4,/cfb/players/darrell-brown-4.html,SR,WR,"13 Rec, 114 Yds, 8.8 Avg",Old Dominion,2019
Darius Savedge,darius-savedge-1,/cfb/players/darius-savedge-1.html,FR,WR,"11 Rec, 144 Yds, 13.1 Avg",Old Dominion,2019
Jake Herslow,jake-herslow-1,/cfb/players/jake-herslow-1.html,JR,WR,"9 Rec, 95 Yds, 10.6 Avg",Old Dominion,2019
