Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jaxson Dart,jaxson-dart-1,/cfb/players/jaxson-dart-1.html,JR,QB,"233 Cmp, 358 Att, 3364 Yds, 23 TD",Ole Miss,2023
Spencer Sanders,spencer-sanders-1,/cfb/players/spencer-sanders-1.html,SR,QB,"19 Cmp, 29 Att, 278 Yds, 3 TD",Ole Miss,2023
Walker Howard,walker-howard-1,/cfb/players/walker-howard-1.html,FR,QB,"3 Cmp, 4 Att, 56 Yds, 0 TD",Ole Miss,2023
Deljay Bailey,deljay-bailey-1,/cfb/players/deljay-bailey-1.html,FR,QB,,Ole Miss,2023
Austin Simmons,austin-simmons-2,/cfb/players/austin-simmons-2.html,FR,QB,,Ole Miss,2023
Braden Waterman,braden-waterman-1,/cfb/players/braden-waterman-1.html,FR,QB,,Ole Miss,2023
Davin Wydner,davin-wydner-1,/cfb/players/davin-wydner-1.html,FR,QB,,Ole Miss,2023
Quinshon Judkins,quinshon-judkins-1,/cfb/players/quinshon-judkins-1.html,SO,RB,"271 Att, 1158 Yds, 4.3 Avg",Ole Miss,2023
Ulysses Bentley IV,ulysses-bentley-iv-1,/cfb/players/ulysses-bentley-iv-1.html,SR,RB,"95 Att, 540 Yds, 5.7 Avg",Ole Miss,2023
Matt Jones,matt-jones-9,/cfb/players/matt-jones-9.html,SO,RB,"12 Att, 79 Yds, 6.6 Avg",Ole Miss,2023
Jamious Griffin,jamious-griffin-1,/cfb/players/jamious-griffin-1.html,SR,RB,"7 Att, 39 Yds, 5.6 Avg",Ole Miss,2023
Jason Albritton,jason-albritton-1,/cfb/players/jason-albritton-1.html,SO,RB,,Ole Miss,2023
Fred McAfee,fred-mcafee-1,/cfb/players/fred-mcafee-1.html,SO,RB,,Ole Miss,2023
Kedrick Reescano,kedrick-reescano-1,/cfb/players/kedrick-reescano-1.html,FR,RB,,Ole Miss,2023
Austin Acton,austin-acton-1,/cfb/players/austin-acton-1.html,FR,RB,,Ole Miss,2023
Ali Scott,ali-scott-1,/cfb/players/ali-scott-1.html,JR,RB,,Ole Miss,2023
Jordan Watkins,jordan-watkins-2,/cfb/players/jordan-watkins-2.html,SR,WR,"53 Rec, 741 Yds, 14.0 Avg",Ole Miss,2023
Dayton Wade,dayton-wade-1,/cfb/players/dayton-wade-1.html,SR,WR,"55 Rec, 830 Yds, 15.1 Avg",Ole Miss,2023
Tre Harris,tre-harris-1,/cfb/players/tre-harris-1.html,SR,WR,"54 Rec, 985 Yds, 18.2 Avg",Ole Miss,2023
Cayden Lee,cayden-lee-1,/cfb/players/cayden-lee-1.html,FR,WR,"5 Rec, 114 Yds, 22.8 Avg",Ole Miss,2023
Zakhari Franklin,zakhari-franklin-1,/cfb/players/zakhari-franklin-1.html,SR,WR,"4 Rec, 38 Yds, 9.5 Avg",Ole Miss,2023
Ayden Williams,ayden-williams-1,/cfb/players/ayden-williams-1.html,FR,WR,"4 Rec, 80 Yds, 20.0 Avg",Ole Miss,2023
Bralon Brown,bralon-brown-1,/cfb/players/bralon-brown-1.html,SO,WR,"2 Rec, 33 Yds, 16.5 Avg",Ole Miss,2023
JJ Henry,jj-henry-1,/cfb/players/jj-henry-1.html,SO,WR,"1 Rec, 11 Yds, 11.0 Avg",Ole Miss,2023
Joshua Aka,joshua-aka-1,/cfb/players/joshua-aka-1.html,SR,WR,,Ole Miss,2023
Lex Boucvalt,lex-boucvalt-2,/cfb/players/lex-boucvalt-2.html,JR,WR,,Ole Miss,2023
Drew Burnett,drew-burnett-1,/cfb/players/drew-burnett-1.html,FR,WR,,Ole Miss,2023
Mac Owen,mac-owen-1,/cfb/players/mac-owen-1.html,FR,WR,,Ole Miss,2023
Josh Pfeifer,josh-pfeifer-1,/cfb/players/josh-pfeifer-1.html,SO,WR,,Ole Miss,2023
Rayf Vinson,rayf-vinson-1,/cfb/players/rayf-vinson-1.html,SO,WR,,Ole Miss,2023
Calvin Wilson,calvin-wilson-2,/cfb/players/calvin-wilson-2.html,SO,WR,,Ole Miss,2023
Qua Davis,qua-davis-1,/cfb/players/qua-davis-1.html,SR,WR,,Ole Miss,2023
Jeremiah Dillon,jeremiah-dillon-1,/cfb/players/jeremiah-dillon-1.html,FR,WR,,Ole Miss,2023
Larry Simmons,larry-simmons-3,/cfb/players/larry-simmons-3.html,FR,WR,,Ole Miss,2023
Caden Prieskorn,caden-prieskorn-1,/cfb/players/caden-prieskorn-1.html,SR,TE,"30 Rec, 449 Yds, 15.0 Avg",Ole Miss,2023
Kyirin Heath,kyirin-heath-1,/cfb/players/kyirin-heath-1.html,SO,TE,"4 Rec, 60 Yds, 15.0 Avg",Ole Miss,2023
Michael Trigg,michael-trigg-1,/cfb/players/michael-trigg-1.html,JR,TE,"4 Rec, 65 Yds, 16.3 Avg",Ole Miss,2023
Hudson Wolfe,hudson-wolfe-1,/cfb/players/hudson-wolfe-1.html,SO,TE,"3 Rec, 41 Yds, 13.7 Avg",Ole Miss,2023
Jayvontay Conner,jayvontay-conner-1,/cfb/players/jayvontay-conner-1.html,FR,TE,"1 Rec, 7 Yds, 7.0 Avg",Ole Miss,2023
Salathiel Hemphill,salathiel-hemphill-1,/cfb/players/salathiel-hemphill-1.html,JR,TE,,Ole Miss,2023
Wyatt Smalley,wyatt-smalley-1,/cfb/players/wyatt-smalley-1.html,FR,TE,,Ole Miss,2023
Eli Acker,eli-acker-1,/cfb/players/eli-acker-1.html,JR,OL,,Ole Miss,2023
Victor Curne,victor-curne-1,/cfb/players/victor-curne-1.html,SR,OL,,Ole Miss,2023
Preston Cushman,preston-cushman-1,/cfb/players/preston-cushman-1.html,FR,OL,,Ole Miss,2023
Cam East,cam-east-1,/cfb/players/cam-east-1.html,FR,OL,,Ole Miss,2023
Jeremy James,jeremy-james-1,/cfb/players/jeremy-james-1.html,SR,OL,,Ole Miss,2023
Quincy McGee,quincy-mcgee-1,/cfb/players/quincy-mcgee-1.html,SR,OL,,Ole Miss,2023
Reece McIntyre,reece-mcintyre-1,/cfb/players/reece-mcintyre-1.html,SR,OL,,Ole Miss,2023
