Player,Player_ID,Player_Link,class,pos,summary,School,Year
Darell Garretson,darell-garretson-1,/cfb/players/darell-garretson-1.html,SR,QB,"128 Cmp, 221 Att, 1465 Yds, 6 TD",Oregon State,2017
Jake Luton,jake-luton-1,/cfb/players/jake-luton-1.html,JR,QB,"83 Cmp, 135 Att, 853 Yds, 4 TD",Oregon State,2017
Conor Blount,conor-blount-1,/cfb/players/conor-blount-1.html,SO,QB,,Oregon State,2017
Aidan Willard,aidan-willard-1,/cfb/players/aidan-willard-1.html,FR,QB,,Oregon State,2017
Ryan Nall,ryan-nail-1,/cfb/players/ryan-nail-1.html,JR,RB,"165 Att, 810 Yds, 4.9 Avg",Oregon State,2017
Art Pierce,art-pierce-1,/cfb/players/art-pierce-1.html,SO,RB,"68 Att, 323 Yds, 4.8 Avg",Oregon State,2017
Thomas Tyner,thomas-tyner-1,/cfb/players/thomas-tyner-1.html,SR,RB,"64 Att, 297 Yds, 4.6 Avg",Oregon State,2017
Trevorris Johnson,trevorris-johnson-1,/cfb/players/trevorris-johnson-1.html,SR,RB,"35 Att, 106 Yds, 3.0 Avg",Oregon State,2017
Calvin Tyler Jr.,calvin-tyler-jr-1,/cfb/players/calvin-tyler-jr-1.html,FR,RB,"3 Att, 11 Yds, 3.7 Avg",Oregon State,2017
Jaylynn Bailey,jaylynn-bailey-1,/cfb/players/jaylynn-bailey-1.html,SR,RB,,Oregon State,2017
B.J. Baylor,bj-baylor-1,/cfb/players/bj-baylor-1.html,FR,RB,,Oregon State,2017
Hunter Mattson,hunter-mattson-1,/cfb/players/hunter-mattson-1.html,FR,RB,,Oregon State,2017
Timmy Hernandez,timmy-hernandez-1,/cfb/players/timmy-hernandez-1.html,JR,WR,"30 Rec, 357 Yds, 11.9 Avg",Oregon State,2017
Seth Collins,seth-collins-1,/cfb/players/seth-collins-1.html,JR,WR,"12 Rec, 130 Yds, 10.8 Avg",Oregon State,2017
Trevon Bradford,trevon-bradford-1,/cfb/players/trevon-bradford-1.html,SO,WR,"11 Rec, 204 Yds, 18.5 Avg",Oregon State,2017
Xavier Hawkins,xavier-hawkins-1,/cfb/players/xavier-hawkins-1.html,SR,WR,"8 Rec, 66 Yds, 8.3 Avg",Oregon State,2017
Isaiah Hodgins,isaiah-hodgins-1,/cfb/players/isaiah-hodgins-1.html,FR,WR,"31 Rec, 275 Yds, 8.9 Avg",Oregon State,2017
Jordan Villamin,jordan-villamin-1,/cfb/players/jordan-villamin-1.html,SR,WR,"30 Rec, 356 Yds, 11.9 Avg",Oregon State,2017
Andre Bodden,andre-bodden-1,/cfb/players/andre-bodden-1.html,SO,WR,"1 Rec, 9 Yds, 9.0 Avg",Oregon State,2017
Tino Allen,tino-allen-1,/cfb/players/tino-allen-1.html,FR,WR,,Oregon State,2017
Champ Flemings,champ-flemings-1,/cfb/players/champ-flemings-1.html,FR,WR,,Oregon State,2017
Connor Laverty,connor-laverty-1,/cfb/players/connor-laverty-1.html,FR,WR,,Oregon State,2017
Aaron Short,aaron-short-1,/cfb/players/aaron-short-1.html,JR,WR,,Oregon State,2017
Kolby Taylor,kolby-taylor-1,/cfb/players/kolby-taylor-1.html,FR,WR,,Oregon State,2017
Koby Tripp,koby-tripp-1,/cfb/players/koby-tripp-1.html,SO,WR,,Oregon State,2017
Tanner Walker,tanner-walker-1,/cfb/players/tanner-walker-1.html,SO,WR,,Oregon State,2017
Tuli Wily-Matagi,tuli-wily-matagi-1,/cfb/players/tuli-wily-matagi-1.html,SO,TE,"6 Rec, 54 Yds, 9.0 Avg",Oregon State,2017
Noah Togiai,noah-togiai-1,/cfb/players/noah-togiai-1.html,JR,TE,"34 Rec, 461 Yds, 13.6 Avg",Oregon State,2017
Bryce Bramscher,bryce-bramscher-1,/cfb/players/bryce-bramscher-1.html,FR,TE,,Oregon State,2017
Jack Holum,jack-holum-1,/cfb/players/jack-holum-1.html,FR,TE,,Oregon State,2017
Quinn Smith,quinn-smith-1,/cfb/players/quinn-smith-1.html,JR,TE,,Oregon State,2017
Ralph Taufa'asau,ralph-taufaasau-1,/cfb/players/ralph-taufaasau-1.html,FR,TE,,Oregon State,2017
Fred Lauina,fred-lauina-1,/cfb/players/fred-lauina-1.html,SR,OL,,Oregon State,2017
Gus Lavaka,gus-lavaka-1,/cfb/players/gus-lavaka-1.html,SO,OL,,Oregon State,2017
Blake Brandel,blake-brandel-1,/cfb/players/blake-brandel-1.html,SO,OL,,Oregon State,2017
Onesimus Clarke,onesimus-clarke-1,/cfb/players/onesimus-clarke-1.html,FR,OL,,Oregon State,2017
Clay Cordasco,clay-cordasco-1,/cfb/players/clay-cordasco-1.html,JR,OL,,Oregon State,2017
Kammy Delp,kammy-delp-1,/cfb/players/kammy-delp-1.html,JR,OL,,Oregon State,2017
Yanni Demogerontas,yanni-demogerontas-1,/cfb/players/yanni-demogerontas-1.html,JR,OL,,Oregon State,2017
Miki Fifita,miki-fifita-1,/cfb/players/miki-fifita-1.html,SO,OL,,Oregon State,2017
Summer Houston,summer-houston-1,/cfb/players/summer-houston-1.html,JR,OL,,Oregon State,2017
Andrew Iademarco,andrew-iademarco-1,/cfb/players/andrew-iademarco-1.html,SO,OL,,Oregon State,2017
Nous Keobounnam,nous-keobounnam-1,/cfb/players/nous-keobounnam-1.html,FR,OL,,Oregon State,2017
Travis Mackay,travis-mackay-1,/cfb/players/travis-mackay-1.html,FR,OL,,Oregon State,2017
Keli'i Montibon,kelii-montibon-1,/cfb/players/kelii-montibon-1.html,SO,OL,,Oregon State,2017
Trent Moore,trent-moore-1,/cfb/players/trent-moore-1.html,JR,OL,,Oregon State,2017
Justin Sattelmaier,justin-sattelmaier-1,/cfb/players/justin-sattelmaier-1.html,SO,OL,,Oregon State,2017
Brock Wellsfry,brock-wellsfry-1,/cfb/players/brock-wellsfry-1.html,FR,OL,,Oregon State,2017
Kee Whetzel,kee-whetzel-1,/cfb/players/kee-whetzel-1.html,FR,LB,,Oregon State,2017
Kesi Ah-Hoy,kesi-ah-hoy-1,/cfb/players/kesi-ah-hoy-1.html,FR,LB,,Oregon State,2017
Andrzej Hughes-Murray,andrzej-hughes-murray-1,/cfb/players/andrzej-hughes-murray-1.html,SO,LB,,Oregon State,2017
Manase Hungalu,manase-hungalu-2,/cfb/players/manase-hungalu-2.html,SR,LB,,Oregon State,2017
Wesley Payne,wesley-payne-1,/cfb/players/wesley-payne-1.html,SR,LB,,Oregon State,2017
Hamilcar Rashed Jr.,hamilcar-rashed-jr-1,/cfb/players/hamilcar-rashed-jr-1.html,FR,LB,,Oregon State,2017
Shemar Smith,shemar-smith-1,/cfb/players/shemar-smith-1.html,SO,LB,,Oregon State,2017
Adam Soesman,adam-soesman-1,/cfb/players/adam-soesman-1.html,JR,LB,,Oregon State,2017
Doug Taumoelau,doug-taumoelau-1,/cfb/players/doug-taumoelau-1.html,FR,LB,,Oregon State,2017
Bright Ugwoegbu,bright-ugwoegbu-1,/cfb/players/bright-ugwoegbu-1.html,JR,LB,,Oregon State,2017
Jonathan Willis,jonathan-willis-1,/cfb/players/jonathan-willis-1.html,JR,LB,,Oregon State,2017
