Player,Player_ID,Player_Link,class,pos,summary,School,Year
Drew Allar,drew-allar-1,/cfb/players/drew-allar-1.html,SO,QB,"233 Cmp, 389 Att, 2631 Yds, 25 TD",Penn State,2023
Beau Pribula,beau-pribula-1,/cfb/players/beau-pribula-1.html,FR,QB,"11 Cmp, 21 Att, 149 Yds, 4 TD",Penn State,2023
Jaxon Smolik,jaxon-smolik-1,/cfb/players/jaxon-smolik-1.html,FR,QB,,Penn State,2023
Karson Kiesewetter,karson-kiesewetter-1,/cfb/players/karson-kiesewetter-1.html,FR,QB,,Penn State,2023
Jack Lambert,jack-lambert-2,/cfb/players/jack-lambert-2.html,FR,QB,,Penn State,2023
Kaytron Allen,kaytron-allen-1,/cfb/players/kaytron-allen-1.html,SO,RB,"172 Att, 902 Yds, 5.2 Avg",Penn State,2023
Treyson Potts,treyson-potts-1,/cfb/players/treyson-potts-1.html,SR,RB,"25 Att, 155 Yds, 6.2 Avg",Penn State,2023
Nicholas Singleton,nicholas-singleton-1,/cfb/players/nicholas-singleton-1.html,SO,RB,"171 Att, 752 Yds, 4.4 Avg",Penn State,2023
Tank Smith,tank-smith-1,/cfb/players/tank-smith-1.html,SR,RB,"9 Att, 71 Yds, 7.9 Avg",Penn State,2023
Tyler Holzworth,tyler-holzworth-1,/cfb/players/tyler-holzworth-1.html,SO,RB,"3 Att, 4 Yds, 1.3 Avg",Penn State,2023
Amiel Davis,amiel-davis-1,/cfb/players/amiel-davis-1.html,SO,RB,,Penn State,2023
DK Kency,dk-kency-1,/cfb/players/dk-kency-1.html,FR,RB,,Penn State,2023
London Montgomery,london-montgomery-1,/cfb/players/london-montgomery-1.html,FR,RB,,Penn State,2023
Cam Wallace,cam-wallace-1,/cfb/players/cam-wallace-1.html,FR,RB,,Penn State,2023
Keandre Lambert-Smith,keandre-lambert-smith-1,/cfb/players/keandre-lambert-smith-1.html,JR,WR,"53 Rec, 673 Yds, 12.7 Avg",Penn State,2023
Dante Cephas,dante-cephas-1,/cfb/players/dante-cephas-1.html,SR,WR,"22 Rec, 246 Yds, 11.2 Avg",Penn State,2023
Harrison Wallace III,harrison-wallace-iii-1,/cfb/players/harrison-wallace-iii-1.html,SO,WR,"19 Rec, 228 Yds, 12.0 Avg",Penn State,2023
Liam Clifford,liam-clifford-1,/cfb/players/liam-clifford-1.html,SO,WR,"13 Rec, 130 Yds, 10.0 Avg",Penn State,2023
Malik McClain,malik-mcclain-1,/cfb/players/malik-mcclain-1.html,JR,WR,"6 Rec, 71 Yds, 11.8 Avg",Penn State,2023
Kaden Saunders,kaden-saunders-1,/cfb/players/kaden-saunders-1.html,FR,WR,"6 Rec, 56 Yds, 9.3 Avg",Penn State,2023
Omari Evans,omari-evans-1,/cfb/players/omari-evans-1.html,SO,WR,"4 Rec, 94 Yds, 23.5 Avg",Penn State,2023
Malick Meiga,malick-meiga-1,/cfb/players/malick-meiga-1.html,JR,WR,"3 Rec, 9 Yds, 3.0 Avg",Penn State,2023
Cristian Driver,cristian-driver-1,/cfb/players/cristian-driver-1.html,FR,WR,"1 Rec, 8 Yds, 8.0 Avg",Penn State,2023
Jason Estrella,jason-estrella-1,/cfb/players/jason-estrella-1.html,SO,WR,,Penn State,2023
Anthony Ivey,anthony-ivey-1,/cfb/players/anthony-ivey-1.html,FR,WR,,Penn State,2023
Jan Mahlert,jan-mahlert-1,/cfb/players/jan-mahlert-1.html,SO,WR,,Penn State,2023
Mason Stahl,mason-stahl-1,/cfb/players/mason-stahl-1.html,JR,WR,,Penn State,2023
Carmelo Taylor,carmelo-taylor-1,/cfb/players/carmelo-taylor-1.html,FR,WR,,Penn State,2023
Ethan Black,ethan-black-1,/cfb/players/ethan-black-1.html,FR,WR,,Penn State,2023
Tyler Johnson,tyler-johnson-11,/cfb/players/tyler-johnson-11.html,FR,WR,,Penn State,2023
Feyisayo Oluleye,feyisayo-oluleye-1,/cfb/players/feyisayo-oluleye-1.html,SO,WR,,Penn State,2023
Jake Spencer,jake-spencer-1,/cfb/players/jake-spencer-1.html,JR,WR,,Penn State,2023
Theo Johnson,theo-johnson-1,/cfb/players/theo-johnson-1.html,JR,TE,"34 Rec, 341 Yds, 10.0 Avg",Penn State,2023
Tyler Warren,tyler-warren-1,/cfb/players/tyler-warren-1.html,JR,TE,"34 Rec, 422 Yds, 12.4 Avg",Penn State,2023
Khalil Dinkins,khalil-dinkins-1,/cfb/players/khalil-dinkins-1.html,SO,TE,"5 Rec, 57 Yds, 11.4 Avg",Penn State,2023
Jerry Cross,jerry-cross-2,/cfb/players/jerry-cross-2.html,FR,TE,,Penn State,2023
Andrew Rappleyea,andrew-rappleyea-1,/cfb/players/andrew-rappleyea-1.html,FR,TE,,Penn State,2023
Finn Furmanek,finn-furmanek-1,/cfb/players/finn-furmanek-1.html,FR,TE,,Penn State,2023
Joey Schlaffer,joey-schlaffer-1,/cfb/players/joey-schlaffer-1.html,FR,TE,,Penn State,2023
Nick Dawkins,nick-dawkins-1,/cfb/players/nick-dawkins-1.html,JR,OL,,Penn State,2023
Anthony Donkoh,anthony-donkoh-1,/cfb/players/anthony-donkoh-1.html,FR,OL,,Penn State,2023
Olu Fashanu,olu-fashanu-1,/cfb/players/olu-fashanu-1.html,JR,OL,,Penn State,2023
Vega Ioane,vega-ioane-1,/cfb/players/vega-ioane-1.html,FR,OL,,Penn State,2023
Golden Israel-Achumba,golden-israel-achumba-1,/cfb/players/golden-israel-achumba-1.html,JR,OL,,Penn State,2023
JB Nelson,jb-nelson-1,/cfb/players/jb-nelson-1.html,JR,OL,,Penn State,2023
Hunter Nourzad,hunter-nourzad-1,/cfb/players/hunter-nourzad-1.html,SR,OL,,Penn State,2023
Chimdy Onoh,chimdy-onoh-1,/cfb/players/chimdy-onoh-1.html,FR,OL,,Penn State,2023
Dominic Rulli,dominic-rulli-1,/cfb/players/dominic-rulli-1.html,FR,OL,,Penn State,2023
Drew Shelton,drew-shelton-1,/cfb/players/drew-shelton-1.html,SO,OL,,Penn State,2023
Ibrahim Traore,ibrahim-traore-1,/cfb/players/ibrahim-traore-1.html,JR,OL,,Penn State,2023
Caedan Wallace,caedan-wallace-1,/cfb/players/caedan-wallace-1.html,SR,OL,,Penn State,2023
J'ven Williams,jven-williams-1,/cfb/players/jven-williams-1.html,FR,OL,,Penn State,2023
Sal Wormley,sal-wormley-1,/cfb/players/sal-wormley-1.html,SR,OL,,Penn State,2023
Alex Birchmeier,alex-birchmeier-1,/cfb/players/alex-birchmeier-1.html,FR,OL,,Penn State,2023
Henry Boehme,henry-boehme-1,/cfb/players/henry-boehme-1.html,FR,OL,,Penn State,2023
Matt Detisch,matt-detisch-1,/cfb/players/matt-detisch-1.html,FR,OL,,Penn State,2023
Jim Fitzgerald,jim-fitzgerald-1,/cfb/players/jim-fitzgerald-1.html,FR,OL,,Penn State,2023
Ian Harvie,ian-harvie-1,/cfb/players/ian-harvie-1.html,FR,OL,,Penn State,2023
Addison Penn,addison-penn-1,/cfb/players/addison-penn-1.html,JR,OL,,Penn State,2023
Liam Powers,liam-powers-1,/cfb/players/liam-powers-1.html,FR,OL,,Penn State,2023
Landon Tengwall,landon-tengwall-1,/cfb/players/landon-tengwall-1.html,SO,OL,,Penn State,2023
Alex Felkins,alex-felkins-1,/cfb/players/alex-felkins-1.html,SR,K,,Penn State,2023
Sander Sahaydak,sander-sahaydak-1,/cfb/players/sander-sahaydak-1.html,SO,K,,Penn State,2023
Ryan Barker,ryan-barker-1,/cfb/players/ryan-barker-1.html,FR,K,,Penn State,2023
Mitchell Groh,mitchell-groh-1,/cfb/players/mitchell-groh-1.html,SO,K,,Penn State,2023
Abdul Carter,abdul-carter-1,/cfb/players/abdul-carter-1.html,SO,LB,,Penn State,2023
Dominic Deluca,dominic-deluca-1,/cfb/players/dominic-deluca-1.html,SO,LB,,Penn State,2023
Tyler Elsdon,tyler-elsdon-1,/cfb/players/tyler-elsdon-1.html,JR,LB,,Penn State,2023
Curtis Jacobs,curtis-jacobs-1,/cfb/players/curtis-jacobs-1.html,JR,LB,,Penn State,2023
Kaveion Keys,kaveion-keys-1,/cfb/players/kaveion-keys-1.html,FR,LB,,Penn State,2023
Kobe King,kobe-king-1,/cfb/players/kobe-king-1.html,SO,LB,,Penn State,2023
Ta'Mere Robinson,tamere-robinson-1,/cfb/players/tamere-robinson-1.html,FR,LB,,Penn State,2023
Tony Rojas,tony-rojas-1,/cfb/players/tony-rojas-1.html,FR,LB,,Penn State,2023
Keon Wylie,keon-wylie-1,/cfb/players/keon-wylie-1.html,FR,LB,,Penn State,2023
Ben Chizmar,ben-chizmar-1,/cfb/players/ben-chizmar-1.html,SO,LB,,Penn State,2023
Jackson Pryts,jackson-pryts-1,/cfb/players/jackson-pryts-1.html,FR,LB,,Penn State,2023
Winston Yates,winston-yates-1,/cfb/players/winston-yates-1.html,FR,LB,,Penn State,2023
Gabe Nwosu,gabe-nwosu-1,/cfb/players/gabe-nwosu-1.html,SO,P,,Penn State,2023
Riley Thompson,riley-thompson-1,/cfb/players/riley-thompson-1.html,SO,P,,Penn State,2023
Alex Bacchetta,alex-bacchetta-1,/cfb/players/alex-bacchetta-1.html,FR,P,,Penn State,2023
Kaleb Artis,kaleb-artis-1,/cfb/players/kaleb-artis-1.html,FR,DT,,Penn State,2023
Hakeem Beamon,hakeem-beamon-1,/cfb/players/hakeem-beamon-1.html,SR,DT,,Penn State,2023
Ty Blanding,ty-blanding-1,/cfb/players/ty-blanding-1.html,FR,DT,,Penn State,2023
Audavion Collins,audavion-collins-1,/cfb/players/audavion-collins-1.html,FR,CB,,Penn State,2023
Dani Dennis-Sutton,dani-dennis-sutton-1,/cfb/players/dani-dennis-sutton-1.html,SO,DE,,Penn State,2023
Kolin Dinkins,kolin-dinkins-1,/cfb/players/kolin-dinkins-1.html,FR,CB,,Penn State,2023
Johnny Dixon,johnny-dixon-2,/cfb/players/johnny-dixon-2.html,SR,CB,,Penn State,2023
Zane Durant,zane-durant-1,/cfb/players/zane-durant-1.html,SO,DT,,Penn State,2023
Tyler Duzansky,tyler-duzansky-1,/cfb/players/tyler-duzansky-1.html,SO,LS,,Penn State,2023
Dvon Ellies,dvon-ellies-1,/cfb/players/dvon-ellies-1.html,SR,DT,,Penn State,2023
Keaton Ellis,keaton-ellis-1,/cfb/players/keaton-ellis-1.html,SR,S,,Penn State,2023
Zuriah Fisher,zuriah-fisher-1,/cfb/players/zuriah-fisher-1.html,JR,DE,,Penn State,2023
Mehki Flowers,mehki-flowers-1,/cfb/players/mehki-flowers-1.html,FR,S,,Penn State,2023
Daequan Hardy,daequan-hardy-1,/cfb/players/daequan-hardy-1.html,SR,CB,,Penn State,2023
Adisa Isaac,adisa-isaac-1,/cfb/players/adisa-isaac-1.html,SR,DE,,Penn State,2023
Coziah Izzard,coziah-izzard-1,/cfb/players/coziah-izzard-1.html,JR,DT,,Penn State,2023
Kalen King,kalen-king-1,/cfb/players/kalen-king-1.html,JR,CB,,Penn State,2023
Jameial Lyons,jameial-lyons-1,/cfb/players/jameial-lyons-1.html,FR,DE,,Penn State,2023
King Mack,king-mack-1,/cfb/players/king-mack-1.html,FR,S,,Penn State,2023
Cam Miller,cam-miller-1,/cfb/players/cam-miller-1.html,SO,CB,,Penn State,2023
Tyrece Mills,tyrece-mills-1,/cfb/players/tyrece-mills-1.html,SO,S,,Penn State,2023
DaKaari Nelson,dakaari-nelson-1,/cfb/players/dakaari-nelson-1.html,FR,S,,Penn State,2023
Lamont Payne,lamont-payne-1,/cfb/players/lamont-payne-1.html,FR,CB,,Penn State,2023
Jaylen Reed,jaylen-reed-1,/cfb/players/jaylen-reed-1.html,JR,S,,Penn State,2023
Demeioun Robinson,demeioun-robinson-1,/cfb/players/demeioun-robinson-1.html,JR,DE,,Penn State,2023
Blaise Sokach-Minnick,blaise-sokach-minnick-1,/cfb/players/blaise-sokach-minnick-1.html,FR,LS,,Penn State,2023
Davon Townley Jr.,davon-townley-jr-1,/cfb/players/davon-townley-jr-1.html,SO,DT,,Penn State,2023
Zion Tracy,zion-tracy-1,/cfb/players/zion-tracy-1.html,FR,CB,,Penn State,2023
Jace Tutty,jace-tutty-1,/cfb/players/jace-tutty-1.html,SO,CB,,Penn State,2023
Jordan Van Den Berg,jordan-van-den-berg-1,/cfb/players/jordan-van-den-berg-1.html,JR,DT,,Penn State,2023
Amin Vanover,amin-vanover-1,/cfb/players/amin-vanover-1.html,JR,DE,,Penn State,2023
Elliot Washington II,elliot-washington-ii-1,/cfb/players/elliot-washington-ii-1.html,FR,CB,,Penn State,2023
Zakee Wheatley,zakee-wheatley-1,/cfb/players/zakee-wheatley-1.html,SO,S,,Penn State,2023
Jake Wilson,jake-wilson-3,/cfb/players/jake-wilson-3.html,JR,DE,,Penn State,2023
Kevin Winston,kevin-winston-1,/cfb/players/kevin-winston-1.html,SO,S,,Penn State,2023
Alonzo Ford,alonzo-ford-1,/cfb/players/alonzo-ford-1.html,JR,DT,,Penn State,2023
Jashaun Green,jashaun-green-1,/cfb/players/jashaun-green-1.html,FR,S,,Penn State,2023
George Hlavac,george-hlavac-1,/cfb/players/george-hlavac-1.html,JR,CB,,Penn State,2023
Bobby Mears,bobby-mears-1,/cfb/players/bobby-mears-1.html,FR,DE,,Penn State,2023
Joseph Mupoyi,joseph-mupoyi-1,/cfb/players/joseph-mupoyi-1.html,FR,DE,,Penn State,2023
Joey Palko,joey-palko-1,/cfb/players/joey-palko-1.html,FR,DE,,Penn State,2023
Will Patton,will-patton-1,/cfb/players/will-patton-1.html,FR,LS,,Penn State,2023
Mason Robinson,mason-robinson-2,/cfb/players/mason-robinson-2.html,FR,DE,,Penn State,2023
Sam Siafa,sam-siafa-1,/cfb/players/sam-siafa-1.html,FR,DT,,Penn State,2023
Smith Vilbert,smith-vilbert-1,/cfb/players/smith-vilbert-1.html,SR,DE,,Penn State,2023
Patrick Williams,patrick-williams-5,/cfb/players/patrick-williams-5.html,FR,S,,Penn State,2023
