Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kenny Pickett,kenny-pickett-1,/cfb/players/kenny-pickett-1.html,JR,QB,"289 Cmp, 469 Att, 3098 Yds, 13 TD",Pitt,2019
Nick Patti,nick-patti-3,/cfb/players/nick-patti-3.html,FR,QB,"26 Cmp, 43 Att, 301 Yds, 3 TD",Pitt,2019
Jeff George Jr.,jeff-george-jr-1,/cfb/players/jeff-george-jr-1.html,SR,QB,,Pitt,2019
Davis Beville,davis-beville-1,/cfb/players/davis-beville-1.html,FR,QB,,Pitt,2019
Eli Kosanovich,eli-kosanovich-2,/cfb/players/eli-kosanovich-2.html,FR,QB,,Pitt,2019
A.J. Davis,aj-davis-4,/cfb/players/aj-davis-4.html,JR,RB,"127 Att, 530 Yds, 4.2 Avg",Pitt,2019
Vincent Davis,vincent-davis-3,/cfb/players/vincent-davis-3.html,FR,RB,"61 Att, 314 Yds, 5.1 Avg",Pitt,2019
Todd Sibley Jr.,todd-sibley-jr-1,/cfb/players/todd-sibley-jr-1.html,SO,RB,"50 Att, 249 Yds, 5.0 Avg",Pitt,2019
Daniel Carter,daniel-carter-1,/cfb/players/daniel-carter-1.html,FR,RB,,Pitt,2019
Mychale Salahuddin,mychale-salahuddin-1,/cfb/players/mychale-salahuddin-1.html,FR,RB,,Pitt,2019
Kyle Vreen,kyle-vreen-1,/cfb/players/kyle-vreen-1.html,JR,RB,,Pitt,2019
Aaron Mathews,aaron-mathews-1,/cfb/players/aaron-mathews-1.html,SR,WR,"13 Rec, 220 Yds, 16.9 Avg",Pitt,2019
V'Lique Carter,vlique-carter-1,/cfb/players/vlique-carter-1.html,SO,WR,"17 Rec, 183 Yds, 10.8 Avg",Pitt,2019
Shocky Jacques-Louis,shocky-jacques-louis-1,/cfb/players/shocky-jacques-louis-1.html,SO,WR,"23 Rec, 348 Yds, 15.1 Avg",Pitt,2019
