Player,Player_ID,Player_Link,class,pos,summary,School,Year
Aidan O'Connell,aidan-oconnell-1,/cfb/players/aidan-oconnell-1.html,SR,QB,"320 Cmp, 499 Att, 3490 Yds, 22 TD",Purdue,2022
Austin Burton,austin-burton-1,/cfb/players/austin-burton-1.html,SR,QB,"36 Cmp, 56 Att, 273 Yds, 3 TD",Purdue,2022
Michael Alaimo,michael-alaimo-1,/cfb/players/michael-alaimo-1.html,SO,QB,"9 Cmp, 18 Att, 74 Yds, 1 TD",Purdue,2022
Jack Albers,jack-albers-1,/cfb/players/jack-albers-1.html,JR,QB,"2 Cmp, 6 Att, 32 Yds, 0 TD",Purdue,2022
Brady Allen,brady-allen-1,/cfb/players/brady-allen-1.html,FR,QB,"1 Cmp, 3 Att, 8 Yds, 0 TD",Purdue,2022
Kyle Adams,kyle-adams-3,/cfb/players/kyle-adams-3.html,JR,QB,,Purdue,2022
Christian Gelov,christian-gelov-1,/cfb/players/christian-gelov-1.html,JR,QB,,Purdue,2022
Devin Mockobee,devin-mockobee-1,/cfb/players/devin-mockobee-1.html,SO,RB,"195 Att, 968 Yds, 5.0 Avg",Purdue,2022
Dylan Downing,dylan-downing-2,/cfb/players/dylan-downing-2.html,SR,RB,"93 Att, 351 Yds, 3.8 Avg",Purdue,2022
Kobe Lewis,kobe-lewis-1,/cfb/players/kobe-lewis-1.html,JR,RB,"43 Att, 146 Yds, 3.4 Avg",Purdue,2022
King Doerue,king-doerue-1,/cfb/players/king-doerue-1.html,SR,RB,"27 Att, 97 Yds, 3.6 Avg",Purdue,2022
Tyrone Tracy Jr.,tyrone-tracy-jr-1,/cfb/players/tyrone-tracy-jr-1.html,SR,RB,"28 Rec, 198 Yds, 7.1 Avg",Purdue,2022
Caleb Lahey,caleb-lahey-1,/cfb/players/caleb-lahey-1.html,SO,RB,"3 Att, 6 Yds, 2.0 Avg",Purdue,2022
Will Chapman,will-chapman-1,/cfb/players/will-chapman-1.html,JR,RB,,Purdue,2022
Addai Lewellen,addai-lewellen-1,/cfb/players/addai-lewellen-1.html,FR,RB,,Purdue,2022
Kentrell Marks,kentrell-marks-1,/cfb/players/kentrell-marks-1.html,FR,RB,,Purdue,2022
Abdur-Rahmaan Yaseen,abdur-rahmaan-yaseen-1,/cfb/players/abdur-rahmaan-yaseen-1.html,JR,WR,"4 Rec, 34 Yds, 8.5 Avg",Purdue,2022
TJ Sheffield,tj-sheffield-1,/cfb/players/tj-sheffield-1.html,SR,WR,"46 Rec, 480 Yds, 10.4 Avg",Purdue,2022
Charlie Jones,charlie-jones-7,/cfb/players/charlie-jones-7.html,SR,WR,"110 Rec, 1361 Yds, 12.4 Avg",Purdue,2022
Deion Burks,deion-burks-1,/cfb/players/deion-burks-1.html,SO,WR,"15 Rec, 149 Yds, 9.9 Avg",Purdue,2022
Mershawn Rice,mershawn-rice-1,/cfb/players/mershawn-rice-1.html,SR,WR,"23 Rec, 283 Yds, 12.3 Avg",Purdue,2022
Andrew Sowinski,andrew-sowinski-1,/cfb/players/andrew-sowinski-1.html,JR,WR,"9 Rec, 96 Yds, 10.7 Avg",Purdue,2022
Broc Thompson,broc-thompson-1,/cfb/players/broc-thompson-1.html,SR,WR,"3 Rec, 28 Yds, 9.3 Avg",Purdue,2022
Alex Maxwell,alex-maxwell-1,/cfb/players/alex-maxwell-1.html,JR,WR,"2 Rec, 28 Yds, 14.0 Avg",Purdue,2022
Preston Terrell,preston-terrell-1,/cfb/players/preston-terrell-1.html,SO,WR,"2 Rec, 12 Yds, 6.0 Avg",Purdue,2022
Collin Sullivan,collin-sullivan-1,/cfb/players/collin-sullivan-1.html,SO,WR,"1 Rec, 6 Yds, 6.0 Avg",Purdue,2022
Elijah Canion,elijah-canion-1,/cfb/players/elijah-canion-1.html,JR,WR,,Purdue,2022
Trey Firestone,trey-firestone-1,/cfb/players/trey-firestone-1.html,FR,WR,,Purdue,2022
Hayden Parise,hayden-parise-1,/cfb/players/hayden-parise-1.html,JR,WR,,Purdue,2022
Zion Steptoe,zion-steptoe-1,/cfb/players/zion-steptoe-1.html,FR,WR,,Purdue,2022
