Player,Player_ID,Player_Link,class,pos,summary,School,Year
Hunter Watson,hunter-watson-1,/cfb/players/hunter-watson-1.html,SR,QB,"104 Cmp, 182 Att, 1108 Yds, 5 TD",Sam Houston,2025
Landyn Locke,landyn-locke-1,/cfb/players/landyn-locke-1.html,FR,QB,"71 Cmp, 141 Att, 765 Yds, 4 TD",Sam Houston,2025
Mabrey Mettauer,mabrey-mettauer-1,/cfb/players/mabrey-mettauer-1.html,FR,QB,"36 Cmp, 61 Att, 294 Yds, 3 TD",Sam Houston,2025
DJ Bailey,dj-bailey-1,/cfb/players/dj-bailey-1.html,FR,QB,"2 Cmp, 3 Att, 42 Yds, 0 TD",Sam Houston,2025
Alton McCaskill,alton-mccaskill-1,/cfb/players/alton-mccaskill-1.html,SR,RB,"88 Att, 370 Yds, 4.2 Avg",Sam Houston,2025
Landon Brown,landon-brown-2,/cfb/players/landon-brown-2.html,SO,RB,"84 Att, 487 Yds, 5.8 Avg",Sam Houston,2025
Elijah Green,elijah-green-1,/cfb/players/elijah-green-1.html,SR,RB,"58 Att, 391 Yds, 6.7 Avg",Sam Houston,2025
Jerrian Parker,jerrian-parker-1,/cfb/players/jerrian-parker-1.html,SO,RB,"5 Att, 0 Yds, 0.0 Avg",Sam Houston,2025
Shane Porter,shane-porter-1,/cfb/players/shane-porter-1.html,SR,RB,"2 Att, -1 Yds, -0.5 Avg",Sam Houston,2025
Adrian Murdaugh,adrian-murdaugh-1,/cfb/players/adrian-murdaugh-1.html,SR,RB,"2 Att, 7 Yds, 3.5 Avg",Sam Houston,2025
Ah'Marion Gaines-Smith,ahmarion-gaines-smith-1,/cfb/players/ahmarion-gaines-smith-1.html,JR,RB,,Sam Houston,2025
Trey Taylor,trey-taylor-2,/cfb/players/trey-taylor-2.html,FR,RB,,Sam Houston,2025
Tim Burns Jr.,tim-burns-jr-1,/cfb/players/tim-burns-jr-1.html,JR,WR,"12 Rec, 228 Yds, 19.0 Avg",Sam Houston,2025
Grady O'Neill,grady-oneill-1,/cfb/players/grady-oneill-1.html,JR,WR,"38 Rec, 392 Yds, 10.3 Avg",Sam Houston,2025
Chris Reed,chris-reed-2,/cfb/players/chris-reed-2.html,JR,WR,"30 Rec, 460 Yds, 15.3 Avg",Sam Houston,2025
Malik Phillips,malik-phillips-1,/cfb/players/malik-phillips-1.html,SR,WR,"18 Rec, 174 Yds, 9.7 Avg",Sam Houston,2025
Qua'Vez Humphreys,quavez-humphreys-1,/cfb/players/quavez-humphreys-1.html,SR,WR,"12 Rec, 132 Yds, 11.0 Avg",Sam Houston,2025
Aviyon Smith-Mack,aviyon-smith-mack-1,/cfb/players/aviyon-smith-mack-1.html,JR,WR,"9 Rec, 49 Yds, 5.4 Avg",Sam Houston,2025
Darrick Bladsoe III,darrick-bladsoe-iii-1,/cfb/players/darrick-bladsoe-iii-1.html,SO,WR,"7 Rec, 86 Yds, 12.3 Avg",Sam Houston,2025
Michael Phoenix II,michael-phoenix-ii-1,/cfb/players/michael-phoenix-ii-1.html,SR,WR,"4 Rec, 40 Yds, 10.0 Avg",Sam Houston,2025
Lonnie Adksim,lonnie-adksim-1,/cfb/players/lonnie-adksim-1.html,SO,WR,"3 Rec, 25 Yds, 8.3 Avg",Sam Houston,2025
London Deyon,london-deyon-1,/cfb/players/london-deyon-1.html,FR,WR,,Sam Houston,2025
Terrence Guillory II,terrence-guillory-ii-1,/cfb/players/terrence-guillory-ii-1.html,FR,WR,,Sam Houston,2025
Fatu Mukuba,fatu-mukuba-1,/cfb/players/fatu-mukuba-1.html,SO,WR,,Sam Houston,2025
Matthew Tatum,matthew-tatum-1,/cfb/players/matthew-tatum-1.html,SO,WR,,Sam Houston,2025
Kaleb Black,kaleb-black-1,/cfb/players/kaleb-black-1.html,SO,WR,,Sam Houston,2025
Austin Smith,austin-smith-6,/cfb/players/austin-smith-6.html,SR,TE,"7 Rec, 65 Yds, 9.3 Avg",Sam Houston,2025
Dylan Burk,dylan-burk-1,/cfb/players/dylan-burk-1.html,FR,TE,"6 Rec, 55 Yds, 9.2 Avg",Sam Houston,2025
Rayfield Lotten,rayfield-lotten-1,/cfb/players/rayfield-lotten-1.html,SO,TE,"3 Rec, 54 Yds, 18.0 Avg",Sam Houston,2025
Fernando Garza,fernando-garza-1,/cfb/players/fernando-garza-1.html,SR,TE,,Sam Houston,2025
Thomas Jewett,thomas-jewett-1,/cfb/players/thomas-jewett-1.html,JR,TE,,Sam Houston,2025
Cooper Stevens,cooper-stevens-1,/cfb/players/cooper-stevens-1.html,FR,TE,,Sam Houston,2025
James Dawn II,james-dawn-ii-1,/cfb/players/james-dawn-ii-1.html,SR,OL,,Sam Houston,2025
Kolt Dieterich,kolt-dieterich-1,/cfb/players/kolt-dieterich-1.html,SO,OL,,Sam Houston,2025
Luke Eckardt,luke-eckardt-2,/cfb/players/luke-eckardt-2.html,SR,OL,,Sam Houston,2025
Graceson Jackson-Smith,graceson-jackson-smith-1,/cfb/players/graceson-jackson-smith-1.html,SR,OL,,Sam Houston,2025
Mich'le Joseph,michle-joseph-1,/cfb/players/michle-joseph-1.html,JR,OL,,Sam Houston,2025
Kevin Kalonji,kevin-kalonji-1,/cfb/players/kevin-kalonji-1.html,SR,OL,,Sam Houston,2025
Rhett Larson,rhett-larson-1,/cfb/players/rhett-larson-1.html,JR,OL,,Sam Houston,2025
William McCollum,william-mccollum-1,/cfb/players/william-mccollum-1.html,SR,OL,,Sam Houston,2025
Isaac Sohn,isaac-sohn-1,/cfb/players/isaac-sohn-1.html,SO,OL,,Sam Houston,2025
Cameron Todd,cameron-todd-1,/cfb/players/cameron-todd-1.html,JR,OL,,Sam Houston,2025
Zo'Maryon Bryan,zomaryon-bryan-1,/cfb/players/zomaryon-bryan-1.html,JR,OL,,Sam Houston,2025
Carter Buchheit,carter-buchheit-1,/cfb/players/carter-buchheit-1.html,FR,OL,,Sam Houston,2025
Logan Cahill,logan-cahill-1,/cfb/players/logan-cahill-1.html,FR,OL,,Sam Houston,2025
Jeremiah Edmond,jeremiah-edmond-1,/cfb/players/jeremiah-edmond-1.html,SO,OL,,Sam Houston,2025
Graceson Spann,graceson-spann-1,/cfb/players/graceson-spann-1.html,FR,OL,,Sam Houston,2025
Quinton Williams,quinton-williams-2,/cfb/players/quinton-williams-2.html,JR,OL,,Sam Houston,2025
Nico Ottomanelli,nico-ottomanelli-1,/cfb/players/nico-ottomanelli-1.html,FR,K,,Sam Houston,2025
RJ Lopez,rj-lopez-1,/cfb/players/rj-lopez-1.html,SR,K,,Sam Houston,2025
Christian Pavon,christian-pavon-1,/cfb/players/christian-pavon-1.html,SR,K,,Sam Houston,2025
Tate Ryan,tate-ryan-1,/cfb/players/tate-ryan-1.html,FR,K,,Sam Houston,2025
Cade Adams,cade-adams-1,/cfb/players/cade-adams-1.html,SO,DL,,Sam Houston,2025
She'Fon Boyd,shefon-boyd-1,/cfb/players/shefon-boyd-1.html,SO,DL,,Sam Houston,2025
Christopher Eaton,christopher-eaton-1,/cfb/players/christopher-eaton-1.html,SR,DL,,Sam Houston,2025
Brody Henderson,brody-henderson-1,/cfb/players/brody-henderson-1.html,FR,DL,,Sam Houston,2025
Darien Jackson,darien-jackson-1,/cfb/players/darien-jackson-1.html,SO,DL,,Sam Houston,2025
Zeiqui Lawton,zeiqui-lawton-1,/cfb/players/zeiqui-lawton-1.html,SR,DL,,Sam Houston,2025
Quardale Patt,quardale-patt-1,/cfb/players/quardale-patt-1.html,SR,DL,,Sam Houston,2025
AJ Sargent,aj-sargent-1,/cfb/players/aj-sargent-1.html,SR,DL,,Sam Houston,2025
Josiah Stephens,josiah-stephens-1,/cfb/players/josiah-stephens-1.html,FR,DL,,Sam Houston,2025
Keelan Cox,keelan-cox-1,/cfb/players/keelan-cox-1.html,SR,DL,,Sam Houston,2025
Caius Coy,caius-coy-1,/cfb/players/caius-coy-1.html,FR,DL,,Sam Houston,2025
Jaredh Frayre,jaredh-frayre-1,/cfb/players/jaredh-frayre-1.html,SO,DL,,Sam Houston,2025
Joshua Frayre,joshua-frayre-1,/cfb/players/joshua-frayre-1.html,SO,DL,,Sam Houston,2025
Anthony Shorter,anthony-shorter-1,/cfb/players/anthony-shorter-1.html,FR,DL,,Sam Houston,2025
Jamair Diaz,jamair-diaz-1,/cfb/players/jamair-diaz-1.html,JR,LB,,Sam Houston,2025
Antavious Fish,antavious-fish-1,/cfb/players/antavious-fish-1.html,SR,LB,,Sam Houston,2025
Dean Ford,dean-ford-1,/cfb/players/dean-ford-1.html,FR,LB,,Sam Houston,2025
Tokyo Gordon,tokyo-gordon-1,/cfb/players/tokyo-gordon-1.html,JR,LB,,Sam Houston,2025
Ca'lub Holloway,calub-holloway-1,/cfb/players/calub-holloway-1.html,JR,LB,,Sam Houston,2025
Chatavies Johnson,chatavies-johnson-1,/cfb/players/chatavies-johnson-1.html,SR,LB,,Sam Houston,2025
Jacob Robinson,jacob-robinson-3,/cfb/players/jacob-robinson-3.html,JR,LB,,Sam Houston,2025
Eli Wallace,eli-wallace-1,/cfb/players/eli-wallace-1.html,SO,LB,,Sam Houston,2025
Cole Worthington,cole-worthington-1,/cfb/players/cole-worthington-1.html,SO,LB,,Sam Houston,2025
Jacquis Ishmeal Jr.,jacquis-ishmeal-jr-1,/cfb/players/jacquis-ishmeal-jr-1.html,SR,LB,,Sam Houston,2025
Jayveon Johnson,jayveon-johnson-1,/cfb/players/jayveon-johnson-1.html,FR,LB,,Sam Houston,2025
Carter Okopie,carter-okopie-1,/cfb/players/carter-okopie-1.html,FR,LB,,Sam Houston,2025
Railyn Adams,railyn-adams-1,/cfb/players/railyn-adams-1.html,FR,DB,,Sam Houston,2025
Emon Allen,emon-allen-1,/cfb/players/emon-allen-1.html,SR,DB,,Sam Houston,2025
Tyler Bailey,tyler-bailey-2,/cfb/players/tyler-bailey-2.html,JR,DB,,Sam Houston,2025
CJ Brown,cj-brown-2,/cfb/players/cj-brown-2.html,SR,DB,,Sam Houston,2025
Alonzo Edwards Jr.,alonzo-edwards-jr-1,/cfb/players/alonzo-edwards-jr-1.html,SR,DB,,Sam Houston,2025
Trey Harris,trey-harris-1,/cfb/players/trey-harris-1.html,SR,DB,,Sam Houston,2025
Octavius Henderson,octavius-henderson-1,/cfb/players/octavius-henderson-1.html,JR,DB,,Sam Houston,2025
Dax Horany,dax-horany-1,/cfb/players/dax-horany-1.html,SO,DB,,Sam Houston,2025
Maurice Mathis,maurice-mathis-1,/cfb/players/maurice-mathis-1.html,JR,DB,,Sam Houston,2025
Cecil Powell,cecil-powell-1,/cfb/players/cecil-powell-1.html,SR,DB,,Sam Houston,2025
Jaidan Scott,jaidan-scott-1,/cfb/players/jaidan-scott-1.html,JR,DB,,Sam Houston,2025
Lyric Smith,lyric-smith-1,/cfb/players/lyric-smith-1.html,FR,DB,,Sam Houston,2025
Jalyn Stanford,jalyn-stanford-1,/cfb/players/jalyn-stanford-1.html,SO,DB,,Sam Houston,2025
Joe Swen,joe-swen-1,/cfb/players/joe-swen-1.html,SO,DB,,Sam Houston,2025
Quan Williams,quan-williams-1,/cfb/players/quan-williams-1.html,SR,DB,,Sam Houston,2025
Dravon Wilson,dravon-wilson-1,/cfb/players/dravon-wilson-1.html,FR,DB,,Sam Houston,2025
Braylen Wortham,braylen-wortham-1,/cfb/players/braylen-wortham-1.html,FR,DB,,Sam Houston,2025
Davion Green,davion-green-1,/cfb/players/davion-green-1.html,JR,DB,,Sam Houston,2025
Curtis Gerrand,curtis-gerrand-1,/cfb/players/curtis-gerrand-1.html,FR,P,,Sam Houston,2025
Jace Arnold,jace-arnold-1,/cfb/players/jace-arnold-1.html,SO,CB,,Sam Houston,2025
Chauncey Chidi,chauncey-chidi-1,/cfb/players/chauncey-chidi-1.html,JR,DE,,Sam Houston,2025
