Player,Player_ID,Player_Link,class,pos,summary,School,Year
Walker Eget,walker-eget-1,/cfb/players/walker-eget-1.html,SR,QB,"232 Cmp, 393 Att, 3051 Yds, 17 TD",San Jose State,2025
Tama Amisone,tama-amisone-1,/cfb/players/tama-amisone-1.html,FR,QB,"26 Cmp, 50 Att, 205 Yds, 0 TD",San Jose State,2025
Trent Ward,trent-ward-2,/cfb/players/trent-ward-2.html,SR,QB,"12 Cmp, 32 Att, 116 Yds, 0 TD",San Jose State,2025
Robert McDaniel,robert-mcdaniel-1,/cfb/players/robert-mcdaniel-1.html,FR,QB,"3 Cmp, 11 Att, 19 Yds, 0 TD",San Jose State,2025
CJ Lee,cj-lee-1,/cfb/players/cj-lee-1.html,FR,QB,,San Jose State,2025
Steve Chavez-Soto,steve-chavez-soto-1,/cfb/players/steve-chavez-soto-1.html,FR,RB,"87 Att, 448 Yds, 5.1 Avg",San Jose State,2025
Lamar Radcliffe,lamar-radcliffe-1,/cfb/players/lamar-radcliffe-1.html,SO,RB,"66 Att, 340 Yds, 5.2 Avg",San Jose State,2025
Floyd Chalk,floyd-chalk-1,/cfb/players/floyd-chalk-1.html,SR,RB,"35 Att, 141 Yds, 4.0 Avg",San Jose State,2025
Jabari Bates,jabari-bates-1,/cfb/players/jabari-bates-1.html,JR,RB,"27 Att, 192 Yds, 7.1 Avg",San Jose State,2025
Viliami Teu,viliami-teu-1,/cfb/players/viliami-teu-1.html,SO,RB,"17 Att, 70 Yds, 4.1 Avg",San Jose State,2025
Sir Autry,sir-autry-1,/cfb/players/sir-autry-1.html,FR,RB,"2 Rec, 8 Yds, 4.0 Avg",San Jose State,2025
Danny Scudero,danny-scudero-1,/cfb/players/danny-scudero-1.html,SO,WR,"88 Rec, 1297 Yds, 14.7 Avg",San Jose State,2025
Kyri Shoels,kyri-shoels-1,/cfb/players/kyri-shoels-1.html,JR,WR,"59 Rec, 768 Yds, 13.0 Avg",San Jose State,2025
Leland Smith,leland-smith-1,/cfb/players/leland-smith-1.html,JR,WR,"43 Rec, 688 Yds, 16.0 Avg",San Jose State,2025
Matthew Coleman,matthew-coleman-1,/cfb/players/matthew-coleman-1.html,JR,WR,"20 Rec, 131 Yds, 6.6 Avg",San Jose State,2025
Tuli Tagovailoa-Amosa,tuli-tagovailoa-amosa-1,/cfb/players/tuli-tagovailoa-amosa-1.html,FR,WR,"9 Rec, 84 Yds, 9.3 Avg",San Jose State,2025
Cooper Hoch,cooper-hoch-1,/cfb/players/cooper-hoch-1.html,SO,WR,"5 Rec, 43 Yds, 8.6 Avg",San Jose State,2025
Malachi Riley,malachi-riley-1,/cfb/players/malachi-riley-1.html,SO,WR,"2 Rec, 10 Yds, 5.0 Avg",San Jose State,2025
Roy Gardner,roy-gardner-1,/cfb/players/roy-gardner-1.html,FR,WR,,San Jose State,2025
Jahari Johnson,jahari-johnson-1,/cfb/players/jahari-johnson-1.html,JR,WR,,San Jose State,2025
Jase Nix,jase-nix-1,/cfb/players/jase-nix-1.html,FR,WR,,San Jose State,2025
Jeremiah Fung,jeremiah-fung-1,/cfb/players/jeremiah-fung-1.html,FR,WR,,San Jose State,2025
Trace Hernandez,trace-hernandez-1,/cfb/players/trace-hernandez-1.html,SO,WR,,San Jose State,2025
Ryker Ruelas,ryker-ruelas-1,/cfb/players/ryker-ruelas-1.html,FR,WR,,San Jose State,2025
Mason Starling,mason-starling-1,/cfb/players/mason-starling-1.html,SR,WR,,San Jose State,2025
Jackson Canaan,jackson-canaan-1,/cfb/players/jackson-canaan-1.html,SR,TE,"33 Rec, 315 Yds, 9.5 Avg",San Jose State,2025
Grant Norberg,grant-norberg-1,/cfb/players/grant-norberg-1.html,SR,TE,"1 Rec, 4 Yds, 4.0 Avg",San Jose State,2025
Ryan Boultwood,ryan-boultwood-1,/cfb/players/ryan-boultwood-1.html,SO,TE,,San Jose State,2025
Kamaehu Kopa-Kaawalauole,kamaehu-kopa-kaawalauole-1,/cfb/players/kamaehu-kopa-kaawalauole-1.html,SO,TE,,San Jose State,2025
Braiden Bachich-Dixon,braiden-bachich-dixon-1,/cfb/players/braiden-bachich-dixon-1.html,FR,TE,,San Jose State,2025
Simeon Afalava,simeon-afalava-1,/cfb/players/simeon-afalava-1.html,JR,OL,,San Jose State,2025
Tyler Chen,tyler-chen-1,/cfb/players/tyler-chen-1.html,SO,OL,,San Jose State,2025
Denaris DeRosa Jr.,denaris-derosa-jr-1,/cfb/players/denaris-derosa-jr-1.html,JR,OL,,San Jose State,2025
Nate Hale,nate-hale-1,/cfb/players/nate-hale-1.html,SO,OL,,San Jose State,2025
Joseph Harbert,joseph-harbert-1,/cfb/players/joseph-harbert-1.html,JR,OL,,San Jose State,2025
Peseti Lapuaho,peseti-lapuaho-1,/cfb/players/peseti-lapuaho-1.html,SR,OL,,San Jose State,2025
Tevita Manukainiu,tevita-manukainiu-1,/cfb/players/tevita-manukainiu-1.html,SO,OL,,San Jose State,2025
Hudson Mesa,hudson-mesa-1,/cfb/players/hudson-mesa-1.html,SR,OL,,San Jose State,2025
Daniel Moleni,daniel-moleni-1,/cfb/players/daniel-moleni-1.html,JR,OL,,San Jose State,2025
Sione Nomani,sione-nomani-1,/cfb/players/sione-nomani-1.html,SR,OL,,San Jose State,2025
David Perez,david-perez-1,/cfb/players/david-perez-1.html,FR,OL,,San Jose State,2025
Manuel Serna,manuel-serna-1,/cfb/players/manuel-serna-1.html,SO,OL,,San Jose State,2025
