Player,Player_ID,Player_Link,class,pos,summary,School,Year
Perry Orth,perry-orth-1,/cfb/players/perry-orth-1.html,JR,QB,"143 Cmp, 261 Att, 1929 Yds, 12 TD",South Carolina,2015
Lorenzo Nunez,lorenzo-nunez-1,/cfb/players/lorenzo-nunez-1.html,FR,QB,"32 Cmp, 52 Att, 376 Yds, 3 TD",South Carolina,2015
Connor Mitch,connor-mitch-1,/cfb/players/connor-mitch-1.html,SO,QB,"13 Cmp, 29 Att, 165 Yds, 1 TD",South Carolina,2015
Michael Scarnecchia,michael-scarnecchia-1,/cfb/players/michael-scarnecchia-1.html,FR,QB,"1 Cmp, 1 Att, 9 Yds, 0 TD",South Carolina,2015
Gage Pucci,gage-pucci-1,/cfb/players/gage-pucci-1.html,FR,QB,,South Carolina,2015
Brandon Wilds,brandon-wilds-1,/cfb/players/brandon-wilds-1.html,SR,RB,"123 Att, 567 Yds, 4.6 Avg",South Carolina,2015
David Williams,david-williams-5,/cfb/players/david-williams-5.html,SO,RB,"86 Att, 299 Yds, 3.5 Avg",South Carolina,2015
Shon Carson,shon-carson-1,/cfb/players/shon-carson-1.html,SR,RB,"52 Att, 297 Yds, 5.7 Avg",South Carolina,2015
Rod Talley,rod-talley-1,/cfb/players/rod-talley-1.html,SO,RB,"2 Att, 11 Yds, 5.5 Avg",South Carolina,2015
Mon Denson,mon-denson-1,/cfb/players/mon-denson-1.html,FR,RB,,South Carolina,2015
Devin Potter,devin-potter-1,/cfb/players/devin-potter-1.html,JR,RB,,South Carolina,2015
A.J. Turner,aj-turner-2,/cfb/players/aj-turner-2.html,FR,RB,,South Carolina,2015
Pharoh Cooper,pharoh-cooper-1,/cfb/players/pharoh-cooper-1.html,JR,WR,"66 Rec, 973 Yds, 14.7 Avg",South Carolina,2015
Terry Googer,terry-googer-1,/cfb/players/terry-googer-1.html,FR,WR,"5 Rec, 74 Yds, 14.8 Avg",South Carolina,2015
