Player,Player_ID,Player_Link,class,pos,summary,School,Year
Tate Rodemaker,tate-rodemaker-1,/cfb/players/tate-rodemaker-1.html,JR,QB,"98 Cmp, 164 Att, 985 Yds, 7 TD",Southern Mississippi,2024
Ethan Crawford,ethan-crawford-2,/cfb/players/ethan-crawford-2.html,SO,QB,"50 Cmp, 120 Att, 849 Yds, 0 TD",Southern Mississippi,2024
John White,john-white-14,/cfb/players/john-white-14.html,FR,QB,"17 Cmp, 31 Att, 240 Yds, 0 TD",Southern Mississippi,2024
Kyle McCormick,kyle-mccormick-1,/cfb/players/kyle-mccormick-1.html,SO,QB,,Southern Mississippi,2024
Shade Foster,shade-foster-1,/cfb/players/shade-foster-1.html,JR,QB,,Southern Mississippi,2024
Kenyon Clay,kenyon-clay-1,/cfb/players/kenyon-clay-1.html,SO,RB,"84 Att, 387 Yds, 4.6 Avg",Southern Mississippi,2024
Rodrigues Clark,rodrigues-clark-1,/cfb/players/rodrigues-clark-1.html,SR,RB,"124 Att, 604 Yds, 4.9 Avg",Southern Mississippi,2024
JQ Gray,jq-gray-1,/cfb/players/jq-gray-1.html,FR,RB,"32 Att, 106 Yds, 3.3 Avg",Southern Mississippi,2024
Jalen Washington,jalen-washington-3,/cfb/players/jalen-washington-3.html,FR,RB,"25 Att, 115 Yds, 4.6 Avg",Southern Mississippi,2024
Chance Jenkins,chance-jenkins-1,/cfb/players/chance-jenkins-1.html,FR,RB,,Southern Mississippi,2024
Chandler Pittman,chandler-pittman-1,/cfb/players/chandler-pittman-1.html,SR,WR,"8 Rec, 51 Yds, 6.4 Avg",Southern Mississippi,2024
Tiaquelin Mims,tiaquelin-mims-1,/cfb/players/tiaquelin-mims-1.html,JR,WR,"33 Rec, 383 Yds, 11.6 Avg",Southern Mississippi,2024
Larry Simmons,larry-simmons-3,/cfb/players/larry-simmons-3.html,SO,WR,"27 Rec, 421 Yds, 15.6 Avg",Southern Mississippi,2024
Dannis Jackson,dannis-jackson-1,/cfb/players/dannis-jackson-1.html,SR,WR,"11 Rec, 210 Yds, 19.1 Avg",Southern Mississippi,2024
Davis Dalton,davis-dalton-1,/cfb/players/davis-dalton-1.html,SO,WR,"15 Rec, 172 Yds, 11.5 Avg",Southern Mississippi,2024
J.J. Butler,jj-butler-1,/cfb/players/jj-butler-1.html,SO,WR,"2 Rec, 22 Yds, 11.0 Avg",Southern Mississippi,2024
Ray Daly,ray-daly-3,/cfb/players/ray-daly-3.html,FR,WR,"1 Rec, 25 Yds, 25.0 Avg",Southern Mississippi,2024
Keyshawn Buckley,keyshawn-buckley-1,/cfb/players/keyshawn-buckley-1.html,JR,WR,,Southern Mississippi,2024
Zavian Hales,zavian-hales-1,/cfb/players/zavian-hales-1.html,JR,WR,,Southern Mississippi,2024
Jack Jackson,jack-jackson-6,/cfb/players/jack-jackson-6.html,SO,WR,,Southern Mississippi,2024
TK Keyes,tk-keyes-1,/cfb/players/tk-keyes-1.html,FR,WR,,Southern Mississippi,2024
Chandler Merrill,chandler-merrill-1,/cfb/players/chandler-merrill-1.html,SO,WR,,Southern Mississippi,2024
Ethan Dailey,ethan-dailey-1,/cfb/players/ethan-dailey-1.html,SO,WR,,Southern Mississippi,2024
Paul James,paul-james-3,/cfb/players/paul-james-3.html,JR,WR,,Southern Mississippi,2024
Jack Schwing,jack-schwing-1,/cfb/players/jack-schwing-1.html,FR,WR,,Southern Mississippi,2024
Dakota Thomas,dakota-thomas-2,/cfb/players/dakota-thomas-2.html,JR,WR,,Southern Mississippi,2024
Kyirin Heath,kyirin-heath-1,/cfb/players/kyirin-heath-1.html,JR,TE,"15 Rec, 220 Yds, 14.7 Avg",Southern Mississippi,2024
Reed Jesiolowski,reed-jesiolowski-1,/cfb/players/reed-jesiolowski-1.html,FR,TE,"8 Rec, 98 Yds, 12.3 Avg",Southern Mississippi,2024
Justyn Reid,justyn-reid-1,/cfb/players/justyn-reid-1.html,SO,TE,"7 Rec, 145 Yds, 20.7 Avg",Southern Mississippi,2024
Pax Hughes,pax-hughes-1,/cfb/players/pax-hughes-1.html,FR,TE,,Southern Mississippi,2024
Terron Bedford,terron-bedford-1,/cfb/players/terron-bedford-1.html,JR,TE,,Southern Mississippi,2024
Caston Brown,caston-brown-1,/cfb/players/caston-brown-1.html,FR,TE,,Southern Mississippi,2024
Michael Jefcoat,michael-jefcoat-1,/cfb/players/michael-jefcoat-1.html,JR,TE,,Southern Mississippi,2024
Kyron Barnes,kyron-barnes-1,/cfb/players/kyron-barnes-1.html,JR,OL,,Southern Mississippi,2024
Ethan Bumgarner,ethan-bumgarner-1,/cfb/players/ethan-bumgarner-1.html,JR,OL,,Southern Mississippi,2024
Gabe Cavazos Jr.,gabe-cavazos-jr-1,/cfb/players/gabe-cavazos-jr-1.html,JR,OL,,Southern Mississippi,2024
Zack Conti,zack-conti-1,/cfb/players/zack-conti-1.html,SR,OL,,Southern Mississippi,2024
Jo Cryer,jo-cryer-1,/cfb/players/jo-cryer-1.html,FR,OL,,Southern Mississippi,2024
Chris Hayes,chris-hayes-4,/cfb/players/chris-hayes-4.html,FR,OL,,Southern Mississippi,2024
Drew Lawson,drew-lawson-1,/cfb/players/drew-lawson-1.html,JR,OL,,Southern Mississippi,2024
Dontae Lucas,dontae-lucas-1,/cfb/players/dontae-lucas-1.html,SR,OL,,Southern Mississippi,2024
Greg Nunnery,greg-nunnery-1,/cfb/players/greg-nunnery-1.html,JR,OL,,Southern Mississippi,2024
Klabron Pollard,klabron-pollard-1,/cfb/players/klabron-pollard-1.html,SO,OL,,Southern Mississippi,2024
Luke Rogers,luke-rogers-1,/cfb/players/luke-rogers-1.html,FR,OL,,Southern Mississippi,2024
Wil Saxton,wil-saxton-1,/cfb/players/wil-saxton-1.html,SO,OL,,Southern Mississippi,2024
Tanner Welch,tanner-welch-1,/cfb/players/tanner-welch-1.html,FR,OL,,Southern Mississippi,2024
Kamron Barnes,kamron-barnes-1,/cfb/players/kamron-barnes-1.html,SO,OL,,Southern Mississippi,2024
Hayden Breal,hayden-breal-1,/cfb/players/hayden-breal-1.html,FR,OL,,Southern Mississippi,2024
Hastings Carruth,hastings-carruth-2,/cfb/players/hastings-carruth-2.html,SO,OL,,Southern Mississippi,2024
Larry Edwards,larry-edwards-3,/cfb/players/larry-edwards-3.html,FR,OL,,Southern Mississippi,2024
Connor Gibbs,connor-gibbs-1,/cfb/players/connor-gibbs-1.html,SO,K,,Southern Mississippi,2024
Andrew Stein,andrew-stein-1,/cfb/players/andrew-stein-1.html,SR,K,,Southern Mississippi,2024
Luke Stewart,luke-stewart-1,/cfb/players/luke-stewart-1.html,FR,K,,Southern Mississippi,2024
Jack Tannehill,jack-tannehill-1,/cfb/players/jack-tannehill-1.html,JR,K,,Southern Mississippi,2024
Kristin Booth,kristin-booth-1,/cfb/players/kristin-booth-1.html,SR,DL,,Southern Mississippi,2024
Caleb Bryant,caleb-bryant-2,/cfb/players/caleb-bryant-2.html,FR,DL,,Southern Mississippi,2024
Armondous Cooley,armondous-cooley-1,/cfb/players/armondous-cooley-1.html,JR,DL,,Southern Mississippi,2024
Iliyas Fuavai,iliyas-fuavai-1,/cfb/players/iliyas-fuavai-1.html,SO,DL,,Southern Mississippi,2024
Jordan Johnson,jordan-johnson-12,/cfb/players/jordan-johnson-12.html,FR,DL,,Southern Mississippi,2024
Ryan Johnson,ryan-johnson-10,/cfb/players/ryan-johnson-10.html,SR,DL,,Southern Mississippi,2024
Brodarius Lewis,brodarius-lewis-1,/cfb/players/brodarius-lewis-1.html,SR,DL,,Southern Mississippi,2024
Zay Lowery,zay-lowery-1,/cfb/players/zay-lowery-1.html,FR,DL,,Southern Mississippi,2024
Caleb Moore,caleb-moore-1,/cfb/players/caleb-moore-1.html,FR,DL,,Southern Mississippi,2024
Khalid Moore,khalid-moore-1,/cfb/players/khalid-moore-1.html,SO,DL,,Southern Mississippi,2024
Jalen Owens,jalen-owens-1,/cfb/players/jalen-owens-1.html,FR,DL,,Southern Mississippi,2024
Jeramie Posey,jeramie-posey-1,/cfb/players/jeramie-posey-1.html,FR,DL,,Southern Mississippi,2024
Demeco Roland,demeco-roland-1,/cfb/players/demeco-roland-1.html,SR,DL,,Southern Mississippi,2024
Eric Thomas Jr.,eric-thomas-jr-1,/cfb/players/eric-thomas-jr-1.html,SR,DL,,Southern Mississippi,2024
Miles Adams,miles-adams-2,/cfb/players/miles-adams-2.html,FR,DL,,Southern Mississippi,2024
Elijah Douglas,elijah-douglas-1,/cfb/players/elijah-douglas-1.html,FR,DL,,Southern Mississippi,2024
