Player,Player_ID,Player_Link,class,pos,summary,School,Year
Davis Mills,davis-mills-1,/cfb/players/davis-mills-1.html,SR,QB,"129 Cmp, 195 Att, 1508 Yds, 7 TD",Stanford,2020
Jack West,jack-west-4,/cfb/players/jack-west-4.html,JR,QB,"13 Cmp, 19 Att, 154 Yds, 0 TD",Stanford,2020
Tanner McKee,tanner-mckee-1,/cfb/players/tanner-mckee-1.html,FR,QB,"3 Cmp, 7 Att, 62 Yds, 0 TD",Stanford,2020
Isaiah Sanders,isaiah-sanders-1,/cfb/players/isaiah-sanders-1.html,SR,QB,,Stanford,2020
Beau Nelson,beau-nelson-1,/cfb/players/beau-nelson-1.html,FR,QB,,Stanford,2020
Dylan Plautz,dylan-plautz-1,/cfb/players/dylan-plautz-1.html,JR,QB,,Stanford,2020
Austin Jones,austin-jones-6,/cfb/players/austin-jones-6.html,SO,RB,"126 Att, 550 Yds, 4.4 Avg",Stanford,2020
Nathaniel Peat,nathaniel-peat-1,/cfb/players/nathaniel-peat-1.html,SO,RB,"29 Att, 204 Yds, 7.0 Avg",Stanford,2020
Justus Woods,justus-woods-1,/cfb/players/justus-woods-1.html,JR,RB,"4 Att, 8 Yds, 2.0 Avg",Stanford,2020
E.J. Smith,ej-smith-2,/cfb/players/ej-smith-2.html,FR,RB,"3 Rec, 7 Yds, 2.3 Avg",Stanford,2020
Casey Filkins,casey-filkins-1,/cfb/players/casey-filkins-1.html,FR,RB,"1 Rec, -6 Yds, -6.0 Avg",Stanford,2020
Caleb Robinson,caleb-robinson-1,/cfb/players/caleb-robinson-1.html,FR,RB,,Stanford,2020
Dorian Maddox,dorian-maddox-1,/cfb/players/dorian-maddox-1.html,SR,RB,,Stanford,2020
Cameron McFarlane,cameron-mcfarlane-1,/cfb/players/cameron-mcfarlane-1.html,JR,RB,,Stanford,2020
Simi Fehoko,simi-fehoko-1,/cfb/players/simi-fehoko-1.html,JR,WR,"37 Rec, 574 Yds, 15.5 Avg",Stanford,2020
Michael Wilson,michael-wilson-3,/cfb/players/michael-wilson-3.html,JR,WR,"19 Rec, 261 Yds, 13.7 Avg",Stanford,2020
Elijah Higgins,elijah-higgins-1,/cfb/players/elijah-higgins-1.html,SO,WR,"15 Rec, 176 Yds, 11.7 Avg",Stanford,2020
Connor Wedington,connor-wedington-1,/cfb/players/connor-wedington-1.html,SR,WR,"15 Rec, 157 Yds, 10.5 Avg",Stanford,2020
Brycen Tremayne,brycen-tremayne-1,/cfb/players/brycen-tremayne-1.html,JR,WR,"14 Rec, 265 Yds, 18.9 Avg",Stanford,2020
John Humphreys,john-humphreys-2,/cfb/players/john-humphreys-2.html,FR,WR,"3 Rec, 43 Yds, 14.3 Avg",Stanford,2020
Osiris St. Brown,osiris-st-brown-1,/cfb/players/osiris-st-brown-1.html,SR,WR,"1 Rec, 7 Yds, 7.0 Avg",Stanford,2020
