Player,Player_ID,Player_Link,class,pos,summary,School,Year
Josh Hoover,josh-hoover-1,/cfb/players/josh-hoover-1.html,FR,QB,"185 Cmp, 298 Att, 2206 Yds, 15 TD",Texas Christian,2023
Chandler Morris,chandler-morris-1,/cfb/players/chandler-morris-1.html,SO,QB,"133 Cmp, 203 Att, 1532 Yds, 12 TD",Texas Christian,2023
Grant Tisdale,grant-tisdale-2,/cfb/players/grant-tisdale-2.html,SR,QB,"1 Cmp, 1 Att, 8 Yds, 0 TD",Texas Christian,2023
Luke Pardee,luke-pardee-1,/cfb/players/luke-pardee-1.html,SO,QB,,Texas Christian,2023
Jacob Porter,jacob-porter-2,/cfb/players/jacob-porter-2.html,FR,QB,,Texas Christian,2023
Jimmy Weirick,jimmy-weirick-2,/cfb/players/jimmy-weirick-2.html,SR,QB,,Texas Christian,2023
Emani Bailey,emani-bailey-1,/cfb/players/emani-bailey-1.html,JR,RB,"223 Att, 1209 Yds, 5.4 Avg",Texas Christian,2023
Trey Sanders,trey-sanders-2,/cfb/players/trey-sanders-2.html,JR,RB,"48 Att, 176 Yds, 3.7 Avg",Texas Christian,2023
Cam Cook,cam-cook-1,/cfb/players/cam-cook-1.html,FR,RB,"16 Att, 58 Yds, 3.6 Avg",Texas Christian,2023
Trent Battle,trent-battle-1,/cfb/players/trent-battle-1.html,SO,RB,"10 Att, 25 Yds, 2.5 Avg",Texas Christian,2023
Corey Wren,corey-wren-1,/cfb/players/corey-wren-1.html,JR,RB,"9 Att, 27 Yds, 3.0 Avg",Texas Christian,2023
Brant Ahlfinger,brant-ahlfinger-1,/cfb/players/brant-ahlfinger-1.html,FR,RB,"1 Att, 2 Yds, 2.0 Avg",Texas Christian,2023
Franklin Estrada,franklin-estrada-1,/cfb/players/franklin-estrada-1.html,SO,RB,"1 Att, 4 Yds, 4.0 Avg",Texas Christian,2023
Derrick Carroll,derrick-carroll-1,/cfb/players/derrick-carroll-1.html,FR,RB,,Texas Christian,2023
John Paul Richardson,john-paul-richardson-1,/cfb/players/john-paul-richardson-1.html,JR,WR,"46 Rec, 536 Yds, 11.7 Avg",Texas Christian,2023
Savion Williams,savion-williams-2,/cfb/players/savion-williams-2.html,JR,WR,"41 Rec, 573 Yds, 14.0 Avg",Texas Christian,2023
Major Everhart,major-everhart-1,/cfb/players/major-everhart-1.html,FR,WR,"20 Rec, 197 Yds, 9.9 Avg",Texas Christian,2023
Jojo Earle,jojo-earle-1,/cfb/players/jojo-earle-1.html,JR,WR,"16 Rec, 239 Yds, 14.9 Avg",Texas Christian,2023
Jack Bech,jack-bech-1,/cfb/players/jack-bech-1.html,JR,WR,"12 Rec, 146 Yds, 12.2 Avg",Texas Christian,2023
Jaylon Robinson,jaylon-robinson-1,/cfb/players/jaylon-robinson-1.html,SR,WR,"32 Rec, 397 Yds, 12.4 Avg",Texas Christian,2023
Warren Thompson,warren-thompson-2,/cfb/players/warren-thompson-2.html,SR,WR,"19 Rec, 246 Yds, 12.9 Avg",Texas Christian,2023
Blake Nowell,blake-nowell-1,/cfb/players/blake-nowell-1.html,JR,WR,"11 Rec, 105 Yds, 9.5 Avg",Texas Christian,2023
Dylan Wright,dylan-wright-1,/cfb/players/dylan-wright-1.html,SR,WR,"11 Rec, 187 Yds, 17.0 Avg",Texas Christian,2023
Jordyn Bailey,jordyn-bailey-1,/cfb/players/jordyn-bailey-1.html,FR,WR,"5 Rec, 103 Yds, 20.6 Avg",Texas Christian,2023
DJ Allen,dj-allen-1,/cfb/players/dj-allen-1.html,FR,WR,"2 Rec, 10 Yds, 5.0 Avg",Texas Christian,2023
Keagan Cunningham,keagan-cunningham-1,/cfb/players/keagan-cunningham-1.html,SO,WR,,Texas Christian,2023
Chase Jackson,chase-jackson-1,/cfb/players/chase-jackson-1.html,SO,WR,,Texas Christian,2023
