Player,Player_ID,Player_Link,class,pos,summary,School,Year
Brady McBride,brady-mcbride-1,/cfb/players/brady-mcbride-1.html,SO,QB,"146 Cmp, 244 Att, 1507 Yds, 12 TD",Texas State,2021
Tyler Vitt,tyler-vitt-1,/cfb/players/tyler-vitt-1.html,JR,QB,"76 Cmp, 142 Att, 801 Yds, 3 TD",Texas State,2021
Ty Evans,ty-evans-3,/cfb/players/ty-evans-3.html,FR,QB,,Texas State,2021
D.J. Bolger,dj-bolger-1,/cfb/players/dj-bolger-1.html,SO,QB,,Texas State,2021
Tanner Prewit,tanner-prewit-1,/cfb/players/tanner-prewit-1.html,SO,QB,,Texas State,2021
Calvin Hill,calvin-hill-4,/cfb/players/calvin-hill-4.html,FR,RB,"128 Att, 713 Yds, 5.6 Avg",Texas State,2021
Jahmyl Jeter,jahmyl-jeter-1,/cfb/players/jahmyl-jeter-1.html,SO,RB,"90 Att, 382 Yds, 4.2 Avg",Texas State,2021
Brock Sturges,brock-sturges-1,/cfb/players/brock-sturges-1.html,SO,RB,"69 Att, 295 Yds, 4.3 Avg",Texas State,2021
Caleb Twyford,caleb-twyford-2,/cfb/players/caleb-twyford-2.html,SR,RB,"23 Att, 57 Yds, 2.5 Avg",Texas State,2021
Emmanuel Abdallah,emmanuel-abdallah-1,/cfb/players/emmanuel-abdallah-1.html,FR,RB,,Texas State,2021
Marquis Brown,marquis-brown-1,/cfb/players/marquis-brown-1.html,SO,RB,,Texas State,2021
J.T. Lane,jt-lane-1,/cfb/players/jt-lane-1.html,FR,RB,,Texas State,2021
Ashtyn Hawkins,ashtyn-hawkins-1,/cfb/players/ashtyn-hawkins-1.html,SO,WR,"30 Rec, 284 Yds, 9.5 Avg",Texas State,2021
Marcell Barbee,marcell-barbee-1,/cfb/players/marcell-barbee-1.html,JR,WR,"40 Rec, 520 Yds, 13.0 Avg",Texas State,2021
Javen Banks,javen-banks-1,/cfb/players/javen-banks-1.html,JR,WR,"36 Rec, 548 Yds, 15.2 Avg",Texas State,2021
T.J. Graham,tj-graham-2,/cfb/players/tj-graham-2.html,JR,WR,"20 Rec, 290 Yds, 14.5 Avg",Texas State,2021
Drue Jackson,drue-jackson-1,/cfb/players/drue-jackson-1.html,SO,WR,"11 Rec, 129 Yds, 11.7 Avg",Texas State,2021
Julian Ortega-Jones,julian-ortega-jones-2,/cfb/players/julian-ortega-jones-2.html,JR,WR,"11 Rec, 115 Yds, 10.5 Avg",Texas State,2021
Rontavious Groves,rontavious-groves-1,/cfb/players/rontavious-groves-1.html,JR,WR,"10 Rec, 67 Yds, 6.7 Avg",Texas State,2021
Chandler Speights,chandler-speights-1,/cfb/players/chandler-speights-1.html,JR,WR,"10 Rec, 72 Yds, 7.2 Avg",Texas State,2021
Donovan Moorer,donovan-moorer-1,/cfb/players/donovan-moorer-1.html,FR,WR,"9 Rec, 70 Yds, 7.8 Avg",Texas State,2021
Kenny Frazier,kenny-frazier-1,/cfb/players/kenny-frazier-1.html,FR,WR,,Texas State,2021
Jacoby Hopkins,jacoby-hopkins-1,/cfb/players/jacoby-hopkins-1.html,SO,WR,,Texas State,2021
Blake Aragon,blake-aragon-1,/cfb/players/blake-aragon-1.html,SO,WR,,Texas State,2021
Kevin Howard,kevin-howard-2,/cfb/players/kevin-howard-2.html,JR,WR,,Texas State,2021
Dylan Jantz,dylan-jantz-1,/cfb/players/dylan-jantz-1.html,FR,WR,,Texas State,2021
Waydale Jones,waydale-jones-1,/cfb/players/waydale-jones-1.html,JR,WR,,Texas State,2021
Brooks McCoy,brooks-mccoy-1,/cfb/players/brooks-mccoy-1.html,FR,WR,,Texas State,2021
Dennis Robinson,dennis-robinson-4,/cfb/players/dennis-robinson-4.html,JR,WR,,Texas State,2021
Brady Rogers,brady-rogers-1,/cfb/players/brady-rogers-1.html,SO,WR,,Texas State,2021
Kannon Webb,kannon-webb-1,/cfb/players/kannon-webb-1.html,FR,WR,,Texas State,2021
Seth Caillouet,seth-caillout-1,/cfb/players/seth-caillout-1.html,SO,TE,"3 Rec, 48 Yds, 16.0 Avg",Texas State,2021
Micah Hilts,micah-hilts-1,/cfb/players/micah-hilts-1.html,SO,TE,"3 Rec, 13 Yds, 4.3 Avg",Texas State,2021
Jackson Lanam,jackson-lanam-1,/cfb/players/jackson-lanam-1.html,SO,TE,"2 Rec, 7 Yds, 3.5 Avg",Texas State,2021
Austin Groeschel,austin-groeschel-1,/cfb/players/austin-groeschel-1.html,FR,TE,,Texas State,2021
Tyler Huff,tyler-huff-2,/cfb/players/tyler-huff-2.html,JR,TE,,Texas State,2021
Morgan Moore,morgan-moore-1,/cfb/players/morgan-moore-1.html,SO,TE,,Texas State,2021
Blake Simpson,blake-simpson-2,/cfb/players/blake-simpson-2.html,FR,TE,,Texas State,2021
Dalton Cooper,dalton-cooper-1,/cfb/players/dalton-cooper-1.html,SO,OL,,Texas State,2021
Trenton Scott,trenton-scott-1,/cfb/players/trenton-scott-1.html,FR,OL,,Texas State,2021
Russell Baker,russell-baker-1,/cfb/players/russell-baker-1.html,JR,OL,,Texas State,2021
Kylar Cooks,kylar-cooks-1,/cfb/players/kylar-cooks-1.html,SO,OL,,Texas State,2021
Alex Costilla,alex-costilla-1,/cfb/players/alex-costilla-1.html,JR,OL,,Texas State,2021
Liam Dick,liam-dick-2,/cfb/players/liam-dick-2.html,SO,OL,,Texas State,2021
Liam Dobson,liam-dobson-1,/cfb/players/liam-dobson-1.html,SR,OL,,Texas State,2021
Charles Fletcher,charles-fletcher-3,/cfb/players/charles-fletcher-3.html,SR,OL,,Texas State,2021
Matthew Fletcher,matthew-fletcher-2,/cfb/players/matthew-fletcher-2.html,FR,OL,,Texas State,2021
