Player,Player_ID,Player_Link,class,pos,summary,School,Year
Davis Brin,davis-brin-1,/cfb/players/davis-brin-1.html,SR,QB,"148 Cmp, 250 Att, 2138 Yds, 17 TD",Tulsa,2022
Braylon Braxton,braylon-braxton-1,/cfb/players/braylon-braxton-1.html,SO,QB,"92 Cmp, 163 Att, 1133 Yds, 10 TD",Tulsa,2022
Roman Fuller,roman-fuller-1,/cfb/players/roman-fuller-1.html,JR,QB,"1 Cmp, 1 Att, 7 Yds, 0 TD",Tulsa,2022
Carson Collins,carson-collins-1,/cfb/players/carson-collins-1.html,SR,QB,,Tulsa,2022
Stephen Kittleman,stephen-kittleman-1,/cfb/players/stephen-kittleman-1.html,SO,QB,,Tulsa,2022
Cardell Williams,cardell-williams-1,/cfb/players/cardell-williams-1.html,SO,QB,,Tulsa,2022
Deneric Prince,deneric-prince-1,/cfb/players/deneric-prince-1.html,SR,RB,"126 Att, 729 Yds, 5.8 Avg",Tulsa,2022
Steven Anderson,steven-anderson-1,/cfb/players/steven-anderson-1.html,SR,RB,"84 Att, 352 Yds, 4.2 Avg",Tulsa,2022
Jordan Ford,jordan-ford-2,/cfb/players/jordan-ford-2.html,SR,RB,"56 Att, 288 Yds, 5.1 Avg",Tulsa,2022
Bill Jackson,bill-jackson-4,/cfb/players/bill-jackson-4.html,SO,RB,"31 Att, 186 Yds, 6.0 Avg",Tulsa,2022
Tahj Gary,tahj-gary-1,/cfb/players/tahj-gary-1.html,JR,RB,"14 Att, 61 Yds, 4.4 Avg",Tulsa,2022
Cookie Desiderio,cookie-desiderio-1,/cfb/players/cookie-desiderio-1.html,SO,RB,,Tulsa,2022
Jayce Morgan,jayce-morgan-1,/cfb/players/jayce-morgan-1.html,SO,RB,,Tulsa,2022
Anthony Watkins,anthony-watkins-3,/cfb/players/anthony-watkins-3.html,SR,RB,,Tulsa,2022
Keylon Stokes,keylon-stokes-1,/cfb/players/keylon-stokes-1.html,SR,WR,"76 Rec, 1224 Yds, 16.1 Avg",Tulsa,2022
J.C. Santana,jc-santana-1,/cfb/players/jc-santana-1.html,SR,WR,"53 Rec, 859 Yds, 16.2 Avg",Tulsa,2022
Isaiah Epps,isaiah-epps-1,/cfb/players/isaiah-epps-1.html,SR,WR,"37 Rec, 429 Yds, 11.6 Avg",Tulsa,2022
Malachai Jones,malachai-jones-1,/cfb/players/malachai-jones-1.html,JR,WR,"37 Rec, 470 Yds, 12.7 Avg",Tulsa,2022
Kamdyn Benjamin,kamdyn-benjamin-1,/cfb/players/kamdyn-benjamin-1.html,SR,WR,"3 Rec, 18 Yds, 6.0 Avg",Tulsa,2022
Marquis Shoulders,marquis-shoulders-1,/cfb/players/marquis-shoulders-1.html,SO,WR,"3 Rec, 23 Yds, 7.7 Avg",Tulsa,2022
Nick Rempert,nick-rempert-2,/cfb/players/nick-rempert-2.html,SR,WR,"1 Rec, 3 Yds, 3.0 Avg",Tulsa,2022
