Player,Player_ID,Player_Link,class,pos,summary,School,Year
Dillon Gabriel,dillon-gabriel-1,/cfb/players/dillon-gabriel-1.html,FR,QB,"236 Cmp, 398 Att, 3653 Yds, 29 TD",UCF,2019
D.J. Mack Jr.,dj-mack-jr-1,/cfb/players/dj-mack-jr-1.html,SO,QB,"19 Cmp, 31 Att, 219 Yds, 4 TD",UCF,2019
Brandon Wimbush,brandon-wimbush-1,/cfb/players/brandon-wimbush-1.html,SR,QB,"13 Cmp, 24 Att, 167 Yds, 2 TD",UCF,2019
Quadry Jones,quadry-jones-1,/cfb/players/quadry-jones-1.html,FR,QB,"3 Cmp, 3 Att, 78 Yds, 1 TD",UCF,2019
Hayden Kingston,hayden-kingston-1,/cfb/players/hayden-kingston-1.html,JR,QB,,UCF,2019
McKenzie Milton,mckenzie-milton-1,/cfb/players/mckenzie-milton-1.html,SR,QB,,UCF,2019
Otis Anderson,otis-anderson-1,/cfb/players/otis-anderson-1.html,JR,RB,"113 Att, 726 Yds, 6.4 Avg",UCF,2019
Greg McCrae,greg-mccrae-1,/cfb/players/greg-mccrae-1.html,JR,RB,"98 Att, 529 Yds, 5.4 Avg",UCF,2019
Adrian Killins,adrian-killins-1,/cfb/players/adrian-killins-1.html,SR,RB,"87 Att, 629 Yds, 7.2 Avg",UCF,2019
Bentavious Thompson,bentavious-thompson-1,/cfb/players/bentavious-thompson-1.html,SO,RB,"87 Att, 604 Yds, 6.9 Avg",UCF,2019
Trillion Coles,trillion-coles-1,/cfb/players/trillion-coles-1.html,FR,RB,"33 Att, 168 Yds, 5.1 Avg",UCF,2019
Damarius Good,damarius-good-1,/cfb/players/damarius-good-1.html,FR,RB,,UCF,2019
Marlon Williams,marlon-williams-5,/cfb/players/marlon-williams-5.html,JR,WR,"51 Rec, 717 Yds, 14.1 Avg",UCF,2019
Alex Harris,alex-harris-2,/cfb/players/alex-harris-2.html,JR,WR,"4 Rec, 44 Yds, 11.0 Avg",UCF,2019
Gabriel Davis,gabriel-davis-1,/cfb/players/gabriel-davis-1.html,JR,WR,"72 Rec, 1241 Yds, 17.2 Avg",UCF,2019
Tre Nixon,tre-nixon-1,/cfb/players/tre-nixon-1.html,JR,WR,"49 Rec, 830 Yds, 16.9 Avg",UCF,2019
Jacob Harris,jacob-harris-2,/cfb/players/jacob-harris-2.html,SR,WR,"19 Rec, 448 Yds, 23.6 Avg",UCF,2019
Ryan O'Keefe,ryan-okeefe-1,/cfb/players/ryan-okeefe-1.html,FR,WR,"7 Rec, 74 Yds, 10.6 Avg",UCF,2019
Amari Johnson,amari-johnson-1,/cfb/players/amari-johnson-1.html,FR,WR,"2 Rec, 67 Yds, 33.5 Avg",UCF,2019
Ke'von Ahmad,kevon-ahmad-1,/cfb/players/kevon-ahmad-1.html,FR,WR,"1 Rec, 15 Yds, 15.0 Avg",UCF,2019
Jarrad Baker,jarrad-baker-1,/cfb/players/jarrad-baker-1.html,FR,WR,"1 Rec, 10 Yds, 10.0 Avg",UCF,2019
Kyle Benkel,kyle-benkel-1,/cfb/players/kyle-benkel-1.html,JR,WR,"1 Rec, 4 Yds, 4.0 Avg",UCF,2019
Devin Nixon,devin-nixon-1,/cfb/players/devin-nixon-1.html,SR,WR,,UCF,2019
Jason Colubiale,jason-colubiale-1,/cfb/players/jason-colubiale-1.html,SO,WR,,UCF,2019
Darius Melton,darius-melton-1,/cfb/players/darius-melton-1.html,FR,WR,,UCF,2019
Jonathan Moore,jonathan-moore-1,/cfb/players/jonathan-moore-1.html,FR,WR,,UCF,2019
Jaylon Robinson,jaylon-robinson-1,/cfb/players/jaylon-robinson-1.html,SO,WR,,UCF,2019
Cade Sams,cade-sams-1,/cfb/players/cade-sams-1.html,FR,WR,,UCF,2019
Jake Hescock,jake-hescock-1,/cfb/players/jake-hescock-1.html,JR,TE,"9 Rec, 87 Yds, 9.7 Avg",UCF,2019
Jonathon MacCollister,jonathon-maccollister-2,/cfb/players/jonathon-maccollister-2.html,SO,TE,"1 Rec, 4 Yds, 4.0 Avg",UCF,2019
Anthony Roberson,anthony-roberson-2,/cfb/players/anthony-roberson-2.html,JR,TE,"1 Rec, 2 Yds, 2.0 Avg",UCF,2019
Alec Holler,alec-holler-1,/cfb/players/alec-holler-1.html,FR,TE,,UCF,2019
Tyler Williams,tyler-williams-6,/cfb/players/tyler-williams-6.html,SO,TE,,UCF,2019
Allan Adams,allan-adams-1,/cfb/players/allan-adams-1.html,FR,OL,,UCF,2019
Kyle Back,kyle-back-1,/cfb/players/kyle-back-1.html,SO,OL,,UCF,2019
Brett Bell,brett-bell-3,/cfb/players/brett-bell-3.html,JR,OL,,UCF,2019
Lamarius Benson,lamarius-benson-1,/cfb/players/lamarius-benson-1.html,FR,OL,,UCF,2019
Parker Boudreaux,parker-boudreaux-1,/cfb/players/parker-boudreaux-1.html,JR,OL,,UCF,2019
Nate Brady,nate-brady-1,/cfb/players/nate-brady-1.html,FR,OL,,UCF,2019
Jake Brown,jake-brown-1,/cfb/players/jake-brown-1.html,SR,OL,,UCF,2019
Edward Collins,edward-collins-1,/cfb/players/edward-collins-1.html,FR,OL,,UCF,2019
James Collins,james-collins-1,/cfb/players/james-collins-1.html,FR,OL,,UCF,2019
Josh Cox,josh-cox-3,/cfb/players/josh-cox-3.html,FR,OL,,UCF,2019
Trevor Elbert,trevor-elbert-2,/cfb/players/trevor-elbert-2.html,SR,OL,,UCF,2019
Tony Gray,tony-gray-2,/cfb/players/tony-gray-2.html,SO,OL,,UCF,2019
Samuel Jackson,samuel-jackson-1,/cfb/players/samuel-jackson-1.html,SO,OL,,UCF,2019
Jordan Johnson,jordan-johnson-5,/cfb/players/jordan-johnson-5.html,SR,OL,,UCF,2019
Matthew Lee,matthew-lee-1,/cfb/players/matthew-lee-1.html,FR,OL,,UCF,2019
Chidoziri Maghiro,chidoziri-maghiro-1,/cfb/players/chidoziri-maghiro-1.html,FR,OL,,UCF,2019
Josh McMullen,josh-mcmullen-1,/cfb/players/josh-mcmullen-1.html,SR,OL,,UCF,2019
Adrian Medley,adrian-medley-1,/cfb/players/adrian-medley-1.html,FR,OL,,UCF,2019
Lokahi Pauole,lokahi-pauole-1,/cfb/players/lokahi-pauole-1.html,FR,OL,,UCF,2019
Cole Schneider,cole-schneider-1,/cfb/players/cole-schneider-1.html,SO,OL,,UCF,2019
Eric Seidelman,eric-seidelman-1,/cfb/players/eric-seidelman-1.html,FR,OL,,UCF,2019
Dedrion Bacote-Sweat,dedrion-bacote-sweat-1,/cfb/players/dedrion-bacote-sweat-1.html,JR,DL,,UCF,2019
Randy Charlton,randy-charlton-1,/cfb/players/randy-charlton-1.html,SO,DL,,UCF,2019
Mason Cholewa,mason-cholewa-1,/cfb/players/mason-cholewa-1.html,SO,DL,,UCF,2019
Kalia Davis,kalia-davis-1,/cfb/players/kalia-davis-1.html,SO,DL,,UCF,2019
Chris DeLoach,chris-deloach-1,/cfb/players/chris-deloach-1.html,SR,DL,,UCF,2019
Cam Goode,cam-goode-1,/cfb/players/cam-goode-1.html,FR,DL,,UCF,2019
Noah Hancock,noah-hancock-1,/cfb/players/noah-hancock-1.html,JR,DL,,UCF,2019
Brendon Hayes,brendon-hayes-1,/cfb/players/brendon-hayes-1.html,SR,DL,,UCF,2019
Anthony Montalvo,anthony-montalvo-1,/cfb/players/anthony-montalvo-1.html,SO,DL,,UCF,2019
Tre'mon Morris-Brash,tremon-morris-brash-1,/cfb/players/tremon-morris-brash-1.html,FR,DL,,UCF,2019
Jalen Pinkney,jalen-pinkney-1,/cfb/players/jalen-pinkney-1.html,JR,DL,,UCF,2019
Kenny Turnier,kenny-turnier-2,/cfb/players/kenny-turnier-2.html,JR,DL,,UCF,2019
Brandon Wilson,brandon-wilson-5,/cfb/players/brandon-wilson-5.html,SR,DL,,UCF,2019
Landon Woodson,landon-woodson-1,/cfb/players/landon-woodson-1.html,FR,DL,,UCF,2019
Stephon Zayas,stephon-zayas-1,/cfb/players/stephon-zayas-1.html,SO,DL,,UCF,2019
Tyrese Black,tyrese-black-1,/cfb/players/tyrese-black-1.html,FR,DL,,UCF,2019
Davonchae Bryant,davonchae-bryant-1,/cfb/players/davonchae-bryant-1.html,FR,DL,,UCF,2019
Austin Camden,austin-camden-1,/cfb/players/austin-camden-1.html,SO,DL,,UCF,2019
Dallaz Corbitt,dallaz-corbitt-1,/cfb/players/dallaz-corbitt-1.html,FR,DL,,UCF,2019
Raymond Cutts,raymond-cutts-1,/cfb/players/raymond-cutts-1.html,FR,DL,,UCF,2019
Kam'ron Green,kamron-green-1,/cfb/players/kamron-green-1.html,FR,DL,,UCF,2019
Keenan Hester,keenan-hester-1,/cfb/players/keenan-hester-1.html,FR,DL,,UCF,2019
C.J. Reeves,cj-reeves-1,/cfb/players/cj-reeves-1.html,FR,DL,,UCF,2019
Ike Walker,ike-walker-1,/cfb/players/ike-walker-1.html,FR,DL,,UCF,2019
Nate Evans,nate-evans-1,/cfb/players/nate-evans-1.html,SR,LB,,UCF,2019
Tatum Bethune,tatum-bethune-1,/cfb/players/tatum-bethune-1.html,FR,LB,,UCF,2019
Shawn Burgess-Becker,shawn-burgess-becker-1,/cfb/players/shawn-burgess-becker-1.html,SR,LB,,UCF,2019
Eriq Gilyard,eriq-gilyard-1,/cfb/players/eriq-gilyard-1.html,SO,LB,,UCF,2019
Jeremiah Jean-Baptiste,jeremiah-jean-baptiste-1,/cfb/players/jeremiah-jean-baptiste-1.html,FR,LB,,UCF,2019
Eric Mitchell,eric-mitchell-2,/cfb/players/eric-mitchell-2.html,JR,LB,,UCF,2019
Derek Burns,derek-burns-1,/cfb/players/derek-burns-1.html,FR,LB,,UCF,2019
Darious East,darious-east-1,/cfb/players/darious-east-1.html,SO,LB,,UCF,2019
Filippo Fort,filippo-fort-1,/cfb/players/filippo-fort-1.html,FR,LB,,UCF,2019
Rico Kearney,rico-kearney-1,/cfb/players/rico-kearney-1.html,SO,LB,,UCF,2019
Monterious Loggins,monterious-loggins-1,/cfb/players/monterious-loggins-1.html,JR,LB,,UCF,2019
Steven Moss,steven-moss-2,/cfb/players/steven-moss-2.html,SO,LB,,UCF,2019
Zach Rodriguez,zach-rodriguez-1,/cfb/players/zach-rodriguez-1.html,FR,LB,,UCF,2019
Randy Shannon Jr.,randy-shannon-jr-1,/cfb/players/randy-shannon-jr-1.html,JR,LB,,UCF,2019
Elijah Benoit,elijah-benoit-1,/cfb/players/elijah-benoit-1.html,SO,DB,,UCF,2019
Nevelle Clarke,nevelle-clarke-1,/cfb/players/nevelle-clarke-1.html,SR,DB,,UCF,2019
Antwan Collier,antwan-collier-1,/cfb/players/antwan-collier-1.html,JR,DB,,UCF,2019
Derek Gainous,derek-gainous-1,/cfb/players/derek-gainous-1.html,SO,DB,,UCF,2019
Jonathan Gebka,jonathan-gebka-1,/cfb/players/jonathan-gebka-1.html,JR,DB,,UCF,2019
Tay Gowan,tay-gowan-1,/cfb/players/tay-gowan-1.html,JR,DB,,UCF,2019
Richie Grant,richie-grant-1,/cfb/players/richie-grant-1.html,JR,DB,,UCF,2019
Jordan Hayes,jordan-hayes-1,/cfb/players/jordan-hayes-1.html,SR,DB,,UCF,2019
Josh Kelly,josh-kelly-1,/cfb/players/josh-kelly-1.html,SO,DB,,UCF,2019
Dyllon Lester,dyllon-lester-1,/cfb/players/dyllon-lester-1.html,FR,DB,,UCF,2019
Zamari Maxwell,zamari-maxwell-1,/cfb/players/zamari-maxwell-1.html,SO,DB,,UCF,2019
Jermaine McMillian,jermaine-mcmillian-1,/cfb/players/jermaine-mcmillian-1.html,SO,DB,,UCF,2019
Brandon Moore,brandon-moore-6,/cfb/players/brandon-moore-6.html,JR,DB,,UCF,2019
Jon Powell,jon-powell-1,/cfb/players/jon-powell-1.html,SO,DB,,UCF,2019
Aaron Robinson,aaron-robinson-2,/cfb/players/aaron-robinson-2.html,JR,DB,,UCF,2019
Alex Swenson,alex-swenson-1,/cfb/players/alex-swenson-1.html,SO,DB,,UCF,2019
James Tarver,james-tarver-1,/cfb/players/james-tarver-1.html,FR,DB,,UCF,2019
Palmer Bachelder,palmer-bachelder-1,/cfb/players/palmer-bachelder-1.html,FR,DB,,UCF,2019
Bryon Brown,bryon-brown-1,/cfb/players/bryon-brown-1.html,JR,DB,,UCF,2019
Justin Menard,justin-menard-1,/cfb/players/justin-menard-1.html,FR,DB,,UCF,2019
Myles Wilson,myles-wilson-1,/cfb/players/myles-wilson-1.html,FR,DB,,UCF,2019
Andrew Osteen,andrew-osteen-1,/cfb/players/andrew-osteen-1.html,FR,P,,UCF,2019
Alan Kervin,alan-kervin-1,/cfb/players/alan-kervin-1.html,FR,P,,UCF,2019
Dylan Barnas,dylan-barnas-1,/cfb/players/dylan-barnas-1.html,SR,PK,,UCF,2019
Malik Barrow,malik-barrow-1,/cfb/players/malik-barrow-1.html,JR,DT,,UCF,2019
Daniel Obarski,daniel-obarski-1,/cfb/players/daniel-obarski-1.html,FR,PK,,UCF,2019
Tyler Paul,tyler-paul-1,/cfb/players/tyler-paul-1.html,FR,LS,,UCF,2019
Connor Piazza,connor-piazza-1,/cfb/players/connor-piazza-1.html,FR,PK,,UCF,2019
Alex Ward,alex-ward-1,/cfb/players/alex-ward-1.html,SO,LS,,UCF,2019
