Player,Player_ID,Player_Link,class,pos,summary,School,Year
Nico Iamaleava,nico-iamaleava-1,/cfb/players/nico-iamaleava-1.html,SO,QB,"208 Cmp, 323 Att, 1928 Yds, 13 TD",UCLA,2025
Luke Duncan,luke-duncan-1,/cfb/players/luke-duncan-1.html,SO,QB,"21 Cmp, 34 Att, 235 Yds, 2 TD",UCLA,2025
Madden Iamaleava,madden-iamaleava-1,/cfb/players/madden-iamaleava-1.html,FR,QB,,UCLA,2025
Pierce Clarkson,pierce-clarkson-1,/cfb/players/pierce-clarkson-1.html,SO,QB,,UCLA,2025
Colton Gumino,colton-gumino-1,/cfb/players/colton-gumino-1.html,FR,QB,,UCLA,2025
Henry Hasselbeck,henry-hasselbeck-1,/cfb/players/henry-hasselbeck-1.html,FR,QB,,UCLA,2025
Jalen Berger,jalen-berger-1,/cfb/players/jalen-berger-1.html,SR,RB,"81 Att, 364 Yds, 4.5 Avg",UCLA,2025
Jaivian Thomas,jaivian-thomas-1,/cfb/players/jaivian-thomas-1.html,JR,RB,"81 Att, 294 Yds, 3.6 Avg",UCLA,2025
Anthony Woods,anthony-woods-1,/cfb/players/anthony-woods-1.html,JR,RB,"63 Att, 294 Yds, 4.7 Avg",UCLA,2025
Anthony Frias II,anthony-frias-ii-1,/cfb/players/anthony-frias-ii-1.html,SR,RB,"24 Att, 183 Yds, 7.6 Avg",UCLA,2025
Troy Leigber,troy-leigber-1,/cfb/players/troy-leigber-1.html,FR,RB,"4 Att, 24 Yds, 6.0 Avg",UCLA,2025
Karson Cox,karson-cox-1,/cfb/players/karson-cox-1.html,FR,RB,"2 Att, 9 Yds, 4.5 Avg",UCLA,2025
Isaiah Carlson,isaiah-carlson-1,/cfb/players/isaiah-carlson-1.html,SO,RB,"1 Att, 0 Yds, 0.0 Avg",UCLA,2025
Mikey Matthews,mikey-matthews-1,/cfb/players/mikey-matthews-1.html,JR,WR,"33 Rec, 348 Yds, 10.5 Avg",UCLA,2025
Kwazi Gilmer,kwazi-gilmer-1,/cfb/players/kwazi-gilmer-1.html,SO,WR,"50 Rec, 535 Yds, 10.7 Avg",UCLA,2025
Rico Flores Jr.,rico-flores-jr-1,/cfb/players/rico-flores-jr-1.html,SO,WR,"26 Rec, 274 Yds, 10.5 Avg",UCLA,2025
Titus Mokiao-Atimalala,titus-mokiao-atimalala-1,/cfb/players/titus-mokiao-atimalala-1.html,SR,WR,"25 Rec, 322 Yds, 12.9 Avg",UCLA,2025
Kyle Miller,kyle-miller-1,/cfb/players/kyle-miller-1.html,SR,WR,"2 Rec, 9 Yds, 4.5 Avg",UCLA,2025
Ezavier Staples,ezavier-staples-1,/cfb/players/ezavier-staples-1.html,SR,WR,"2 Rec, 18 Yds, 9.0 Avg",UCLA,2025
Jaedon Wilson,jaedon-wilson-1,/cfb/players/jaedon-wilson-1.html,SR,WR,"2 Rec, 20 Yds, 10.0 Avg",UCLA,2025
Jace Brown,jace-brown-1,/cfb/players/jace-brown-1.html,FR,WR,,UCLA,2025
Jadyn Marshall,jadyn-marshall-1,/cfb/players/jadyn-marshall-1.html,JR,WR,,UCLA,2025
Jalen Saint Paul,jalen-saint-paul-1,/cfb/players/jalen-saint-paul-1.html,FR,WR,,UCLA,2025
Carter Shaw,carter-shaw-1,/cfb/players/carter-shaw-1.html,SO,WR,,UCLA,2025
Russell Weir,russell-weir-1,/cfb/players/russell-weir-1.html,FR,WR,,UCLA,2025
Karson Gordon,karson-gordon-1,/cfb/players/karson-gordon-1.html,FR,WR,,UCLA,2025
Jackson Meehan,jackson-meehan-1,/cfb/players/jackson-meehan-1.html,SR,WR,,UCLA,2025
Shane Rosenthal,shane-rosenthal-1,/cfb/players/shane-rosenthal-1.html,FR,WR,,UCLA,2025
Jonah Smith,jonah-smith-1,/cfb/players/jonah-smith-1.html,FR,WR,,UCLA,2025
Hudson Habermehl,hudson-habermehl-1,/cfb/players/hudson-habermehl-1.html,SR,TE,"20 Rec, 138 Yds, 6.9 Avg",UCLA,2025
Jack Pedersen,jack-pedersen-1,/cfb/players/jack-pedersen-1.html,JR,TE,"11 Rec, 72 Yds, 6.5 Avg",UCLA,2025
Noah Fox-Flores,noah-fox-flores-1,/cfb/players/noah-fox-flores-1.html,FR,TE,"1 Rec, 4 Yds, 4.0 Avg",UCLA,2025
Peter Bario,peter-bario-1,/cfb/players/peter-bario-1.html,SO,TE,,UCLA,2025
Jake Renda,jake-renda-1,/cfb/players/jake-renda-1.html,JR,TE,,UCLA,2025
Dylan Sims,dylan-sims-2,/cfb/players/dylan-sims-2.html,FR,TE,,UCLA,2025
Oluwafunto Akinshilo,oluwafunto-akinshilo-1,/cfb/players/oluwafunto-akinshilo-1.html,SR,OL,,UCLA,2025
Julian Armella,julian-armella-1,/cfb/players/julian-armella-1.html,JR,OL,,UCLA,2025
Eugene Brooks,eugene-brooks-1,/cfb/players/eugene-brooks-1.html,SO,OL,,UCLA,2025
Garrett DiGiorgio,garrett-digiorgio-1,/cfb/players/garrett-digiorgio-1.html,SR,OL,,UCLA,2025
Courtland Ford,courtland-ford-1,/cfb/players/courtland-ford-1.html,SR,OL,,UCLA,2025
Tautai Li'O Marks,tautai-lio-marks-1,/cfb/players/tautai-lio-marks-1.html,SR,OL,,UCLA,2025
