Player,Player_ID,Player_Link,class,pos,summary,School,Year
Cordale Grundy,cordale-grundy-1,/cfb/players/cordale-grundy-1.html,JR,QB,"111 Cmp, 220 Att, 989 Yds, 5 TD",UTSA,2018
Bryce Rivers,bryce-rivers-1,/cfb/players/bryce-rivers-1.html,SO,QB,"37 Cmp, 64 Att, 463 Yds, 2 TD",UTSA,2018
D.J. Gillins,dj-gillins-1,/cfb/players/dj-gillins-1.html,SR,QB,"30 Cmp, 61 Att, 225 Yds, 1 TD",UTSA,2018
Jordan Weeks,jordan-weeks-1,/cfb/players/jordan-weeks-1.html,FR,QB,"26 Cmp, 58 Att, 241 Yds, 1 TD",UTSA,2018
Liam Beard,liam-beard-2,/cfb/players/liam-beard-2.html,FR,QB,,UTSA,2018
Brandon Garza,brandon-garza-1,/cfb/players/brandon-garza-1.html,JR,QB,,UTSA,2018
Frank Harris,frank-harris-3,/cfb/players/frank-harris-3.html,FR,QB,,UTSA,2018
Brenden Brady,brenden-brady-1,/cfb/players/brenden-brady-1.html,FR,RB,"49 Att, 221 Yds, 4.5 Avg",UTSA,2018
B.J. Daniels,bj-daniels-2,/cfb/players/bj-daniels-2.html,SO,RB,"87 Att, 322 Yds, 3.7 Avg",UTSA,2018
Jalen Rhodes,jalen-rhodes-1,/cfb/players/jalen-rhodes-1.html,SR,RB,"72 Att, 268 Yds, 3.7 Avg",UTSA,2018
Halen Steward,halen-steward-1,/cfb/players/halen-steward-1.html,JR,RB,"4 Rec, 14 Yds, 3.5 Avg",UTSA,2018
Deven Boston,deven-boston-1,/cfb/players/deven-boston-1.html,SR,RB,,UTSA,2018
Jaylon Dukes,jaylon-dukes-1,/cfb/players/jaylon-dukes-1.html,SO,RB,,UTSA,2018
Orryn Nicholson,orryn-nicholson-1,/cfb/players/orryn-nicholson-1.html,FR,RB,,UTSA,2018
Terence Shaw II,terence-shaw-ii-1,/cfb/players/terence-shaw-ii-1.html,SO,RB,,UTSA,2018
Brett Winnegan,brett-winnegan-1,/cfb/players/brett-winnegan-1.html,SR,RB,,UTSA,2018
Matt Guidry,matt-guidry-1,/cfb/players/matt-guidry-1.html,JR,WR,"1 Rec, 4 Yds, 4.0 Avg",UTSA,2018
Greg Campbell Jr.,greg-campbell-3,/cfb/players/greg-campbell-3.html,SR,WR,"58 Rec, 658 Yds, 11.3 Avg",UTSA,2018
Kirk Johnson,kirk-johnson-6,/cfb/players/kirk-johnson-6.html,SO,WR,"20 Rec, 137 Yds, 6.9 Avg",UTSA,2018
Blaze Moorhead,blaze-moorhead-1,/cfb/players/blaze-moorhead-1.html,JR,WR,"19 Rec, 210 Yds, 11.1 Avg",UTSA,2018
Sheldon Jones,sheldon-jones-1,/cfb/players/sheldon-jones-1.html,FR,WR,"10 Rec, 74 Yds, 7.4 Avg",UTSA,2018
Marquez McNair,marquez-mcnair-1,/cfb/players/marquez-mcnair-1.html,SR,WR,"17 Rec, 198 Yds, 11.6 Avg",UTSA,2018
Tariq Woolen,tariq-woolen-1,/cfb/players/tariq-woolen-1.html,FR,WR,"15 Rec, 158 Yds, 10.5 Avg",UTSA,2018
Tykee Ogle-Kellogg,tykee-ogle-kellogg-1,/cfb/players/tykee-ogle-kellogg-1.html,FR,WR,"14 Rec, 179 Yds, 12.8 Avg",UTSA,2018
Larry Stephens,larry-stephens-4,/cfb/players/larry-stephens-4.html,SR,WR,"1 Rec, 6 Yds, 6.0 Avg",UTSA,2018
Peyton Hall,peyton-hall-1,/cfb/players/peyton-hall-1.html,SR,WR,,UTSA,2018
Andrew McGowan,andrew-mcgowan-1,/cfb/players/andrew-mcgowan-1.html,FR,WR,,UTSA,2018
Reggie Ross,reggie-ross-1,/cfb/players/reggie-ross-1.html,FR,WR,,UTSA,2018
Cade Stoever,cade-stoever-1,/cfb/players/cade-stoever-1.html,FR,WR,,UTSA,2018
La'thaniel Washington,lathaniel-washington-1,/cfb/players/lathaniel-washington-1.html,FR,WR,,UTSA,2018
Carter McCarthy,carter-mccarthy-1,/cfb/players/carter-mccarthy-1.html,SO,TE,"6 Rec, 52 Yds, 8.7 Avg",UTSA,2018
Gavin Sharp,gavin-sharp-1,/cfb/players/gavin-sharp-1.html,FR,TE,"16 Rec, 114 Yds, 7.1 Avg",UTSA,2018
T.J. King,tj-king-1,/cfb/players/tj-king-1.html,JR,TE,"1 Rec, 7 Yds, 7.0 Avg",UTSA,2018
Andrew Acosta,andrew-acosta-1,/cfb/players/andrew-acosta-1.html,FR,TE,,UTSA,2018
Alin Edouard,alin-edouard-1,/cfb/players/alin-edouard-1.html,SO,TE,,UTSA,2018
