Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jordan Love,jordan-love-2,/cfb/players/jordan-love-2.html,SO,QB,"267 Cmp, 417 Att, 3567 Yds, 32 TD",Utah State,2018
Henry Colombi,henry-colombi-1,/cfb/players/henry-colombi-1.html,FR,QB,"33 Cmp, 40 Att, 239 Yds, 0 TD",Utah State,2018
Andrew Peasley,andrew-peasley-1,/cfb/players/andrew-peasley-1.html,FR,QB,"3 Cmp, 8 Att, 19 Yds, 0 TD",Utah State,2018
Will Dana,will-dana-1,/cfb/players/will-dana-1.html,FR,QB,,Utah State,2018
Darwin Thompson,darwin-thompson-1,/cfb/players/darwin-thompson-1.html,JR,RB,"153 Att, 1044 Yds, 6.8 Avg",Utah State,2018
Gerold Bright,gerold-bright-1,/cfb/players/gerold-bright-1.html,JR,RB,"141 Att, 888 Yds, 6.3 Avg",Utah State,2018
Eltoro Allen,eltoro-allen-1,/cfb/players/eltoro-allen-1.html,SR,RB,"35 Att, 120 Yds, 3.4 Avg",Utah State,2018
Justen Hervey,justen-hervey-1,/cfb/players/justen-hervey-1.html,SR,RB,"31 Att, 122 Yds, 3.9 Avg",Utah State,2018
Morian Walker Jr.,morian-walker-jr-1,/cfb/players/morian-walker-jr-1.html,SO,RB,"19 Att, 66 Yds, 3.5 Avg",Utah State,2018
Tre Miller,tre-miller-1,/cfb/players/tre-miller-1.html,SO,RB,"7 Att, 33 Yds, 4.7 Avg",Utah State,2018
SJ Fehoko,sj-fehoko-1,/cfb/players/sj-fehoko-1.html,FR,RB,,Utah State,2018
Aaren Vaughns,aaren-vaughns-1,/cfb/players/aaren-vaughns-1.html,SR,WR,"33 Rec, 581 Yds, 17.6 Avg",Utah State,2018
Deven Thompkins,deven-thompkins-1,/cfb/players/deven-thompkins-1.html,FR,WR,"9 Rec, 65 Yds, 7.2 Avg",Utah State,2018
Ron'Quavion Tarver,ronquavion-tarver-1,/cfb/players/ronquavion-tarver-1.html,SR,WR,"66 Rec, 709 Yds, 10.7 Avg",Utah State,2018
Jordan Nathan,jordan-nathan-1,/cfb/players/jordan-nathan-1.html,SO,WR,"28 Rec, 297 Yds, 10.6 Avg",Utah State,2018
Savon Scarver,savon-scarver-1,/cfb/players/savon-scarver-1.html,SO,WR,"9 Rec, 156 Yds, 17.3 Avg",Utah State,2018
Jalen Greene,jalen-greene-1,/cfb/players/jalen-greene-1.html,SR,WR,"44 Rec, 689 Yds, 15.7 Avg",Utah State,2018
DJ Nelson,dj-nelson-1,/cfb/players/dj-nelson-1.html,SR,WR,"12 Rec, 112 Yds, 9.3 Avg",Utah State,2018
Taylor Compton,taylor-compton-1,/cfb/players/taylor-compton-1.html,SO,WR,"8 Rec, 58 Yds, 7.3 Avg",Utah State,2018
Devin Heckstall,devin-heckstall-1,/cfb/players/devin-heckstall-1.html,JR,WR,"4 Rec, 15 Yds, 3.8 Avg",Utah State,2018
Chad Artist,chad-artist-1,/cfb/players/chad-artist-1.html,JR,WR,,Utah State,2018
Preston Curtis,preston-curtis-1,/cfb/players/preston-curtis-1.html,FR,WR,,Utah State,2018
Falzon Knight,falzon-knight-1,/cfb/players/falzon-knight-1.html,JR,WR,,Utah State,2018
Landon Larsen,landon-larsen-1,/cfb/players/landon-larsen-1.html,FR,WR,,Utah State,2018
Sam Lockett,sam-lockett-1,/cfb/players/sam-lockett-1.html,FR,WR,,Utah State,2018
Tim Patrick Jr.,tim-patrick-jr-1,/cfb/players/tim-patrick-jr-1.html,FR,WR,,Utah State,2018
Jackson Prince,jackson-prince-1,/cfb/players/jackson-prince-1.html,FR,WR,,Utah State,2018
Dax Raymond,dax-raymond-1,/cfb/players/dax-raymond-1.html,JR,TE,"27 Rec, 345 Yds, 12.8 Avg",Utah State,2018
Carson Terrell,carson-terrell-1,/cfb/players/carson-terrell-1.html,SO,TE,"10 Rec, 150 Yds, 15.0 Avg",Utah State,2018
Travis Boman,travis-boman-1,/cfb/players/travis-boman-1.html,SO,TE,"1 Rec, 11 Yds, 11.0 Avg",Utah State,2018
Bryce Mortenson,bryce-mortenson-1,/cfb/players/bryce-mortenson-1.html,FR,TE,,Utah State,2018
Emerson Woods,emerson-woods-1,/cfb/players/emerson-woods-1.html,SR,TE,,Utah State,2018
Demytrick Ali'ifua,demytrick-aliifua-1,/cfb/players/demytrick-aliifua-1.html,SO,OL,,Utah State,2018
Roman Andrus,roman-andrus-1,/cfb/players/roman-andrus-1.html,SR,OL,,Utah State,2018
Heneli Avendano,heneli-avendano-1,/cfb/players/heneli-avendano-1.html,FR,OL,,Utah State,2018
Wyatt Bowles,wyatt-bowles-1,/cfb/players/wyatt-bowles-1.html,FR,OL,,Utah State,2018
Robert Castaneda,robert-castaneda-1,/cfb/players/robert-castaneda-1.html,SR,OL,,Utah State,2018
Chandler Dolphin,chandler-dolphin-1,/cfb/players/chandler-dolphin-1.html,FR,OL,,Utah State,2018
Alfred Edwards,alfred-edwards-1,/cfb/players/alfred-edwards-1.html,FR,OL,,Utah State,2018
Quin Ficklin,quin-ficklin-1,/cfb/players/quin-ficklin-1.html,SR,OL,,Utah State,2018
Kyler Hack,kyler-hack-1,/cfb/players/kyler-hack-1.html,SO,OL,,Utah State,2018
Moroni Iniguez,moroni-iniguez-1,/cfb/players/moroni-iniguez-1.html,JR,OL,,Utah State,2018
Andy Koch,andy-koch-1,/cfb/players/andy-koch-1.html,FR,OL,,Utah State,2018
Wade Meacham,wade-meacham-1,/cfb/players/wade-meacham-1.html,FR,OL,,Utah State,2018
Connor Meyers,connor-meyers-1,/cfb/players/connor-meyers-1.html,SO,OL,,Utah State,2018
Karter Shaw,karter-shaw-1,/cfb/players/karter-shaw-1.html,FR,OL,,Utah State,2018
Ty Shaw,ty-shaw-1,/cfb/players/ty-shaw-1.html,SO,OL,,Utah State,2018
Jacob South,jacob-south-1,/cfb/players/jacob-south-1.html,FR,OL,,Utah State,2018
Sean Taylor,sean-taylor-2,/cfb/players/sean-taylor-2.html,SR,OL,,Utah State,2018
Jake Templeton,jake-templeton-1,/cfb/players/jake-templeton-1.html,SR,OL,,Utah State,2018
KJ Uluave,kj-uluave-1,/cfb/players/kj-uluave-1.html,SR,OL,,Utah State,2018
Siotame Uluave,siotame-uluave-1,/cfb/players/siotame-uluave-1.html,SO,OL,,Utah State,2018
Chase Christiansen,chase-christiansen-1,/cfb/players/chase-christiansen-1.html,SR,LB,,Utah State,2018
Tipa Galeai,tipa-galeai-1,/cfb/players/tipa-galeai-1.html,JR,LB,,Utah State,2018
Braden Harris,braden-harris-1,/cfb/players/braden-harris-1.html,JR,LB,,Utah State,2018
Daniel Langi,daniel-langi-1,/cfb/players/daniel-langi-1.html,FR,LB,,Utah State,2018
Ofa Latu,ofa-latu-1,/cfb/players/ofa-latu-1.html,SR,LB,,Utah State,2018
Maika Magalei,maika-magalei-1,/cfb/players/maika-magalei-1.html,SO,LB,,Utah State,2018
Simian Matagi,simian-matagi-1,/cfb/players/simian-matagi-1.html,FR,LB,,Utah State,2018
Mitch Medina,mitch-medina-1,/cfb/players/mitch-medina-1.html,FR,LB,,Utah State,2018
Kevin Meitzenheimer,kevin-meitzenheimer-1,/cfb/players/kevin-meitzenheimer-1.html,SO,LB,,Utah State,2018
Eric Munoz,eric-munoz-1,/cfb/players/eric-munoz-1.html,JR,LB,,Utah State,2018
Elijah Shelton,elijah-shelton-1,/cfb/players/elijah-shelton-1.html,FR,LB,,Utah State,2018
Suliasi Tamaivena,suliasi-tamaivena-1,/cfb/players/suliasi-tamaivena-1.html,SR,LB,,Utah State,2018
Justus Te'i,justus-tei-1,/cfb/players/justus-tei-1.html,JR,LB,,Utah State,2018
Lamar Dawson,lamar-dawson-2,/cfb/players/lamar-dawson-2.html,SO,LB,,Utah State,2018
Derek Larsen,derek-larsen-1,/cfb/players/derek-larsen-1.html,SR,LB,,Utah State,2018
Parker McCary,parker-mccary-1,/cfb/players/parker-mccary-1.html,FR,LB,,Utah State,2018
Ben Norton,ben-norton-1,/cfb/players/ben-norton-1.html,FR,LB,,Utah State,2018
Tate Shumway,tate-shumway-1,/cfb/players/tate-shumway-1.html,FR,LB,,Utah State,2018
Mason Tobeck,mason-tobeck-1,/cfb/players/mason-tobeck-1.html,JR,LB,,Utah State,2018
David Woodward,david-woodward-1,/cfb/players/david-woodward-1.html,SO,LB,,Utah State,2018
Zach Lee,zach-lee-1,/cfb/players/zach-lee-1.html,JR,P,,Utah State,2018
Aaron Dalton,aaron-dalton-1,/cfb/players/aaron-dalton-1.html,SR,P,,Utah State,2018
Adewale Adeoye,adewale-adeoye-1,/cfb/players/adewale-adeoye-1.html,SR,DE,,Utah State,2018
