Player,Player_ID,Player_Link,class,pos,summary,School,Year
Kurt Benkert,kurt-benkert-1,/cfb/players/kurt-benkert-1.html,JR,QB,"228 Cmp, 406 Att, 2552 Yds, 21 TD",Virginia,2016
Matt Johns,matt-johns-1,/cfb/players/matt-johns-1.html,SR,QB,"36 Cmp, 63 Att, 314 Yds, 2 TD",Virginia,2016
Connor Brewer,connor-brewer-1,/cfb/players/connor-brewer-1.html,SR,QB,"2 Cmp, 12 Att, 6 Yds, 0 TD",Virginia,2016
Joe Spaziani,joe-spaziani-1,/cfb/players/joe-spaziani-1.html,SO,QB,,Virginia,2016
Taquan Mizzell,taquan-mizzell-1,/cfb/players/taquan-mizzell-1.html,SR,RB,"187 Att, 940 Yds, 5.0 Avg",Virginia,2016
Albert Reid,albert-reid-1,/cfb/players/albert-reid-1.html,SR,RB,"98 Att, 480 Yds, 4.9 Avg",Virginia,2016
Jordan Ellis,jordan-ellis-2,/cfb/players/jordan-ellis-2.html,SO,RB,"14 Att, 61 Yds, 4.4 Avg",Virginia,2016
Daniel Hamm,daniel-hamm-1,/cfb/players/daniel-hamm-1.html,JR,RB,"3 Att, 4 Yds, 1.3 Avg",Virginia,2016
Hasise Dubois,hasise-dubois-1,/cfb/players/hasise-dubois-1.html,FR,WR,"8 Rec, 99 Yds, 12.4 Avg",Virginia,2016
Olamide Zaccheaus,olamide-zaccheaus-1,/cfb/players/olamide-zaccheaus-1.html,SO,WR,"51 Rec, 584 Yds, 11.5 Avg",Virginia,2016
Joe Reed,joe-reed-4,/cfb/players/joe-reed-4.html,FR,WR,"4 Rec, 77 Yds, 19.3 Avg",Virginia,2016
Doni Dowling,doni-dowling-1,/cfb/players/doni-dowling-1.html,JR,WR,"50 Rec, 626 Yds, 12.5 Avg",Virginia,2016
Keeon Johnson,keeon-johnson-2,/cfb/players/keeon-johnson-2.html,SR,WR,"49 Rec, 476 Yds, 9.7 Avg",Virginia,2016
Ryan Santoro,ryan-santoro-1,/cfb/players/ryan-santoro-1.html,SR,WR,"9 Rec, 78 Yds, 8.7 Avg",Virginia,2016
Warren Craft,warren-craft-1,/cfb/players/warren-craft-1.html,FR,WR,"8 Rec, 97 Yds, 12.1 Avg",Virginia,2016
David Eldridge,david-eldridge-2,/cfb/players/david-eldridge-2.html,SO,WR,"8 Rec, 177 Yds, 22.1 Avg",Virginia,2016
Andre Levrone,andre-levrone-1,/cfb/players/andre-levrone-1.html,JR,WR,"8 Rec, 126 Yds, 15.8 Avg",Virginia,2016
Evan Butts,evan-butts-1,/cfb/players/evan-butts-1.html,SO,TE,"7 Rec, 46 Yds, 6.6 Avg",Virginia,2016
