Player,Player_ID,Player_Link,class,pos,summary,School,Year
Garrett Greene,garrett-greene-1,/cfb/players/garrett-greene-1.html,JR,QB,"147 Cmp, 277 Att, 2406 Yds, 16 TD",West Virginia,2023
Nicco Marchiol,nicco-marchiol-1,/cfb/players/nicco-marchiol-1.html,SO,QB,"30 Cmp, 53 Att, 247 Yds, 2 TD",West Virginia,2023
Sean Boyle,sean-boyle-2,/cfb/players/sean-boyle-2.html,FR,QB,,West Virginia,2023
Grant Cochran,grant-cochran-1,/cfb/players/grant-cochran-1.html,FR,QB,,West Virginia,2023
Jackson Crist,jackson-crist-1,/cfb/players/jackson-crist-1.html,SO,QB,,West Virginia,2023
Scott Kean,scott-kean-1,/cfb/players/scott-kean-1.html,FR,QB,,West Virginia,2023
CJ Donaldson,cj-donaldson-1,/cfb/players/cj-donaldson-1.html,SO,RB,"171 Att, 798 Yds, 4.7 Avg",West Virginia,2023
Jahiem White,jahiem-white-1,/cfb/players/jahiem-white-1.html,FR,RB,"109 Att, 842 Yds, 7.7 Avg",West Virginia,2023
Jaylen Anderson,jaylen-anderson-2,/cfb/players/jaylen-anderson-2.html,SO,RB,"44 Att, 147 Yds, 3.3 Avg",West Virginia,2023
Justin Johnson Jr.,justin-johnson-jr-1,/cfb/players/justin-johnson-jr-1.html,JR,RB,"38 Att, 150 Yds, 3.9 Avg",West Virginia,2023
DJ Oliver,dj-oliver-1,/cfb/players/dj-oliver-1.html,FR,RB,"12 Att, 47 Yds, 3.9 Avg",West Virginia,2023
Judah Price,judah-price-1,/cfb/players/judah-price-1.html,FR,RB,,West Virginia,2023
Traylon Ray,traylon-ray-1,/cfb/players/traylon-ray-1.html,FR,WR,"18 Rec, 321 Yds, 17.8 Avg",West Virginia,2023
Rodney Gallagher,rodney-gallagher-1,/cfb/players/rodney-gallagher-1.html,FR,WR,"10 Rec, 74 Yds, 7.4 Avg",West Virginia,2023
EJ Horton,ej-horton-1,/cfb/players/ej-horton-1.html,JR,WR,"10 Rec, 201 Yds, 20.1 Avg",West Virginia,2023
Preston Fox,preston-fox-1,/cfb/players/preston-fox-1.html,SO,WR,"26 Rec, 368 Yds, 14.2 Avg",West Virginia,2023
Jarel Williams,jarel-williams-1,/cfb/players/jarel-williams-1.html,SO,WR,,West Virginia,2023
Devin Carter,devin-carter-2,/cfb/players/devin-carter-2.html,SR,WR,"27 Rec, 501 Yds, 18.6 Avg",West Virginia,2023
Hudson Clement,hudson-clement-1,/cfb/players/hudson-clement-1.html,FR,WR,"22 Rec, 480 Yds, 21.8 Avg",West Virginia,2023
