year_id,year_id_url,player,player_id,player_url,school_name,school_name_url,summary,award_name,award_type,source_url,table_id
2025,https://www.sports-reference.com/cfb/years/2025.html,Fernando Mendoza *,fernando-mendoza-1,https://www.sports-reference.com/cfb/players/fernando-mendoza-1.html,Indiana,https://www.sports-reference.com/cfb/schools/indiana/2025.html,"273 Cmp, 379 Att, 3535 Yds, 41 TD, 6 Int",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
2024,https://www.sports-reference.com/cfb/years/2024.html,Travis Hunter *,travis-hunter-2,https://www.sports-reference.com/cfb/players/travis-hunter-2.html,Colorado,https://www.sports-reference.com/cfb/schools/colorado/2024.html,"25 Solo, 11 Ast, 0.0 Sk, 4 Int",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
2023,https://www.sports-reference.com/cfb/years/2023.html,Jayden Daniels *,jayden-daniels-1,https://www.sports-reference.com/cfb/players/jayden-daniels-1.html,LSU,https://www.sports-reference.com/cfb/schools/louisiana-state/2023.html,"236 Cmp, 327 Att, 3812 Yds, 40 TD, 4 Int",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
2022,https://www.sports-reference.com/cfb/years/2022.html,Caleb Williams *,caleb-williams-3,https://www.sports-reference.com/cfb/players/caleb-williams-3.html,USC,https://www.sports-reference.com/cfb/schools/southern-california/2022.html,"333 Cmp, 500 Att, 4537 Yds, 42 TD, 5 Int",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
2021,https://www.sports-reference.com/cfb/years/2021.html,Bryce Young *,bryce-young-1,https://www.sports-reference.com/cfb/players/bryce-young-1.html,Alabama,https://www.sports-reference.com/cfb/schools/alabama/2021.html,"366 Cmp, 547 Att, 4872 Yds, 47 TD, 7 Int",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
2020,https://www.sports-reference.com/cfb/years/2020.html,DeVonta Smith *,devonta-smith-1,https://www.sports-reference.com/cfb/players/devonta-smith-1.html,Alabama,https://www.sports-reference.com/cfb/schools/alabama/2020.html,"117 Rec, 1856 Yds, 15.9 Avg, 23 TD",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
2019,https://www.sports-reference.com/cfb/years/2019.html,Joe Burrow *,joe-burrow-1,https://www.sports-reference.com/cfb/players/joe-burrow-1.html,LSU,https://www.sports-reference.com/cfb/schools/louisiana-state/2019.html,"402 Cmp, 527 Att, 5671 Yds, 60 TD, 6 Int",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
2018,https://www.sports-reference.com/cfb/years/2018.html,Kyler Murray *,kyler-murray-1,https://www.sports-reference.com/cfb/players/kyler-murray-1.html,Oklahoma,https://www.sports-reference.com/cfb/schools/oklahoma/2018.html,"260 Cmp, 377 Att, 4361 Yds, 42 TD, 7 Int",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
2017,https://www.sports-reference.com/cfb/years/2017.html,Baker Mayfield *,baker-mayfield-1,https://www.sports-reference.com/cfb/players/baker-mayfield-1.html,Oklahoma,https://www.sports-reference.com/cfb/schools/oklahoma/2017.html,"285 Cmp, 404 Att, 4627 Yds, 43 TD, 6 Int",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
2016,https://www.sports-reference.com/cfb/years/2016.html,Lamar Jackson *,lamar-jackson-1,https://www.sports-reference.com/cfb/players/lamar-jackson-1.html,Louisville,https://www.sports-reference.com/cfb/schools/louisville/2016.html,"230 Cmp, 409 Att, 3543 Yds, 30 TD, 9 Int",AP Player of the Year Award Winners,Most Outstanding Player,https://www.sports-reference.com/cfb/awards/ap-poy.html#all_ap-poy,ap-poy
