year_id,year_id_url,player,player_id,player_url,school_name,school_name_url,summary,award_name,award_type,source_url,table_id
2025,https://www.sports-reference.com/cfb/years/2025.html,Jacob Rodriguez *,jacob-rodriguez-1,https://www.sports-reference.com/cfb/players/jacob-rodriguez-1.html,Texas Tech,https://www.sports-reference.com/cfb/schools/texas-tech/2025.html,"63 Solo, 65 Ast, 1.0 Sk, 4 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2024,https://www.sports-reference.com/cfb/years/2024.html,Travis Hunter *,travis-hunter-2,https://www.sports-reference.com/cfb/players/travis-hunter-2.html,Colorado,https://www.sports-reference.com/cfb/schools/colorado/2024.html,"25 Solo, 11 Ast, 0.0 Sk, 4 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2023,https://www.sports-reference.com/cfb/years/2023.html,T'vondre Sweat *,tvondre-sweat-1,https://www.sports-reference.com/cfb/players/tvondre-sweat-1.html,Texas,https://www.sports-reference.com/cfb/schools/texas/2023.html,"18 Solo, 27 Ast, 2.0 Sk, 0 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2022,https://www.sports-reference.com/cfb/years/2022.html,Felix Anudike-Uzomah *,felix-anudike-uzomah-1,https://www.sports-reference.com/cfb/players/felix-anudike-uzomah-1.html,Kansas State,https://www.sports-reference.com/cfb/schools/kansas-state/2022.html,"31 Solo, 15 Ast, 8.5 Sk, 0 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2021,https://www.sports-reference.com/cfb/years/2021.html,Jalen Pitre *,jalen-pitre-1,https://www.sports-reference.com/cfb/players/jalen-pitre-1.html,Baylor,https://www.sports-reference.com/cfb/schools/baylor/2021.html,"56 Solo, 19 Ast, 3.5 Sk, 2 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2020,https://www.sports-reference.com/cfb/years/2020.html,Mike Rose *,mike-rose-5,https://www.sports-reference.com/cfb/players/mike-rose-5.html,Iowa State,https://www.sports-reference.com/cfb/schools/iowa-state/2020.html,"57 Solo, 42 Ast, 1.5 Sk, 5 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2019,https://www.sports-reference.com/cfb/years/2019.html,James Lynch *,james-lynch-3,https://www.sports-reference.com/cfb/players/james-lynch-3.html,Baylor,https://www.sports-reference.com/cfb/schools/baylor/2019.html,"23 Solo, 18 Ast, 13.5 Sk, 0 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2018,https://www.sports-reference.com/cfb/years/2018.html,David Long *,david-long-2,https://www.sports-reference.com/cfb/players/david-long-2.html,West Virginia,https://www.sports-reference.com/cfb/schools/west-virginia/2018.html,"76 Solo, 35 Ast, 8.0 Sk, 0 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2017,https://www.sports-reference.com/cfb/years/2017.html,Ogbonnia Okoronkwo *,ogbonnia-okoronkwo-1,https://www.sports-reference.com/cfb/players/ogbonnia-okoronkwo-1.html,Oklahoma,https://www.sports-reference.com/cfb/schools/oklahoma/2017.html,"47 Solo, 29 Ast, 8.0 Sk, 0 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2016,https://www.sports-reference.com/cfb/years/2016.html,Jordan Willis *,jordan-willis-1,https://www.sports-reference.com/cfb/players/jordan-willis-1.html,Kansas State,https://www.sports-reference.com/cfb/schools/kansas-state/2016.html,"34 Solo, 18 Ast, 11.5 Sk, 0 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2015,https://www.sports-reference.com/cfb/years/2015.html,Emmanuel Ogbah * (tie),emmanuel-ogbah-1,https://www.sports-reference.com/cfb/players/emmanuel-ogbah-1.html,Oklahoma State,https://www.sports-reference.com/cfb/schools/oklahoma-state/2015.html,"44 Solo, 20 Ast, 13.0 Sk, 0 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
2015,https://www.sports-reference.com/cfb/years/2015.html,Andrew Billings * (tie),andrew-billings-1,https://www.sports-reference.com/cfb/players/andrew-billings-1.html,Baylor,https://www.sports-reference.com/cfb/schools/baylor/2015.html,"31 Solo, 8 Ast, 5.5 Sk, 0 Int",Big 12 Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-12-dpoy.html#all_big-12-dpoy,big-12-dpoy
