year_id,year_id_url,player,player_id,player_url,school_name,school_name_url,summary,award_name,award_type,source_url,table_id
2012,https://www.sports-reference.com/cfb/years/2012.html,Khaseem Greene *,khaseem-greene-1,https://www.sports-reference.com/cfb/players/khaseem-greene-1.html,Rutgers,https://www.sports-reference.com/cfb/schools/rutgers/2012.html,"70 Solo, 66 Ast, 6.0 Sk, 2 Int",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
2011,https://www.sports-reference.com/cfb/years/2011.html,Khaseem Greene * (tie),khaseem-greene-1,https://www.sports-reference.com/cfb/players/khaseem-greene-1.html,Rutgers,https://www.sports-reference.com/cfb/schools/rutgers/2011.html,"74 Solo, 67 Ast, 3.5 Sk, 0 Int",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
2011,https://www.sports-reference.com/cfb/years/2011.html,Derek Wolfe * (tie),derek-wolfe-1,https://www.sports-reference.com/cfb/players/derek-wolfe-1.html,Cincinnati,https://www.sports-reference.com/cfb/schools/cincinnati/2011.html,"37 Solo, 33 Ast, 9.5 Sk",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
2010,https://www.sports-reference.com/cfb/years/2010.html,Jabaal Sheard *,jabaal-sheard-1,https://www.sports-reference.com/cfb/players/jabaal-sheard-1.html,Pitt,https://www.sports-reference.com/cfb/schools/pittsburgh/2010.html,"34 Solo, 18 Ast, 9.0 Sk",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
2009,https://www.sports-reference.com/cfb/years/2009.html,Greg Romeus * (tie),greg-romeus-1,https://www.sports-reference.com/cfb/players/greg-romeus-1.html,Pitt,https://www.sports-reference.com/cfb/schools/pittsburgh/2009.html,"22 Solo, 21 Ast, 8.0 Sk, 1 Int",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
2009,https://www.sports-reference.com/cfb/years/2009.html,Ernest (Mick) Williams * (tie),ernest-mick-williams-1,https://www.sports-reference.com/cfb/players/ernest-mick-williams-1.html,Pitt,https://www.sports-reference.com/cfb/schools/pittsburgh/2009.html,"28 Solo, 14 Ast, 5.0 Sk",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
2008,https://www.sports-reference.com/cfb/years/2008.html,Scott McKillop *,scott-mckillop-1,https://www.sports-reference.com/cfb/players/scott-mckillop-1.html,Pitt,https://www.sports-reference.com/cfb/schools/pittsburgh/2008.html,"82 Solo, 55 Ast, 4.0 Sk, 2 Int",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
2007,https://www.sports-reference.com/cfb/years/2007.html,George Selvie *,george-selvie-1,https://www.sports-reference.com/cfb/players/george-selvie-1.html,South Florida,https://www.sports-reference.com/cfb/schools/south-florida/2007.html,"45 Solo, 13 Ast, 14.5 Sk",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
2006,https://www.sports-reference.com/cfb/years/2006.html,H.B. Blades,hb-blades-1,https://www.sports-reference.com/cfb/players/hb-blades-1.html,Pitt,https://www.sports-reference.com/cfb/schools/pittsburgh/2006.html,"86 Solo, 61 Ast, 1.0 Sk, 2 Int",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
2005,https://www.sports-reference.com/cfb/years/2005.html,Elvis Dumervil *,elvis-dumervil-1,https://www.sports-reference.com/cfb/players/elvis-dumervil-1.html,Louisville,https://www.sports-reference.com/cfb/schools/louisville/2005.html,"36 Solo, 27 Ast, 20.0 Sk, 1 Int",Big East Defensive Player of the Year Winners,Awards Index,https://www.sports-reference.com/cfb/awards/big-east-dpoy.html#all_big-east-dpoy,big-east-dpoy
