year_id,year_id_url,player,player_id,player_url,school_name,school_name_url,summary,award_name,award_type,source_url,table_id
2025,https://www.sports-reference.com/cfb/years/2025.html,Caleb Downs *,caleb-downs-1,https://www.sports-reference.com/cfb/players/caleb-downs-1.html,Ohio State,https://www.sports-reference.com/cfb/schools/ohio-state/2025.html,"45 Solo, 23 Ast, 1.0 Sk, 2 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
2024,https://www.sports-reference.com/cfb/years/2024.html,Jahdae Barron *,jahdae-barron-1,https://www.sports-reference.com/cfb/players/jahdae-barron-1.html,Texas,https://www.sports-reference.com/cfb/schools/texas/2024.html,"46 Solo, 21 Ast, 1.0 Sk, 5 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
2023,https://www.sports-reference.com/cfb/years/2023.html,Trey Taylor *,trey-taylor-1,https://www.sports-reference.com/cfb/players/trey-taylor-1.html,Air Force,https://www.sports-reference.com/cfb/schools/air-force/2023.html,"40 Solo, 34 Ast, 0.5 Sk, 3 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
2022,https://www.sports-reference.com/cfb/years/2022.html,Tre'vius Hodges-Tomlinson *,trevius-hodges-tomlinson-1,https://www.sports-reference.com/cfb/players/trevius-hodges-tomlinson-1.html,TCU,https://www.sports-reference.com/cfb/schools/texas-christian/2022.html,"40 Solo, 10 Ast, 0.0 Sk, 3 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
2021,https://www.sports-reference.com/cfb/years/2021.html,Coby Bryant *,coby-bryant-1,https://www.sports-reference.com/cfb/players/coby-bryant-1.html,Cincinnati,https://www.sports-reference.com/cfb/schools/cincinnati/2021.html,"35 Solo, 11 Ast, 0.0 Sk, 3 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
2020,https://www.sports-reference.com/cfb/years/2020.html,Trevon Moehrig-Woodard,trevon-moehrig-woodard-1,https://www.sports-reference.com/cfb/players/trevon-moehrig-woodard-1.html,TCU,https://www.sports-reference.com/cfb/schools/texas-christian/2020.html,"30 Solo, 17 Ast, 0.0 Sk, 2 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
2019,https://www.sports-reference.com/cfb/years/2019.html,Grant Delpit *,grant-delpit-1,https://www.sports-reference.com/cfb/players/grant-delpit-1.html,LSU,https://www.sports-reference.com/cfb/schools/louisiana-state/2019.html,"38 Solo, 27 Ast, 2.0 Sk, 2 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
2018,https://www.sports-reference.com/cfb/years/2018.html,Deandre Baker *,deandre-baker-1,https://www.sports-reference.com/cfb/players/deandre-baker-1.html,Georgia,https://www.sports-reference.com/cfb/schools/georgia/2018.html,"9 Solo, 2 Ast, 0.0 Sk, 0 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
2017,https://www.sports-reference.com/cfb/years/2017.html,Minkah Fitzpatrick *,minkah-fitzpatrick-1,https://www.sports-reference.com/cfb/players/minkah-fitzpatrick-1.html,Alabama,https://www.sports-reference.com/cfb/schools/alabama/2017.html,"38 Solo, 22 Ast, 1.5 Sk, 1 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
2016,https://www.sports-reference.com/cfb/years/2016.html,Adoree Jackson *,adoree-jackson-1,https://www.sports-reference.com/cfb/players/adoree-jackson-1.html,USC,https://www.sports-reference.com/cfb/schools/southern-california/2016.html,"46 Solo, 9 Ast, 0.0 Sk, 5 Int",Jim Thorpe Award Winners,Most Outstanding Defensive Back,https://www.sports-reference.com/cfb/awards/thorpe.html#all_thorpe,thorpe
