year_id,year_id_url,player,player_id,player_url,school_name,school_name_url,summary,award_name,award_type,source_url,table_id
2025,https://www.sports-reference.com/cfb/years/2025.html,Diego Pavia *,diego-pavia-1,https://www.sports-reference.com/cfb/players/diego-pavia-1.html,Vanderbilt,https://www.sports-reference.com/cfb/schools/vanderbilt/2025.html,"267 Cmp, 378 Att, 3539 Yds, 29 TD, 8 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2024,https://www.sports-reference.com/cfb/years/2024.html,Shedeur Sanders *,shedeur-sanders-1,https://www.sports-reference.com/cfb/players/shedeur-sanders-1.html,Colorado,https://www.sports-reference.com/cfb/schools/colorado/2024.html,"353 Cmp, 477 Att, 4134 Yds, 37 TD, 10 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2023,https://www.sports-reference.com/cfb/years/2023.html,Jayden Daniels *,jayden-daniels-1,https://www.sports-reference.com/cfb/players/jayden-daniels-1.html,LSU,https://www.sports-reference.com/cfb/schools/louisiana-state/2023.html,"236 Cmp, 327 Att, 3812 Yds, 40 TD, 4 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2022,https://www.sports-reference.com/cfb/years/2022.html,Max Duggan *,max-duggan-1,https://www.sports-reference.com/cfb/players/max-duggan-1.html,TCU,https://www.sports-reference.com/cfb/schools/texas-christian/2022.html,"267 Cmp, 419 Att, 3698 Yds, 32 TD, 8 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2021,https://www.sports-reference.com/cfb/years/2021.html,Kenny Pickett *,kenny-pickett-1,https://www.sports-reference.com/cfb/players/kenny-pickett-1.html,Pitt,https://www.sports-reference.com/cfb/schools/pittsburgh/2021.html,"334 Cmp, 497 Att, 4319 Yds, 42 TD, 7 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2020,https://www.sports-reference.com/cfb/years/2020.html,Mac Jones *,mac-jones-1,https://www.sports-reference.com/cfb/players/mac-jones-1.html,Alabama,https://www.sports-reference.com/cfb/schools/alabama/2020.html,"311 Cmp, 402 Att, 4500 Yds, 41 TD, 4 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2019,https://www.sports-reference.com/cfb/years/2019.html,Joe Burrow *,joe-burrow-1,https://www.sports-reference.com/cfb/players/joe-burrow-1.html,LSU,https://www.sports-reference.com/cfb/schools/louisiana-state/2019.html,"402 Cmp, 527 Att, 5671 Yds, 60 TD, 6 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2018,https://www.sports-reference.com/cfb/years/2018.html,Gardner Minshew *,gardner-minshew-1,https://www.sports-reference.com/cfb/players/gardner-minshew-1.html,Washington State,https://www.sports-reference.com/cfb/schools/washington-state/2018.html,"468 Cmp, 662 Att, 4779 Yds, 38 TD, 9 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2017,https://www.sports-reference.com/cfb/years/2017.html,Mason Rudolph *,mason-rudolph-1,https://www.sports-reference.com/cfb/players/mason-rudolph-1.html,Oklahoma State,https://www.sports-reference.com/cfb/schools/oklahoma-state/2017.html,"318 Cmp, 489 Att, 4904 Yds, 37 TD, 9 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2016,https://www.sports-reference.com/cfb/years/2016.html,Deshaun Watson *,deshaun-watson-1,https://www.sports-reference.com/cfb/players/deshaun-watson-1.html,Clemson,https://www.sports-reference.com/cfb/schools/clemson/2016.html,"388 Cmp, 579 Att, 4593 Yds, 41 TD, 17 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2015,https://www.sports-reference.com/cfb/years/2015.html,Connor Cook *,connor-cook-1,https://www.sports-reference.com/cfb/players/connor-cook-1.html,Michigan State,https://www.sports-reference.com/cfb/schools/michigan-state/2015.html,"229 Cmp, 408 Att, 3131 Yds, 24 TD, 7 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2014,https://www.sports-reference.com/cfb/years/2014.html,Marcus Mariota *,marcus-mariota-1,https://www.sports-reference.com/cfb/players/marcus-mariota-1.html,Oregon,https://www.sports-reference.com/cfb/schools/oregon/2014.html,"304 Cmp, 445 Att, 4454 Yds, 42 TD, 4 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2013,https://www.sports-reference.com/cfb/years/2013.html,A.J. McCarron *,aj-mccarron-1,https://www.sports-reference.com/cfb/players/aj-mccarron-1.html,Alabama,https://www.sports-reference.com/cfb/schools/alabama/2013.html,"226 Cmp, 336 Att, 3063 Yds, 28 TD, 7 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2012,https://www.sports-reference.com/cfb/years/2012.html,Collin Klein *,collin-klein-1,https://www.sports-reference.com/cfb/players/collin-klein-1.html,Kansas State,https://www.sports-reference.com/cfb/schools/kansas-state/2012.html,"197 Cmp, 304 Att, 2641 Yds, 16 TD, 9 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2011,https://www.sports-reference.com/cfb/years/2011.html,Andrew Luck *,andrew-luck-1,https://www.sports-reference.com/cfb/players/andrew-luck-1.html,Stanford,https://www.sports-reference.com/cfb/schools/stanford/2011.html,"288 Cmp, 404 Att, 3517 Yds, 37 TD, 10 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2010,https://www.sports-reference.com/cfb/years/2010.html,Scott Tolzien *,scott-tolzien-1,https://www.sports-reference.com/cfb/players/scott-tolzien-1.html,Wisconsin,https://www.sports-reference.com/cfb/schools/wisconsin/2010.html,"194 Cmp, 266 Att, 2459 Yds, 16 TD, 6 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2009,https://www.sports-reference.com/cfb/years/2009.html,Colt McCoy *,colt-mccoy-1,https://www.sports-reference.com/cfb/players/colt-mccoy-1.html,Texas,https://www.sports-reference.com/cfb/schools/texas/2009.html,"332 Cmp, 470 Att, 3521 Yds, 27 TD, 12 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2008,https://www.sports-reference.com/cfb/years/2008.html,Graham Harrell *,graham-harrell-1,https://www.sports-reference.com/cfb/players/graham-harrell-1.html,Texas Tech,https://www.sports-reference.com/cfb/schools/texas-tech/2008.html,"442 Cmp, 626 Att, 5111 Yds, 45 TD, 9 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2007,https://www.sports-reference.com/cfb/years/2007.html,Matt Ryan *,matt-ryan-1,https://www.sports-reference.com/cfb/players/matt-ryan-1.html,Boston College,https://www.sports-reference.com/cfb/schools/boston-college/2007.html,"388 Cmp, 654 Att, 4507 Yds, 31 TD, 19 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2006,https://www.sports-reference.com/cfb/years/2006.html,Brady Quinn *,brady-quinn-1,https://www.sports-reference.com/cfb/players/brady-quinn-1.html,Notre Dame,https://www.sports-reference.com/cfb/schools/notre-dame/2006.html,"289 Cmp, 467 Att, 3426 Yds, 37 TD, 7 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2005,https://www.sports-reference.com/cfb/years/2005.html,Matt Leinart *,matt-leinart-1,https://www.sports-reference.com/cfb/players/matt-leinart-1.html,USC,https://www.sports-reference.com/cfb/schools/southern-california/2005.html,"283 Cmp, 431 Att, 3815 Yds, 28 TD, 8 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2004,https://www.sports-reference.com/cfb/years/2004.html,Jason White *,jason-white-1,https://www.sports-reference.com/cfb/players/jason-white-1.html,Oklahoma,https://www.sports-reference.com/cfb/schools/oklahoma/2004.html,"255 Cmp, 390 Att, 3205 Yds, 35 TD, 9 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2003,https://www.sports-reference.com/cfb/years/2003.html,Eli Manning *,eli-manning-1,https://www.sports-reference.com/cfb/players/eli-manning-1.html,Ole Miss,https://www.sports-reference.com/cfb/schools/mississippi/2003.html,"275 Cmp, 441 Att, 3600 Yds, 29 TD, 10 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2002,https://www.sports-reference.com/cfb/years/2002.html,Carson Palmer *,carson-palmer-1,https://www.sports-reference.com/cfb/players/carson-palmer-1.html,USC,https://www.sports-reference.com/cfb/schools/southern-california/2002.html,"309 Cmp, 489 Att, 3942 Yds, 33 TD, 10 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
2001,https://www.sports-reference.com/cfb/years/2001.html,David Carr,david-carr-1,https://www.sports-reference.com/cfb/players/david-carr-1.html,Fresno State,https://www.sports-reference.com/cfb/schools/fresno-state/2001.html,"309 Cmp, 477 Att, 4308 Yds, 42 TD, 7 Int",Johnny Unitas Golden Arm Award Winners,Most Outstanding Senior Quarterback,https://www.sports-reference.com/cfb/awards/unitas.html#all_unitas,unitas
