season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2015,Air Force,Mountain West,300.0,230.0,14.0,11.0,23.0,20.0,11.0,7.0,7.0,11.0,14.0,1.0,0.0,92.0,96.0,12.0,11.0,0.0,1.0,669.0,825.0,33.0,34.0,1847.0,2942.0,170.0,387.0,87.0,205.0,11.0,12.0,15.0,23.0,53.0,77.0,532.0,587.0,27169.0,23231.0,1.0,0.0,139.0,98.0,15.0,14.0,816.0,483.0,45.0,20.0,4468.0,2026.0,,,,,84.0,73.0,196.0,200.0,6315.0,4968.0,23.0,18.0
2015,Akron,Mid-American,257.0,250.0,7.0,9.0,15.0,23.0,6.0,14.0,14.0,6.0,13.0,0.0,1.0,29.0,86.0,12.0,14.0,0.0,0.0,525.0,849.0,31.0,50.0,2508.0,3102.0,370.0,478.0,184.0,282.0,14.0,12.0,18.0,23.0,98.0,98.0,839.0,897.0,25600.0,21200.0,0.0,0.0,25.0,123.0,2.0,24.0,535.0,411.0,20.0,12.0,2134.0,1209.0,,,,,73.0,65.0,200.0,179.0,4642.0,4311.0,18.0,28.0
2015,Alabama,SEC,329.0,222.0,12.0,7.0,24.0,20.0,7.0,8.0,8.0,7.0,15.0,4.0,0.0,462.0,140.0,10.0,19.0,1.0,0.0,803.0,779.0,39.0,41.0,3407.0,3009.0,446.0,495.0,301.0,250.0,19.0,10.0,22.0,17.0,89.0,90.0,835.0,696.0,30191.0,23752.0,5.0,2.0,597.0,279.0,47.0,30.0,642.0,468.0,33.0,7.0,2999.0,1136.0,,,,,80.0,65.0,215.0,228.0,6406.0,4145.0,17.0,27.0
2015,App State,Sun Belt,292.0,223.0,15.0,12.0,24.0,24.0,13.0,6.0,6.0,13.0,13.0,3.0,2.0,280.0,70.0,9.0,18.0,0.0,0.0,804.0,919.0,38.0,41.0,2546.0,2378.0,297.0,374.0,180.0,223.0,18.0,9.0,33.0,10.0,84.0,79.0,739.0,688.0,24402.0,22398.0,0.0,0.0,99.0,119.0,20.0,18.0,605.0,497.0,25.0,14.0,3529.0,1710.0,,,,,73.0,66.0,170.0,194.0,6075.0,4088.0,22.0,24.0
2015,Arizona,Pac-12,320.0,299.0,10.0,10.0,27.0,18.0,10.0,5.0,5.0,10.0,13.0,2.0,2.0,98.0,162.0,10.0,11.0,0.0,0.0,729.0,1106.0,32.0,51.0,3548.0,3487.0,466.0,443.0,273.0,276.0,11.0,10.0,27.0,28.0,74.0,95.0,633.0,929.0,20521.0,26279.0,1.0,0.0,144.0,79.0,9.0,23.0,526.0,581.0,31.0,30.0,2886.0,2581.0,,,,,77.0,96.0,189.0,210.0,6434.0,6068.0,20.0,16.0
2015,Arizona State,Pac-12,305.0,271.0,10.0,11.0,18.0,19.0,10.0,6.0,6.0,10.0,13.0,2.0,1.0,189.0,57.0,9.0,15.0,1.0,1.0,1237.0,483.0,55.0,18.0,3887.0,4392.0,534.0,516.0,320.0,294.0,15.0,9.0,30.0,35.0,60.0,75.0,518.0,664.0,24584.0,22216.0,0.0,1.0,189.0,267.0,27.0,22.0,536.0,450.0,19.0,16.0,2319.0,1637.0,,,,,94.0,81.0,230.0,212.0,6206.0,6029.0,19.0,21.0
2015,Arkansas,SEC,304.0,261.0,12.0,9.0,21.0,20.0,3.0,7.0,7.0,3.0,13.0,0.0,0.0,80.0,50.0,8.0,11.0,0.0,1.0,782.0,1210.0,38.0,65.0,3486.0,3577.0,374.0,436.0,246.0,280.0,11.0,8.0,31.0,18.0,55.0,57.0,477.0,441.0,26824.0,19976.0,0.0,0.0,186.0,125.0,14.0,18.0,512.0,403.0,31.0,25.0,2565.0,1514.0,,,,,75.0,75.0,161.0,170.0,6051.0,5091.0,11.0,18.0
2015,Arkansas State,Sun Belt,290.0,256.0,10.0,5.0,20.0,15.0,11.0,8.0,8.0,11.0,13.0,6.0,3.0,503.0,235.0,15.0,26.0,2.0,1.0,1112.0,942.0,43.0,54.0,2693.0,3481.0,365.0,493.0,207.0,266.0,27.0,15.0,23.0,26.0,108.0,93.0,996.0,806.0,23748.0,23052.0,1.0,0.0,413.0,47.0,37.0,10.0,608.0,454.0,35.0,21.0,3007.0,1969.0,,,,,74.0,66.0,192.0,196.0,5700.0,5450.0,26.0,34.0
2015,Army,FBS Independents,194.0,215.0,9.0,7.0,22.0,8.0,13.0,5.0,5.0,13.0,12.0,0.0,0.0,98.0,15.0,9.0,6.0,0.0,0.0,691.0,541.0,38.0,29.0,1128.0,2525.0,108.0,306.0,49.0,186.0,6.0,9.0,10.0,13.0,48.0,75.0,474.0,567.0,23227.0,19973.0,1.0,0.0,135.0,76.0,24.0,14.0,616.0,436.0,24.0,26.0,2931.0,1982.0,,,,,70.0,68.0,160.0,163.0,4059.0,4507.0,22.0,11.0
2015,Auburn,SEC,257.0,295.0,9.0,13.0,15.0,28.0,5.0,5.0,5.0,5.0,13.0,1.0,1.0,144.0,131.0,12.0,14.0,0.0,0.0,950.0,384.0,34.0,18.0,2257.0,2892.0,306.0,458.0,179.0,278.0,14.0,12.0,11.0,13.0,62.0,61.0,603.0,472.0,22123.0,24619.0,0.0,1.0,179.0,87.0,15.0,7.0,587.0,523.0,28.0,24.0,2553.0,2375.0,,,,,74.0,89.0,179.0,199.0,4810.0,5267.0,17.0,19.0
2015,BYU,FBS Independents,275.0,245.0,11.0,10.0,21.0,20.0,8.0,7.0,7.0,8.0,13.0,2.0,3.0,231.0,276.0,12.0,15.0,0.0,0.0,727.0,921.0,34.0,44.0,3854.0,2630.0,504.0,407.0,302.0,226.0,15.0,12.0,26.0,12.0,85.0,86.0,750.0,763.0,22372.0,24428.0,0.0,1.0,217.0,260.0,26.0,23.0,413.0,511.0,28.0,22.0,1668.0,1864.0,,,,,73.0,76.0,184.0,200.0,5522.0,4494.0,20.0,22.0
2015,Ball State,Mid-American,250.0,287.0,12.0,9.0,23.0,17.0,6.0,9.0,9.0,6.0,12.0,0.0,1.0,3.0,136.0,9.0,7.0,1.0,0.0,1275.0,715.0,50.0,40.0,2619.0,3510.0,459.0,408.0,263.0,289.0,7.0,9.0,17.0,26.0,44.0,93.0,425.0,812.0,20606.0,22594.0,0.0,0.0,127.0,136.0,14.0,13.0,437.0,512.0,15.0,29.0,1840.0,2706.0,,,,,76.0,95.0,199.0,185.0,4459.0,6216.0,15.0,16.0
