Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Alec Mock,alec-mock-1,/cfb/players/alec-mock-1.html,LB,13,53,40,93,5.0,2.0,1,18,18.0,1,1,0,0,0,2,,Air Force,2023
Johnathan Youngblood,johnathan-youngblood-1,/cfb/players/johnathan-youngblood-1.html,LB,13,42,43,85,3.5,0.0,3,31,10.3,0,1,0,0,0,0,,Air Force,2023
Trey Taylor,trey-taylor-1,/cfb/players/trey-taylor-1.html,DB,13,40,34,74,5.0,0.5,3,97,32.3,1,4,0,0,0,0,,Air Force,2023
Jayden Goodwin,jayden-goodwin-1,/cfb/players/jayden-goodwin-1.html,DB,13,31,42,73,2.0,1.0,1,0,0.0,0,5,0,0,0,0,,Air Force,2023
Bo Richter,bo-richter-1,/cfb/players/bo-richter-1.html,LB,13,34,11,45,19.5,10.0,0,0,,0,1,2,8,0,3,,Air Force,2023
Jalen Mergerson,jalen-mergerson-1,/cfb/players/jalen-mergerson-1.html,LB,13,22,19,41,1.0,0.0,1,15,15.0,0,2,0,0,0,0,,Air Force,2023
Trey Williams,trey-williams-4,/cfb/players/trey-williams-4.html,DB,13,23,12,35,0.5,0.5,0,0,,0,4,1,0,0,0,,Air Force,2023
PJ Ramsey,pj-ramsey-1,/cfb/players/pj-ramsey-1.html,LB,13,21,14,35,11.5,7.5,0,0,,0,2,0,0,0,0,,Air Force,2023
Jamari Bellamy,jamari-bellamy-1,/cfb/players/jamari-bellamy-1.html,DB,13,23,12,35,2.0,0.0,1,1,1.0,0,5,1,0,0,0,,Air Force,2023
Payton Zdroik,payton-zdroik-1,/cfb/players/payton-zdroik-1.html,DL,10,16,16,32,6.5,4.5,0,0,,0,0,0,0,0,0,,Air Force,2023
Jerome Gaillard Jr.,jerome-gaillard-jr-1,/cfb/players/jerome-gaillard-jr-1.html,DB,8,17,8,25,2.0,0.0,0,0,,0,1,0,0,0,0,,Air Force,2023
Jayd Thiergood,jayd-thiergood-1,/cfb/players/jayd-thiergood-1.html,DL,9,5,13,18,1.0,0.5,0,0,,0,0,0,0,0,0,,Air Force,2023
James Tomasi,james-tomasi-1,/cfb/players/james-tomasi-1.html,DL,13,7,6,13,2.0,1.0,0,0,,0,0,0,0,0,0,,Air Force,2023
Kupono Blake,kupono-blake-1,/cfb/players/kupono-blake-1.html,DL,13,3,9,12,1.5,0.5,0,0,,0,0,0,0,0,0,,Air Force,2023
Zach Juckel,zach-juckel-1,/cfb/players/zach-juckel-1.html,LB,13,6,5,11,0.0,0.0,0,0,,0,1,0,0,0,0,,Air Force,2023
