Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Caleb Downs,caleb-downs-1,/cfb/players/caleb-downs-1.html,DB,14,70,37,107,3.5,0.0,2,11,5.5,0,4,1,12,0,1,,Alabama,2023
Deontae Lawson,deontae-lawson-1,/cfb/players/deontae-lawson-1.html,LB,11,32,35,67,5.5,3.0,0,0,,0,4,0,0,0,0,,Alabama,2023
Jihaad Campbell,jihaad-campbell-1,/cfb/players/jihaad-campbell-1.html,LB,13,34,32,66,4.0,0.5,1,2,2.0,0,3,2,24,1,0,,Alabama,2023
Justin Eboigbe,justin-eboigbe-1,/cfb/players/justin-eboigbe-1.html,DL,14,29,35,64,11.5,7.0,0,0,,0,1,0,0,0,0,,Alabama,2023
Terrion Arnold,terrion-arnold-1,/cfb/players/terrion-arnold-1.html,DB,14,40,23,63,6.5,1.0,5,69,13.8,0,12,0,0,0,1,,Alabama,2023
Jaylen Key,jaylen-key-1,/cfb/players/jaylen-key-1.html,DB,12,35,25,60,1.5,0.0,1,13,13.0,0,1,0,0,0,0,,Alabama,2023
Trezmen Marshall,trezmen-marshall-1,/cfb/players/trezmen-marshall-1.html,LB,13,27,29,56,4.5,2.5,0,0,,0,0,1,0,0,0,,Alabama,2023
Dallas Turner,dallas-turner-1,/cfb/players/dallas-turner-1.html,LB,14,28,25,53,14.5,10.0,0,0,,0,1,0,0,0,2,AA,Alabama,2023
Malachi Moore,malachi-moore-2,/cfb/players/malachi-moore-2.html,DB,13,30,22,52,5.0,0.0,1,0,0.0,0,5,0,0,0,0,,Alabama,2023
Chris Braswell,chris-braswell-1,/cfb/players/chris-braswell-1.html,LB,14,16,26,42,10.5,8.0,1,28,28.0,1,1,0,0,0,3,,Alabama,2023
Tim Keenan III,tim-keenan-iii-1,/cfb/players/tim-keenan-iii-1.html,DL,14,17,21,38,1.5,1.0,0,0,,0,1,0,0,0,0,,Alabama,2023
Kool-Aid McKinstry,kool-aid-mckinstry-1,/cfb/players/kool-aid-mckinstry-1.html,DB,14,24,8,32,2.0,0.0,0,0,,0,7,0,0,0,0,,Alabama,2023
Tim Smith,tim-smith-8,/cfb/players/tim-smith-8.html,DL,14,15,16,31,2.0,2.0,0,0,,0,0,0,0,0,0,,Alabama,2023
Jaheim Oatis,jaheim-oatis-1,/cfb/players/jaheim-oatis-1.html,DL,13,9,17,26,1.0,0.5,0,0,,0,2,0,0,0,0,,Alabama,2023
Quandarrius Robinson,quandarrius-robinson-1,/cfb/players/quandarrius-robinson-1.html,LB,14,16,8,24,2.5,1.5,0,0,,0,0,1,0,0,0,,Alabama,2023
