Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Brooks Ellis,brooks-ellis-1,/cfb/players/brooks-ellis-1.html,LB,13,45,57,102,8.0,1.5,1,28,28.0,0,3,1,4,0,0,,Arkansas,2015
Dre Greenlaw,dre-greenlaw-1,/cfb/players/dre-greenlaw-1.html,LB,13,46,49,95,3.5,1.0,0,0,,0,1,0,0,0,2,,Arkansas,2015
Rohan Gaines,rohan-gaines-1,/cfb/players/rohan-gaines-1.html,DB,13,44,23,67,1.5,0.0,1,14,14.0,0,1,0,0,0,0,,Arkansas,2015
Jeremiah Ledbetter,jeremiah-ledbetter-1,/cfb/players/jeremiah-ledbetter-1.html,DL,13,24,31,55,7.5,2.0,0,0,,0,1,0,0,0,0,,Arkansas,2015
Henre' Toliver,henre-toliver-1,/cfb/players/henre-toliver-1.html,DB,13,43,12,55,4.0,0.0,1,12,12.0,0,8,0,0,0,0,,Arkansas,2015
Josh Liddell,josh-liddell-1,/cfb/players/josh-liddell-1.html,DB,13,28,24,52,1.5,0.0,2,0,0.0,0,3,0,0,0,1,,Arkansas,2015
Jared Collins,jared-collins-1,/cfb/players/jared-collins-1.html,DB,13,29,15,44,0.5,0.0,1,0,0.0,0,9,0,0,0,1,,Arkansas,2015
Kevin Richardson,kevin-richardson-2,/cfb/players/kevin-richardson-2.html,DB,10,22,22,44,0.0,0.0,1,0,0.0,0,3,0,0,0,0,,Arkansas,2015
Kevin Richardson II,kevin-richardson-ii-1,/cfb/players/kevin-richardson-ii-1.html,,13,22,22,44,0.0,0.0,1,0,0.0,0,3,0,0,0,0,,Arkansas,2015
Santos Ramirez,santos-ramirez-1,/cfb/players/santos-ramirez-1.html,DB,12,22,13,35,0.0,0.0,1,18,18.0,0,3,0,0,0,0,,Arkansas,2015
D.J. Dean,dj-dean-2,/cfb/players/dj-dean-2.html,DB,12,21,14,35,1.5,0.5,2,0,0.0,0,3,0,0,0,0,,Arkansas,2015
Deatrich Wise Jr.,deatrich-wise-jr-1,/cfb/players/deatrich-wise-jr-1.html,DL,13,17,14,31,10.5,8.0,0,0,,0,3,0,0,0,3,,Arkansas,2015
Tevin Beanum,tevin-beanum-1,/cfb/players/tevin-beanum-1.html,DL,13,11,19,30,7.0,2.0,0,0,,0,1,1,0,0,0,,Arkansas,2015
Demarcus Hodge,demarcus-hodge-1,/cfb/players/demarcus-hodge-1.html,DL,13,15,13,28,8.0,1.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Taiwan Johnson,taiwan-johnson-1,/cfb/players/taiwan-johnson-1.html,DL,13,12,16,28,5.0,1.5,0,0,,0,2,1,15,0,0,,Arkansas,2015
Jamichael Winston,jamichael-winston-1,/cfb/players/jamichael-winston-1.html,DL,13,9,12,21,1.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Josh Williams,josh-williams-7,/cfb/players/josh-williams-7.html,LB,5,5,11,16,1.5,0.0,0,0,,0,0,1,0,0,0,,Arkansas,2015
Karl Roesler,karl-roesler-1,/cfb/players/karl-roesler-1.html,DL,13,4,11,15,3.0,1.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Mitchell Loewen,mitchell-loewen-1,/cfb/players/mitchell-loewen-1.html,DL,10,3,12,15,1.5,1.5,0,0,,0,0,0,0,0,0,,Arkansas,2015
Dwayne Eugene,dwayne-eugene-1,/cfb/players/dwayne-eugene-1.html,LB,9,3,11,14,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Khalia Hackett,khalia-hackett-1,/cfb/players/khalia-hackett-1.html,LB,13,2,10,12,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
De'Andre Coley,deandre-coley-1,/cfb/players/deandre-coley-1.html,DB,13,5,5,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Ryan Pulley,ryan-pulley-1,/cfb/players/ryan-pulley-1.html,DB,10,6,4,10,0.0,0.0,1,8,8.0,0,2,0,0,0,0,,Arkansas,2015
Willie Sykes,willie-sykes-1,/cfb/players/willie-sykes-1.html,DB,12,4,5,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Josh Harris,josh-harris-7,/cfb/players/josh-harris-7.html,LB,12,6,2,8,1.0,0.0,0,0,,0,0,0,0,0,1,,Arkansas,2015
Bijhon Jackson,bijhon-jackson-1,/cfb/players/bijhon-jackson-1.html,DL,12,3,4,7,1.5,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Jeremy Sprinkle,jeremy-sprinkle-1,/cfb/players/jeremy-sprinkle-1.html,TE,13,2,4,6,0.0,0.0,0,0,,0,0,1,0,0,0,,Arkansas,2015
Davyon McKinney,davyon-mckinney-1,/cfb/players/davyon-mckinney-1.html,DB,13,3,2,5,0.0,0.0,0,0,,0,0,1,0,0,0,,Arkansas,2015
Luke Rossi,luke-rossi-1,/cfb/players/luke-rossi-1.html,WR,12,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Ryder Lucas,ryder-lucas-1,/cfb/players/ryder-lucas-1.html,DB,6,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Hjalte Froholdt,hjalte-froholdt-1,/cfb/players/hjalte-froholdt-1.html,DL,10,1,2,3,0.0,0.0,0,0,,0,0,1,0,0,0,,Arkansas,2015
Chris Jones,chris-jones-9,/cfb/players/chris-jones-9.html,FB,6,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Cornelius Floyd,cornelius-floyd-1,/cfb/players/cornelius-floyd-1.html,DB,1,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Alex Voelzke,alex-voelzke-1,/cfb/players/alex-voelzke-1.html,TE,12,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Armon Watts,armon-watts-1,/cfb/players/armon-watts-1.html,DL,11,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Drew Gorton,drew-gorton-1,/cfb/players/drew-gorton-1.html,LS,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Damon Mitchell,damon-mitchell-1,/cfb/players/damon-mitchell-1.html,WR,12,2,0,2,1.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Reid Miller,reid-miller-1,/cfb/players/reid-miller-1.html,DB,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Lane Saling,lane-saling-1,/cfb/players/lane-saling-1.html,K,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Cordale Boyd,cordale-boyd-1,/cfb/players/cordale-boyd-1.html,OL,11,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Nicholas Thomas-Smith,nicholas-thomas-smith-1,/cfb/players/nicholas-thomas-smith-1.html,LB,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Koilan Jackson,koilan-jackson-1,/cfb/players/koilan-jackson-1.html,,11,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Dan Skipper,dan-skipper-1,/cfb/players/dan-skipper-1.html,OL,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Kendrick Jackson,kendrick-jackson-1,/cfb/players/kendrick-jackson-1.html,FB,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Frank Ragnow,frank-ragnow-1,/cfb/players/frank-ragnow-1.html,OL,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
Jake Hall,jake-hall-2,/cfb/players/jake-hall-2.html,DL,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
JoJo Robinson,jojo-robinson-1,/cfb/players/jojo-robinson-1.html,WR,5,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2015
