Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Kavika Fonua,kavika-fonua-1,/cfb/players/kavika-fonua-1.html,LB,13,46,37,83,3.0,1.0,2,36,18.0,0,3,0,0,0,1,,BYU,2019
Dayan Ghanwoloku,dayan-ghanwoloku-1,/cfb/players/dayan-ghanwoloku-1.html,DB,12,48,14,62,4.5,2.0,2,8,4.0,0,3,2,0,0,1,,BYU,2019
Isaiah Kaufusi,isaiah-kaufusi-1,/cfb/players/isaiah-kaufusi-1.html,LB,13,41,19,60,4.5,0.0,2,10,5.0,0,5,2,1,0,0,,BYU,2019
Austin Lee,austin-lee-1,/cfb/players/austin-lee-1.html,DB,11,36,19,55,2.0,0.0,1,26,26.0,1,4,0,0,0,0,,BYU,2019
Payton Wilgar,payton-wilgar-1,/cfb/players/payton-wilgar-1.html,LB,13,36,18,54,4.5,0.0,3,26,8.7,0,1,0,0,0,0,,BYU,2019
Max Tooley,max-tooley-1,/cfb/players/max-tooley-1.html,LB,13,29,19,48,2.0,0.0,1,33,33.0,0,1,0,0,0,0,,BYU,2019
Khyiris Tonga,khyiris-tonga-1,/cfb/players/khyiris-tonga-1.html,DL,13,28,17,45,4.0,1.0,0,0,,0,2,0,0,0,0,,BYU,2019
Bracken El-Bakri,bracken-el-bakri-1,/cfb/players/bracken-el-bakri-1.html,DL,11,18,19,37,1.5,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Chaz Ah You,chaz-ah-you-1,/cfb/players/chaz-ah-you-1.html,LB,11,24,7,31,5.5,1.0,1,14,14.0,0,3,1,0,0,1,,BYU,2019
Tyler Allgeier,tyler-allgeier-1,/cfb/players/tyler-allgeier-1.html,LB,13,19,7,26,1.0,0.5,0,0,,0,1,0,0,0,1,,BYU,2019
Keenan Pili,keenan-pili-1,/cfb/players/keenan-pili-1.html,LB,11,17,8,25,1.5,1.0,0,0,,0,2,0,0,0,0,,BYU,2019
Isaiah Herron,isaiah-herron-1,/cfb/players/isaiah-herron-1.html,DB,11,17,5,22,2.0,0.0,0,0,,0,2,0,0,0,0,,BYU,2019
Atunaisa Mahe,atunaisa-mahe-1,/cfb/players/atunaisa-mahe-1.html,DL,13,14,8,22,3.0,2.0,0,0,,0,0,0,0,0,0,,BYU,2019
Zac Dawe,zac-dawe-1,/cfb/players/zac-dawe-1.html,DL,13,11,11,22,2.5,1.5,0,0,,0,0,0,0,0,0,,BYU,2019
JJ Nwigwe,jj-nwigwe-1,/cfb/players/jj-nwigwe-1.html,DL,13,12,9,21,4.0,2.0,1,1,1.0,0,0,0,0,0,1,,BYU,2019
Lorenzo Fauatea,lorenzo-fauatea-1,/cfb/players/lorenzo-fauatea-1.html,DL,9,14,7,21,3.0,2.0,0,0,,0,0,0,0,0,1,,BYU,2019
Jackson Kaufusi,jackson-kaufusi-1,/cfb/players/jackson-kaufusi-1.html,LB,9,8,13,21,0.0,0.0,1,13,13.0,0,0,0,0,0,0,,BYU,2019
D'Angelo Mandell,dangelo-mandell-1,/cfb/players/dangelo-mandell-1.html,DB,13,17,4,21,2.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Sawyer Powell,sawyer-powell-1,/cfb/players/sawyer-powell-1.html,DB,11,13,7,20,0.0,0.0,0,0,,0,1,0,0,0,0,,BYU,2019
Uriah Leiataua,uriah-leiataua-1,/cfb/players/uriah-leiataua-1.html,DL,12,9,10,19,2.5,1.0,0,0,,0,0,0,0,0,0,,BYU,2019
Beau Tanner,beau-tanner-1,/cfb/players/beau-tanner-1.html,DB,13,11,5,16,0.5,0.0,1,73,73.0,0,2,0,0,0,0,,BYU,2019
Austin Kafentzis,austin-kafentzis-1,/cfb/players/austin-kafentzis-1.html,DB,12,6,10,16,1.0,1.0,0,0,,0,2,0,0,0,1,,BYU,2019
Malik Moore,malik-moore-1,/cfb/players/malik-moore-1.html,DB,12,10,4,14,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Shamon Willis,shamon-willis-1,/cfb/players/shamon-willis-1.html,DB,11,11,1,12,1.0,0.0,0,0,,0,5,0,0,0,0,,BYU,2019
Troy Warner,troy-warner-1,/cfb/players/troy-warner-1.html,DB,4,8,3,11,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Trajan Pili,trajan-pili-2,/cfb/players/trajan-pili-2.html,DL,13,6,4,10,2.0,1.0,0,0,,0,0,0,0,0,0,,BYU,2019
Zayne Anderson,zayne-anderson-1,/cfb/players/zayne-anderson-1.html,LB,2,8,2,10,0.5,0.0,0,0,,0,1,0,0,0,0,,BYU,2019
Devin Kaufusi,devin-kaufusi-1,/cfb/players/devin-kaufusi-1.html,DL,13,4,6,10,0.0,0.0,0,0,,0,2,1,0,0,0,,BYU,2019
Drew Jensen,drew-jensen-1,/cfb/players/drew-jensen-1.html,LB,8,1,8,9,0.0,0.0,0,0,,0,1,0,0,0,0,,BYU,2019
Hayden Livingston,hayden-livingston-1,/cfb/players/hayden-livingston-1.html,DB,12,6,2,8,0.0,0.0,0,0,,0,0,1,0,0,0,,BYU,2019
Ben Bywater,ben-bywater-1,/cfb/players/ben-bywater-1.html,LB,3,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Gabe Summers,gabe-summers-1,/cfb/players/gabe-summers-1.html,DL,6,5,3,8,1.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Micah Simon,micah-simon-1,/cfb/players/micah-simon-1.html,WR,13,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Earl Tuioti-Mariner,earl-tuioti-mariner-1,/cfb/players/earl-tuioti-mariner-1.html,DL,6,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Alden Tofa,alden-tofa-1,/cfb/players/alden-tofa-1.html,DL,10,1,3,4,1.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Matthew Criddle,matthew-criddle-1,/cfb/players/matthew-criddle-1.html,LB,9,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Dimitri Gallow,dimitri-gallow-1,/cfb/players/dimitri-gallow-1.html,DB,4,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Sione Finau,sione-finau-1,/cfb/players/sione-finau-1.html,RB,8,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Skyler Southam,skyler-southam-1,/cfb/players/skyler-southam-1.html,K,13,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Talon Shumway,talon-shumway-1,/cfb/players/talon-shumway-1.html,WR,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Zach Wilson,zach-wilson-3,/cfb/players/zach-wilson-3.html,QB,9,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Will Watanabe,will-watanabe-1,/cfb/players/will-watanabe-1.html,DB,11,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Batchlor Johnson,batchlor-johnson-1,/cfb/players/batchlor-johnson-1.html,WR,8,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Tevita Gagnier,tevita-gagnier-1,/cfb/players/tevita-gagnier-1.html,DB,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Tavita Gagnier,tavita-gagnier-1,/cfb/players/tavita-gagnier-1.html,,3,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Koy Harris,koy-harris-1,/cfb/players/koy-harris-1.html,WR,10,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,1,,BYU,2019
Morgan Pyper,morgan-pyper-1,/cfb/players/morgan-pyper-1.html,DB,5,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Mitchell Price,mitchell-price-2,/cfb/players/mitchell-price-2.html,DB,10,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Chris Wilcox,chris-wilcox-1,/cfb/players/chris-wilcox-1.html,DB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
George Udo,george-udo-1,/cfb/players/george-udo-1.html,DB,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Chandon Herring,chandon-herring-1,/cfb/players/chandon-herring-1.html,OL,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Jake Oldroyd,jake-oldroyd-1,/cfb/players/jake-oldroyd-1.html,PK,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Sam Baldwin,sam-baldwin-3,/cfb/players/sam-baldwin-3.html,LB,2,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
Austin Chambers,austin-chambers-1,/cfb/players/austin-chambers-1.html,DL,8,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,BYU,2019
