Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Ray Wilborn,ray-wilborn-1,/cfb/players/ray-wilborn-1.html,LB,12,47,36,83,10.5,3.0,2,48,24.0,0,4,0,0,0,2,,Ball State,2018
Bryce Cosby,bryce-cosby-1,/cfb/players/bryce-cosby-1.html,S,12,42,41,83,1.5,0.0,2,0,0.0,0,3,1,0,0,0,,Ball State,2018
Jaylin Thomas,jaylin-thomas-1,/cfb/players/jaylin-thomas-1.html,LB,12,43,33,76,5.0,2.5,1,24,24.0,0,2,0,0,0,1,,Ball State,2018
Christian Albright,christian-albright-1,/cfb/players/christian-albright-1.html,DE,12,34,33,67,8.0,5.5,1,7,7.0,0,2,0,0,0,4,,Ball State,2018
Brandon Martin,brandon-martin-1,/cfb/players/brandon-martin-1.html,LB,12,37,29,66,2.5,1.0,1,0,0.0,0,0,0,0,0,0,,Ball State,2018
Jacob White,jacob-white-1,/cfb/players/jacob-white-1.html,LB,12,32,34,66,4.5,1.0,0,0,,0,3,2,4,0,0,,Ball State,2018
Brett Anderson II,brett-anderson-ii-1,/cfb/players/brett-anderson-ii-1.html,S,12,35,27,62,1.0,0.0,0,0,,0,1,1,0,0,1,,Ball State,2018
Josh Miller,josh-miller-4,/cfb/players/josh-miller-4.html,CB,12,40,6,46,0.0,0.0,2,18,9.0,0,4,0,0,0,0,,Ball State,2018
Antonio Phillips,antonio-phillips-1,/cfb/players/antonio-phillips-1.html,CB,10,20,23,43,0.5,0.0,2,-1,-0.5,0,5,0,0,0,0,,Ball State,2018
Jimmy Daw,jimmy-daw-1,/cfb/players/jimmy-daw-1.html,LB,12,23,20,43,5.0,0.0,0,0,,0,1,0,0,0,0,,Ball State,2018
Shannon Hall,shannon-hall-1,/cfb/players/shannon-hall-1.html,DE,12,19,21,40,5.0,1.0,0,0,,0,4,0,0,0,1,,Ball State,2018
Fred Schroeder,fred-schroeder-1,/cfb/players/fred-schroeder-1.html,DT,12,16,21,37,3.0,2.0,0,0,,0,0,0,0,0,0,,Ball State,2018
James Jennette III,james-jennette-iii-1,/cfb/players/james-jennette-iii-1.html,DE,12,12,20,32,6.0,2.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Chris Crumb,chris-crumb-1,/cfb/players/chris-crumb-1.html,DT,12,11,20,31,5.0,1.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Jeremiah Jackson,jeremiah-jackson-2,/cfb/players/jeremiah-jackson-2.html,LB,9,12,12,24,2.5,1.0,0,0,,0,0,1,12,0,0,,Ball State,2018
Myles Hannah,myles-hannah-1,/cfb/players/myles-hannah-1.html,CB,11,10,12,22,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Brock Burns,brock-burns-1,/cfb/players/brock-burns-1.html,LB,6,12,7,19,1.0,0.0,0,0,,0,0,0,0,0,1,,Ball State,2018
Tuni Ropati,tuni-ropati-1,/cfb/players/tuni-ropati-1.html,DL,12,2,13,15,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Amechi Uzodinma II,amechi-uzodinma-ii-1,/cfb/players/amechi-uzodinma-ii-1.html,CB,12,11,4,15,0.0,0.0,1,-4,-4.0,0,5,0,0,0,0,,Ball State,2018
Lamar Anderson,lamar-anderson-1,/cfb/players/lamar-anderson-1.html,CB,3,6,4,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Sean Hammonds Jr.,sean-hammonds-jr-1,/cfb/players/sean-hammonds-jr-1.html,DE,9,3,7,10,1.5,0.0,0,0,,0,1,0,0,0,0,,Ball State,2018
Emeka Jiliani,emeka-jiliani-1,/cfb/players/emeka-jiliani-1.html,DT,4,3,7,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Emeka Jillani,emeka-jillani-1,/cfb/players/emeka-jillani-1.html,,8,3,7,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Hank Grenda,hank-grenda-2,/cfb/players/hank-grenda-2.html,LB,11,4,6,10,1.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Marc Walton,marc-walton-1,/cfb/players/marc-walton-1.html,CB,12,4,5,9,0.0,0.0,0,0,,0,3,0,0,0,0,,Ball State,2018
Hassan Littles,hassan-littles-1,/cfb/players/hassan-littles-1.html,WR,12,6,1,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Mitch Larsen,mitch-larsen-1,/cfb/players/mitch-larsen-1.html,S,3,6,1,7,0.5,0.0,0,0,,0,0,1,0,0,0,,Ball State,2018
Kyle Williams,kyle-williams-10,/cfb/players/kyle-williams-10.html,DL,8,0,7,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Malik Dunner,malik-dunner-1,/cfb/players/malik-dunner-1.html,RB,12,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Malcom Lee,malcom-lee-2,/cfb/players/malcom-lee-2.html,S,9,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Jordan Williams,jordan-williams-10,/cfb/players/jordan-williams-10.html,DE,11,2,4,6,1.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Kendal Kendrick,kendal-kendrick-1,/cfb/players/kendal-kendrick-1.html,DT,3,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Michael Robinson Jr.,michael-robinson-jr-1,/cfb/players/michael-robinson-jr-1.html,LB,12,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Tyler 'Red' Potts,tyler-red-potts-1,/cfb/players/tyler-red-potts-1.html,CB,4,0,4,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Shahid Reece,shahid-reece-1,/cfb/players/shahid-reece-1.html,,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Corey Lacanaria,corey-lacanaria-1,/cfb/players/corey-lacanaria-1.html,WR,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Curtis Blackwell,curtis-blackwell-1,/cfb/players/curtis-blackwell-1.html,OL,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Cody Rudy,cody-rudy-1,/cfb/players/cody-rudy-1.html,FB,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Kyle Schrank,kyle-schrank-1,/cfb/players/kyle-schrank-1.html,TE,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Justin Hall,justin-hall-3,/cfb/players/justin-hall-3.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
Joseph Greenwood,joseph-greenwood-1,/cfb/players/joseph-greenwood-1.html,LS,12,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ball State,2018
