Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Clay Johnston,clay-johnston-1,/cfb/players/clay-johnston-1.html,LB,12,64,35,99,5.5,1.0,0,0,,0,2,0,0,0,0,,Baylor,2018
Chris Miller,chris-miller-11,/cfb/players/chris-miller-11.html,S,12,50,17,67,1.5,1.0,0,0,,0,2,1,0,0,1,,Baylor,2018
Verkedric Vaughns,verkedric-vaughns-1,/cfb/players/verkedric-vaughns-1.html,S,12,38,19,57,5.0,0.0,0,0,,0,4,0,0,0,0,,Baylor,2018
Jordan Williams,jordan-williams-6,/cfb/players/jordan-williams-6.html,LB,13,28,24,52,4.0,0.0,0,0,,0,3,0,0,0,0,,Baylor,2018
Blake Lynch,blake-lynch-1,/cfb/players/blake-lynch-1.html,S,13,31,16,47,4.0,1.5,1,15,15.0,0,1,1,0,0,0,,Baylor,2018
Terrel Bernard,terrel-bernard-1,/cfb/players/terrel-bernard-1.html,LB,11,25,22,47,3.0,1.0,1,28,28.0,0,0,0,0,0,0,,Baylor,2018
James Lynch,james-lynch-3,/cfb/players/james-lynch-3.html,DT,13,24,16,40,9.0,5.5,0,0,,0,2,0,0,0,0,,Baylor,2018
Bravvion Roy,bravvion-roy-1,/cfb/players/bravvion-roy-1.html,DT,13,15,19,34,3.0,1.5,0,0,,0,0,0,0,0,0,,Baylor,2018
Greg Roberts,greg-roberts-2,/cfb/players/greg-roberts-2.html,DE,12,22,12,34,8.0,3.0,0,0,,0,2,0,0,0,1,,Baylor,2018
Raleigh Texada,raleigh-texada-1,/cfb/players/raleigh-texada-1.html,CB,13,24,8,32,1.0,0.0,2,0,0.0,0,4,0,0,0,1,,Baylor,2018
Ira Lewis,ira-lewis-1,/cfb/players/ira-lewis-1.html,DT,13,17,12,29,3.5,2.5,0,0,,0,0,0,0,0,0,,Baylor,2018
Henry Black,henry-black-1,/cfb/players/henry-black-1.html,LB,13,18,6,24,3.0,2.0,0,0,,0,0,0,0,0,1,,Baylor,2018
Derrek Thomas,derrek-thomas-1,/cfb/players/derrek-thomas-1.html,CB,13,17,4,21,0.0,0.0,1,-7,-7.0,0,7,0,0,0,0,,Baylor,2018
J.T. Woods,jt-woods-1,/cfb/players/jt-woods-1.html,S,13,13,5,18,1.0,1.0,0,0,,0,2,0,0,0,0,,Baylor,2018
Christian Morgan,christian-morgan-3,/cfb/players/christian-morgan-3.html,S,13,13,5,18,1.5,0.0,1,-2,-2.0,0,0,0,0,0,1,,Baylor,2018
BJ Thompson,bj-thompson-1,/cfb/players/bj-thompson-1.html,DE,10,10,5,15,5.0,4.0,0,0,,0,1,0,0,0,0,,Baylor,2018
Harrison Hand,harrison-hand-2,/cfb/players/harrison-hand-2.html,CB,10,12,1,13,1.0,0.0,0,0,,0,3,0,0,0,0,,Baylor,2018
Ross Matiscik,ross-matiscik-1,/cfb/players/ross-matiscik-1.html,LS,13,7,4,11,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2018
Chad Kelly,chad-kelly-3,/cfb/players/chad-kelly-3.html,LB,11,9,2,11,1.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2018
Deonte Williams,deonte-williams-1,/cfb/players/deonte-williams-1.html,DE,7,5,6,11,3.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2018
Jalen Pitre,jalen-pitre-1,/cfb/players/jalen-pitre-1.html,LB,13,5,6,11,2.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2018
James Lockhart,james-lockhart-1,/cfb/players/james-lockhart-1.html,DE,13,7,4,11,3.0,1.0,0,0,,0,1,0,0,0,0,,Baylor,2018
Kalon Barnes,kalon-barnes-1,/cfb/players/kalon-barnes-1.html,WR,11,7,3,10,0.0,0.0,0,0,,0,1,0,0,0,0,,Baylor,2018
Jameson Houston,jameson-houston-1,/cfb/players/jameson-houston-1.html,CB,12,6,3,9,0.0,0.0,0,0,,0,3,0,0,0,0,,Baylor,2018
Jake Copeland,jake-copeland-1,/cfb/players/jake-copeland-1.html,LB,11,4,3,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2018
