Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Chris Bacon,chris-bacon-1,/cfb/players/chris-bacon-1.html,DB,13,58,26,84,0.5,0.0,2,56,28.0,0,1,0,0,0,1,,Bowling Green,2022
DJ Taylor,dj-taylor-2,/cfb/players/dj-taylor-2.html,LB,13,39,40,79,4.0,1.5,2,26,13.0,0,1,0,0,0,0,,Bowling Green,2022
Darren Anders,darren-anders-2,/cfb/players/darren-anders-2.html,LB,13,39,38,77,2.5,1.5,0,0,,0,4,1,0,0,2,,Bowling Green,2022
Trent Simms,trent-simms-1,/cfb/players/trent-simms-1.html,DB,13,35,26,61,2.0,0.0,2,1,0.5,0,2,0,0,0,0,,Bowling Green,2022
JB Brown,jb-brown-3,/cfb/players/jb-brown-3.html,LB,13,33,20,53,4.5,1.5,0,0,,0,1,1,0,0,3,,Bowling Green,2022
Karl Brooks,karl-brooks-1,/cfb/players/karl-brooks-1.html,DE,13,30,20,50,18.0,10.0,0,0,,0,4,1,0,0,2,,Bowling Green,2022
Brock Horne,brock-horne-1,/cfb/players/brock-horne-1.html,LB,13,16,33,49,4.0,2.0,0,0,,0,0,0,0,0,0,,Bowling Green,2022
Jordan Anderson,jordan-anderson-2,/cfb/players/jordan-anderson-2.html,DB,11,24,23,47,4.5,0.5,1,0,0.0,0,5,0,0,0,0,,Bowling Green,2022
Deshawn Jones Jr.,deshawn-jones-jr-1,/cfb/players/deshawn-jones-jr-1.html,DB,13,36,6,42,2.5,0.0,1,4,4.0,0,5,0,0,0,0,,Bowling Green,2022
Anthony Hawkins,anthony-hawkins-2,/cfb/players/anthony-hawkins-2.html,DL,13,17,18,35,5.0,1.0,0,0,,0,1,0,0,0,0,,Bowling Green,2022
Walter Haire,walter-haire-1,/cfb/players/walter-haire-1.html,DL,13,15,18,33,8.0,4.0,1,26,26.0,0,2,0,0,0,0,,Bowling Green,2022
Dierre Kelly,dierre-kelly-1,/cfb/players/dierre-kelly-1.html,DL,13,11,14,25,2.0,1.5,0,0,,0,0,0,0,0,0,,Bowling Green,2022
Demetrius Hardamon,demetrius-hardamon-1,/cfb/players/demetrius-hardamon-1.html,LB,13,12,13,25,8.0,6.0,0,0,,0,0,1,0,1,1,,Bowling Green,2022
Patrick Day,patrick-day-1,/cfb/players/patrick-day-1.html,DB,13,14,10,24,3.5,1.0,0,0,,0,2,1,0,0,1,,Bowling Green,2022
Jalen Burton,jalen-burton-1,/cfb/players/jalen-burton-1.html,CB,13,17,5,22,0.0,0.0,1,29,29.0,1,3,0,0,0,0,,Bowling Green,2022
